"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Price to TTM earnings","Price to TTM sales","Price to book value","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,344,747,171,470","0.61%","23.00","6.07","34.79","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,978,279,054,539","0.91%","27.30","10.27","12.14","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,573,452,275,594","0.00%","9.80","5.82","2.88","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,573,452,275,594","0.00%","9.34","5.82","2.74","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,136,944,500,000","0.00%","53.10","2.38","8.48","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$728,613,661,724","0.00%","86.28","11.72","21.26","Analyze"
"BRK.B","Berkshire Hathaway Inc. Class B","Common stocks","Large cap","Financials","$614,562,758,775","0.00%","4.32","1.73","0.70","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$484,987,810,171","1.16%","27.66","1.64","6.63","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$469,310,511,743","2.39%","23.33","4.95","6.19","Analyze"
"META","Meta Platforms, Inc.","Common stocks","Large cap","Communication Services","$464,859,540,849","0.00%","0.00","0.00","0.00","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$451,952,240,000","0.70%","24.60","16.78","9.37","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$378,800,000,000","0.11%","38.84","14.07","14.23","Analyze"
"XOM","Exxon Mobil Corp","Common stocks","Large cap","Energy","$360,762,202,731","4.03%","13.80","1.18","2.10","Analyze"
"PG","Procter & Gamble","Common stocks","Large cap","Consumer Staples","$350,393,310,660","2.39%","23.79","4.40","7.64","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$343,877,273,773","1.76%","26.38","0.60","4.46","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$331,475,515,593","3.53%","8.19","2.76","1.16","Analyze"
"LLY","Eli Lilly","Common stocks","Large cap","Health Care","$314,569,325,198","1.10%","50.16","10.73","32.95","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$312,817,686,795","0.59%","32.83","15.72","44.29","Analyze"
"PFE","Pfizer Inc","Common stocks","Large cap","Health Care","$296,760,278,915","2.95%","11.70","3.21","3.54","Analyze"
"HD","Home Depot Inc","Common stocks","Large cap","Consumer Discretionary","$294,338,738,985","2.46%","17.74","1.93","-171.46","Analyze"
"CVX","Chevron Corp","Common stocks","Large cap","Energy","$278,040,752,159","3.90%","13.31","1.57","1.87","Analyze"
"KO","Coca-Cola","Common stocks","Large cap","Consumer Staples","$272,846,708,077","2.70%","26.36","6.80","10.93","Analyze"
"ABBV","Abbvie Inc","Common stocks","Large cap","Health Care","$270,774,278,018","3.49%","21.59","4.77","16.55","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$253,469,487,680","2.65%","8.54","2.83","0.95","Analyze"
"MRK","Merck & Co Inc","Common stocks","Large cap","Health Care","$238,466,313,858","2.85%","16.69","4.42","5.79","Analyze"
"PEP","Pepsico Inc","Common stocks","Large cap","Consumer Staples","$235,706,066,303","2.54%","23.19","2.92","12.95","Analyze"
"COST","Costco Wholesale Corp","Common stocks","Large cap","Consumer Staples","$220,994,215,256","0.65%","40.09","1.05","11.38","Analyze"
"TMO","Thermo Fisher Scientific Inc","Common stocks","Large cap","Health Care","$218,447,539,860","0.20%","27.34","5.31","5.07","Analyze"
"VZ","Verizon Communications Inc","Common stocks","Large cap","Communication Services","$212,082,006,901","6.20%","9.97","1.58","2.55","Analyze"
"AVGO","Broadcom Inc.","Common stocks","Large cap","Information Technology","$194,987,414,622","4.01%","25.89","6.84","8.48","Analyze"
"DHR","Danaher Corp","Common stocks","Large cap","Health Care","$192,893,466,020","0.35%","29.20","6.37","3.96","Analyze"
"ORCL","Oracle Corp","Common stocks","Large cap","Information Technology","$190,728,753,820","2.22%","24.82","4.56","-21.58","Analyze"
"ABT","Abbott Laboratories","Common stocks","Large cap","Health Care","$190,660,105,849","1.68%","24.55","4.28","5.36","Analyze"
"MCD","Mcdonalds Corp","Common stocks","Large cap","Consumer Discretionary","$187,312,446,430","2.13%","26.15","7.88","-31.04","Analyze"
"ACN","Accenture Plc Class A","Common stocks","Large cap","Information Technology","$182,565,435,272","1.37%","28.44","3.22","8.84","Analyze"
"ADBE","Adobe Inc","Common stocks","Large cap","Information Technology","$179,786,880,000","0.00%","37.25","11.14","13.05","Analyze"
"CSCO","Cisco Systems Inc","Common stocks","Large cap","Information Technology","$179,096,694,600","3.45%","14.92","3.47","4.43","Analyze"
"CMCSA","Comcast A Corp","Common stocks","Large cap","Communication Services","$175,112,241,471","2.64%","12.18","1.46","1.85","Analyze"
"CRM","Salesforce.Com Inc","Common stocks","Large cap","Information Technology","$173,488,200,000","0.00%","114.61","6.55","2.85","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$170,484,112,325","0.00%","64.28","2.22","1.88","Analyze"
"TMUS","T Mobile US Inc","Common stocks","Large cap","Communication Services","$168,316,835,502","0.00%","59.90","2.09","2.40","Analyze"
"NKE","Nike Inc Class B","Common stocks","Large cap","Consumer Discretionary","$165,004,832,982","1.13%","21.52","3.52","8.89","Analyze"
"BMY","Bristol Myers Squibb","Common stocks","Large cap","Health Care","$160,872,096,317","2.76%","25.55","3.43","5.06","Analyze"
"UPS","United Parcel Service Inc Class B","Common stocks","Large cap","Industrials","$159,602,816,000","2.72%","12.24","1.62","8.55","Analyze"
"NEE","Nextera Energy Inc","Common stocks","Large cap","Utilities","$158,057,763,727","1.99%","107.87","9.74","4.38","Analyze"
"INTC","Intel Corporation Corp","Common stocks","Large cap","Information Technology","$152,110,800,000","3.79%","6.18","1.96","1.47","Analyze"
"WFC","Wells Fargo","Common stocks","Large cap","Financials","$150,818,115,749","2.25%","7.78","1.94","0.84","Analyze"
"QCOM","Qualcomm Inc","Common stocks","Large cap","Information Technology","$148,780,781,924","2.10%","13.33","3.79","11.16","Analyze"
"T","AT&T Inc.","Common stocks","Large cap","Communication Services","$147,904,940,000","7.52%","8.61","0.91","0.79","Analyze"
"PM","Philip Morris International Inc","Common stocks","Large cap","Consumer Staples","$144,516,784,761","5.26%","16.15","4.58","-14.40","Analyze"
"TXN","Texas Instrument Inc","Common stocks","Large cap","Information Technology","$141,602,873,238","2.88%","17.35","7.47","10.16","Analyze"
"RTX","Raytheon Technologies Corporation","Common stocks","Large cap","Industrials","$140,854,142,689","2.18%","33.50","2.17","1.94","Analyze"
"LIN","Linde Plc","Common stocks","Large cap","Materials","$139,139,116,880","1.60%","34.21","4.38","3.20","Analyze"
"MS","Morgan Stanley","Common stocks","Large cap","Financials","$132,630,717,353","3.65%","9.40","2.39","1.29","Analyze"
"AMGN","Amgen Inc","Common stocks","Large cap","Health Care","$132,364,059,399","2.95%","23.13","5.03","144.50","Analyze"
"UNP","Union Pacific Corp","Common stocks","Large cap","Industrials","$131,803,639,490","2.24%","19.04","5.82","10.90","Analyze"
"IBM","International Business Machines Co","Common stocks","Large cap","Information Technology","$126,820,380,825","4.58%","22.68","2.36","6.57","Analyze"
"AMD","Advanced Micro Devices Inc","Common stocks","Large cap","Information Technology","$124,698,083,213","0.00%","36.75","6.61","2.25","Analyze"
"CVS","CVS Health Corp","Common stocks","Large cap","Health Care","$124,194,082,399","2.20%","15.57","0.41","1.69","Analyze"
