"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2020-07-01",91.279999,91.839996,90.977501,91.027496,110737200,89.904602
"2020-07-02",91.962502,92.6175,90.910004,91.027496,114041600,89.904602
"2020-07-06",92.5,93.945,92.467499,93.462502,118655600,92.30957
"2020-07-07",93.852501,94.654999,93.057503,93.172501,112424400,92.023163
"2020-07-08",94.18,95.375,94.089996,95.342499,117092000,94.166374
"2020-07-09",96.262497,96.317497,94.672501,95.752502,125642800,94.571327
"2020-07-10",95.334999,95.980003,94.705002,95.919998,90257200,94.736748
"2020-07-13",97.264999,99.955002,95.2575,95.477501,191649200,94.299713
"2020-07-14",94.839996,97.254997,93.877502,97.057503,170989200,95.860229
"2020-07-15",98.989998,99.247498,96.489998,97.724998,153198000,96.519493
"2020-07-16",96.5625,97.404999,95.904999,96.522499,110577600,95.331825
"2020-07-17",96.987503,97.147499,95.839996,96.327499,92186800,95.139229
"2020-07-20",96.417503,98.5,96.0625,98.357498,90318000,97.144188
"2020-07-21",99.172501,99.25,96.7425,97,103433200,95.803429
"2020-07-22",96.692497,97.974998,96.602501,97.272499,89001600,96.072571
"2020-07-23",96.997498,97.077499,92.010002,92.845001,197004400,91.699684
"2020-07-24",90.987503,92.970001,89.144997,92.614998,185438800,91.472542
"2020-07-27",93.709999,94.904999,93.480003,94.809998,121214000,93.64045
"2020-07-28",94.3675,94.550003,93.247498,93.252502,103625600,92.102158
"2020-07-29",93.75,95.230003,93.712502,95.040001,90329200,93.867622
"2020-07-30",94.1875,96.297501,93.767502,96.190002,158130000,95.003418
"2020-07-31",102.885002,106.415001,100.824997,106.260002,374336800,104.949203
"2020-08-03",108.199997,111.637497,107.892502,108.9375,308151200,107.593674
"2020-08-04",109.1325,110.790001,108.387497,109.665001,173071600,108.312195
"2020-08-05",109.377502,110.392502,108.897499,110.0625,121776800,108.704788
"2020-08-06",110.404999,114.412498,109.797501,113.902496,202428800,112.497421
"2020-08-07",113.205002,113.675003,110.292503,111.112503,198045600,109.93972
"2020-08-10",112.599998,113.775002,110,112.727501,212403600,111.537666
"2020-08-11",111.970001,112.482498,109.107498,109.375,187902400,108.220558
"2020-08-12",110.497498,113.275002,110.297501,113.010002,165598000,111.817184
"2020-08-13",114.43,116.042503,113.927498,115.010002,210082000,113.796074
"2020-08-14",114.830002,115,113.044998,114.907501,165565200,113.694656
"2020-08-17",116.0625,116.087502,113.962502,114.607498,119561600,113.39782
"2020-08-18",114.352501,116,114.0075,115.5625,105633600,114.342743
"2020-08-19",115.982498,117.162498,115.610001,115.707497,145538000,114.486198
"2020-08-20",115.75,118.392502,115.732498,118.275002,126907200,117.026611
"2020-08-21",119.262497,124.8675,119.25,124.370003,338054800,123.057281
"2020-08-24",128.697495,128.785004,123.9375,125.857498,345937600,124.529076
"2020-08-25",124.697502,125.18,123.052498,124.824997,211495600,123.507484
