"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2020-07-01",98.5,99.660004,97.5,99.139999,6522900,89.65136
"2020-07-02",99.449997,99.989998,97.860001,98.879997,6158800,89.416237
"2020-07-06",99.639999,99.800003,97.949997,99.010002,7039000,89.533798
"2020-07-07",98.68,100.690002,98.559998,99.349998,6345600,89.841248
"2020-07-08",99.75,100.57,98.550003,99.279999,6154400,89.777946
"2020-07-09",99.080002,99.779999,96.809998,97.940002,5817300,88.566208
"2020-07-10",98.059998,98.330002,96.360001,96.830002,6202500,87.562431
"2020-07-13",97.360001,99.559998,96.919998,97.860001,8507400,88.493851
"2020-07-14",96.970001,99.099998,95.940002,98.870003,6765600,90.498428
"2020-07-15",100,100.480003,98.82,100.480003,5661600,91.972099
"2020-07-16",99.690002,100.230003,98.809998,99.919998,4269200,91.459518
"2020-07-17",100.290001,101.279999,99.919998,100.830002,6890900,92.292465
"2020-07-20",100.760002,101.25,99.260002,99.540001,4823300,91.111694
"2020-07-21",99.809998,99.809998,97.169998,97.400002,8239000,89.152893
"2020-07-22",97.800003,98.279999,96.93,97.699997,4441800,89.427483
"2020-07-23",98.239998,98.919998,97.449997,98.029999,5127200,89.729538
"2020-07-24",98.050003,98.190002,96.459999,97.110001,5169400,88.887444
"2020-07-27",96.349998,97.889999,96.260002,97.160004,5030700,88.933205
"2020-07-28",97,97.620003,96.459999,96.709999,5941800,88.521317
"2020-07-29",96.870003,97.400002,96.639999,97.010002,5512000,88.795914
"2020-07-30",96.309998,96.739998,95.410004,96.040001,6411500,87.908043
"2020-07-31",95.540001,97.25,93.550003,94.910004,14613000,86.873734
"2020-08-03",95.190002,97.169998,95.059998,95.940002,6919000,87.816513
"2020-08-04",95.919998,96.029999,94.059998,94.290001,7865100,86.306213
"2020-08-05",94.470001,94.800003,93.129997,93.25,6918900,85.354279
"2020-08-06",93.32,93.650002,91.779999,92.57,7269300,84.731857
"2020-08-07",92.690002,93,92.199997,92.919998,5226600,85.052216
"2020-08-10",92.629997,93.669998,92.150002,92.379997,7623600,84.557945
"2020-08-11",92.309998,93.290001,92.129997,92.669998,7208400,84.823395
"2020-08-12",93.449997,95.580002,93.330002,95.510002,7705600,87.422913
"2020-08-13",95.139999,95.5,94.010002,94.68,6004200,86.663193
"2020-08-14",95.379997,95.669998,94.540001,95.07,5488100,87.020187
"2020-08-17",95.290001,97.260002,95.260002,96.349998,7251400,88.191788
"2020-08-18",96.620003,96.699997,95.150002,95.650002,4557400,87.551071
"2020-08-19",97.110001,97.419998,95.849998,96.099998,7672000,87.962959
"2020-08-20",95.489998,96.029999,94.68,95.199997,6798000,87.139168
"2020-08-21",95.199997,95.32,94.32,94.860001,5269000,86.827957
"2020-08-24",94.900002,95.239998,94.18,94.510002,4103600,86.507599
"2020-08-25",94.209999,94.790001,93.910004,94.059998,6710000,86.095695
"2020-08-26",93.5,94.410004,92.940002,94.349998,5682800,86.361137
"2020-08-27",94.330002,95.059998,93.669998,94.300003,5271500,86.315384
"2020-08-28",94.519997,94.650002,93.529999,94.169998,4938300,86.196373
"2020-08-31",94.120003,96.010002,94.010002,95.769997,9932300,87.660889
"2020-09-01",95.519997,95.919998,91.290001,92.239998,15783600,84.429802
"2020-09-02",92.07,94.239998,91.900002,93.949997,9139200,85.995003
"2020-09-03",93.879997,94.309998,91.089996,91.870003,8921900,84.091133
"2020-09-04",92.080002,93.129997,90.580002,91.870003,9444800,84.091133
"2020-09-08",91.519997,91.860001,89.449997,90.220001,8563900,82.580841
"2020-09-09",90.860001,92.43,90.510002,91.629997,5373500,83.871445
"2020-09-10",91.07,91.410004,89.480003,89.650002,10403600,82.059105
"2020-09-11",89.809998,90.339996,89.040001,89.699997,8385800,82.104866
"2020-09-14",90.050003,91.260002,89.459999,90.489998,5212300,82.827965
"2020-09-15",91.400002,91.980003,90.639999,90.910004,3851300,83.212425
"2020-09-16",91.019997,91.269997,89.690002,89.779999,6304400,82.178093
"2020-09-17",89.300003,90.809998,89.18,89.629997,5604700,82.040802
"2020-09-18",89.489998,90.5,88.860001,90.110001,10076300,82.480156
"2020-09-21",89.139999,89.43,87.169998,89.089996,7328300,81.546516
"2020-09-22",88.900002,88.949997,87.93,88.599998,5306100,81.098007
"2020-09-23",89,89.269997,87.120003,87.139999,6253000,79.76162
"2020-09-24",87,87,85.32,85.910004,9980800,78.635773
