"","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2020-07-01",100.949997,101.470001,99.129997,99.449997,1001100,96.537437
"2020-07-02",100.199997,101.620003,99.720001,100.089996,734000,97.158691
"2020-07-06",100.910004,101.459999,99.910004,100.720001,975100,97.770233
"2020-07-07",99.910004,100.43,97.910004,98.300003,1022100,95.42112
"2020-07-08",98.349998,98.760002,95.900002,97.209999,934600,94.363045
"2020-07-09",97.209999,97.269997,94.760002,96.389999,758400,93.567062
"2020-07-10",95.980003,97.580002,95.480003,97.050003,816800,94.207726
"2020-07-13",97.279999,98.830002,97.059998,97.269997,1198500,94.421272
"2020-07-14",96.849998,99.470001,96.849998,99.330002,781500,96.420952
"2020-07-15",100.43,102.419998,99.010002,101.900002,1087500,98.91568
"2020-07-16",101.82,103.330002,101.050003,102.739998,955500,99.731071
"2020-07-17",103.309998,105.080002,102.790001,104.449997,2771300,101.390991
"2020-07-20",104.400002,104.870003,101.68,102.190002,739500,99.197189
"2020-07-21",102.269997,104.25,102.209999,104.150002,1126000,101.099792
"2020-07-22",103.849998,104.300003,102.620003,103.809998,715300,100.769753
"2020-07-23",103.760002,104.93,103.629997,104.029999,635200,100.983292
"2020-07-24",104.419998,104.879997,103.410004,103.760002,668500,100.721214
"2020-07-27",103.379997,104.370003,102.540001,104,564600,100.954178
"2020-07-28",104,104.540001,101.93,102.110001,670200,99.119537
"2020-07-29",102.599998,103.82,101.300003,103.309998,623000,100.284378
"2020-07-30",102.169998,102.489998,101.110001,102.169998,645700,99.177773
"2020-07-31",102.010002,102.019997,98.690002,100.190002,844600,97.255768
"2020-08-03",100.809998,104.860001,100.809998,104.480003,1202400,101.420128
"2020-08-04",104,105.209999,102.980003,104.699997,1123000,101.633675
"2020-08-05",104,106.449997,103.110001,103.5,1448700,100.468826
"2020-08-06",103.709999,103.809998,100.949997,101.610001,831100,98.634171
"2020-08-07",101.25,102.199997,100.529999,102.099998,739600,99.109825
"2020-08-10",102.260002,103.739998,101.650002,103.040001,745100,100.022293
"2020-08-11",103.449997,103.900002,101.059998,101.379997,788500,98.410919
"2020-08-12",101.849998,104.099998,101.849998,103.550003,629900,100.517365
"2020-08-13",103.110001,103.110001,101.349998,102.730003,554900,99.721375
"2020-08-14",101.940002,104.25,101.599998,103.75,684600,101.124947
"2020-08-17",104.209999,104.279999,103.099998,103.419998,531800,100.803291
"2020-08-18",104,104.400002,102.419998,102.839996,763700,100.237961
"2020-08-19",102.5,103.010002,101.629997,101.709999,512300,99.136559
"2020-08-20",101.720001,102.199997,99.040001,99.040001,998400,96.534111
"2020-08-21",99,99.019997,97.169998,98.150002,1041200,95.666626
"2020-08-24",99.309998,99.309998,96.269997,97.57,867400,95.101311
"2020-08-25",97.93,98.279999,97.019997,98.279999,811200,95.793343
"2020-08-26",97.919998,98.010002,96.309998,97.660004,776000,95.189018
"2020-08-27",97.720001,98.970001,96.330002,98.129997,651100,95.647148
"2020-08-28",98,98.559998,97.239998,97.550003,687600,95.08181
"2020-08-31",96.970001,97.93,96.959999,97.029999,950000,94.574966
"2020-09-01",97.449997,97.75,93.169998,94.300003,1055600,91.91404
"2020-09-02",94.349998,98.790001,94.349998,98.290001,1688200,95.803101
"2020-09-03",98.769997,100.089996,96.690002,97.580002,1312800,95.111061
"2020-09-04",97.5,97.660004,95.489998,96.599998,731200,94.155846
"2020-09-08",96.510002,96.720001,94.900002,95.360001,997400,92.947227
"2020-09-09",95.830002,96.849998,94.82,96.199997,801800,93.765968
"2020-09-10",96.410004,96.769997,94.230003,94.269997,1134900,91.884804
"2020-09-11",94.849998,94.900002,92.839996,94.080002,677800,91.699615
"2020-09-14",94.5,95.07,92.639999,94.599998,1131600,92.206451
"2020-09-15",94.879997,96.080002,94.330002,94.900002,919600,92.498863
"2020-09-16",95.610001,97.959999,94.989998,96.790001,1033900,94.341042
"2020-09-17",95.669998,96.919998,94.669998,96.809998,722300,94.360542
"2020-09-18",96.620003,97.379997,95.970001,96.830002,1585100,94.380028
"2020-09-21",95.730003,96.129997,94.019997,95.82,696000,93.395576
"2020-09-22",95.690002,96.129997,94.809998,95.260002,651300,92.849754
"2020-09-23",95.620003,96,94.050003,94.139999,601100,91.758095
"2020-09-24",94.190002,95.940002,92,94.660004,1070300,92.264946
"2020-09-25",94.199997,97.07,94.199997,96.800003,822100,94.350792
"2020-09-28",97.75,98.760002,96.790001,97.580002,680800,95.111061
"2020-09-29",97.470001,97.580002,95.919998,96.160004,691200,93.726974
"2020-09-30",96.18,97.849998,95.690002,96.919998,1042700,94.467758
"2020-10-01",97.32,97.629997,94.730003,95.360001,730600,92.947227
"2020-10-02",94.050003,96.550003,93.959999,95.379997,644500,92.966721
"2020-10-05",95.769997,97.010002,94.800003,96.389999,711300,93.951172
"2020-10-06",97.150002,97.720001,95.459999,95.629997,859500,93.210388
"2020-10-07",96.019997,96.449997,95.559998,95.589996,727900,93.171402
"2020-10-08",96.099998,98.980003,95.82,98.489998,1009400,95.998032
"2020-10-09",98.900002,98.989998,96.57,96.860001,759900,94.409279
"2020-10-12",97.379997,97.599998,96.449997,96.860001,816400,94.409279
"2020-10-13",96.18,97.550003,95.589996,97.269997,703300,94.808891
"2020-10-14",97.040001,99.309998,97.040001,98.440002,737300,95.94931
"2020-10-15",97.889999,100.610001,97.25,99.349998,1270600,96.836273
"2020-10-16",99.599998,100.610001,98.900002,99.519997,1200600,97.001968
"2020-10-19",99.529999,100.720001,97.18,97.800003,527400,95.325485
"2020-10-20",98.169998,99,97.400002,97.989998,726100,95.510689
"2020-10-21",97.75,100.220001,97.730003,97.730003,829500,95.257263
"2020-10-22",97.900002,98.919998,97.220001,98.720001,619400,96.222214
"2020-10-23",99.300003,99.699997,98.540001,99.379997,537900,96.865501
"2020-10-26",98.57,98.75,97.07,98.370003,846300,95.881073
"2020-10-27",98.550003,99.769997,97.580002,97.650002,745900,95.179283
"2020-10-28",96.220001,97.449997,95.629997,95.699997,1842600,93.278618
"2020-10-29",95.010002,95.400002,92.239998,94.589996,1297300,92.196686
"2020-10-30",94.080002,96.480003,94.029999,96.07,1218700,93.639252
"2020-11-02",97.360001,99.620003,95.709999,98.940002,1519300,96.436646
"2020-11-03",100.139999,102.989998,100.139999,102.150002,1215700,99.565422
"2020-11-04",103,107.370003,102.779999,104.989998,1722500,102.333565
"2020-11-05",106.099998,109.620003,104.010002,105.419998,1360900,102.752693
"2020-11-06",105.260002,106.440002,103.769997,103.949997,909600,101.319885
"2020-11-09",108.419998,109.650002,104.099998,106.260002,1079800,103.571426
"2020-11-10",106.949997,111.010002,106.5,110.080002,1121800,107.294785
"2020-11-11",110.410004,111.25,107.040001,107.330002,879400,104.614365
"2020-11-12",106.709999,107.510002,105.150002,106.099998,775000,103.415489
"2020-11-13",106.279999,109.029999,106.279999,108.120003,705800,105.823235
"2020-11-16",109.080002,110.559998,107.769997,109.010002,997200,106.694328
"2020-11-17",106,108.080002,104.309998,104.889999,2333100,102.661842
"2020-11-18",105.629997,107.75,103.389999,103.440002,898400,101.242645
"2020-11-19",102.650002,102.910004,100.400002,101.900002,1481100,99.735359
"2020-11-20",101.440002,101.779999,99.739998,100.459999,949200,98.325943
"2020-11-23",101.279999,101.839996,100.080002,100.480003,1474200,98.345535
"2020-11-24",101,103.800003,100.309998,103.099998,1212300,100.909874
"2020-11-25",103.389999,103.940002,101.489998,103.110001,760300,100.919655
"2020-11-27",103.290001,103.809998,102.540001,103.199997,309800,101.007744
"2020-11-30",103.720001,104.519997,102.470001,103.110001,1223200,100.919655
"2020-12-01",103.849998,104.43,101.889999,102.190002,999100,100.019196
"2020-12-02",102.550003,103.690002,102.129997,103.120003,700300,100.929436
"2020-12-03",102.739998,103.110001,100.889999,101.5,772700,99.343857
"2020-12-04",101.709999,102.989998,100.410004,102.980003,873100,100.792427
"2020-12-07",103,103.300003,99.139999,99.489998,1197400,97.376549
"2020-12-08",99.019997,100.989998,98.370003,100.43,979500,98.296585
"2020-12-09",100.480003,101.470001,100.010002,101.110001,967900,98.962143
"2020-12-10",100.489998,101.57,99.290001,99.370003,886200,97.259109
"2020-12-11",98.849998,99.379997,97.580002,98.059998,782500,95.976929
"2020-12-14",99.07,99.07,97.089996,97.120003,1025200,95.0569
"2020-12-15",97.559998,99.339996,97.559998,99.029999,919900,96.926323
"2020-12-16",99.110001,99.110001,98.010002,98.370003,757200,96.28035
"2020-12-17",98.910004,99.089996,97.459999,98.739998,1064100,96.642479
"2020-12-18",98.760002,99.849998,97.510002,98.610001,1682200,96.515259
"2020-12-21",97.32,97.839996,95.769997,97.669998,1074200,95.595215
"2020-12-22",97.620003,98.379997,96.459999,96.720001,915700,94.665398
"2020-12-23",97.040001,98.080002,96.669998,97.239998,752300,95.174339
"2020-12-24",97.330002,97.580002,96.080002,96.970001,295800,94.910088
"2020-12-28",97.709999,98.199997,96.370003,96.800003,521900,94.743698
"2020-12-29",97.639999,98.260002,96.32,97.120003,1061500,95.0569
"2020-12-30",97.209999,97.559998,96.400002,96.959999,648900,94.900307
"2020-12-31",96.75,97.970001,96.080002,97.760002,523600,95.683296
"2021-01-04",97.849998,97.949997,95.07,96.5,1753300,94.450066
"2021-01-05",96.730003,98.879997,94.889999,97.760002,1800200,95.683296
"2021-01-06",100.160004,107.150002,100.160004,106.169998,2844800,103.914642
"2021-01-07",106.550003,110.389999,106.239998,110.129997,2068400,107.79052
"2021-01-08",110.07,112.480003,109.540001,110.029999,1801000,107.69265
"2021-01-11",109.169998,110.489998,106.099998,107.349998,1582700,105.069588
"2021-01-12",107.489998,107.769997,106.150002,106.519997,1441900,104.257217
"2021-01-13",106.32,106.519997,105.400002,105.620003,940300,103.376335
"2021-01-14",105.68,106.660004,105.349998,105.639999,948300,103.395912
"2021-01-15",105.599998,107.889999,104.529999,106.800003,3229200,104.531265
"2021-01-19",107.489998,107.889999,103.239998,103.5,1368000,101.301369
"2021-01-20",103.190002,104.389999,102.769997,103.790001,1297900,101.585205
"2021-01-21",103.669998,105.410004,102.730003,104.910004,1218600,102.681419
"2021-01-22",104.660004,108.720001,104.660004,107.760002,1595400,105.470879
"2021-01-25",107.089996,107.519997,106,106.870003,693100,104.599792
"2021-01-26",107.669998,109.620003,106.940002,108.839996,813900,106.527924
"2021-01-27",107.910004,109.760002,106.610001,106.839996,1013900,104.570412
"2021-01-28",107.379997,109.650002,106.82,106.900002,1017400,104.629143
"2021-01-29",106.809998,107.620003,103.800003,104.199997,1157900,101.986488
"2021-02-01",104.860001,107.379997,104.809998,106.889999,1399300,104.619354
"2021-02-02",108.099998,110,105.540001,105.620003,1241100,103.376335
"2021-02-03",105.18,106.080002,103.400002,105.529999,1339900,103.288239
"2021-02-04",106.139999,112.879997,106.139999,111.919998,1976300,109.542496
"2021-02-05",112.199997,112.330002,108.080002,109.690002,1832500,107.359879
"2021-02-08",109.699997,110.419998,107.699997,108.489998,1105200,106.185371
"2021-02-09",108.129997,108.839996,106.25,107.43,926200,105.147888
"2021-02-10",108.25,108.25,106.040001,106.269997,1370400,104.01252
"2021-02-11",106.629997,106.720001,104.220001,104.529999,1030100,102.734856
"2021-02-12",103.75,105.449997,103.610001,105.18,897500,103.373695
"2021-02-16",105.620003,105.620003,103.080002,103.370003,808000,101.59478
"2021-02-17",102.709999,105.699997,102.68,105.309998,849700,103.50145
"2021-02-18",104.720001,105.730003,104.309998,105.260002,728300,103.452316
"2021-02-19",105.610001,106.32,105,105.870003,890200,104.051842
"2021-02-22",105.279999,106.620003,104.050003,106.120003,731900,104.297546
"2021-02-23",106.760002,108,104.5,106.470001,887900,104.641541
"2021-02-24",106.129997,107.349998,104.699997,105.199997,1003200,103.393333
"2021-02-25",105.860001,106.82,102.540001,102.849998,1037800,101.083702
"2021-02-26",102.959999,103.400002,100.709999,101.220001,1333100,99.481697
"2021-03-01",101.919998,103.860001,101.919998,103.169998,1158400,101.398209
"2021-03-02",103.220001,104.360001,102.629997,104.25,742800,102.459648
"2021-03-03",104.129997,104.940002,103.32,103.339996,784600,101.565285
"2021-03-04",102.699997,104.849998,101.849998,102.989998,828900,101.221298
"2021-03-05",103.730003,105.449997,101.839996,104.830002,1145700,103.029701
"2021-03-08",105.589996,109.160004,105.57,107.510002,1149900,105.663673
"2021-03-09",107.790001,111.139999,107.720001,110.129997,1599100,108.238678
"2021-03-10",110,113.57,109.720001,111.830002,1880200,109.909485
"2021-03-11",110.68,111.43,108.519997,109.860001,1314200,107.97332
"2021-03-12",110.769997,113.389999,110,112.919998,1067900,110.980766
"2021-03-15",113.139999,114.080002,112.089996,113.860001,659300,111.904617
"2021-03-16",113.620003,113.730003,111.82,112.860001,939500,110.921799
"2021-03-17",113.5,114.629997,112.699997,114,796200,112.042221
"2021-03-18",113.709999,116.699997,113.279999,115.629997,891500,113.644226
"2021-03-19",115.349998,117.120003,115.029999,115.919998,2448100,113.929245
"2021-03-22",115.870003,116.419998,114.190002,116.349998,697500,114.351852
"2021-03-23",116,116.330002,113.18,113.769997,836600,111.81617
"2021-03-24",113.660004,116.849998,113.43,115.370003,1358300,113.388695
"2021-03-25",115.379997,117.639999,114.110001,117.339996,608800,115.324852
"2021-03-26",118,118.849998,117.239998,118.730003,705900,116.690987
"2021-03-29",118.150002,119.809998,117.779999,119.050003,629500,117.005493
"2021-03-30",119.059998,120.540001,118.650002,119.059998,839400,117.01532
"2021-03-31",118.699997,119.510002,117.860001,118.07,1348700,116.04232
"2021-04-01",117.940002,118,114.720001,116.889999,1142200,114.882584
"2021-04-05",117.260002,118.089996,115.150002,117.010002,997300,115.000534
"2021-04-06",117.010002,117.93,115.769997,115.989998,795800,113.998039
"2021-04-07",116.440002,117.139999,115.43,116.480003,765800,114.47963
"2021-04-08",116.260002,116.510002,114.800003,115.449997,595600,113.467308
"2021-04-09",115.919998,116.940002,115.580002,116.809998,704400,114.803963
"2021-04-12",116.559998,118.510002,116.400002,117.540001,1030200,115.521423
"2021-04-13",116.889999,117.269997,116.260002,117.120003,1213100,115.108635
"2021-04-14",116.940002,118.379997,116.82,118,1051000,115.973526
"2021-04-15",118.440002,119.540001,118.029999,119.040001,1197700,116.995667
"2021-04-16",119.5,119.910004,118.669998,119.690002,1217700,117.634499
"2021-04-19",120,120.800003,118.919998,119.5,1092600,117.447769
"2021-04-20",119.300003,120.940002,119.07,120.5,677600,118.430588
"2021-04-21",121,121.660004,120.32,121.160004,519400,119.079262
