"","ABMD.Open","ABMD.High","ABMD.Low","ABMD.Close","ABMD.Volume","ABMD.Adjusted"
"2020-07-01",242.960007,257.48999,242.679993,255.220001,655600,255.220001
"2020-07-02",256.109985,266.350006,255.429993,263.839996,518800,263.839996
"2020-07-06",267.570007,272.559998,263.809998,266.209991,517000,266.209991
"2020-07-07",266.070007,271.109985,261.730011,264.589996,402300,264.589996
"2020-07-08",265.369995,268.200012,262.799988,265.640015,273000,265.640015
"2020-07-09",267.299988,268.720001,261.01001,265.679993,257200,265.679993
"2020-07-10",265.450012,266.299988,261.470001,264.51001,152300,264.51001
"2020-07-13",267.959991,274.200012,262.73999,264.549988,527500,264.549988
"2020-07-14",262.970001,264.559998,251.860001,264.410004,356100,264.410004
"2020-07-15",269.690002,277.279999,262.820007,276.640015,379900,276.640015
"2020-07-16",273.549988,276.799988,271.220001,273.040009,176800,273.040009
"2020-07-17",273.859985,284.730011,272.23999,284.549988,459800,284.549988
"2020-07-20",285,292.279999,283.140015,290.790009,490200,290.790009
"2020-07-21",294.48999,300.019989,290.929993,298.570007,601500,298.570007
"2020-07-22",298.779999,300.779999,293.579987,297.269989,372500,297.269989
"2020-07-23",299.529999,301.109985,293.26001,294.570007,209900,294.570007
"2020-07-24",293.200012,294.869995,286.850006,292.940002,184100,292.940002
"2020-07-27",293,300.369995,290.049988,298.609985,261300,298.609985
"2020-07-28",299.459991,299.559998,294.140015,294.890015,250200,294.890015
"2020-07-29",294.910004,301.480011,294.910004,299.100006,299300,299.100006
"2020-07-30",298.410004,300.940002,292.290009,298.910004,277300,298.910004
"2020-07-31",300.200012,302.970001,294.220001,299.940002,282300,299.940002
"2020-08-03",300.5,309.170013,298.299988,308.350006,372600,308.350006
"2020-08-04",308.929993,310.970001,302.829987,305.350006,372300,305.350006
"2020-08-05",305.359985,319.190002,303.109985,317,466700,317
"2020-08-06",317.040009,318.459991,308.480011,314.980011,442400,314.980011
"2020-08-07",310.480011,316.880005,307.440002,310.820007,445400,310.820007
"2020-08-10",306.959991,308.619995,298.709991,300.019989,371900,300.019989
"2020-08-11",300.01001,302.049988,294.089996,294.869995,429100,294.869995
"2020-08-12",294.850006,307.23999,294.850006,302.339996,248800,302.339996
"2020-08-13",304.290009,310.230011,304.059998,308.369995,185400,308.369995
"2020-08-14",307.480011,310.619995,303.670013,307.350006,263600,307.350006
"2020-08-17",307.76001,313.799988,305.679993,309.549988,189100,309.549988
"2020-08-18",311.98999,314.559998,306.5,313.200012,207500,313.200012
"2020-08-19",312.380005,317.690002,311.48999,314.350006,231100,314.350006
"2020-08-20",311.160004,315,309.040009,310.01001,214600,310.01001
"2020-08-21",310,310.5,304.450012,307.570007,254000,307.570007
"2020-08-24",308.98999,313.100006,303.149994,304.950012,287200,304.950012
"2020-08-25",304.529999,318.959991,303.769989,311.119995,253600,311.119995
"2020-08-26",308.519989,309.179993,302.369995,306.140015,240700,306.140015
"2020-08-27",309.380005,314.089996,304.880005,311.100006,207400,311.100006
"2020-08-28",308.769989,312.279999,301.359985,303.040009,278700,303.040009
"2020-08-31",303.049988,310.410004,301.51001,307.619995,320600,307.619995
"2020-09-01",307.720001,310.25,303.5,307.329987,320300,307.329987
"2020-09-02",307.339996,315.350006,301.049988,312.730011,395500,312.730011
"2020-09-03",311.51001,312,291.209991,294.01001,381900,294.01001
"2020-09-04",295.26001,295.26001,271.059998,275.890015,511900,275.890015
"2020-09-08",269.790009,275.290009,261.790009,268.190002,392800,268.190002
"2020-09-09",273.369995,279.690002,272.959991,277.929993,390400,277.929993
"2020-09-10",279,282.829987,271.160004,272.019989,210500,272.019989
"2020-09-11",274.76001,276.5,266.709991,269.769989,356700,269.769989
"2020-09-14",272.75,280.609985,272.380005,275.700012,307100,275.700012
"2020-09-15",277.920013,283.5,276.329987,279.160004,220100,279.160004
"2020-09-16",277.149994,282.609985,270.079987,274.410004,341400,274.410004
"2020-09-17",272.75,277.049988,268.100006,276.140015,329800,276.140015
"2020-09-18",275.230011,275.940002,260.950012,265.070007,539100,265.070007
"2020-09-21",260.26001,266.269989,256.170013,265.859985,334800,265.859985
"2020-09-22",266.98999,269.399994,261.230011,268.98999,196800,268.98999
"2020-09-23",266.549988,268.440002,259.399994,260.109985,318100,260.109985
"2020-09-24",261.040009,265.570007,256.51001,262.470001,307100,262.470001
"2020-09-25",261.369995,268.51001,259.470001,266.440002,224300,266.440002
"2020-09-28",269.980011,275.320007,268.480011,273.549988,297200,273.549988
"2020-09-29",271.309998,279.440002,271.309998,272.459991,186200,272.459991
"2020-09-30",275.119995,280.880005,272.220001,277.059998,339800,277.059998
"2020-10-01",277.140015,280.730011,258.290009,260.450012,971100,260.450012
"2020-10-02",256.480011,265.410004,255.410004,261.98999,432300,261.98999
"2020-10-05",263.910004,270.690002,263.01001,270.690002,312900,270.690002
"2020-10-06",268.690002,271.170013,263.570007,264.820007,357700,264.820007
"2020-10-07",268.220001,272.799988,267.829987,268.540009,199900,268.540009
"2020-10-08",271,272.929993,267.130005,271.200012,225600,271.200012
"2020-10-09",273.299988,276.23999,271.559998,273.559998,150300,273.559998
"2020-10-12",274.799988,279.380005,272.649994,277.850006,243600,277.850006
"2020-10-13",278.230011,280.950012,274.959991,276.950012,191700,276.950012
"2020-10-14",280,287.51001,278.630005,280.839996,241500,280.839996
"2020-10-15",275.089996,285.920013,270.029999,283.570007,264000,283.570007
"2020-10-16",283.579987,289.309998,279.970001,286.480011,262600,286.480011
"2020-10-19",287.579987,291.329987,280.309998,281.470001,227800,281.470001
"2020-10-20",283.350006,285.25,277,277.529999,141600,277.529999
"2020-10-21",277.779999,280.350006,269.940002,272.600006,245300,272.600006
"2020-10-22",273.049988,278.670013,270.619995,278.5,292200,278.5
"2020-10-23",277.589996,281.98999,276.369995,281.420013,202800,281.420013
"2020-10-26",279.220001,288.579987,277.950012,288.320007,291400,288.320007
"2020-10-27",287.910004,293.470001,285.350006,290.51001,354300,290.51001
"2020-10-28",286.869995,290.670013,279.839996,283,448500,283
"2020-10-29",268,270,254.279999,254.610001,835800,254.610001
"2020-10-30",253.649994,258.179993,242.729996,251.880005,426400,251.880005
"2020-11-02",253.419998,259.75,250.729996,254.850006,443800,254.850006
"2020-11-03",259.399994,261.869995,253.589996,260.799988,345800,260.799988
"2020-11-04",267.070007,272,262.779999,266.440002,335600,266.440002
