"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"2020-07-01",214.5,216.899994,213.880005,214.589996,2124700,208.463959
"2020-07-02",216.570007,218.449997,214.899994,215.720001,2006200,209.561707
"2020-07-06",217.759995,219.660004,216.309998,217.550003,1934500,211.339462
"2020-07-07",216.320007,219.869995,216.119995,216.330002,1783700,210.154297
"2020-07-08",217.470001,219.149994,216.339996,218.889999,1750700,212.64122
"2020-07-09",218.470001,220.610001,216.229996,219.309998,1756700,213.04921
"2020-07-10",219,220.860001,217.669998,220.259995,1373600,213.972122
"2020-07-13",221.330002,221.869995,215.229996,215.740005,2090000,209.581116
"2020-07-14",214.800003,219.369995,213.509995,219.160004,1747800,212.903534
"2020-07-15",220,222.75,218.460007,219.759995,2193700,214.268539
"2020-07-16",219.779999,220.630005,218.600006,219.110001,1408400,213.634766
"2020-07-17",219.690002,222.639999,218.300003,221.940002,2069700,216.394058
"2020-07-20",222,224.110001,220.110001,223.429993,1371800,217.846802
"2020-07-21",224.899994,225.740005,222.440002,222.75,1546200,217.183823
"2020-07-22",222.75,224.740005,222.440002,224.229996,1488000,218.626816
"2020-07-23",224.080002,225.509995,221.369995,222.300003,1444900,216.745056
"2020-07-24",220.210007,223.169998,220.210007,221.440002,1542300,215.906555
"2020-07-27",221.5,224.520004,220.830002,223.320007,1523200,217.739578
"2020-07-28",223.039993,224.759995,221.899994,222.179993,1422300,216.628052
"2020-07-29",221.979996,225.399994,221.929993,224.380005,1473700,218.773087
"2020-07-30",220.809998,223.990005,219.779999,223.979996,1408600,218.383072
"2020-07-31",223.889999,224.949997,220.899994,224.779999,1495500,219.163101
"2020-08-03",225,228,224.460007,227.179993,1631700,221.503113
"2020-08-04",226.289993,227.779999,225.550003,227.149994,1260500,221.473846
"2020-08-05",227.940002,229.399994,227.460007,228.699997,1155400,222.985123
"2020-08-06",227.679993,230.970001,227.679993,230.889999,1317900,225.120407
"2020-08-07",229.25,231.869995,228.720001,231.559998,1275400,225.773682
"2020-08-10",229.690002,231.259995,229.520004,230.339996,1315700,224.584122
"2020-08-11",230.580002,232.509995,228.160004,228.570007,1757200,222.858383
"2020-08-12",230.300003,231.320007,229.25,229.75,1512900,224.008911
"2020-08-13",229.589996,232.380005,228.929993,231.729996,1745700,225.939407
"2020-08-14",230.570007,231.929993,229.410004,230.25,1130500,224.496399
"2020-08-17",231.449997,233.770004,230.979996,232.619995,1395400,226.807175
"2020-08-18",233.350006,234.929993,232.580002,234.229996,1475800,228.376923
"2020-08-19",233.800003,236.5,233.800003,234.630005,1671500,228.766953
"2020-08-20",233.940002,236.949997,233.580002,236.610001,1279300,230.697479
"2020-08-21",236.860001,238.300003,235,237.490005,1976100,231.555481
"2020-08-24",238.059998,239.360001,235.850006,237.75,1293200,231.80899
"2020-08-25",237.929993,238.729996,236.710007,238.210007,1501700,232.257477
"2020-08-26",238.669998,241.25,238.110001,240.449997,2322100,234.441528
"2020-08-27",242.369995,242.770004,240,240.869995,1295300,234.851028
"2020-08-28",241.970001,243.220001,240.259995,242.990005,1212200,236.91803
