"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2020-07-01",149.220001,150.449997,148.630005,149.110001,1381300,143.185455
"2020-07-02",150.809998,152.130005,149.960007,150.539993,1216800,144.558624
"2020-07-06",152.440002,152.660004,150.059998,150.729996,1469700,144.741104
"2020-07-07",149.979996,150.990005,146.710007,147,1298900,141.159271
"2020-07-08",147,148.220001,146.270004,148.100006,1291900,142.215591
"2020-07-09",147.580002,147.580002,144.110001,145.729996,1347100,139.939743
"2020-07-10",145,147.300003,144.630005,147.169998,928500,141.322525
"2020-07-13",147.5,149.130005,145.070007,145.479996,1576900,139.699677
"2020-07-14",142.679993,145.589996,142.110001,145.479996,2524600,139.699677
"2020-07-15",145.940002,149.300003,145.759995,148.600006,1675100,142.695724
"2020-07-16",147.339996,147.660004,145.380005,146.179993,1199800,140.371857
"2020-07-17",147.259995,148.399994,145.809998,147.600006,1050300,141.735443
"2020-07-20",147.580002,148.309998,145.660004,147.449997,1246600,141.5914
"2020-07-21",147.860001,149.339996,146.429993,147.100006,1157700,141.255295
"2020-07-22",148.199997,148.199997,146.740005,147.679993,1096100,141.812256
"2020-07-23",147.570007,148.970001,146.279999,146.970001,1055900,141.130493
"2020-07-24",147.580002,148,144.899994,145.429993,988300,139.651642
"2020-07-27",145.25,146.639999,144.160004,145.720001,1432600,139.93013
"2020-07-28",145.850006,147.800003,145.369995,146.649994,2038100,140.823196
"2020-07-29",139.929993,141.350006,135.350006,137.119995,5228500,131.671814
"2020-07-30",134.270004,134.740005,132.270004,132.889999,8449300,127.609909
"2020-07-31",133.660004,134.529999,129.839996,132.910004,3408400,127.629112
"2020-08-03",133.360001,134.990005,132.220001,134.460007,2962200,129.117538
"2020-08-04",133.949997,136.789993,133.940002,136.740005,2415100,131.306931
"2020-08-05",136.600006,138.240005,134.509995,134.770004,2362800,129.415222
"2020-08-06",134.470001,136.960007,134.449997,136.520004,2158300,131.095673
"2020-08-07",136.979996,138.979996,136.630005,137.990005,3090800,132.507294
"2020-08-10",137.880005,138.869995,136.429993,138.169998,2507900,132.680099
"2020-08-11",137.910004,140.039993,136.789993,138.100006,2412500,132.6129
"2020-08-12",138.860001,140.279999,138.669998,139.580002,2686100,134.034103
"2020-08-13",139.029999,140.539993,138.990005,139.259995,2363900,133.726807
"2020-08-14",139.259995,140.100006,137.970001,138.960007,2214900,133.438736
