"","ADSK.Open","ADSK.High","ADSK.Low","ADSK.Close","ADSK.Volume","ADSK.Adjusted"
"2020-07-01",239.940002,242.669998,237.800003,241.220001,1275300,241.220001
"2020-07-02",242.509995,244.399994,239.179993,240.149994,1158200,240.149994
"2020-07-06",243.320007,248.350006,243.070007,244.360001,1092700,244.360001
"2020-07-07",243.119995,245.600006,238.800003,238.940002,993500,238.940002
"2020-07-08",241.639999,244,239.419998,243.899994,960300,243.899994
"2020-07-09",250.300003,251.389999,242.070007,248.199997,1594000,248.199997
"2020-07-10",248.220001,248.889999,243,244.240005,1142900,244.240005
"2020-07-13",246.169998,246.729996,231.259995,231.860001,2030600,231.860001
"2020-07-14",228.860001,234.679993,226.550003,234.600006,2459300,234.600006
"2020-07-15",236,237.160004,231.5,235.580002,1112300,235.580002
"2020-07-16",233.860001,235.389999,229.25,234.029999,1029200,234.029999
"2020-07-17",235.800003,238.059998,232.669998,237.699997,1102400,237.699997
"2020-07-20",239.050003,246.960007,237.429993,246.039993,1050200,246.039993
"2020-07-21",246.639999,247.300003,237.339996,239.690002,987800,239.690002
"2020-07-22",241.399994,243.910004,239.059998,240.740005,515000,240.740005
"2020-07-23",241.289993,245.160004,235.729996,237.339996,1176600,237.339996
"2020-07-24",234.139999,236.029999,230.240005,232.880005,1007600,232.880005
"2020-07-27",234.960007,239.970001,233.309998,239.690002,731100,239.690002
"2020-07-28",238.529999,240.600006,234.139999,234.580002,623900,234.580002
"2020-07-29",236.580002,240.119995,236.580002,238.610001,503000,238.610001
"2020-07-30",235.289993,237.649994,231.419998,236.100006,712800,236.100006
"2020-07-31",238.360001,238.360001,231.5,236.429993,1144200,236.429993
"2020-08-03",239.419998,240.460007,235.839996,239.479996,1269300,239.479996
"2020-08-04",239.289993,241.869995,236.729996,239.899994,973700,239.899994
"2020-08-05",240.070007,246.360001,235.240005,243.199997,1292700,243.199997
"2020-08-06",243.639999,244.5,239.240005,243.570007,735900,243.570007
"2020-08-07",242.470001,242.470001,233.199997,236.240005,1042900,236.240005
"2020-08-10",236.399994,236.929993,227.520004,231.880005,1307700,231.880005
"2020-08-11",231.169998,232.789993,227.550003,228.789993,927500,228.789993
"2020-08-12",229.300003,233.869995,229.300003,231.570007,905100,231.570007
"2020-08-13",232.880005,243.25,232.570007,238.190002,1200700,238.190002
