"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"2020-07-01",70.339996,72.75,70.260002,72.489998,1782100,68.790123
"2020-07-02",72.830002,73.830002,72.769997,73.230003,1774400,69.492371
"2020-07-06",73.620003,74.480003,72.459999,73.339996,1682900,69.596748
"2020-07-07",72.599998,73.470001,72.040001,73.339996,1163800,69.596748
"2020-07-08",73.269997,74.300003,72.809998,73.940002,1245800,70.16613
"2020-07-09",73.550003,73.93,71.660004,73.650002,1363300,69.890915
"2020-07-10",73.599998,75.059998,73.599998,74.540001,1188100,70.735497
"2020-07-13",74.690002,76.040001,74.489998,75.559998,1783500,71.70343
"2020-07-14",75.68,76.919998,75.339996,76.57,2206200,72.661896
"2020-07-15",77.309998,77.580002,75.800003,75.93,1713900,72.05455
"2020-07-16",75.93,77.339996,75.790001,76.790001,1605300,72.870659
"2020-07-17",77.209999,78.910004,76.809998,78.739998,1372400,74.72113
"2020-07-20",78.440002,79.18,77.739998,77.790001,1022900,73.819626
"2020-07-21",77.830002,78.68,77.529999,78,1360200,74.018898
"2020-07-22",77.629997,80.300003,77.309998,80.209999,1153400,76.116104
"2020-07-23",80.230003,80.82,79.889999,80.519997,1482200,76.410278
"2020-07-24",80.610001,81.309998,79.120003,79.519997,780100,75.461327
"2020-07-27",79.550003,79.550003,78.480003,79.010002,1103800,74.977348
"2020-07-28",78.75,80.489998,78.589996,79.669998,1061900,75.603668
"2020-07-29",79.800003,80.400002,79.68,80.150002,655400,76.059174
"2020-07-30",79.660004,79.919998,79.029999,79.550003,1009300,75.489799
"2020-07-31",79.620003,80.290001,78.879997,80.239998,1107700,76.144577
"2020-08-03",79.959999,80,78.220001,79.279999,1211900,75.233574
"2020-08-04",79.029999,82.43,79.010002,82.190002,2629700,77.995056
"2020-08-05",82.269997,82.400002,79.760002,80.449997,2254900,76.343864
"2020-08-06",80.269997,81.489998,79.879997,81.059998,1547800,76.922714
"2020-08-07",79.339996,82.709999,79.339996,82.18,1435100,77.985573
"2020-08-10",82.980003,83.949997,82.139999,83.25,1249400,79.000946
"2020-08-11",83.660004,83.959999,80.849998,81.160004,1037600,77.017624
"2020-08-12",81.519997,83,80.970001,81.980003,1151900,77.795776
"2020-08-13",80.949997,81.650002,80.43,81.370003,1464300,77.216904
"2020-08-14",81.610001,81.940002,80.57,81.269997,645400,77.121994
"2020-08-17",81.379997,82.230003,80.910004,81.43,734000,77.273834
"2020-08-18",81.5,81.82,80.870003,81.18,1014500,77.036598
"2020-08-19",81.580002,81.790001,80.93,81.150002,612300,77.008133
"2020-08-20",80.699997,81.330002,80.129997,80.470001,816000,76.362846
"2020-08-21",80.839996,80.940002,79.440002,80.720001,880300,76.600075
"2020-08-24",81.099998,81.309998,80.169998,81.25,837100,77.103027
"2020-08-25",81.540001,81.629997,79.489998,79.599998,1259600,75.537239
"2020-08-26",79.150002,79.150002,77.650002,78.440002,1305600,74.436447
"2020-08-27",78.849998,79.339996,78.339996,78.93,716600,74.901428
"2020-08-28",79.389999,79.389999,78.029999,78.660004,735600,74.64521
"2020-08-31",78.290001,79.309998,78.169998,79.110001,1122800,75.07225
"2020-09-01",79.110001,79.110001,77.660004,78.480003,664900,74.474419
"2020-09-02",78.540001,80.610001,78.139999,80.230003,1495400,76.135078
"2020-09-03",80.699997,81.18,78.339996,79.099998,1155900,75.062759
"2020-09-04",79.18,79.610001,77.849998,78.959999,1084700,74.929909
"2020-09-08",78.43,78.43,76.620003,77.400002,984300,73.912888
"2020-09-09",77.93,79.629997,77.709999,78.379997,1365700,74.848724
"2020-09-10",78.110001,78.589996,76.290001,76.459999,898400,73.015236
"2020-09-11",76.709999,76.830002,75.839996,76.599998,959500,73.148926
"2020-09-14",76.959999,77.800003,76.650002,76.980003,936800,73.511803
"2020-09-15",77.239998,78.379997,76.879997,77.5,1068400,74.008377
"2020-09-16",77.480003,78.849998,77.349998,77.940002,1193700,74.428566
"2020-09-17",77.330002,77.769997,76.589996,77.620003,1123100,74.122978
"2020-09-18",77.43,78.080002,76.849998,76.860001,2281100,73.397209
"2020-09-21",75.760002,77.169998,75.269997,76.620003,1660800,73.168022
"2020-09-22",76.559998,77.940002,76.550003,77.059998,1152900,73.588196
"2020-09-23",77.120003,77.540001,75.529999,75.610001,995300,72.203537
"2020-09-24",75.779999,77.080002,75.279999,76.699997,794200,73.244415
"2020-09-25",76.510002,78.300003,76.18,78.209999,764700,74.686386
"2020-09-28",78.970001,79.370003,78.080002,78.419998,713500,74.886932
"2020-09-29",78.830002,79.370003,78.5,79.019997,898200,75.459892
