"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume","AEP.Adjusted"
"2020-07-01",79.760002,82.510002,79.709999,82,2378100,76.592514
"2020-07-02",82.669998,83.290001,82.300003,82.519997,1645300,77.078224
"2020-07-06",83.110001,83.720001,81.120003,82.120003,2250100,76.704613
"2020-07-07",81.300003,82.57,80.639999,82.389999,2944900,76.956802
"2020-07-08",82.18,82.900002,81.709999,82.419998,1809400,76.984818
"2020-07-09",81.919998,82.43,80.480003,82.019997,2034400,76.611198
"2020-07-10",82.050003,84.440002,82.050003,84.150002,3023200,78.600731
"2020-07-13",83.900002,85.080002,83.529999,84.760002,3378200,79.170509
"2020-07-14",84.599998,86.059998,84.440002,85.349998,3150100,79.721603
"2020-07-15",86.029999,87.040001,84.419998,84.68,2914200,79.095787
"2020-07-16",84.790001,85.550003,84.550003,85.089996,2510300,79.478737
"2020-07-17",85.790001,87.75,85.190002,87.510002,2812100,81.739174
"2020-07-20",87.540001,88.379997,86.610001,86.720001,2159100,81.001259
"2020-07-21",87.279999,88.519997,86.720001,87.559998,1908700,81.785873
"2020-07-22",87.040001,89.379997,86.379997,89.279999,3059300,83.392441
"2020-07-23",89.139999,89.449997,88.050003,88.709999,2707400,82.860023
"2020-07-24",89.07,89.93,87.650002,88.050003,2085900,82.243561
"2020-07-27",87.230003,87.419998,79.230003,83.260002,22455700,77.76944
"2020-07-28",83.379997,85.25,83.379997,84.739998,5519400,79.151825
"2020-07-29",85,85.260002,83.839996,84.800003,2950500,79.207878
"2020-07-30",84.480003,86.07,83.919998,86.07,2684100,80.394135
"2020-07-31",85.739998,86.970001,85.160004,86.879997,2797300,81.150711
"2020-08-03",86.620003,86.620003,84.949997,85.769997,2088500,80.113899
"2020-08-04",85.529999,86.790001,85.18,85.540001,2162700,79.899086
"2020-08-05",85.839996,86.120003,84.5,84.830002,2233400,79.235893
"2020-08-06",84.010002,85.599998,82.769997,85.370003,2313300,79.740295
"2020-08-07",84.25,87.150002,84.25,86.599998,2230700,81.557907
"2020-08-10",86.940002,86.940002,85.5,85.940002,2774100,80.936333
"2020-08-11",85.199997,85.269997,82.870003,83.290001,6387000,78.440636
"2020-08-12",83.75,85.110001,83.730003,84.150002,5597400,79.250557
"2020-08-13",83.57,84.010002,83.110001,83.660004,2059600,78.789093
"2020-08-14",83.440002,83.769997,82.790001,82.949997,2874900,78.120422
"2020-08-17",83.269997,83.32,81.209999,81.230003,2988700,76.500565
"2020-08-18",81.360001,81.669998,80.059998,81.550003,3340900,76.801933
"2020-08-19",81.589996,81.629997,80.669998,80.919998,2021000,76.208618
"2020-08-20",80.690002,81.040001,79.169998,79.410004,2412200,74.786537
"2020-08-21",79.199997,79.690002,77.989998,79.080002,3090600,74.475754
"2020-08-24",79.25,80.970001,78.730003,80.779999,2519800,76.076759
"2020-08-25",80.849998,80.860001,79.389999,79.769997,1685000,75.125572
"2020-08-26",79.059998,79.440002,78.169998,78.610001,2532000,74.033112
"2020-08-27",78.800003,79.360001,78.199997,78.370003,2159800,73.807091
"2020-08-28",78.379997,78.440002,77.32,78.349998,2894300,73.788254
"2020-08-31",78.75,80.239998,77.779999,78.830002,4966700,74.240311
"2020-09-01",78.589996,78.639999,77.300003,77.82,3172100,73.289116
"2020-09-02",77.809998,80.510002,77.709999,80.309998,3201300,75.634132
"2020-09-03",80.660004,81.279999,78.730003,79.559998,2230000,74.927795
"2020-09-04",79.550003,79.889999,77.910004,79.050003,1710200,74.44751
"2020-09-08",79.080002,79.379997,77.669998,78.980003,1821800,74.381577
"2020-09-09",79.5,81.129997,79.190002,79.910004,2124500,75.257423
"2020-09-10",79.400002,79.589996,78.139999,78.519997,2424100,73.948349
"2020-09-11",78.480003,79.190002,78.120003,79.150002,1824100,74.541672
"2020-09-14",79.32,81.010002,79.209999,80.339996,1979500,75.662399
"2020-09-15",80.610001,81.339996,79.389999,80,1667400,75.342186
"2020-09-16",79.839996,80.980003,79.610001,80.459999,2111300,75.775414
"2020-09-17",80.010002,80.07,79.110001,80.040001,1562700,75.37986
