"","AFL.Open","AFL.High","AFL.Low","AFL.Close","AFL.Volume","AFL.Adjusted"
"2020-07-01",35.959999,36.279999,34.98,35.389999,3154600,33.602814
"2020-07-02",36.220001,36.720001,35.139999,35.259998,3075400,33.479374
"2020-07-06",36.23,36.630001,35.689999,36.02,3332600,34.200996
"2020-07-07",35.630001,35.869999,34.580002,34.619999,3488400,32.871693
"2020-07-08",34.830002,35.529999,34.669998,35.400002,3085000,33.612312
"2020-07-09",35.25,35.369999,33.82,33.970001,3806900,32.254524
"2020-07-10",34.130001,34.880001,34.009998,34.869999,2782200,33.109066
"2020-07-13",35.09,35.470001,34.689999,34.880001,3117300,33.118568
"2020-07-14",34.880001,35.669998,34.59,35.650002,4162200,33.849682
"2020-07-15",36.419998,36.639999,35.830002,36.279999,3532800,34.447868
"2020-07-16",36.02,36.91,35.91,36.369999,2194700,34.533318
"2020-07-17",36.330002,36.41,35.73,36.220001,2800800,34.390892
"2020-07-20",35.950001,36.150002,35.540001,35.98,2485000,34.163017
"2020-07-21",36.119999,36.939999,36.119999,36.509998,2684000,34.666248
"2020-07-22",36.119999,36.860001,36,36.66,2154200,34.80867
"2020-07-23",36.529999,37.200001,36.459999,36.990002,2537300,35.122013
"2020-07-24",37.139999,37.34,36.689999,36.77,2226400,34.913128
"2020-07-27",36.580002,36.68,36.029999,36.43,3311000,34.59029
"2020-07-28",36.279999,36.599998,36.09,36.290001,3863800,34.457359
"2020-07-29",36.34,36.619999,35.689999,36.5,3904800,34.65675
"2020-07-30",35.619999,35.759998,34.959999,35.290001,4575900,33.507858
"2020-07-31",35.139999,35.650002,35.029999,35.57,4404200,33.77372
"2020-08-03",35.580002,35.799999,35.240002,35.360001,2937700,33.574326
"2020-08-04",35.25,35.57,35.02,35.060001,4122000,33.289474
"2020-08-05",35.299999,36.119999,35.259998,35.549999,2700900,33.75473
"2020-08-06",35.290001,35.900002,35.169998,35.41,3285700,33.621803
"2020-08-07",35.150002,36.57,35.119999,36.52,2963000,34.675747
"2020-08-10",36.68,37.650002,36.669998,37.470001,3102300,35.577774
"2020-08-11",38.259998,38.759998,37.889999,38.029999,3963200,36.109486
"2020-08-12",38.939999,38.939999,37.34,37.619999,3217400,35.720196
"2020-08-13",37.110001,37.75,36.950001,37.75,3123000,35.843636
"2020-08-14",37.48,38.240002,37.369999,38.07,2660900,36.147472
"2020-08-17",37.93,38.189999,37.310001,37.459999,2497400,35.568275
"2020-08-18",37.369999,37.709999,37.07,37.139999,2195000,35.53001
"2020-08-19",36.990002,37.400002,36.849998,37.029999,2497400,35.424778
"2020-08-20",36.450001,36.950001,36.41,36.66,2409800,35.070816
"2020-08-21",36.75,36.970001,36.34,36.419998,2928400,34.841221
"2020-08-24",36.59,37.419998,36.419998,37.380001,2709300,35.759609
"2020-08-25",37.779999,37.900002,36.919998,37.099998,2826300,35.491745
"2020-08-26",36.84,36.860001,36.389999,36.450001,2802700,34.869926
"2020-08-27",36.459999,37.299999,36.369999,36.880001,2778900,35.281281
"2020-08-28",37.220001,37.23,36.68,37.130001,3101600,35.520443
"2020-08-31",37.200001,37.200001,36.27,36.32,3362200,34.745556
"2020-09-01",36,37.119999,35.900002,36.700001,3889300,35.109081
"2020-09-02",36.639999,37.459999,36.5,36.900002,3197800,35.300419
"2020-09-03",37.380001,38.290001,36.650002,36.939999,5241200,35.338676
"2020-09-04",37.630001,38.07,36.849998,37.860001,5104300,36.218803
"2020-09-08",37.889999,38,36.810001,36.939999,5122100,35.338676
"2020-09-09",37.25,37.549999,36.98,37.040001,3473800,35.434345
"2020-09-10",37.139999,37.549999,36.169998,36.209999,3335900,34.640324
"2020-09-11",36.279999,36.799999,36.02,36.389999,3067000,34.812523
"2020-09-14",36.990002,37.470001,36.599998,37.07,3441400,35.463043
"2020-09-15",37.119999,37.240002,36.509998,36.689999,3220600,35.099514
"2020-09-16",36.759998,37.740002,36.610001,37.209999,3813000,35.596977
"2020-09-17",36.959999,37.639999,36.59,37.619999,3793300,35.989201
"2020-09-18",37.490002,38.400002,37.41,37.799999,17653100,36.1614
"2020-09-21",37.080002,37.400002,35.93,36.41,5030700,34.831654
"2020-09-22",36.27,36.919998,35.970001,36.369999,3618100,34.793392
"2020-09-23",36.5,36.959999,35.599998,35.619999,3137600,34.075901
"2020-09-24",35.75,36.220001,34.919998,35.669998,2932700,34.12373
"2020-09-25",35.200001,35.950001,35.18,35.73,2924000,34.181129
"2020-09-28",36.360001,36.950001,36.25,36.330002,3502200,34.755127
"2020-09-29",36.099998,36.34,35.599998,36.02,2908100,34.458565
"2020-09-30",36.25,36.82,36.040001,36.349998,3922300,34.774254
"2020-10-01",36.380001,36.700001,35.939999,36.389999,2482900,34.812523
"2020-10-02",35.990002,37.150002,35.689999,36.880001,2973800,35.281281
"2020-10-05",37.330002,37.740002,37.139999,37.43,3317300,35.807438
"2020-10-06",37.830002,38.470001,37.220001,37.369999,4076900,35.750038
"2020-10-07",37.73,38.400002,37.59,37.91,3448400,36.266636
"2020-10-08",38.209999,38.599998,37.93,38.240002,2320000,36.582321
"2020-10-09",38.490002,38.549999,37.939999,38.099998,2539600,36.448395
"2020-10-12",38.139999,38.720001,38.060001,38.400002,2163800,36.735394
"2020-10-13",38.27,38.310001,37.09,37.209999,2579300,35.596977
"2020-10-14",37.200001,37.709999,36.959999,36.98,2626000,35.376949
"2020-10-15",36.610001,37.389999,36.400002,37.25,2443800,35.635242
"2020-10-16",37.41,37.740002,36.990002,37.209999,2630900,35.596977
"2020-10-19",37.299999,37.48,36.43,36.48,3208400,34.898624
"2020-10-20",36.93,37.25,36.709999,36.91,3219300,35.309978
"2020-10-21",36.740002,37.02,36.560001,36.650002,2760300,35.061256
"2020-10-22",36.669998,37.529999,36.310001,37.509998,2311900,35.883968
"2020-10-23",37.77,38.029999,37.450001,37.849998,2501500,36.209236
"2020-10-26",37.389999,37.419998,36.34,36.77,2998300,35.176056
"2020-10-27",36.68,36.689999,35.349998,35.360001,3849200,33.827175
"2020-10-28",35.84,36.279999,34.009998,34.150002,6813500,32.669628
"2020-10-29",34.209999,34.599998,33.59,34.220001,4621200,32.736591
"2020-10-30",33.970001,34.419998,33.369999,33.950001,5321300,32.478298
"2020-11-02",34.59,35.650002,34.220001,35.52,4717900,33.98024
"2020-11-03",36.189999,36.540001,35.990002,36.240002,5029000,34.669025
"2020-11-04",35.650002,37.200001,35.279999,36.529999,5122500,34.946453
"2020-11-05",36.84,37.540001,36.599998,37.200001,5234000,35.58741
"2020-11-06",37.23,37.639999,36.650002,36.900002,3970300,35.300419
"2020-11-09",40.27,42.23,39.169998,41.490002,7856300,39.691448
"2020-11-10",41.490002,42.299999,41.139999,41.849998,4886900,40.035835
"2020-11-11",41.84,41.919998,40.66,40.880001,4186300,39.107887
"2020-11-12",40.299999,40.77,39.740002,40.310001,3908300,38.562595
"2020-11-13",40.75,41.830002,40.5,41.52,2908100,39.720146
"2020-11-16",42.75,43.259998,42.240002,43.23,5340800,41.35601
"2020-11-17",42.580002,43.369999,42.23,43,4739500,41.40416
"2020-11-18",43.099998,43.959999,42.849998,42.860001,5550900,41.269356
"2020-11-19",42.630001,43.740002,42.52,43.720001,3475500,42.097443
"2020-11-20",43.439999,43.98,43.32,43.849998,4462100,42.22261
"2020-11-23",44.380001,44.869999,44.18,44.450001,4779700,42.800346
"2020-11-24",45.400002,46.43,44.75,46.130001,5006300,44.417999
"2020-11-25",45.650002,45.84,45.040001,45.610001,4127900,43.917294
"2020-11-27",45.16,46.130001,45.16,45.279999,2073600,43.599541
"2020-11-30",44.790001,45.189999,43.91,43.93,5918300,42.299648
"2020-12-01",44.939999,45.130001,44.400002,44.700001,4043100,43.041069
"2020-12-02",44.549999,45.549999,44.290001,45.310001,3684400,43.628433
"2020-12-03",45.27,45.740002,45.130001,45.689999,2917800,43.994324
"2020-12-04",45.41,46.349998,45.299999,46.290001,4836300,44.57206
"2020-12-07",46,46,45.040001,45.169998,3582200,43.493622
"2020-12-08",44.91,45.549999,44.599998,45.240002,3426600,43.561028
"2020-12-09",45.540001,45.669998,44.959999,45.119999,3842800,43.44548
