"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2020-07-01",102.949997,103.489998,100.480003,101.07,360400,97.535912
"2020-07-02",103.099998,103.970001,100.379997,100.5,375400,96.98584
"2020-07-06",103.110001,104.169998,100.839996,102.260002,593600,98.684303
"2020-07-07",101.220001,102.010002,99,99.419998,435100,95.943611
"2020-07-08",99.459999,101.150002,98.830002,100.739998,434800,97.217438
"2020-07-09",100.290001,100.790001,96.720001,97.559998,463300,94.148636
"2020-07-10",98.32,100.709999,97.970001,100.370003,301400,96.860382
"2020-07-13",101.300003,101.739998,99.599998,100.169998,518500,96.667374
"2020-07-14",100.580002,102,100.209999,101.529999,278600,97.979828
"2020-07-15",103.709999,104.199997,102.07,103.849998,265100,100.218689
"2020-07-16",103.599998,106.400002,103.43,105.07,345400,101.396034
"2020-07-17",105.43,105.510002,103.949997,104.169998,397300,100.527496
"2020-07-20",103.889999,104.559998,102.650002,103.209999,237000,99.601067
"2020-07-21",103.339996,105.169998,103.339996,104.699997,263600,101.038971
"2020-07-22",104.379997,106.080002,104.379997,105.93,216900,102.225967
"2020-07-23",105.580002,108.300003,105.580002,107.349998,352700,103.596313
"2020-07-24",107.720001,107.949997,106.309998,106.790001,296200,103.055893
"2020-07-27",106.139999,106.440002,104.68,105.669998,327400,101.975052
"2020-07-28",105.120003,106.559998,105.080002,105.980003,317400,102.274223
"2020-07-29",105.970001,107.900002,105.690002,107.580002,353600,103.818275
"2020-07-30",105.459999,106.199997,104.199997,105.279999,383900,101.598694
"2020-07-31",105.199997,107.540001,105.139999,107.470001,408500,103.712112
"2020-08-03",107.839996,108.379997,106.75,107.290001,352700,103.538406
"2020-08-04",106.639999,108.269997,106.489998,107.150002,427400,103.403305
"2020-08-05",114.800003,124.809998,112.410004,122.309998,1147300,118.033211
"2020-08-06",121.559998,122.110001,117.949997,118.870003,501300,114.713501
"2020-08-07",118.449997,122.309998,118.410004,122.209999,428400,117.936707
"2020-08-10",123.110001,124.559998,121.489998,124.199997,341500,119.857124
"2020-08-11",126.43,127.910004,124.480003,124.959999,493400,120.590553
"2020-08-12",126.370003,128.490005,123.559998,124.470001,292000,120.117676
"2020-08-13",123.919998,125,123,124.440002,322400,120.08873
"2020-08-14",123.239998,125.870003,123.239998,125.07,216100,120.696709
"2020-08-17",125.120003,125.75,123.730003,124.57,320300,120.214195
"2020-08-18",124.480003,125.309998,123.370003,123.610001,315700,119.287766
"2020-08-19",124.199997,125.25,123.209999,123.540001,251400,119.2202
"2020-08-20",122.230003,123.379997,121.919998,122.029999,264300,117.762993
"2020-08-21",121.959999,122.660004,120.480003,120.639999,251900,116.421616
"2020-08-24",120.699997,123.860001,120.650002,123.68,217400,119.355301
"2020-08-25",125.120003,125.120003,122.68,122.849998,213400,118.554321
