"","AKAM.Open","AKAM.High","AKAM.Low","AKAM.Close","AKAM.Volume","AKAM.Adjusted"
"2020-07-01",106.550003,107,104.889999,106.330002,1746400,106.330002
"2020-07-02",109.980003,114.370003,109.139999,113.120003,4433900,113.120003
"2020-07-06",116,116.389999,111.879997,112.610001,2911500,112.610001
"2020-07-07",112.5,113.349998,110.910004,110.980003,1451300,110.980003
"2020-07-08",112.190002,112.75,111.25,112.669998,1556900,112.669998
"2020-07-09",113.290001,114.800003,112.589996,114.220001,1630200,114.220001
"2020-07-10",115.300003,115.300003,113.370003,114.260002,1262500,114.260002
"2020-07-13",115.120003,115.239998,109.809998,109.940002,1599900,109.940002
"2020-07-14",109.970001,112.360001,108.699997,112.269997,2089800,112.269997
"2020-07-15",111.779999,113.650002,111.110001,112.779999,2232700,112.779999
"2020-07-16",110.32,112.199997,110.32,111.660004,1369000,111.660004
"2020-07-17",111.330002,112.739998,110.809998,112.650002,953600,112.650002
"2020-07-20",112.940002,115.860001,112.809998,115.239998,1365000,115.239998
"2020-07-21",115.690002,115.720001,113.190002,113.449997,1123000,113.449997
"2020-07-22",113.940002,114.75,112.959999,113.809998,1140800,113.809998
"2020-07-23",114.519997,115.559998,112.080002,112.690002,1268700,112.690002
"2020-07-24",111.400002,112.839996,110.290001,111.739998,997900,111.739998
"2020-07-27",112.900002,115.080002,112.010002,114.650002,1143400,114.650002
"2020-07-28",114.68,114.949997,111.720001,111.989998,2160300,111.989998
"2020-07-29",109,111.160004,106.610001,110.68,3854100,110.68
"2020-07-30",109.110001,111.360001,108.010002,110.5,1439300,110.5
"2020-07-31",111.169998,112.440002,110.129997,112.440002,1182900,112.440002
"2020-08-03",112.849998,113.529999,111.75,112.980003,1212000,112.980003
"2020-08-04",113.300003,113.349998,110.980003,111.730003,1325500,111.730003
"2020-08-05",111.940002,111.940002,109.989998,110.730003,1398300,110.730003
"2020-08-06",110.599998,110.709999,108.639999,109.18,1235800,109.18
"2020-08-07",109.309998,109.690002,107.959999,109.220001,1697700,109.220001
"2020-08-10",109.099998,109.440002,107.529999,107.870003,1399900,107.870003
"2020-08-11",108,108.629997,105.870003,106.220001,1711500,106.220001
"2020-08-12",107.239998,107.790001,106.510002,107,1040900,107
"2020-08-13",106.879997,109.93,106.879997,109.230003,1243500,109.230003
"2020-08-14",109.470001,109.57,107.309998,107.900002,948900,107.900002
"2020-08-17",107.970001,109.160004,107.760002,107.870003,975100,107.870003
"2020-08-18",108.339996,109.18,107.639999,108.730003,950400,108.730003
"2020-08-19",108.970001,110.489998,108.75,109.209999,1135000,109.209999
"2020-08-20",108.730003,110.779999,108.620003,110.349998,1190300,110.349998
"2020-08-21",110.849998,111.779999,110.040001,110.650002,1692100,110.650002
"2020-08-24",110.910004,112.699997,109.550003,110.870003,1699100,110.870003
"2020-08-25",111.029999,111.660004,110.480003,111,1376800,111
"2020-08-26",110.75,113.309998,110.75,112.379997,2178400,112.379997
"2020-08-27",112.830002,114.709999,112.379997,114.059998,1641900,114.059998
"2020-08-28",114.989998,117.839996,114.449997,115.629997,2028300,115.629997
"2020-08-31",115.610001,116.849998,115.129997,116.43,1392900,116.43
"2020-09-01",117.300003,119.089996,116.620003,119.029999,1936000,119.029999
"2020-09-02",119.580002,120,117.040001,119.57,2526700,119.57
"2020-09-03",117.760002,118.07,112.099998,113.400002,2400500,113.400002
"2020-09-04",112.559998,113.550003,107.519997,108.43,2624700,108.43
"2020-09-08",106.099998,106.900002,104.080002,104.110001,2184900,104.110001
"2020-09-09",106.209999,109.389999,105.449997,108.940002,1620700,108.940002
"2020-09-10",109.160004,109.860001,105.68,106.339996,1694000,106.339996
"2020-09-11",106.830002,107.800003,105.589996,106.489998,1581800,106.489998
"2020-09-14",107.93,109.110001,107.489998,108.190002,955300,108.190002
"2020-09-15",108.860001,110.169998,108.309998,108.860001,932000,108.860001
"2020-09-16",109.540001,109.650002,106.870003,107.07,1119800,107.07
"2020-09-17",104.940002,106.949997,104.099998,106.879997,1222900,106.879997
"2020-09-18",107.879997,109.339996,106.260002,109.059998,2284400,109.059998
"2020-09-21",107.879997,110.239998,107.400002,110.160004,1549700,110.160004
"2020-09-22",110.580002,112.980003,108.949997,112.75,1176200,112.75
"2020-09-23",112.459999,112.669998,109.970001,110.080002,1235400,110.080002
"2020-09-24",108.940002,111.599998,108.5,110.470001,949100,110.470001
"2020-09-25",110.800003,111.730003,110.309998,111.470001,1145200,111.470001
"2020-09-28",112.010002,112.120003,109.18,110.970001,1629900,110.970001
"2020-09-29",110.639999,111.980003,110.5,111.209999,804000,111.209999
"2020-09-30",111.459999,112.209999,110.150002,110.540001,1099300,110.540001
"2020-10-01",110.949997,111.440002,108.910004,109.93,1440500,109.93
"2020-10-02",108.620003,110,108.120003,108.610001,910100,108.610001
"2020-10-05",109.120003,109.239998,107.5,109.099998,1230900,109.099998
"2020-10-06",108.769997,110.290001,108.029999,108.160004,903700,108.160004
"2020-10-07",108.199997,109.879997,108.199997,109.68,1019900,109.68
"2020-10-08",110.150002,111.660004,110.150002,111.080002,749000,111.080002
"2020-10-09",111.419998,112.870003,111.309998,112.529999,671700,112.529999
"2020-10-12",113.980003,114.889999,113.43,114.089996,1033600,114.089996
"2020-10-13",113.839996,115.790001,113.559998,115.459999,1271400,115.459999
"2020-10-14",115.720001,115.839996,112.389999,113.330002,1365800,113.330002
"2020-10-15",110,111.029999,108.220001,109.050003,2610300,109.050003
"2020-10-16",109.620003,111.940002,109.190002,110.709999,1527200,110.709999
"2020-10-19",111.489998,112.660004,109.07,109.410004,1417400,109.410004
"2020-10-20",110.089996,110.419998,109,109.300003,1004000,109.300003
"2020-10-21",109.760002,110.050003,107.800003,109.019997,1134200,109.019997
"2020-10-22",109.010002,109.199997,106.110001,108,1488900,108
"2020-10-23",107.540001,107.879997,103.760002,106.75,2665800,106.75
"2020-10-26",105.690002,107.980003,104.540001,106.059998,1497500,106.059998
"2020-10-27",106.809998,109.230003,105.699997,106.709999,2525800,106.709999
"2020-10-28",101.18,102.260002,96.239998,97.400002,6219000,97.400002
"2020-10-29",97.309998,98.470001,95.519997,95.82,2961100,95.82
"2020-10-30",95.230003,96.650002,94.120003,95.120003,2691600,95.120003
"2020-11-02",96,96.580002,94.139999,95.809998,1487100,95.809998
"2020-11-03",97.080002,97.940002,95.18,95.669998,1455800,95.669998
"2020-11-04",97.589996,99.989998,96.919998,99.339996,2134400,99.339996
"2020-11-05",101.980003,103.379997,101.160004,102.709999,1947800,102.709999
"2020-11-06",103.449997,103.550003,101.169998,101.629997,1070500,101.629997
"2020-11-09",101.480003,102.779999,99.199997,99.269997,2168600,99.269997
