"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2020-07-01",76.949997,77.669998,75.269997,76.059998,891600,74.675232
"2020-07-02",77.669998,79.639999,77.639999,78.559998,886000,77.129707
"2020-07-06",80,81.300003,79.389999,81.220001,1045200,79.74128
"2020-07-07",80.260002,80.440002,77.620003,78,1281300,76.57991
"2020-07-08",77.93,79.739998,76.449997,77.949997,1351200,76.530815
"2020-07-09",78.190002,78.190002,74.779999,75.75,1154300,74.370872
"2020-07-10",76,79.040001,75.339996,78.889999,1071800,77.453705
"2020-07-13",80.300003,84.459999,80.150002,81.559998,2213100,80.075096
"2020-07-14",81.559998,84.360001,80.919998,84.150002,1353700,82.617943
"2020-07-15",85.879997,86.830002,85.150002,86.599998,1385100,85.023331
"2020-07-16",86.309998,86.769997,85.440002,86.449997,852600,84.87606
"2020-07-17",87,89.620003,86.93,88.459999,1360300,86.849464
"2020-07-20",88.75,89.169998,86.650002,87.040001,816800,85.455322
"2020-07-21",87.57,88.129997,87.029999,87.18,821300,85.592773
"2020-07-22",87.199997,88.389999,86.669998,87.690002,726100,86.093483
"2020-07-23",87.760002,89.410004,86.970001,87.93,756600,86.329109
"2020-07-24",87,87.919998,86.199997,87.040001,586000,85.455322
"2020-07-27",85.519997,86.110001,83.849998,85.779999,1164900,84.218254
"2020-07-28",85.300003,85.790001,83.610001,83.699997,883600,82.176132
"2020-07-29",84.589996,84.589996,81.959999,83.830002,1161800,82.303764
"2020-07-30",82.470001,83.889999,81.050003,83,900600,81.488876
"2020-07-31",82.610001,82.959999,80.5,82.459999,2397900,80.958717
"2020-08-03",82.980003,83.900002,82.089996,83.330002,1124700,81.812881
"2020-08-04",83.110001,87.040001,82.389999,85.330002,1634100,83.776459
"2020-08-05",86.790001,89.230003,86.239998,88.599998,2177700,86.986931
"2020-08-06",86.639999,87.809998,82.32,83.339996,2453400,81.822693
"2020-08-07",83,86.419998,82.650002,84.440002,1236300,82.902657
"2020-08-10",85.449997,87.279999,85.169998,87.220001,810900,85.632042
"2020-08-11",88.629997,92.779999,88.5,92.449997,1931300,90.76683
"2020-08-12",93.220001,93.900002,90.209999,91.019997,1070700,89.362854
"2020-08-13",90.410004,92.139999,89.599998,91.599998,1008000,89.932304
"2020-08-14",91.32,92.599998,90.970001,92.389999,838200,90.707932
"2020-08-17",92.720001,93.279999,91.360001,91.769997,604500,90.099205
"2020-08-18",91.989998,93.019997,91.349998,92.199997,557400,90.521385
"2020-08-19",92.5,93.559998,91.760002,92.25,760800,90.570473
"2020-08-20",91.07,91.730003,89.599998,91.050003,940900,89.392319
"2020-08-21",90.489998,91.279999,89.120003,89.739998,885200,88.106171
"2020-08-24",90.75,92,89.610001,91.980003,668900,90.305389
"2020-08-25",92.050003,92.739998,90.690002,91.089996,420500,89.431587
"2020-08-26",92.129997,92.379997,91.32,91.900002,653200,90.226845
"2020-08-27",92.169998,92.839996,90.029999,91.129997,474500,89.470856
"2020-08-28",91.129997,92.370003,90.470001,92.32,412000,90.639191
"2020-08-31",92.300003,93.410004,90.910004,91.010002,718500,89.35305
"2020-09-01",91.099998,97.43,90.040001,97.389999,1561100,95.61689
"2020-09-02",97,99.809998,96.75,99.650002,1311100,97.835747
"2020-09-03",98.849998,99.610001,91.739998,93.18,1731400,91.483543
"2020-09-04",93.040001,95.540001,90.769997,94.720001,1100800,92.995499
"2020-09-08",93,95,92.120003,93.139999,835700,91.444275
"2020-09-09",94.349998,96.75,94.029999,95.419998,643900,93.682762
"2020-09-10",95.610001,96.459999,93.489998,93.5,667800,91.797707
"2020-09-11",94.639999,96.080002,93.800003,94.959999,650900,93.231125
"2020-09-14",95.870003,98.709999,95.150002,98.169998,671800,96.382683
"2020-09-15",99,100.309998,98.330002,98.389999,1192300,96.598686
"2020-09-16",99,99.589996,97.699997,97.800003,998300,96.01944
"2020-09-17",96.279999,100.970001,95.519997,100.449997,937100,99.010941
"2020-09-18",100.379997,101,97.129997,97.959999,1337200,96.556618
"2020-09-21",96.389999,96.389999,90.519997,95.129997,1406500,93.767166
"2020-09-22",94.709999,95.540001,92.93,95.239998,656600,93.87558
"2020-09-23",88.980003,89.349998,80.150002,80.419998,5194900,79.267899
"2020-09-24",80.07,85.599998,79.059998,83.309998,2368200,82.116493
"2020-09-25",82.980003,85.25,82.540001,84.519997,1197800,83.309151
"2020-09-28",86.150002,87.400002,83.879997,84.839996,1433100,83.624565
"2020-09-29",84.949997,87.629997,84.779999,86.860001,1252900,85.615631
"2020-09-30",87.410004,90.129997,87.220001,89.279999,1369100,88.000969
"2020-10-01",90.010002,90.970001,86.470001,86.730003,1371800,85.487511
"2020-10-02",85.440002,91.080002,84.57,89.290001,1204200,88.010818
"2020-10-05",91.260002,95.889999,91.139999,94.760002,1598300,93.402466
"2020-10-06",96.279999,96.970001,93.519997,93.739998,1381400,92.397072
"2020-10-07",96,97.989998,95.599998,96.690002,1129100,95.304817
"2020-10-08",98.120003,98.370003,95.959999,96.949997,1133500,95.561089
"2020-10-09",98.099998,99.129997,95.660004,96.029999,767800,94.654259
"2020-10-12",96.730003,96.730003,94.650002,94.940002,798100,93.579872
"2020-10-13",94.349998,95.589996,93.910004,95.139999,863900,93.777016
"2020-10-14",92.760002,95.339996,91.849998,94.589996,1070500,93.234886
"2020-10-15",92.989998,94.75,91.800003,94.349998,923200,92.998329
"2020-10-16",95.129997,95.830002,93.400002,93.419998,655600,92.081657
"2020-10-19",93.339996,94.510002,92.220001,92.57,641400,91.243828
"2020-10-20",93.489998,95.220001,92.790001,93.559998,740600,92.21965
"2020-10-21",95.269997,97.290001,94.599998,95.870003,793400,94.496559
"2020-10-22",95.580002,96.110001,93.75,94.959999,669300,93.599586
"2020-10-23",95.870003,97.449997,95.349998,96.480003,669200,95.097824
"2020-10-26",94.779999,94.779999,92.839996,94.480003,952300,93.126465
"2020-10-27",95.339996,96.870003,94.75,95.18,987800,93.816437
"2020-10-28",92.309998,93.839996,90.07,90.779999,982100,89.479485
"2020-10-29",90.5,94.57,90.230003,93.769997,819600,92.426628
"2020-10-30",92.940002,94.059998,90.860001,93.209999,1275000,91.87468
"2020-11-02",94.739998,97.849998,93.790001,96.839996,924900,95.452652
