"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"2020-07-01",275.950012,280.609985,272.559998,273.839996,690200,273.839996
"2020-07-02",279.149994,285.600006,276.649994,279.929993,696300,279.929993
"2020-07-06",284.149994,288.130005,279.940002,282.440002,787700,282.440002
"2020-07-07",281.880005,284.48999,274.410004,274.709991,449400,274.709991
"2020-07-08",274.350006,279.290009,272.25,278.390015,551600,278.390015
"2020-07-09",278.670013,279.809998,268.769989,274.079987,592400,274.079987
"2020-07-10",273.600006,274,269.929993,273.290009,764200,273.290009
"2020-07-13",274.929993,279.459991,269.450012,270.23999,647900,270.23999
"2020-07-14",269.040009,299.959991,267.630005,299.619995,1604400,299.619995
"2020-07-15",303.519989,321.48999,302,314.299988,1867200,314.299988
"2020-07-16",308.809998,313.769989,305.869995,309,665900,309
"2020-07-17",312.829987,326.359985,310.329987,322.299988,1002700,322.299988
"2020-07-20",310.470001,315.459991,309.040009,312.970001,931100,312.970001
"2020-07-21",316.119995,319.200012,312.190002,315.329987,694100,315.329987
"2020-07-22",315,319.5,312.48999,317.970001,840500,317.970001
"2020-07-23",305.5,314.399994,296.730011,299.049988,2345100,299.049988
"2020-07-24",298.059998,303.299988,293.929993,298.140015,796300,298.140015
"2020-07-27",296.399994,309.459991,294.570007,308.75,649300,308.75
"2020-07-28",307.869995,308.470001,299.059998,299.109985,448500,299.109985
"2020-07-29",299.070007,306.48999,299.070007,300.23999,816900,300.23999
"2020-07-30",296.829987,296.829987,289.730011,296.130005,755000,296.130005
"2020-07-31",297.429993,297.600006,288.529999,293.820007,579000,293.820007
"2020-08-03",296.01001,297.75,287,287.359985,627400,287.359985
"2020-08-04",286.649994,289.290009,279.829987,288.269989,824700,288.269989
"2020-08-05",289.700012,299.660004,287.230011,298.51001,719800,298.51001
"2020-08-06",294.519989,301.899994,292.339996,301.799988,633000,301.799988
"2020-08-07",301.100006,309.100006,299.98999,305.809998,818600,305.809998
"2020-08-10",305.369995,307.209991,298.859985,302.899994,552000,302.899994
"2020-08-11",304.950012,311.429993,302.600006,304.130005,699900,304.130005
"2020-08-12",306.269989,309.75,303.880005,307.980011,360600,307.980011
"2020-08-13",308.559998,316.279999,306.98999,312.220001,443600,312.220001
"2020-08-14",311.01001,312.890015,305.709991,306.959991,334100,306.959991
"2020-08-17",310.670013,314.890015,308.820007,309.519989,590200,309.519989
"2020-08-18",310.869995,311,304.579987,306.070007,431200,306.070007
"2020-08-19",307.480011,308.450012,301.070007,301.51001,398200,301.51001
