"","ALK.Open","ALK.High","ALK.Low","ALK.Close","ALK.Volume","ALK.Adjusted"
"2020-07-01",37.18,38.290001,35.5,35.700001,3146800,35.700001
"2020-07-02",37.200001,37.490002,36.27,36.490002,2753500,36.490002
"2020-07-06",37.34,37.900002,36.029999,37.080002,2133100,37.080002
"2020-07-07",36.220001,36.549999,35.650002,36.099998,2687500,36.099998
"2020-07-08",35.599998,36.34,35.169998,36.259998,2143200,36.259998
"2020-07-09",36,36.119999,34.380001,34.439999,2178000,34.439999
"2020-07-10",34,36.040001,33.619999,35.73,2016300,35.73
"2020-07-13",35.950001,36.130001,34.630001,34.880001,2248700,34.880001
"2020-07-14",34.27,35.849998,34.130001,35.490002,1734500,35.490002
"2020-07-15",37.580002,38.939999,36.889999,38.759998,3519600,38.759998
"2020-07-16",37.77,38.23,36.810001,37.279999,1743700,37.279999
"2020-07-17",37.25,37.52,36.580002,37,1140700,37
"2020-07-20",36.619999,37.32,35.560001,35.889999,1892700,35.889999
"2020-07-21",35.889999,36.689999,35.75,36.200001,1644100,36.200001
"2020-07-22",35.919998,37.310001,35.720001,36.299999,1781100,36.299999
"2020-07-23",36.450001,37.950001,34.849998,36.669998,3276500,36.669998
"2020-07-24",35.639999,36.380001,34.68,35.060001,2781100,35.060001
"2020-07-27",35.02,35.439999,33.880001,34.150002,2128900,34.150002
"2020-07-28",33.93,35.48,33.84,35,2243500,35
"2020-07-29",35.119999,35.349998,34.299999,34.759998,1521300,34.759998
"2020-07-30",34.099998,35,33.889999,34.66,1695100,34.66
"2020-07-31",34.209999,34.59,33.650002,34.439999,2226000,34.439999
"2020-08-03",34.09,34.610001,33.220001,34,2632900,34
"2020-08-04",34.009998,35.02,33.950001,34.299999,2277000,34.299999
"2020-08-05",35.389999,36.040001,34.41,35.759998,3037600,35.759998
"2020-08-06",35.75,36.689999,35.330002,36.419998,2586200,36.419998
"2020-08-07",36,36.630001,35.790001,36.610001,1588500,36.610001
"2020-08-10",36.98,39.470001,36.959999,39.25,3807200,39.25
"2020-08-11",40.900002,41.049999,38.669998,38.98,3604100,38.98
"2020-08-12",39.529999,39.740002,37.57,38.459999,2185200,38.459999
"2020-08-13",37.799999,38.959999,37.549999,37.790001,1802700,37.790001
"2020-08-14",37.060001,38.049999,36.849998,37.68,1872000,37.68
"2020-08-17",37.48,37.630001,36.169998,36.259998,2085400,36.259998
"2020-08-18",36.549999,36.849998,35.830002,36.189999,1456800,36.189999
"2020-08-19",36.32,37.610001,35.779999,35.849998,1966900,35.849998
"2020-08-20",35.5,35.990002,35.040001,35.77,1362800,35.77
"2020-08-21",35.849998,36.25,35.389999,35.43,1370100,35.43
"2020-08-24",35.77,37.700001,35.439999,37.52,2584600,37.52
"2020-08-25",38.18,38.48,36.75,37.709999,2345200,37.709999
"2020-08-26",37.52,37.709999,36.599998,36.689999,1617000,36.689999
"2020-08-27",37.900002,39.43,37.689999,38.5,3452600,38.5
"2020-08-28",39.049999,40.740002,38.560001,40.73,3823800,40.73
"2020-08-31",40.400002,40.650002,38.900002,38.950001,2831400,38.950001
"2020-09-01",38.099998,40.060001,37.82,39.150002,2281500,39.150002
"2020-09-02",39.23,40.560001,38.77,40.470001,2375600,40.470001
"2020-09-03",41.029999,42.389999,39.259998,40.389999,3143500,40.389999
"2020-09-04",41.32,41.82,39.380001,40.82,3242200,40.82
"2020-09-08",40.169998,42.57,40.060001,41.599998,2915000,41.599998
"2020-09-09",40.700001,41.27,39.68,40.669998,2248700,40.669998
"2020-09-10",41.290001,41.669998,40.810001,40.889999,2018800,40.889999
"2020-09-11",40.759998,40.880001,39.77,40.330002,2445600,40.330002
"2020-09-14",40.799999,41.630001,40.439999,41.509998,1966800,41.509998
"2020-09-15",41.689999,42.470001,41.400002,42.18,1725100,42.18
"2020-09-16",42.130001,43.939999,41.57,43.119999,2406300,43.119999
"2020-09-17",42.490002,43.560001,41.93,42.150002,1743400,42.150002
"2020-09-18",41.619999,41.900002,40.439999,41.040001,3010800,41.040001
"2020-09-21",39.360001,39.799999,37.540001,37.639999,2862500,37.639999
"2020-09-22",37.849998,38.470001,37.52,37.880001,1853000,37.880001
"2020-09-23",38.349998,38.84,36.810001,36.860001,2097400,36.860001
"2020-09-24",36.540001,36.59,34.830002,35.700001,3326000,35.700001
"2020-09-25",35.490002,36.900002,35.400002,36.700001,1767600,36.700001
"2020-09-28",37.59,38.259998,36.740002,37.540001,2922800,37.540001
"2020-09-29",37.400002,37.419998,36.279999,36.669998,1743500,36.669998
"2020-09-30",37.59,38.27,36.48,36.630001,1922300,36.630001
"2020-10-01",37.09,37.209999,36.23,36.91,1858700,36.91
"2020-10-02",35.599998,38.150002,35.310001,37.52,3904400,37.52
"2020-10-05",37.919998,38,36.869999,37.57,1987500,37.57
"2020-10-06",38.220001,38.439999,36.060001,36.09,2041000,36.09
"2020-10-07",37.209999,37.639999,36.799999,37.02,2102900,37.02
"2020-10-08",37.73,39.459999,37.619999,38.630001,3650600,38.630001
"2020-10-09",38.23,39.099998,37.919998,38.689999,2633500,38.689999
"2020-10-12",38.32,38.59,37.82,38.41,2139600,38.41
"2020-10-13",38.220001,38.650002,37.810001,38,1941000,38
"2020-10-14",38.09,39.349998,38.09,38.549999,2196700,38.549999
"2020-10-15",38.02,38.200001,37.330002,38.029999,1818600,38.029999
"2020-10-16",38.18,39.75,38.060001,39.349998,2456800,39.349998
"2020-10-19",39.610001,40.860001,39.360001,39.580002,2153500,39.580002
"2020-10-20",40.330002,40.779999,39.689999,39.93,1678000,39.93
"2020-10-21",39.689999,40.049999,38.950001,39.689999,1722400,39.689999
"2020-10-22",39.150002,41.32,38.900002,40.59,2675800,40.59
"2020-10-23",40.630001,41.73,39.830002,41.57,1974600,41.57
"2020-10-26",40.880001,41.119999,37.93,38.580002,2755400,38.580002
"2020-10-27",38.310001,38.560001,37.290001,37.470001,1757600,37.470001
"2020-10-28",36.5,36.77,35.060001,35.709999,1862300,35.709999
"2020-10-29",35.610001,37.09,35.52,36.779999,1971000,36.779999
"2020-10-30",36.549999,37.950001,36.259998,37.889999,2885600,37.889999
"2020-11-02",38.220001,38.43,36.82,38.27,1722800,38.27
"2020-11-03",39.369999,39.709999,38.220001,38.560001,2132200,38.560001
"2020-11-04",37.73,39.279999,36.900002,37.799999,2425300,37.799999
"2020-11-05",38.23,39.549999,38.099998,39.18,1477000,39.18
"2020-11-06",38.900002,38.939999,37.759998,38.259998,1340000,38.259998
"2020-11-09",44.740002,46.279999,43.450001,45.91,7015100,45.91
"2020-11-10",45.900002,46.650002,44.200001,45.52,3642700,45.52
"2020-11-11",45.200001,45.41,43.68,44.34,2186400,44.34
"2020-11-12",43.049999,44.27,41.900002,42.41,2473700,42.41
"2020-11-13",43.110001,44.869999,42.779999,44.66,1917000,44.66
"2020-11-16",47.48,47.66,45.279999,47.16,3729700,47.16
"2020-11-17",46.34,48.049999,46,47.459999,1802400,47.459999
"2020-11-18",48.5,49.709999,47.599998,47.720001,1985000,47.720001
"2020-11-19",47.360001,48.540001,47.009998,48.490002,1647100,48.490002
"2020-11-20",48.23,48.259998,46.630001,47.720001,1928300,47.720001
"2020-11-23",48.400002,49.970001,48.18,49.720001,1887400,49.720001
"2020-11-24",51.419998,52.75,50.259998,52.369999,3327700,52.369999
"2020-11-25",51.939999,52.740002,50.82,52.470001,1661400,52.470001
"2020-11-27",52.459999,53.419998,51.389999,51.549999,1338100,51.549999
"2020-11-30",52,52,49.619999,50.970001,2022600,50.970001
"2020-12-01",51.77,52.57,50.919998,50.939999,1428300,50.939999
"2020-12-02",50.189999,51.490002,49.91,51.290001,1824300,51.290001
"2020-12-03",52.18,54.630001,52.060001,53.009998,2647100,53.009998
"2020-12-04",54.049999,54.959999,52.34,52.939999,2113600,52.939999
"2020-12-07",52.639999,52.939999,50.799999,51.009998,2707100,51.009998
"2020-12-08",50.509998,51.759998,50.16,50.970001,1814100,50.970001
"2020-12-09",51.450001,51.849998,49.580002,50.360001,1627800,50.360001
"2020-12-10",49.139999,51.369999,49.099998,51.290001,1335500,51.290001
"2020-12-11",51.18,51.419998,48.91,49.880001,1964700,49.880001
"2020-12-14",50.84,51,48.540001,48.93,2158300,48.93
"2020-12-15",49.34,50.57,48.290001,50.330002,1626900,50.330002
"2020-12-16",49.830002,50.060001,49.049999,49.75,1485700,49.75
"2020-12-17",50.23,50.25,49.049999,50.169998,1582100,50.169998
"2020-12-18",49.740002,50.630001,49.599998,50.349998,2931500,50.349998
"2020-12-21",48.91,50.669998,48.27,50.220001,2142100,50.220001
"2020-12-22",50.709999,50.759998,49.700001,50.349998,1790900,50.349998
"2020-12-23",50.630001,52.720001,50.610001,51.84,2143700,51.84
"2020-12-24",52.25,52.560001,51.119999,52.25,814800,52.25
"2020-12-28",52.950001,53.759998,52.41,52.580002,1307900,52.580002
"2020-12-29",52.98,53.139999,51.779999,52.029999,913000,52.029999
"2020-12-30",52,53.029999,51.98,52.900002,1243000,52.900002
"2020-12-31",52.610001,52.619999,51.869999,52,1131600,52
"2021-01-04",52.169998,52.189999,48.810001,49.240002,2218700,49.240002
"2021-01-05",48.84,50.689999,48.790001,49.860001,1644900,49.860001
"2021-01-06",49.849998,52.119999,49.52,51.52,2015000,51.52
"2021-01-07",51.720001,52.459999,51.279999,51.32,1227900,51.32
"2021-01-08",51.790001,51.93,50.48,50.98,1043900,50.98
"2021-01-11",50.099998,50.849998,49.599998,50.150002,1955800,50.150002
"2021-01-12",50.43,51.900002,50.139999,51.689999,1958800,51.689999
"2021-01-13",51.459999,52.369999,50.630001,51.849998,1652500,51.849998
"2021-01-14",52.509998,56.139999,52.32,55.419998,3174900,55.419998
"2021-01-15",55.529999,56.18,53.57,53.650002,2052400,53.650002
"2021-01-19",54.470001,55.119999,53.419998,54.709999,1194000,54.709999
"2021-01-20",54.990002,56.099998,54.66,55.810001,1151600,55.810001
"2021-01-21",54.860001,55.639999,54.16,54.959999,1334700,54.959999
"2021-01-22",54.200001,54.650002,53.709999,54.470001,935800,54.470001
"2021-01-25",54,54.049999,51.23,52.900002,2800300,52.900002
"2021-01-26",53.5,53.650002,51.619999,51.830002,2737000,51.830002
"2021-01-27",50.970001,51.220001,48.09,48.849998,3787600,48.849998
"2021-01-28",50.080002,51.98,50.009998,50.669998,2884400,50.669998
"2021-01-29",50.48,50.560001,48.130001,48.830002,2231000,48.830002
"2021-02-01",49.360001,50.560001,48.25,49.889999,2704700,49.889999
"2021-02-02",50.849998,51.240002,50.18,50.66,2376100,50.66
"2021-02-03",51.25,52.740002,50.759998,52.540001,1530800,52.540001
"2021-02-04",52.799999,54.709999,52.720001,54.48,1745400,54.48
"2021-02-05",54.98,55.150002,54.049999,54.18,1163500,54.18
"2021-02-08",54.599998,57.599998,54.59,57.080002,1755200,57.080002
"2021-02-09",56.48,56.59,55.57,55.740002,1296300,55.740002
"2021-02-10",56.110001,57.68,55.650002,57.360001,1445100,57.360001
"2021-02-11",57.040001,57.740002,56.450001,57.689999,1362100,57.689999
"2021-02-12",57.189999,58.169998,56.919998,57.560001,967300,57.560001
"2021-02-16",58.540001,60.099998,57.689999,59.939999,1650700,59.939999
"2021-02-17",59.380001,60.25,58.939999,59.990002,1355100,59.990002
"2021-02-18",59.209999,60.18,58.43,59.900002,1415500,59.900002
"2021-02-19",60.419998,62.860001,60.18,62.279999,1986500,62.279999
"2021-02-22",63.91,66.129997,62.639999,63.610001,4115900,63.610001
"2021-02-23",64.720001,66.970001,62.150002,66.519997,3113300,66.519997
"2021-02-24",66.900002,68.989998,66.639999,67.449997,3229500,67.449997
"2021-02-25",67.489998,67.889999,64.07,65.559998,2035100,65.559998
"2021-02-26",65.32,66.57,63.580002,65.019997,2203700,65.019997
"2021-03-01",67.080002,67.669998,64.309998,64.830002,2444200,64.830002
"2021-03-02",64.57,65.82,64.050003,65.419998,1094500,65.419998
"2021-03-03",66.129997,67.220001,65.18,65.959999,1212000,65.959999
