"","ALLE.Open","ALLE.High","ALLE.Low","ALLE.Close","ALLE.Volume","ALLE.Adjusted"
"2020-07-01",102.279999,103.360001,101.029999,101.889999,804500,99.388184
"2020-07-02",103.400002,104.599998,102.300003,102.389999,453000,99.8759
"2020-07-06",104.400002,105.040001,103.400002,103.970001,397800,101.417114
"2020-07-07",103.129997,103.769997,102.010002,102.050003,514800,99.544273
"2020-07-08",102.900002,103.470001,101.730003,102.489998,7e+05,99.97345
"2020-07-09",102.550003,103.18,100.059998,100.529999,473700,98.061577
"2020-07-10",100.269997,101.739998,99.510002,101.510002,436600,99.017517
"2020-07-13",102.019997,103.540001,101.5,101.75,499900,99.251617
"2020-07-14",101.550003,104.379997,101.150002,104.239998,548900,101.680489
"2020-07-15",105.949997,107.779999,105.540001,106.800003,722900,104.177635
"2020-07-16",106.720001,107.919998,106.139999,107.410004,586100,104.772659
"2020-07-17",107.529999,107.529999,104.919998,106.849998,750300,104.226395
"2020-07-20",107,108.529999,106.650002,107.529999,635500,104.889702
"2020-07-21",109.080002,110.18,108.43,109.82,774300,107.123474
"2020-07-22",109.349998,112.400002,109.349998,111.599998,1117100,108.859772
"2020-07-23",108.699997,110,102.349998,102.559998,1622500,100.041733
"2020-07-24",102.75,103.279999,100.400002,101.019997,873700,98.539543
"2020-07-27",101.68,102.080002,100.589996,101.389999,732500,98.900459
"2020-07-28",100.800003,101.18,98.470001,98.510002,658000,96.091171
"2020-07-29",98.669998,99.639999,97.809998,98.220001,570900,95.808289
"2020-07-30",96.959999,97.879997,95.43,97.580002,721800,95.184021
"2020-07-31",97.779999,99.510002,96.540001,99.459999,896500,97.01786
"2020-08-03",100.120003,100.910004,99.010002,100.449997,703500,97.983536
"2020-08-04",99.599998,100.059998,98.279999,99.410004,700800,96.969086
"2020-08-05",99.940002,101.029999,99.68,100.440002,748200,97.973793
"2020-08-06",99.790001,100.690002,98.220001,99.199997,810500,96.764236
"2020-08-07",99.599998,100.110001,98.629997,100.110001,693000,97.651894
"2020-08-10",100.470001,102.389999,100.18,102.32,449700,99.807632
"2020-08-11",103.239998,106.209999,102.639999,104.160004,759400,101.602448
"2020-08-12",104.790001,105.010002,103.529999,104.169998,407000,101.612206
"2020-08-13",103.93,104.68,102.360001,102.690002,453800,100.168549
"2020-08-14",102.43,102.860001,101.089996,101.559998,490900,99.066277
"2020-08-17",101.459999,102.879997,101,102.260002,638500,99.749092
"2020-08-18",102.400002,102.830002,100.419998,100.589996,959000,98.12011
"2020-08-19",100.769997,101.290001,99.5,100.709999,565900,98.23716
"2020-08-20",99.660004,100.169998,98.839996,99.339996,376300,96.900795
"2020-08-21",99.349998,100.57,99.25,100.269997,584800,97.807961
"2020-08-24",100.449997,102.989998,100.419998,102.900002,522300,100.37339
"2020-08-25",103.32,103.639999,100.760002,102.080002,534700,99.573517
"2020-08-26",102.059998,103.050003,101.410004,102.459999,471300,99.944191
"2020-08-27",102.879997,103.900002,102.529999,103.239998,591500,100.705048
"2020-08-28",103.330002,104.870003,102.169998,104,622800,101.446373
"2020-08-31",103.769997,104.389999,103.260002,103.389999,866900,100.851357
"2020-09-01",102.970001,103.010002,100.610001,102.099998,593700,99.593033
"2020-09-02",102.349998,105.419998,102,104.800003,635100,102.226746
"2020-09-03",104.940002,105.339996,99.849998,100.419998,591200,97.954285
"2020-09-04",101.419998,102.050003,98.900002,99.669998,583200,97.222694
"2020-09-08",98.949997,99.209999,97.379997,98,775600,95.593704
"2020-09-09",98.940002,100.040001,98.529999,98.690002,584700,96.266762
"2020-09-10",99,99.349998,96.620003,97.010002,537900,94.628006
"2020-09-11",97.400002,98.879997,97.290001,97.970001,649200,95.564438
"2020-09-14",99.160004,99.449997,97.870003,99.139999,590500,96.705711
"2020-09-15",99.739998,101.169998,99.129997,100.919998,684400,98.760765
"2020-09-16",101.489998,105.160004,101.169998,103.830002,885300,101.608528
"2020-09-17",102.480003,105.43,101.879997,103.980003,1244000,101.755302
"2020-09-18",104.050003,105.669998,102.809998,103.25,1464900,101.040932
"2020-09-21",101.419998,101.480003,95.720001,97.769997,984900,95.678169
"2020-09-22",97.660004,98.889999,96.300003,98.220001,845800,96.118553
"2020-09-23",98.989998,99.199997,95.07,95.370003,781700,93.329536
"2020-09-24",95,96.620003,94.010002,95.629997,716100,93.583954
"2020-09-25",95.279999,98.07,94.629997,97.239998,637300,95.159515
"2020-09-28",98.940002,100.720001,98.459999,99.209999,614500,97.087364
"2020-09-29",99.019997,100.489998,98.580002,99.169998,482400,97.048225
"2020-09-30",99.940002,101.720001,97.900002,98.910004,1442800,96.793793
"2020-10-01",99.940002,101.68,98.169998,98.5,872400,96.392563
"2020-10-02",96.529999,99.690002,96.32,98.82,1666000,96.705711
"2020-10-05",99.889999,101.220001,99.540001,100.800003,970900,98.643364
"2020-10-06",101.010002,102.760002,100.440002,100.860001,669600,98.702065
"2020-10-07",101.720001,102.400002,100.720001,101.559998,684100,99.387085
"2020-10-08",102.699997,103.769997,102.050003,103.690002,517500,101.471527
"2020-10-09",104.669998,105.379997,103.910004,103.989998,484700,101.765099
"2020-10-12",104.68,108.089996,104.68,107.760002,570200,105.454437
"2020-10-13",106.720001,107.190002,104.790001,105.040001,700300,102.792641
"2020-10-14",105,106.029999,103.919998,104.480003,473100,102.244621
"2020-10-15",102.949997,104.839996,102.940002,104.82,357200,102.577339
"2020-10-16",105.230003,106.269997,104.93,104.989998,386500,102.743706
"2020-10-19",105.150002,105.839996,103.75,103.93,569500,101.706383
"2020-10-20",105.080002,107.610001,104.690002,105.300003,576800,103.047089
"2020-10-21",105.160004,107.110001,103.160004,103.900002,1155400,101.677025
"2020-10-22",105,105.5,99.830002,101.970001,1536900,99.788315
