"","AMAT.Open","AMAT.High","AMAT.Low","AMAT.Close","AMAT.Volume","AMAT.Adjusted"
"2020-07-01",60.43,60.779999,59.540001,59.68,5305200,58.638409
"2020-07-02",60.5,61.650002,60.34,61,5596100,59.935368
"2020-07-06",62.389999,63.709999,62.290001,63.459999,7776900,62.35244
"2020-07-07",63.380001,63.830002,62.029999,62.18,5078200,61.094776
"2020-07-08",62.900002,63.18,62.02,62.77,4045700,61.674484
"2020-07-09",63.080002,63.700001,62.240002,63.490002,6155900,62.38192
"2020-07-10",63.279999,63.490002,62.049999,62.59,5899000,61.497623
"2020-07-13",63.009998,63.779999,61.41,61.509998,6178600,60.43647
"2020-07-14",60.799999,62.630001,60.07,62.540001,6297500,61.448494
"2020-07-15",62.75,62.84,61.299999,62.099998,5226400,61.016171
"2020-07-16",61.610001,62.619999,61.5,62.34,3934300,61.251984
"2020-07-17",62.849998,62.849998,61.950001,62.299999,4585200,61.212685
"2020-07-20",62.610001,63.900002,61.880001,63.73,5017000,62.617725
"2020-07-21",64.120003,64.839996,63.259998,63.810001,5833900,62.696335
"2020-07-22",63.580002,64.610001,63.52,64.220001,5027800,63.099174
"2020-07-23",64.330002,65.330002,63.200001,63.630001,5351800,62.519478
"2020-07-24",60.369999,61.349998,59.619999,60.619999,11041000,59.562008
"2020-07-27",61.630001,63.07,61.110001,63.009998,7194700,61.91029
"2020-07-28",62.529999,62.950001,61.900002,62.299999,4565700,61.212685
"2020-07-29",62.669998,63.66,62.169998,63.25,4621400,62.146107
"2020-07-30",63.23,64.43,62.990002,64.419998,5525000,63.295677
"2020-07-31",64.790001,64.790001,63.119999,64.330002,5900600,63.207253
"2020-08-03",64.790001,65.589996,64.68,65.010002,5540600,63.875381
"2020-08-04",65,65.199997,64.18,64.849998,5190200,63.71817
"2020-08-05",64.870003,65.25,64.419998,64.870003,4572700,63.737827
"2020-08-06",63.869999,64.169998,62.599998,63.610001,7395900,62.499825
"2020-08-07",63.689999,65.010002,62.779999,63.57,7124200,62.460518
"2020-08-10",63.650002,65.279999,63.619999,65.239998,7387000,64.101372
"2020-08-11",65.32,66.120003,64.230003,64.459999,7608600,63.334984
"2020-08-12",64.989998,66.669998,64.699997,66.5,6170100,65.339378
"2020-08-13",66.360001,66.599998,64.610001,65.07,10684400,63.934334
"2020-08-14",67.389999,69.900002,66.5,67.620003,23421900,66.439835
"2020-08-17",68.099998,68.230003,66.769997,66.940002,6883000,65.771706
"2020-08-18",67.389999,67.389999,66.07,66.43,6166700,65.270607
"2020-08-19",66.57,66.730003,65.690002,65.870003,4979500,64.935425
"2020-08-20",64.709999,64.82,63.279999,63.790001,8307800,62.884941
"2020-08-21",63.099998,63.279999,61.919998,62.27,11150600,61.386501
"2020-08-24",63.360001,63.799999,62.68,63.740002,8366500,62.835651
"2020-08-25",64.110001,64.650002,63.43,64.050003,5156900,63.141251
"2020-08-26",64.050003,64.260002,63.490002,63.759998,5964900,62.855362
"2020-08-27",64.290001,64.290001,61.290001,62.029999,8917800,61.149906
"2020-08-28",62.060001,63.099998,61.970001,63.07,5206000,62.175156
"2020-08-31",62.439999,62.610001,61.419998,61.599998,6454200,60.726009
"2020-09-01",61.98,62.099998,61.23,61.889999,7919800,61.01189
"2020-09-02",62.490002,65.300003,62.369999,65.080002,10802500,64.156639
"2020-09-03",64.190002,64.370003,61.049999,61.459999,11013000,60.587994
"2020-09-04",61.209999,61.830002,58.549999,60.959999,14688100,60.095089
"2020-09-08",57.07,57.790001,55.32,55.630001,20934800,54.840717
"2020-09-09",56.610001,56.98,54.509998,55.200001,16267600,54.416821
"2020-09-10",55.599998,56.25,54.939999,55.119999,10670500,54.337952
"2020-09-11",55.610001,56.310001,54.68,55,9203300,54.219646
"2020-09-14",56.23,57.119999,56.119999,56.459999,8495700,55.658943
"2020-09-15",57.23,57.880001,56.48,57.200001,7209800,56.388439
"2020-09-16",57.490002,58.200001,56.380001,56.470001,8339400,55.6688
"2020-09-17",54.82,56.630001,54.689999,56.34,7098700,55.540634
"2020-09-18",56.790001,56.799999,55.200001,56.150002,11913000,55.353336
"2020-09-21",55.209999,57.360001,54.150002,57.32,8494300,56.506737
"2020-09-22",57.959999,58.110001,56.709999,57.889999,7629300,57.068653
"2020-09-23",58.099998,58.880001,57.009998,57.25,8831800,56.437725
"2020-09-24",56.939999,58.82,56.759998,57.790001,6318500,56.970066
"2020-09-25",57.490002,58.380001,56.650002,58.23,6542600,57.403824
"2020-09-28",58.279999,59.849998,58.25,59.360001,8616000,58.517792
"2020-09-29",59.380001,60.25,59.150002,59.650002,5402200,58.803677
"2020-09-30",59.43,60.18,58.990002,59.450001,9074400,58.606522
"2020-10-01",60.369999,61.02,59.509998,60.650002,7542800,59.78949
"2020-10-02",59.09,59.66,58.189999,58.209999,7103900,57.384109
"2020-10-05",58.93,60.630001,58.759998,60.599998,6694600,59.740196
"2020-10-06",60.330002,62.16,60.169998,60.400002,6947900,59.543037
"2020-10-07",61.5,61.790001,60.919998,61.119999,5335400,60.252819
"2020-10-08",61.700001,62.700001,61.369999,62.599998,5411500,61.711826
"2020-10-09",63.290001,63.810001,63.060001,63.290001,6366800,62.392033
"2020-10-12",64.059998,65.120003,63.98,64.68,7021900,63.76231
"2020-10-13",65.239998,65.419998,64.160004,64.690002,7189900,63.772171
"2020-10-14",64.900002,65.18,63.43,63.98,5823900,63.072243
"2020-10-15",62.400002,63.689999,62.02,63.509998,6397300,62.608913
"2020-10-16",63.759998,63.93,62.41,63,6841000,62.106148
"2020-10-19",63.169998,63.619999,61.810001,62.049999,5757500,61.169624
"2020-10-20",62.669998,63.009998,62.02,62.259998,4479700,61.376652
"2020-10-21",62.400002,62.860001,61.91,62.110001,6188900,61.228775
"2020-10-22",61.73,62.150002,60.860001,61.700001,6013400,60.824589
"2020-10-23",61.700001,62.169998,60.66,60.950001,6519800,60.085232
"2020-10-26",60.330002,60.5,58.650002,59.509998,6715400,58.665661
"2020-10-27",59.779999,59.990002,58.77,58.830002,4626200,57.995312
"2020-10-28",57.779999,58.220001,56.869999,57.32,8976600,56.506737
"2020-10-29",57.23,60.23,56.950001,59.5,6314400,58.655807
"2020-10-30",58.740002,59.279999,58.259998,59.23,7336200,58.389637
"2020-11-02",59.950001,60.48,59.529999,60.330002,7475100,59.474033
"2020-11-03",60.990002,62.439999,60.990002,61.830002,9967600,60.952751
"2020-11-04",63.439999,65.190002,62.130001,64.860001,9808300,63.939762
"2020-11-05",66,70.059998,65.910004,69.949997,13118100,68.957535
"2020-11-06",68.900002,70.860001,68.349998,70.529999,8639700,69.529312
"2020-11-09",73.199997,75.93,71.260002,71.300003,10154600,70.288391
"2020-11-10",70.949997,71.489998,69.099998,69.389999,8206100,68.405487
"2020-11-11",70.199997,71.699997,69.879997,71.160004,8071900,70.150375
"2020-11-12",70.860001,71.150002,69.43,69.800003,8542700,68.809669
"2020-11-13",72.269997,73.940002,71.510002,72.809998,10179400,71.776955
"2020-11-16",72.970001,74.529999,72.580002,74.480003,8104400,73.423279
"2020-11-17",73.760002,74.57,73.059998,74.370003,5460100,73.314842
"2020-11-18",74.690002,76.669998,74.589996,75.709999,10667700,74.857254
"2020-11-19",75.260002,77.510002,74.510002,77.25,8990100,76.379906
"2020-11-20",77.199997,78.57,76.68,76.720001,7609100,75.855888
"2020-11-23",76.970001,80.580002,76.970001,80.5,8809800,79.593307
"2020-11-24",81,83.139999,79.82,82.949997,9542000,82.015701
"2020-11-25",82.900002,83.019997,81.07,81.139999,5518500,80.226089
"2020-11-27",81.809998,83.529999,81.68,82.660004,3098200,81.728981
"2020-11-30",82,82.589996,80.709999,82.480003,7543100,81.55101
"2020-12-01",83.050003,84.620003,82.879997,84.269997,7041400,83.320847
"2020-12-02",83.690002,85.589996,83.610001,85.290001,5272800,84.329353
"2020-12-03",85.739998,87.029999,85.690002,86.099998,4825000,85.130234
"2020-12-04",86.919998,88.919998,86.650002,88.839996,6876900,87.839371
"2020-12-07",89.269997,89.459999,87.82,89.139999,5524100,88.135979
"2020-12-08",89.230003,90.260002,89.040001,89.75,4703000,88.73912
"2020-12-09",89.57,90.099998,87.18,87.82,7017800,86.830856
"2020-12-10",87,88.610001,86.459999,87.889999,5731200,86.900063
