"","AMCR.Open","AMCR.High","AMCR.Low","AMCR.Close","AMCR.Volume","AMCR.Adjusted"
"2020-07-01",10.19,10.39,10.07,10.33,8278300,9.541834
"2020-07-02",10.46,10.62,10.39,10.6,14253000,9.791234
"2020-07-06",10.73,10.78,10.52,10.75,10833800,9.929787
"2020-07-07",10.62,10.72,10.54,10.62,10153000,9.809706
"2020-07-08",10.54,10.57,10.31,10.45,8905000,9.652678
"2020-07-09",10.46,10.47,10.24,10.37,9151300,9.578781
"2020-07-10",10.43,10.55,10.39,10.51,7626600,9.7081
"2020-07-13",10.58,10.63,10.38,10.41,8381900,9.615729
"2020-07-14",10.4,10.64,10.39,10.61,5668100,9.800468
"2020-07-15",10.76,10.81,10.63,10.7,5112600,9.883601
"2020-07-16",10.69,10.87,10.67,10.75,4622100,9.929787
"2020-07-17",10.84,10.84,10.68,10.77,4866500,9.948262
"2020-07-20",10.76,10.82,10.7,10.73,4792000,9.911312
"2020-07-21",10.81,10.92,10.79,10.85,4880600,10.022159
"2020-07-22",10.85,10.95,10.81,10.9,7379300,10.068342
"2020-07-23",10.88,10.93,10.64,10.74,5722800,9.920549
"2020-07-24",10.77,10.78,10.6,10.67,5610200,9.85589
"2020-07-27",10.78,10.83,10.63,10.82,8583100,9.994448
"2020-07-28",10.77,10.91,10.68,10.71,7292500,9.892839
"2020-07-29",10.7,10.75,10.54,10.62,5264700,9.809706
"2020-07-30",10.48,10.52,10.23,10.36,7415000,9.569543
"2020-07-31",10.32,10.34,10.05,10.3,22997900,9.514122
"2020-08-03",10.4,10.58,10.32,10.44,8996300,9.643439
"2020-08-04",10.45,10.75,10.45,10.7,6866900,9.883601
"2020-08-05",10.8,10.87,10.67,10.69,7139300,9.874364
"2020-08-06",10.73,10.84,10.65,10.8,6875100,9.975972
"2020-08-07",10.71,10.85,10.69,10.81,5022900,9.985209
"2020-08-10",10.91,11.14,10.83,11.1,5518800,10.253083
"2020-08-11",11.2,11.29,11.03,11.08,6354900,10.234609
"2020-08-12",11.19,11.23,11.12,11.19,3267700,10.336215
"2020-08-13",11.09,11.26,11.07,11.2,7298600,10.345453
"2020-08-14",11.18,11.29,11.12,11.2,3099500,10.345453
"2020-08-17",11.28,11.38,11.24,11.31,3754700,10.447061
"2020-08-18",11.4,11.5,10.99,11.08,7580600,10.234609
"2020-08-19",11.35,11.59,11.22,11.29,10889100,10.428585
"2020-08-20",11.17,11.3,11.15,11.28,5687600,10.41935
"2020-08-21",11.23,11.26,11.09,11.11,5455800,10.262321
"2020-08-24",11.17,11.18,10.86,10.87,7440600,10.040629
"2020-08-25",10.9,10.91,10.68,10.87,5746200,10.040629
"2020-08-26",10.85,10.97,10.79,10.95,5527500,10.114527
"2020-08-27",11.06,11.13,11.02,11.07,4956200,10.225371
"2020-08-28",11.08,11.26,11.03,11.25,3691700,10.391639
"2020-08-31",11.19,11.2,11.03,11.06,7593400,10.216134
"2020-09-01",10.98,11.24,10.95,11.24,7595300,10.3824
"2020-09-02",11.08,11.43,11.02,11.43,12587100,10.667042
"2020-09-03",11.27,11.31,10.96,11.08,8274700,10.340405
"2020-09-04",11.15,11.2,10.87,11.02,8696600,10.28441
"2020-09-08",10.89,10.97,10.73,10.77,9049200,10.051098
"2020-09-09",10.88,11.1,10.85,11.01,7027000,10.275078
"2020-09-10",11.08,11.35,11.06,11.11,11677500,10.368402
"2020-09-11",11.16,11.17,10.97,11.06,5901300,10.32174
"2020-09-14",11.11,11.27,11.05,11.15,11268800,10.405732
"2020-09-15",11.23,11.35,11.18,11.21,5624800,10.461727
"2020-09-16",11.27,11.34,11.17,11.19,8645200,10.443061
"2020-09-17",11.08,11.35,10.93,11.32,11903900,10.564385
"2020-09-18",11.33,11.38,11.21,11.25,14908200,10.499057
"2020-09-21",11.01,11.14,10.87,11.01,8858700,10.275078
"2020-09-22",10.97,11.14,10.95,11.04,4370100,10.303074
"2020-09-23",10.99,10.99,10.57,10.58,6475000,9.873781
"2020-09-24",10.55,10.73,10.44,10.58,4678500,9.873781
"2020-09-25",10.49,10.86,10.45,10.82,6898900,10.097759
"2020-09-28",10.96,10.98,10.88,10.91,6415400,10.181753
"2020-09-29",10.82,10.98,10.78,10.85,5107300,10.125756
"2020-09-30",10.97,11.11,10.92,11.05,7177900,10.312407
"2020-10-01",11.22,11.22,10.94,11.01,7317500,10.275078
"2020-10-02",10.89,11.18,10.86,11.01,7949300,10.275078
"2020-10-05",11.14,11.26,11.07,11.13,8284400,10.387066
"2020-10-06",11.12,11.27,10.99,11.01,8164500,10.275078
"2020-10-07",11.1,11.38,11.08,11.23,7216800,10.480392
"2020-10-08",11.21,11.35,11.18,11.34,5689300,10.58305
"2020-10-09",11.49,11.56,11.36,11.42,3257700,10.65771
"2020-10-12",11.47,11.5,11.36,11.43,6064100,10.667042
"2020-10-13",11.41,11.47,11.28,11.41,3576300,10.648377
"2020-10-14",11.45,11.5,11.36,11.4,3115000,10.639044
"2020-10-15",11.25,11.48,11.24,11.47,3273600,10.704371
"2020-10-16",11.52,11.59,11.47,11.5,4263000,10.732369
"2020-10-19",11.52,11.56,11.27,11.28,3816400,10.527053
"2020-10-20",11.28,11.37,11.18,11.19,5222900,10.443061
"2020-10-21",11.19,11.27,11.07,11.08,4102500,10.340405
"2020-10-22",10.99,11.05,10.87,11.04,3619600,10.303074
"2020-10-23",11.06,11.06,10.89,10.97,3025400,10.237746
"2020-10-26",10.82,10.83,10.54,10.63,4178700,9.920443
"2020-10-27",10.64,10.66,10.48,10.57,5360600,9.864448
"2020-10-28",10.34,10.47,10.26,10.32,6842600,9.631135
"2020-10-29",10.36,10.56,10.32,10.5,5135400,9.799119
"2020-10-30",10.48,10.55,10.31,10.43,7502000,9.733793
"2020-11-02",10.6,10.89,10.59,10.85,6030300,10.125756
"2020-11-03",10.98,11.19,10.92,11.14,3322100,10.396399
"2020-11-04",11.11,11.2,10.93,11.09,5291100,10.349737
"2020-11-05",11.2,11.62,11.14,11.51,5138900,10.741702
"2020-11-06",11.72,11.93,11.39,11.52,6756900,10.751035
"2020-11-09",12.16,12.4,11.93,12.04,9649300,11.236323
"2020-11-10",11.81,11.88,11.66,11.86,9546200,11.068337
"2020-11-11",11.93,12.06,11.79,11.93,7208800,11.133667
"2020-11-12",11.73,11.85,11.37,11.55,10966600,10.779031
"2020-11-13",11.57,11.84,11.52,11.79,4377200,11.003011
"2020-11-16",12,12.23,11.81,12.15,5714400,11.338982
"2020-11-17",12.01,12.05,11.84,11.93,5869200,11.133667
"2020-11-18",11.94,12,11.83,11.84,4273100,11.049675
"2020-11-19",11.79,11.95,11.7,11.92,3830700,11.124333
"2020-11-20",11.96,12.02,11.88,11.93,3949400,11.133667
"2020-11-23",11.8,11.8,11.52,11.57,6501500,10.905564
"2020-11-24",11.53,11.82,11.49,11.8,10089300,11.122356
"2020-11-25",11.62,11.67,11.53,11.59,6027500,10.924416
"2020-11-27",11.5,11.58,11.39,11.48,2629100,10.820732
"2020-11-30",11.38,11.45,11.24,11.33,6321100,10.679346
"2020-12-01",11.47,11.61,11.43,11.53,4601200,10.867861
"2020-12-02",11.48,11.61,11.44,11.47,4745200,10.811306
"2020-12-03",11.5,11.59,11.4,11.44,4071400,10.78303
"2020-12-04",11.48,11.63,11.47,11.54,4609100,10.877287
"2020-12-07",11.48,11.49,11.26,11.35,5807800,10.698198
"2020-12-08",11.3,11.59,11.3,11.54,5468400,10.877287
"2020-12-09",11.53,11.65,11.51,11.61,7143700,10.943266
"2020-12-10",11.59,11.65,11.48,11.53,6171300,10.867861
"2020-12-11",11.39,11.49,11.31,11.44,6307100,10.78303
"2020-12-14",11.57,11.6,11.27,11.27,4447000,10.622793
"2020-12-15",11.45,11.63,11.42,11.54,4158700,10.877287
"2020-12-16",11.51,11.59,11.39,11.4,3246100,10.745327
"2020-12-17",11.53,11.56,11.4,11.56,3891100,10.896138
"2020-12-18",11.54,11.7,11.47,11.66,14021500,10.990396
"2020-12-21",11.41,11.5,11.16,11.47,4696900,10.811306
"2020-12-22",11.51,11.62,11.49,11.5,4999200,10.839584
"2020-12-23",11.54,11.66,11.53,11.56,2033800,10.896138
"2020-12-24",11.64,11.66,11.54,11.64,957900,10.971544
"2020-12-28",11.71,11.76,11.58,11.59,1829000,10.924416
"2020-12-29",11.7,11.7,11.53,11.6,2513100,10.933842
"2020-12-30",11.68,11.78,11.66,11.74,2626000,11.065802
"2020-12-31",11.81,11.84,11.64,11.77,2822500,11.094079
"2021-01-04",11.7,11.77,11.35,11.38,7452100,10.726474
"2021-01-05",11.35,11.55,11.35,11.46,7657400,10.801881
"2021-01-06",11.48,11.88,11.48,11.78,7457600,11.103504
"2021-01-07",11.72,11.77,11.58,11.68,5787900,11.009247
"2021-01-08",11.64,11.71,11.35,11.5,3717700,10.839584
"2021-01-11",11.36,11.59,11.36,11.54,3775300,10.877287
"2021-01-12",11.5,11.69,11.42,11.63,4135100,10.962119
"2021-01-13",11.57,11.58,11.36,11.43,5774300,10.773603
"2021-01-14",11.44,11.51,11.34,11.39,4375300,10.735902
"2021-01-15",11.33,11.33,11.05,11.05,6619300,10.415426
"2021-01-19",11.14,11.16,10.93,10.95,5481900,10.321168
"2021-01-20",10.99,11.28,10.92,11.23,5634200,10.58509
"2021-01-21",11.1,11.32,11.07,11.25,5448300,10.603941
"2021-01-22",11.18,11.23,10.94,11.09,7302100,10.45313
"2021-01-25",11.1,11.23,10.86,10.97,9073200,10.340021
"2021-01-26",11.03,11.26,10.96,11.21,5638000,10.566237
"2021-01-27",11.03,11.28,10.98,11.06,8619700,10.424853
"2021-01-28",11.18,11.28,11.09,11.18,8100600,10.537961
"2021-01-29",11.11,11.12,10.88,10.94,14989300,10.311743
"2021-02-01",11.02,11.08,10.68,10.89,7305300,10.264615
"2021-02-02",10.97,11.08,10.83,10.93,5353300,10.302318
"2021-02-03",11.23,11.3,10.66,11.01,11101500,10.377725
"2021-02-04",11.13,11.25,10.94,11.18,5617900,10.537961
"2021-02-05",11.3,11.53,11.3,11.47,6154600,10.811306
"2021-02-08",11.45,11.53,11.32,11.47,6384000,10.811306
"2021-02-09",11.39,11.55,11.22,11.24,5718400,10.594516
"2021-02-10",11.37,11.54,11.32,11.43,11574000,10.773603
"2021-02-11",11.44,11.45,11.19,11.3,5260800,10.651069
"2021-02-12",11.2,11.51,11.2,11.5,4830600,10.839584
"2021-02-16",11.5,11.51,11.24,11.25,5397400,10.603941
"2021-02-17",11.25,11.38,11.14,11.3,5204200,10.651069
"2021-02-18",11.31,11.55,11.25,11.42,7436300,10.764178
"2021-02-19",11.42,11.58,11.32,11.42,5913300,10.764178
"2021-02-22",11.38,11.47,11.28,11.42,6575600,10.764178
"2021-02-23",11.38,11.46,11.18,11.37,5759400,10.828943
"2021-02-24",11.29,11.45,11.21,11.41,4478100,10.86704
"2021-02-25",11.4,11.49,11.26,11.34,4083200,10.800371
"2021-02-26",11.28,11.34,10.92,10.94,7559300,10.419404
"2021-03-01",11.09,11.4,11.07,11.29,4695300,10.752748
"2021-03-02",11.25,11.51,11.19,11.43,6094900,10.886087
"2021-03-03",11.42,11.54,11.31,11.47,5313200,10.924184
"2021-03-04",11.5,11.59,11.14,11.27,7405300,10.733702
"2021-03-05",11.31,11.63,11.21,11.61,5394800,11.057521
"2021-03-08",11.66,11.98,11.59,11.76,6761200,11.200384
"2021-03-09",11.76,11.83,11.65,11.75,8763700,11.190861
"2021-03-10",11.75,12.02,11.64,11.93,5984600,11.362294
"2021-03-11",11.89,11.91,11.68,11.73,6006800,11.171811
"2021-03-12",11.81,11.84,11.7,11.77,4124800,11.209908
"2021-03-15",11.65,11.77,11.59,11.76,7159000,11.200384
"2021-03-16",11.75,11.77,11.48,11.5,7171200,10.952757
"2021-03-17",11.53,11.68,11.43,11.64,5512700,11.086094
"2021-03-18",11.6,11.61,11.34,11.36,7438900,10.819417
"2021-03-19",11.28,11.51,10.33,11.3,36593500,10.762273
"2021-03-22",11.25,11.49,11.13,11.41,7657600,10.86704
"2021-03-23",11.36,11.58,11.28,11.37,7927200,10.828943
"2021-03-24",11.36,11.47,11.3,11.31,6059700,10.771798
"2021-03-25",11.35,11.65,11.24,11.58,5450700,11.02895
"2021-03-26",11.61,11.79,11.54,11.78,5173000,11.219432
"2021-03-29",11.68,11.88,11.65,11.8,6208100,11.238481
"2021-03-30",11.73,11.79,11.65,11.74,4775100,11.181334
"2021-03-31",11.75,11.77,11.48,11.68,7359100,11.12419
"2021-04-01",11.68,11.68,11.36,11.66,6316100,11.105143
"2021-04-05",11.74,11.91,11.67,11.89,4262800,11.324199
"2021-04-06",11.81,11.98,11.78,11.98,4286200,11.409915
"2021-04-07",11.91,11.91,11.59,11.63,5832000,11.076571
"2021-04-08",11.55,11.67,11.53,11.57,3641200,11.019425
"2021-04-09",11.69,11.75,11.58,11.73,3323900,11.171811
"2021-04-12",11.76,11.83,11.67,11.72,3723200,11.162289
