"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2020-07-01",89.739998,89.980003,87.360001,87.589996,1138400,86.458504
"2020-07-02",88.919998,90.089996,88.540001,88.959999,1029600,87.810806
"2020-07-06",90.529999,91.279999,89.18,89.760002,888300,88.600479
"2020-07-07",89.150002,89.949997,88.160004,88.379997,774800,87.238304
"2020-07-08",88.610001,89.220001,87.099998,87.989998,964900,86.853333
"2020-07-09",87.839996,88,85.760002,86.260002,1267900,85.145683
"2020-07-10",86.190002,86.970001,85.739998,86.900002,811400,85.77742
"2020-07-13",87.580002,89.589996,87.220001,88.470001,1749900,87.327141
"2020-07-14",88.760002,91.879997,88.589996,91.790001,1604600,90.604248
"2020-07-15",93.209999,93.900002,92.68,93.220001,1378600,92.015778
"2020-07-16",92.860001,94.209999,92.339996,92.730003,1135900,91.532104
"2020-07-17",93.269997,93.709999,92.769997,92.949997,2857800,91.74926
"2020-07-20",92.349998,92.790001,91.110001,91.43,998000,90.248901
"2020-07-21",91.510002,92.959999,91.510002,92.059998,1242900,90.870766
"2020-07-22",92.010002,93.709999,92,93.620003,1093400,92.410622
"2020-07-23",93.589996,94.169998,92.889999,93.32,918100,92.114479
"2020-07-24",93.489998,93.769997,92.389999,92.900002,1011700,91.699921
"2020-07-27",92.629997,93.860001,92.169998,93.050003,1086600,91.847984
"2020-07-28",92.620003,93.010002,92.019997,92.080002,688500,90.890503
"2020-07-29",92.43,94.660004,92.43,94.349998,1382300,93.13118
"2020-07-30",93.209999,94.110001,92.290001,93.900002,839200,92.687004
"2020-07-31",93.32,93.529999,91.480003,93.25,1151800,92.045387
"2020-08-03",93.830002,95.849998,93.269997,94.949997,1333500,93.723427
"2020-08-04",93.129997,95.989998,93.129997,94.489998,1197100,93.269363
"2020-08-05",95.809998,97.050003,94.959999,96.419998,1003100,95.174438
"2020-08-06",96.510002,97.540001,96.139999,97.519997,826900,96.260223
"2020-08-07",97.550003,98.849998,96.599998,97.790001,1487500,96.526749
"2020-08-10",97.980003,99.269997,97.839996,99.040001,1711300,97.760597
"2020-08-11",100,101.68,99.230003,99.25,1370700,97.967888
"2020-08-12",100.230003,101.550003,99.980003,101.230003,843300,99.92231
"2020-08-13",100.739998,101.339996,100.510002,100.959999,849700,99.655792
"2020-08-14",100.360001,102.029999,100.360001,101.279999,1007200,99.971664
"2020-08-17",101.279999,101.940002,101.169998,101.400002,906600,100.090111
"2020-08-18",101.349998,101.800003,101.309998,101.580002,967600,100.267784
"2020-08-19",101.480003,101.529999,100.82,101.010002,684700,99.705162
"2020-08-20",100.07,100.599998,99.610001,100.160004,637100,98.866135
"2020-08-21",99.980003,100.699997,99.830002,100.239998,636900,98.945091
"2020-08-24",100.849998,100.970001,99.769997,100.800003,678800,99.497864
"2020-08-25",101.419998,101.599998,100.269997,100.919998,568300,99.616302
"2020-08-26",100.480003,101.199997,99.970001,101.010002,627500,99.705162
"2020-08-27",101.5,101.57,100.480003,100.910004,586100,99.606438
"2020-08-28",101.169998,101.980003,100.669998,101.93,696900,100.613258
"2020-08-31",101.779999,101.779999,100.370003,100.699997,657600,99.399139
"2020-09-01",100.419998,102.209999,100.190002,102.019997,533700,100.702095
"2020-09-02",101.980003,103.949997,101.610001,103.080002,1525700,101.748405
"2020-09-03",103.400002,103.580002,99.050003,99.889999,862100,98.599625
"2020-09-04",100.860001,101.230003,98.419998,99.470001,795200,98.185036
"2020-09-08",98.669998,98.75,96.910004,96.989998,915100,95.737068
"2020-09-09",98.110001,100.019997,97.830002,99.349998,675200,98.066589
"2020-09-10",99.599998,100.360001,97.940002,98.110001,1243900,96.842606
"2020-09-11",98.730003,100.839996,98.480003,99.910004,914900,98.800621
"2020-09-14",100.639999,101.790001,100.510002,101.389999,684600,100.264198
"2020-09-15",101.650002,102.949997,101.589996,102.32,734800,101.183868
"2020-09-16",102.790001,103.480003,102,102.339996,1079000,101.203636
"2020-09-17",101.160004,103.040001,100.300003,102.330002,695700,101.193764
"2020-09-18",102.029999,103.199997,100.620003,100.709999,1209300,99.591736
"2020-09-21",98.75,99.410004,95.040001,96.239998,919900,95.171371
"2020-09-22",96.099998,97.550003,95.989998,97.239998,838300,96.160271
"2020-09-23",97.559998,98.419998,95.120003,95.32,712000,94.261589
"2020-09-24",95.32,97.080002,94.900002,96.230003,834200,95.161484
"2020-09-25",95.519997,97.93,95.150002,97.489998,573300,96.407486
"2020-09-28",98.93,100.440002,98.82,99.489998,685900,98.385292
"2020-09-29",99.949997,100.910004,99.300003,99.889999,1038900,98.780853
"2020-09-30",100,101.110001,98.730003,99.400002,1032400,98.296295
"2020-10-01",100.699997,101.379997,99.010002,99.849998,1046600,98.741287
"2020-10-02",98.150002,101.68,98.040001,100.779999,715400,99.660965
"2020-10-05",101.940002,103.970001,101.760002,103.5,864700,102.350761
"2020-10-06",103.5,105.870003,103.220001,104.330002,1221200,103.171547
"2020-10-07",105.629997,107.279999,105.32,106.540001,1284700,105.357002
"2020-10-08",107.010002,107.010002,105.730003,106.5,1295100,105.317444
"2020-10-09",107.5,108.629997,106.779999,106.940002,840000,105.752571
"2020-10-12",107.809998,107.919998,106.800003,107.629997,1004800,106.434906
"2020-10-13",107.410004,107.949997,105.480003,106.160004,636200,104.981224
"2020-10-14",106.870003,108.370003,105.809998,107.900002,778900,106.701897
"2020-10-15",106.400002,109.07,106.400002,109.010002,661000,107.799583
"2020-10-16",109.459999,110.82,108.809998,109.849998,1475800,108.630249
"2020-10-19",109.949997,110.480003,107.339996,107.550003,692000,106.355797
"2020-10-20",108.230003,109.809998,107.970001,108.699997,543500,107.493019
"2020-10-21",108.639999,109.419998,107.129997,107.150002,1088000,105.960228
