"","ANET.Open","ANET.High","ANET.Low","ANET.Close","ANET.Volume","ANET.Adjusted"
"2020-07-01",52.647499,52.744999,51.822498,52.360001,2627200,52.360001
"2020-07-02",52.862499,53.25,52.185501,52.627499,1945600,52.627499
"2020-07-06",53.692501,54.075001,53.275002,53.612499,1820400,53.612499
"2020-07-07",52.985001,53.845001,52.564999,52.695,1665600,52.695
"2020-07-08",52.762501,53.752499,52.762501,53.525002,1548800,53.525002
"2020-07-09",53.845001,54.855,53.302502,54.697498,1838400,54.697498
"2020-07-10",54.487499,54.487499,53.099998,54.0275,1534800,54.0275
"2020-07-13",54.712502,54.91,52.740002,52.825001,1755200,52.825001
"2020-07-14",52.75,54.012501,52.165001,53.932499,1728400,53.932499
"2020-07-15",54.702499,55.0625,53.514999,53.785,1793200,53.785
"2020-07-16",53.282501,53.82,52.327499,53.779999,1681600,53.779999
"2020-07-17",54.145,55.182499,53.997501,54.892502,1508400,54.892502
"2020-07-20",54.8825,56.5975,54.75,56.360001,1832800,56.360001
"2020-07-21",56.637501,57.404999,56.154751,57.197498,2908800,57.197498
"2020-07-22",57.172501,59.1875,56.799999,58.4575,2582000,58.4575
"2020-07-23",58.275002,60.579498,58.1875,59.825001,3418800,59.825001
"2020-07-24",58.075001,59.647499,57.6875,59.202499,2025600,59.202499
"2020-07-27",59.557499,62.092499,59.522499,61.4575,3180000,61.4575
"2020-07-28",61.115002,61.215,60.127499,60.209999,1391200,60.209999
"2020-07-29",60.52,61.892502,60.43,61.73,1805600,61.73
"2020-07-30",60.827499,62.525002,60.52,62.3475,1879600,62.3475
"2020-07-31",63.3475,64.949997,62.502499,64.942497,3657200,64.942497
"2020-08-03",65,65.5,64.32,65.127502,3047600,65.127502
"2020-08-04",64.824997,66.824997,64.824997,65.997498,4548000,65.997498
"2020-08-05",62,62.002499,58.5275,58.782501,10001200,58.782501
"2020-08-06",59.452499,60.173248,58.373749,59.095001,3494000,59.095001
"2020-08-07",58.755001,58.8825,57.105,57.700001,4320000,57.700001
"2020-08-10",57.59,57.813751,55.482498,55.6175,5028800,55.6175
"2020-08-11",56.165001,56.19125,54.807499,54.994999,4444000,54.994999
"2020-08-12",55.119999,55.62775,53.9575,54.060001,3158400,54.060001
"2020-08-13",53.355,54.395,53.012501,54.077499,5105600,54.077499
"2020-08-14",54.060001,54.182499,53.16,53.1675,4397200,53.1675
"2020-08-17",53.4925,54.497501,53.235001,53.752499,2418000,53.752499
"2020-08-18",53.82,54.91,53.380001,54.865002,3172800,54.865002
"2020-08-19",55,55.84,54.914249,55.162498,2802800,55.162498
"2020-08-20",54.877499,55.852501,54.607498,55.345001,2332800,55.345001
"2020-08-21",54.935001,55.75,54.647499,55.642502,2103600,55.642502
"2020-08-24",55.9725,56.532501,54.275002,54.7075,2353200,54.7075
"2020-08-25",54.555,55.1525,54.404999,54.857498,1578000,54.857498
"2020-08-26",55.25,55.532501,54.556751,55.512501,1486400,55.512501
"2020-08-27",55.75,56.07,55.067501,55.544998,2842800,55.544998
"2020-08-28",55.502499,56.34,55.032501,55.509998,2194800,55.509998
"2020-08-31",55.369999,56.052502,54.845001,55.862499,2180800,55.862499
"2020-09-01",56.035,56.0425,55.139999,56.025002,2112000,56.025002
"2020-09-02",56.099998,57.4025,55.84,57.130001,1938400,57.130001
"2020-09-03",56.165001,56.240002,53.125,54.205002,3930000,54.205002
"2020-09-04",54.142502,54.474998,51.57,52.775002,3262000,52.775002
"2020-09-08",51.4725,52.512501,51.3325,51.797501,3531200,51.797501
"2020-09-09",52.68,53.275002,52.029999,52.952499,2972000,52.952499
"2020-09-10",53.072498,53.799999,51.487499,51.532501,2925200,51.532501
"2020-09-11",51.939999,52.302502,50.606251,50.952499,2844000,50.952499
"2020-09-14",51.709999,52.103748,51.25,51.3825,1906400,51.3825
"2020-09-15",51.275002,51.842499,50.919998,51.595001,2356800,51.595001
"2020-09-16",51.779999,52.227501,51.447498,51.452499,2170800,51.452499
"2020-09-17",50.744999,51.16,50.369999,50.615002,3400000,50.615002
"2020-09-18",50.669998,50.924999,49.362499,50.244999,6640800,50.244999
"2020-09-21",49.5075,49.602501,48.3325,48.775002,3589600,48.775002
"2020-09-22",49.002499,50.2075,48.240002,49.982498,2771600,49.982498
"2020-09-23",50.599998,50.82,49.389999,49.619999,2928000,49.619999
"2020-09-24",49.197498,50.314999,49.080002,49.615002,1750400,49.615002
"2020-09-25",49.75,50.4025,49.285,50.16,1724400,50.16
"2020-09-28",50.709999,51.846249,50.327499,51.262501,3164800,51.262501
"2020-09-29",51.27,53,51.237499,52.615002,2705600,52.615002
"2020-09-30",52.615002,52.887501,51.278751,51.732498,3567200,51.732498
"2020-10-01",52.125,52.3125,51.27,51.762501,2670400,51.762501
"2020-10-02",50.875,52.797501,50.702499,50.974998,1972800,50.974998
"2020-10-05",51.4375,51.939999,51.049999,51.5,1916400,51.5
"2020-10-06",51.352501,52.702751,51.352501,51.700001,2049200,51.700001
"2020-10-07",52.307499,53.362499,51.97625,52.997501,1565200,52.997501
"2020-10-08",55.25,57.185001,54.869999,55.622501,4621200,55.622501
"2020-10-09",56.157501,57,55.625,56.9025,2152800,56.9025
"2020-10-12",56.125,57.256248,55.145,57.0625,3828400,57.0625
"2020-10-13",56.875,57.18375,56.236252,56.459999,1873200,56.459999
"2020-10-14",57.025002,58.32,56.549999,57.0075,2426000,57.0075
"2020-10-15",55.84,56.557499,55.535,56.557499,1861200,56.557499
"2020-10-16",56.610001,56.69125,55.6875,56.362499,1695600,56.362499
"2020-10-19",56.737499,56.763748,55.337502,55.407501,1800400,55.407501
"2020-10-20",55.830002,56.32,55.052502,55.494999,1918400,55.494999
"2020-10-21",54.547501,55.442749,53.2775,53.577499,3540400,53.577499
"2020-10-22",53.705002,54.2075,52.66,53.4925,2130800,53.4925
"2020-10-23",53.5,54.720001,52.647499,53.5275,2073600,53.5275
"2020-10-26",53.064999,53.494999,51.1525,52.217499,2664400,52.217499
"2020-10-27",52.5625,53.165001,52.1325,52.637501,1923200,52.637501
"2020-10-28",51.647499,51.895,50.7575,51.095001,3092800,51.095001
"2020-10-29",51.0825,51.427502,50.330002,50.790001,2437200,50.790001
"2020-10-30",52.5,53.172501,50.087502,52.224998,6645200,52.224998
"2020-11-02",52.5,54.702499,51.926998,54.029999,6803600,54.029999
