"","ANSS.Open","ANSS.High","ANSS.Low","ANSS.Close","ANSS.Volume","ANSS.Adjusted"
"2020-07-01",291.119995,295.570007,287.329987,294.320007,400800,294.320007
"2020-07-02",295.390015,299.73999,295.390015,297.970001,338400,297.970001
"2020-07-06",300.190002,307.309998,299.399994,301.640015,537100,301.640015
"2020-07-07",301.420013,306.230011,299.160004,299.320007,339000,299.320007
"2020-07-08",301.690002,303.089996,297.619995,301.899994,249500,301.899994
"2020-07-09",302.570007,307.600006,301.190002,304.5,430300,304.5
"2020-07-10",303.25,305.109985,298.839996,301.649994,247900,301.649994
"2020-07-13",303.670013,306.26001,293.730011,295.559998,432100,295.559998
"2020-07-14",291.190002,301.269989,289.079987,301.040009,506900,301.040009
"2020-07-15",301.269989,304.48999,297.26001,301.040009,298200,301.040009
"2020-07-16",299.720001,299.720001,291.450012,295.299988,504000,295.299988
"2020-07-17",297.100006,301.450012,293.570007,301.130005,551200,301.130005
"2020-07-20",301.480011,309.570007,299.880005,309.109985,279200,309.109985
"2020-07-21",309.880005,310.049988,303.76001,305.75,443000,305.75
"2020-07-22",307.619995,310,304.709991,306.890015,247200,306.890015
"2020-07-23",307.130005,309.339996,298.559998,300.149994,365100,300.149994
"2020-07-24",297.149994,298.029999,291.549988,293.51001,620000,293.51001
"2020-07-27",294.970001,300.619995,294.970001,300.170013,349000,300.170013
"2020-07-28",299.869995,303.269989,296.779999,298.220001,543600,298.220001
"2020-07-29",300.980011,308.329987,300.559998,306.049988,360000,306.049988
"2020-07-30",302.160004,311.470001,300.140015,309.670013,344400,309.670013
"2020-07-31",312.559998,312.559998,304.809998,310.600006,276000,310.600006
"2020-08-03",311.619995,316.519989,310.589996,315.230011,370900,315.230011
"2020-08-04",313.76001,314.940002,307.160004,308.779999,524100,308.779999
"2020-08-05",312.059998,319.829987,309.880005,312.269989,419500,312.269989
"2020-08-06",313.049988,319.829987,311.100006,315.25,521700,315.25
"2020-08-07",313.850006,318,308.75,312.369995,326100,312.369995
"2020-08-10",311.619995,311.619995,301.559998,308.779999,366500,308.779999
"2020-08-11",307.869995,307.869995,300.480011,301.920013,293600,301.920013
"2020-08-12",302.279999,310.100006,302.279999,308.399994,242600,308.399994
"2020-08-13",309.410004,319.429993,309.410004,314.769989,319400,314.769989
"2020-08-14",314.23999,317.079987,311.059998,313.190002,250900,313.190002
"2020-08-17",315.149994,319.679993,315.149994,317.359985,277200,317.359985
"2020-08-18",319.559998,322.399994,317.540009,320.470001,267300,320.470001
"2020-08-19",321.51001,322.859985,316.220001,319.529999,235000,319.529999
"2020-08-20",319.140015,328.920013,318.779999,328.320007,300800,328.320007
"2020-08-21",327.920013,327.920013,322.380005,324.5,462800,324.5
"2020-08-24",327.410004,330.320007,322.660004,325.25,369000,325.25
"2020-08-25",325.75,328.970001,324.170013,326.48999,296300,326.48999
"2020-08-26",324.410004,333.230011,324.299988,331.480011,340200,331.480011
"2020-08-27",334.51001,334.890015,327.720001,332.339996,234800,332.339996
"2020-08-28",332.359985,336.720001,332.26001,336.709991,626500,336.709991
"2020-08-31",336.649994,340.029999,334.640015,339.01001,518000,339.01001
"2020-09-01",338.950012,345.399994,338.220001,343.890015,342500,343.890015
"2020-09-02",354.869995,354.869995,343.679993,350.589996,379200,350.589996
"2020-09-03",344.549988,346.880005,328.23999,332.140015,510600,332.140015
"2020-09-04",330.220001,333.230011,313.730011,321.209991,586300,321.209991
"2020-09-08",311.350006,319,306.529999,308.609985,551000,308.609985
