"","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2020-07-01",13.63,13.97,12.91,13,22681800,12.725515
"2020-07-02",13.52,13.94,13.18,13.26,14346400,12.980024
"2020-07-06",13.56,13.72,13.21,13.53,10165700,13.244325
"2020-07-07",13.25,13.38,12.75,12.77,8685600,12.500371
"2020-07-08",12.78,13.15,12.59,13.07,7712300,12.794035
"2020-07-09",12.95,13.1,12.01,12.08,11262000,11.824941
"2020-07-10",11.95,12.77,11.79,12.71,10129300,12.441639
"2020-07-13",12.8,13.18,12.31,12.52,10416800,12.255649
"2020-07-14",12.49,13.52,12.28,13.51,9234500,13.224747
"2020-07-15",13.91,14.09,13.26,13.82,10813600,13.528199
"2020-07-16",13.4,14.27,13.29,13.87,9563900,13.577145
"2020-07-17",14.01,14.16,13.25,13.29,8217700,13.009392
"2020-07-20",13.43,14.14,13.34,13.6,9867000,13.312846
"2020-07-21",14.06,15.2,13.97,14.9,14039100,14.612257
"2020-07-22",14.48,14.67,14.11,14.51,8566000,14.22979
"2020-07-23",14.46,14.72,14.16,14.39,7832200,14.112105
"2020-07-24",14.38,14.72,14.14,14.2,6780600,13.925776
"2020-07-27",14.12,14.15,13.58,13.69,7261400,13.425626
"2020-07-28",13.6,13.83,13.3,13.32,5579400,13.062768
"2020-07-29",13.45,13.73,13.26,13.65,8727300,13.386396
"2020-07-30",15.65,16.610001,15.36,16.01,29990100,15.700822
"2020-07-31",15.94,16.120001,15.17,15.35,12122400,15.053568
"2020-08-03",15.32,16.110001,14.99,15.72,22821400,15.416424
"2020-08-04",15.62,16.110001,15.55,15.88,7077500,15.573333
"2020-08-05",16.58,16.83,16.040001,16.24,8356300,15.926378
"2020-08-06",16.059999,16.120001,15.4,15.6,6019300,15.298739
"2020-08-07",15.47,15.68,15.12,15.54,6973200,15.239899
"2020-08-10",15.71,16.32,15.63,16.280001,6888000,15.965607
"2020-08-11",16.75,16.75,15.52,15.59,7763400,15.288934
"2020-08-12",15.99,16.040001,15.38,15.75,7069300,15.445843
"2020-08-13",15.52,15.86,15.29,15.42,5657900,15.122215
"2020-08-14",15.24,15.65,15.16,15.62,3690000,15.318354
"2020-08-17",15.55,15.55,15.16,15.34,5205200,15.043761
"2020-08-18",15.14,15.61,15.04,15.25,4125400,14.955498
"2020-08-19",15.35,15.65,15.24,15.34,7362000,15.043761
"2020-08-20",15.05,15.15,14.6,14.74,5333200,14.455347
"2020-08-21",14.66,14.68,14.21,14.26,4913400,13.984617
"2020-08-24",14.48,14.88,14.27,14.46,6219400,14.180755
"2020-08-25",14.62,14.89,14.35,14.65,4740100,14.367085
"2020-08-26",14.65,14.65,14.06,14.08,4377400,13.808093
"2020-08-27",14.53,14.64,14.22,14.6,5399800,14.318052
"2020-08-28",14.56,15.08,14.5,15.05,6731700,14.759361
"2020-08-31",15,15.12,14.55,14.8,5249400,14.514188
"2020-09-01",14.67,14.96,14.39,14.94,6811800,14.651485
"2020-09-02",14.98,15.07,14.39,14.42,5915800,14.141525
"2020-09-03",14.33,14.74,14.11,14.39,6924000,14.112105
"2020-09-04",14.52,14.89,14.13,14.6,6929100,14.318052
"2020-09-08",14.09,14.18,13.02,13.04,13627200,12.788177
"2020-09-09",13.25,13.31,12.66,13.15,8203400,12.896052
"2020-09-10",13.15,13.19,12.01,12.01,8334100,11.778068
"2020-09-11",12.19,12.25,11.72,11.89,8174800,11.660387
"2020-09-14",11.81,12.11,11.29,11.93,21156500,11.699614
"2020-09-15",12.09,12.54,11.88,11.94,8936100,11.709418
"2020-09-16",12.05,12.77,11.88,12.5,9662700,12.258605
"2020-09-17",12.15,12.59,12,12.42,8010400,12.18015
"2020-09-18",12.59,12.87,12.42,12.65,14052100,12.405708
"2020-09-21",12.07,12.31,11.89,12.11,7874000,11.876138
"2020-09-22",12.19,12.52,12.06,12.24,5702700,12.003626
"2020-09-23",12.25,12.45,11.1,11.1,10280200,10.885641
"2020-09-24",11.01,11.32,10.61,10.9,9519200,10.689504
"2020-09-25",10.74,10.83,9.84,9.85,22848500,9.659781
"2020-09-28",10.15,10.65,10.1,10.27,15469900,10.07167
"2020-09-29",10.16,10.17,9.43,9.54,13291600,9.355767
"2020-09-30",9.63,9.79,9.39,9.47,12557500,9.287119
"2020-10-01",9.38,9.51,9.01,9.31,15803500,9.130209
"2020-10-02",8.83,9.9,8.75,9.74,15061700,9.551905
"2020-10-05",9.97,10.13,9.62,9.84,11057000,9.649975
"2020-10-06",10.03,10.27,9.33,9.42,13368000,9.238086
"2020-10-07",9.68,9.68,9.37,9.57,8830300,9.385189
"2020-10-08",9.73,10.15,9.51,10.14,10723600,9.944181
"2020-10-09",10.27,10.42,9.61,9.67,12229500,9.483255
"2020-10-12",9.56,9.6,9.12,9.31,12271900,9.130209
"2020-10-13",9.24,9.3,8.95,9.14,10119600,8.963491
"2020-10-14",9.28,9.95,9.19,9.2,16379900,9.022333
"2020-10-15",9.1,9.78,8.96,9.76,16482600,9.571519
"2020-10-16",9.64,9.81,9.34,9.37,10037800,9.18905
"2020-10-19",9.45,9.58,9.02,9.06,10772200,8.885037
"2020-10-20",9.22,9.86,9.18,9.61,13204900,9.424416
"2020-10-21",9.41,9.5,9.08,9.1,11784100,8.94754
"2020-10-22",9.1,9.48,9.02,9.44,26479100,9.281844
"2020-10-23",9.54,9.64,9.13,9.28,8697000,9.124524
"2020-10-26",9.07,9.11,8.35,8.56,13881300,8.416587
"2020-10-27",8.56,8.6,8.32,8.35,8028300,8.210107
"2020-10-28",7.96,8.15,7.7,7.79,13792200,7.659488
"2020-10-29",7.67,8.22,7.45,8.19,12689700,8.052787
"2020-10-30",8.21,8.3,7.96,8.3,11474600,8.160943
"2020-11-02",8.41,8.96,7.98,8.89,12978600,8.741059
"2020-11-03",9.1,9.21,8.63,8.73,10428700,8.58374
"2020-11-04",8.75,9.3,8.43,8.99,19236900,8.839383
"2020-11-05",9.19,9.59,8.95,8.97,15996500,8.819719
"2020-11-06",8.87,9.09,8.5,8.54,12204500,8.396923
"2020-11-09",9.73,10.52,9.59,9.75,26861600,9.586652
"2020-11-10",10.03,10.2,9.57,9.99,18289500,9.822631
