"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"2020-07-01",48.075001,48.424999,47.310001,47.540001,2931000,46.634888
"2020-07-02",48.375,48.669998,47.654999,47.935001,2541600,47.022358
"2020-07-06",48.764999,49.195,48.505001,49.07,2077200,48.135754
"2020-07-07",48.584999,48.985001,48.044998,48.110001,1839200,47.194031
"2020-07-08",48.095001,48.25,47.165001,47.525002,2992800,46.620167
"2020-07-09",47.395,47.705002,46.810001,47.244999,3387200,46.345497
"2020-07-10",47.325001,47.66,46.759998,47.465,2313200,46.56131
"2020-07-13",47.935001,48.105,47.09,47.23,3772800,46.330788
"2020-07-14",47.264999,48.735001,47.080002,48.700001,3962600,47.772797
"2020-07-15",49.145,50.389999,49.145,50.220001,4723600,49.263859
"2020-07-16",50.224998,50.66,50.130001,50.455002,2234400,49.494385
"2020-07-17",50.759998,51.275002,50.555,51.009998,2472800,50.038818
"2020-07-20",50.855,51.005001,50.294998,50.740002,2909200,49.773956
"2020-07-21",51.060001,51.59,50.935001,51.049999,2507600,50.078053
"2020-07-22",52,53.154999,50.970001,51.634998,3837200,50.651917
"2020-07-23",52.23,52.990002,51.915001,52.799999,4446400,51.794731
"2020-07-24",52.575001,52.785,51.880001,52.195,2935600,51.201252
"2020-07-27",52.209999,53.215,52.009998,53.084999,2459000,52.074314
"2020-07-28",52.965,53.07,52.009998,52.105,2376200,51.112965
"2020-07-29",52.259998,53.095001,52.044998,52.915001,2728000,51.907543
"2020-07-30",52.349998,52.715,52.060001,52.584999,2380800,51.583832
"2020-07-31",52.485001,52.945,52.02,52.880001,2362800,51.873211
"2020-08-03",52.98,53.869999,52.98,53.695,2219000,52.672691
"2020-08-04",53.564999,54.27,53.5,54.209999,2202000,53.177891
"2020-08-05",54.365002,54.75,54.044998,54.325001,1618400,53.290691
"2020-08-06",54.09,54.415001,53.935001,54.174999,1550200,53.143551
"2020-08-07",53.985001,54.220001,53.57,53.98,2178800,52.952271
"2020-08-10",53.845001,54.470001,53.805,54.060001,4535800,53.03075
"2020-08-11",54.355,55,54.279999,54.404999,3328000,53.369175
"2020-08-12",54.630001,55.189999,54.220001,54.895,2711200,53.849846
"2020-08-13",54.674999,55.700001,54.404999,55.285,2069800,54.232422
"2020-08-14",55.035,55.150002,54.720001,54.889999,1594400,53.84494
"2020-08-17",55.095001,55.395,54.900002,54.945,1677800,53.898899
"2020-08-18",54.830002,54.93,54.505001,54.575001,1664400,53.535946
"2020-08-19",54.75,54.98,54.459999,54.57,1169200,53.531036
"2020-08-20",54.139999,54.25,53.544998,53.650002,1776600,52.628559
"2020-08-21",53.650002,54.299999,53.555,54.119999,1926400,53.089603
"2020-08-24",52.494999,54.634998,52.099998,54.375,1655200,53.339748
"2020-08-25",54.57,55.095001,54.259998,54.455002,2147000,53.418228
"2020-08-26",54.48,54.785,54.255001,54.525002,1875000,53.486897
"2020-08-27",55.025002,55.025002,53.950001,54.049999,1626600,53.020943
"2020-08-28",54.095001,54.974998,53.865002,54.889999,2152600,53.84494
"2020-08-31",54.82,55.150002,54.674999,54.900002,2207800,53.854755
"2020-09-01",55,55.514999,54.705002,55.395,2508400,54.340332
"2020-09-02",55.744999,56.625,55.384998,56.48,2726000,55.404671
"2020-09-03",56.330002,56.334999,53.830002,54.235001,2518400,53.202412
"2020-09-04",54.735001,54.814999,53.255001,54.224998,2606000,53.192604
"2020-09-08",53.334999,53.785,52.474998,52.529999,3394800,51.529877
"2020-09-09",53.25,53.895,52.93,53.389999,5238400,52.373505
"2020-09-10",53.744999,53.985001,52.025002,52.264999,2732400,51.269924
"2020-09-11",52.685001,53.064999,51.935001,52.145,3418800,51.152206
"2020-09-14",52.695,53.52,52.625,53.389999,2506600,52.499359
"2020-09-15",53.735001,54.654999,53.650002,54.165001,1802200,53.261425
"2020-09-16",55,55.130001,54.439999,54.540001,2708600,53.630169
"2020-09-17",54.055,55.224998,53.919998,54.939999,3991400,54.023495
"2020-09-18",54.869999,55.380001,54.115002,54.435001,4142600,53.526924
"2020-09-21",53.605,53.84,51.455002,51.744999,3167600,50.881798
"2020-09-22",51.895,52.424999,50.845001,52.310001,3259400,51.43737
"2020-09-23",52.255001,52.625,51.400002,51.645,3046000,50.783463
"2020-09-24",51.355,52.799999,51.209999,52.095001,2677000,51.225956
"2020-09-25",51.82,53.064999,51.584999,52.830002,2243000,51.948696
"2020-09-28",53.764999,54.470001,53.5,54.09,2410400,53.187679
"2020-09-29",54.355,54.639999,53.805,54.314999,3020800,53.408924
"2020-09-30",54.52,54.895,53.794998,54.134998,3697200,53.231918
"2020-10-01",54.959999,55,54.474998,54.895,2059200,53.979248
"2020-10-02",53.814999,55.355,53.490002,54.68,2418600,53.767834
"2020-10-05",55.130001,56.314999,55.130001,55.764999,2948200,54.834736
"2020-10-06",55.645,56.380001,55.02,55.07,2351400,54.151329
"2020-10-07",55.615002,56.779999,55.615002,56.514999,1718000,55.57222
"2020-10-08",56.764999,57.275002,56.584999,56.75,1407200,55.803303
"2020-10-09",57.264999,57.630001,56.560001,56.744999,2419600,55.798386
