"","APTV.Open","APTV.High","APTV.Low","APTV.Close","APTV.Volume","APTV.Adjusted"
"2020-07-01",77.910004,77.989998,74.400002,75.419998,1678400,75.419998
"2020-07-02",76.629997,79.18,76.629997,76.809998,1839000,76.809998
"2020-07-06",79.739998,80.230003,77.139999,78.43,1412500,78.43
"2020-07-07",77.290001,78.059998,76.839996,77.110001,1399000,77.110001
"2020-07-08",77.25,77.709999,75.669998,76.760002,1305200,76.760002
"2020-07-09",76.889999,77.010002,74,75.389999,1318300,75.389999
"2020-07-10",75.589996,76.889999,75.209999,76.279999,1397500,76.279999
"2020-07-13",76.980003,79.18,76.360001,76.68,2091800,76.68
"2020-07-14",76.910004,78.410004,75.349998,78.190002,1366400,78.190002
"2020-07-15",80.279999,82.220001,79.25,81.779999,1586400,81.779999
"2020-07-16",80.720001,82.410004,79.809998,82.269997,1489100,82.269997
"2020-07-17",82.730003,82.790001,81.18,81.779999,1385300,81.779999
"2020-07-20",81.459999,82.230003,80.169998,81.940002,1271200,81.940002
"2020-07-21",83.379997,83.800003,81.529999,81.870003,1274800,81.870003
"2020-07-22",81.68,82.800003,81.190002,82.720001,1531400,82.720001
"2020-07-23",83.040001,83.529999,81.32,82.330002,1497100,82.330002
"2020-07-24",80.800003,83.160004,80.769997,82.25,1243200,82.25
"2020-07-27",82.25,84.349998,81.75,83.550003,1249200,83.550003
"2020-07-28",83.669998,84.269997,82.080002,82.169998,889000,82.169998
"2020-07-29",82.209999,83.720001,82.209999,83.669998,1719400,83.669998
"2020-07-30",82.5,82.839996,79.910004,80.459999,1974500,80.459999
"2020-07-31",80.269997,80.400002,76.18,77.75,2360300,77.75
"2020-08-03",78.25,80.440002,78.25,79.720001,1503500,79.720001
"2020-08-04",81.809998,81.809998,80.260002,81.019997,1288900,81.019997
"2020-08-05",81.279999,83.940002,81.080002,83.839996,2082100,83.839996
"2020-08-06",83.160004,85.18,83.160004,84.529999,1644500,84.529999
"2020-08-07",83.550003,84.809998,82.919998,83.860001,1249200,83.860001
"2020-08-10",84.639999,86.809998,84.230003,86.440002,1256800,86.440002
"2020-08-11",88,90.82,87.989998,88.839996,2479000,88.839996
"2020-08-12",90.809998,91.510002,88.220001,89.5,1914400,89.5
"2020-08-13",88.620003,89.330002,88.349998,88.629997,893300,88.629997
"2020-08-14",88.519997,88.93,87.629997,88.339996,744100,88.339996
"2020-08-17",88.919998,89.309998,87.730003,88.160004,1421700,88.160004
"2020-08-18",88.190002,89.110001,87.190002,87.239998,795100,87.239998
"2020-08-19",86.879997,87.050003,84.769997,85.419998,1524400,85.419998
"2020-08-20",84.209999,84.870003,83.739998,84.489998,1085200,84.489998
"2020-08-21",84.760002,84.809998,83.68,83.879997,668400,83.879997
"2020-08-24",84.550003,85.870003,84.389999,85.5,1508900,85.5
"2020-08-25",86.029999,86.309998,84.550003,85.360001,979700,85.360001
"2020-08-26",85.309998,85.910004,84.690002,85.440002,1121200,85.440002
"2020-08-27",85.849998,85.849998,84.639999,85.339996,869100,85.339996
"2020-08-28",85.379997,87.32,85.150002,87.25,1327900,87.25
"2020-08-31",87.739998,87.889999,85.769997,86.120003,1535300,86.120003
"2020-09-01",85.32,87.120003,84.209999,87.050003,1075400,87.050003
"2020-09-02",88.68,90.699997,87.529999,90,2272700,90
"2020-09-03",89.879997,90.059998,86.139999,86.760002,1847300,86.760002
"2020-09-04",87.860001,88.209999,84.720001,86.209999,1336500,86.209999
"2020-09-08",86.209999,86.480003,84.160004,84.660004,3181600,84.660004
"2020-09-09",86.059998,86.629997,85.389999,85.650002,1422600,85.650002
"2020-09-10",87,87.690002,83.709999,84.089996,1034800,84.089996
"2020-09-11",84.449997,85.260002,83.449997,84.550003,1731300,84.550003
"2020-09-14",85.519997,86.449997,84.919998,85.889999,1213700,85.889999
"2020-09-15",86.419998,87.620003,85.739998,86.010002,1567900,86.010002
"2020-09-16",86.690002,86.699997,84.360001,84.970001,2151800,84.970001
"2020-09-17",84.220001,84.370003,82.629997,83.290001,1685300,83.290001
"2020-09-18",87.040001,89.419998,86,88.949997,4538300,88.949997
"2020-09-21",86.75,87.550003,83.400002,84.559998,2455800,84.559998
"2020-09-22",84.349998,85.110001,83.050003,84.510002,1054300,84.510002
"2020-09-23",84.529999,85.730003,83.919998,83.949997,1641200,83.949997
"2020-09-24",82.849998,85.629997,82.120003,84.330002,1195500,84.330002
"2020-09-25",84.059998,87.040001,83.540001,86.400002,1479600,86.400002
"2020-09-28",88.410004,90.879997,88.349998,90.029999,1295600,90.029999
"2020-09-29",89.610001,92.290001,89.519997,91.919998,1896900,91.919998
"2020-09-30",92.18,93.279999,90.900002,91.68,2278500,91.68
"2020-10-01",92.75,94.970001,91.68,93.959999,2137400,93.959999
"2020-10-02",91.459999,94.5,91.239998,93.559998,1105500,93.559998
"2020-10-05",95,97.629997,94.830002,97.199997,1149100,97.199997
"2020-10-06",99.489998,99.540001,94.059998,94.480003,2542200,94.480003
"2020-10-07",96.139999,99.480003,95.93,99.190002,1646600,99.190002
"2020-10-08",100,100.82,97.540001,97.970001,1705000,97.970001
"2020-10-09",99.290001,99.290001,97.209999,98.059998,1423900,98.059998
"2020-10-12",98.709999,99.5,98.040001,98.260002,1348000,98.260002
"2020-10-13",97.32,97.870003,95.589996,96.07,1484200,96.07
"2020-10-14",97.010002,97.5,95.629997,95.739998,1203700,95.739998
"2020-10-15",94.980003,98.25,94.550003,97.68,1628100,97.68
"2020-10-16",98.540001,99.5,96.739998,98.199997,1459600,98.199997
"2020-10-19",98.730003,100.190002,97.690002,99.400002,1968900,99.400002
"2020-10-20",100.120003,102.18,99.470001,100.190002,1634700,100.190002
"2020-10-21",100.910004,101.589996,99.349998,99.410004,1858600,99.410004
"2020-10-22",100.190002,101.129997,98.599998,100.150002,2352700,100.150002
"2020-10-23",101.080002,101.779999,99.629997,100.290001,1891200,100.290001
"2020-10-26",98.599998,99.110001,96.760002,98.190002,1066100,98.190002
"2020-10-27",97.940002,98.779999,96.050003,96.290001,992200,96.290001
"2020-10-28",93.309998,95.370003,92.559998,93.57,1655800,93.57
"2020-10-29",95.519997,100.339996,95.400002,98.32,2040200,98.32
"2020-10-30",97.970001,99.410004,95.720001,96.489998,2019800,96.489998
"2020-11-02",97.010002,98.839996,95.650002,97.879997,2237000,97.879997
"2020-11-03",100.040001,103.150002,99.489998,101.790001,2236100,101.790001
"2020-11-04",101.150002,101.989998,99.050003,99.25,2189700,99.25
"2020-11-05",101.470001,105.790001,101.139999,104.779999,1423200,104.779999
"2020-11-06",105.050003,105.870003,103.57,104.480003,992000,104.480003
"2020-11-09",111.269997,114.550003,106.209999,106.690002,2033100,106.690002
"2020-11-10",107.169998,110,106.699997,108.839996,2531500,108.839996
"2020-11-11",110.540001,111.68,108.639999,111.029999,2070500,111.029999
"2020-11-12",112.349998,112.5,108.040001,108.82,2187800,108.82
"2020-11-13",109.900002,110.529999,107.639999,109.910004,2383300,109.910004
"2020-11-16",112.199997,114.540001,111.019997,114.470001,1521900,114.470001
"2020-11-17",112,115.610001,111.699997,114.440002,1774800,114.440002
"2020-11-18",114.879997,116.989998,114.709999,115.050003,1700700,115.050003
"2020-11-19",114.5,115.970001,113.160004,115.360001,1105300,115.360001
"2020-11-20",114.860001,115.690002,113.919998,114.32,1161200,114.32
"2020-11-23",115.410004,117.339996,115,116.599998,2022900,116.599998
"2020-11-24",119,122.07,118.330002,121.660004,1951500,121.660004
"2020-11-25",119.639999,120.010002,117.309998,118.470001,1219000,118.470001
