"","ARE.Open","ARE.High","ARE.Low","ARE.Close","ARE.Volume","ARE.Adjusted"
"2020-07-01",162.940002,166.470001,162.759995,165.410004,656700,157.295197
"2020-07-02",168.009995,168.440002,163.110001,165.039993,1145900,156.943344
"2020-07-06",168.270004,168.940002,164.259995,164.789993,585200,156.705597
"2020-07-07",161.089996,162.619995,160.5,160.580002,2949600,152.702148
"2020-07-08",161.759995,162.199997,159.490005,160.850006,1837700,152.958923
"2020-07-09",160.679993,162.580002,158.830002,162.25,1513800,154.290207
"2020-07-10",162,162.919998,160,160.809998,1404400,152.920853
"2020-07-13",161.630005,163.139999,159.860001,160.839996,584900,152.949402
"2020-07-14",160.850006,164,160.020004,163.470001,636000,155.450378
"2020-07-15",165.559998,165.809998,162.869995,163.729996,655900,155.697601
"2020-07-16",163.050003,164.589996,161.690002,163.029999,600500,155.031952
"2020-07-17",163.970001,167.270004,162.809998,166.75,471600,158.569473
"2020-07-20",165.990005,167.029999,164.369995,165.270004,466700,157.162064
"2020-07-21",166.009995,166.940002,165.210007,165.740005,574000,157.609024
"2020-07-22",164.699997,169.630005,164.440002,168.889999,846700,160.604462
"2020-07-23",168.179993,170,166.639999,168.520004,763700,160.25264
"2020-07-24",168.139999,169.059998,166.820007,168.550003,589500,160.281174
"2020-07-27",167.800003,170.630005,165.809998,170.360001,639400,162.002365
"2020-07-28",172.240005,175.419998,170.669998,173.789993,1030300,165.264069
"2020-07-29",174.070007,177.639999,174.070007,176.059998,964900,167.422714
"2020-07-30",174.539993,176.559998,173.830002,176.130005,600100,167.489273
"2020-07-31",175.470001,177.630005,173.419998,177.550003,840300,168.839615
"2020-08-03",176.429993,177.240005,174.619995,176.330002,518100,167.679489
"2020-08-04",176.350006,177.699997,175.199997,176.490005,672600,167.83165
"2020-08-05",176.789993,177.149994,173.440002,174.619995,609800,166.053345
"2020-08-06",173.800003,175.539993,172.960007,174.380005,699900,165.825134
"2020-08-07",173.919998,176.110001,173.919998,175.649994,419900,167.032837
"2020-08-10",175.649994,176.919998,174.270004,174.979996,704600,166.395706
"2020-08-11",176.059998,176.580002,171,172.050003,624800,163.609482
"2020-08-12",172.570007,174.360001,172.160004,173.300003,603300,164.798126
"2020-08-13",172,174.110001,170.5,170.699997,391400,162.325653
"2020-08-14",170.619995,172.160004,169.600006,170.220001,401500,161.869202
"2020-08-17",170.559998,174.130005,169.839996,173.419998,551300,164.912231
"2020-08-18",173.190002,174.190002,172.119995,173.759995,501200,165.23555
"2020-08-19",174,174,171.110001,171.419998,503400,163.010345
"2020-08-20",171.369995,173.490005,170.949997,171.449997,344700,163.038864
"2020-08-21",172.429993,172.899994,169.610001,170.690002,549600,162.316162
"2020-08-24",169.990005,171.210007,168.429993,171.210007,446400,162.810638
"2020-08-25",171.320007,172.039993,169.720001,170.740005,443200,162.363739
"2020-08-26",170.779999,170.869995,169.179993,170.389999,401200,162.030899
"2020-08-27",170.389999,172.039993,170.389999,170.520004,352200,162.154495
"2020-08-28",170.820007,171.559998,167.639999,169.710007,461100,161.384262
"2020-08-31",169.550003,169.669998,167.5,168.380005,1077500,160.119507
"2020-09-01",167.699997,168.690002,166.229996,166.539993,529700,158.369766
"2020-09-02",166.479996,170.970001,165.729996,170.369995,784900,162.011856
"2020-09-03",171.25,173.350006,167.600006,169.580002,768800,161.260605
"2020-09-04",169.580002,170.649994,164.449997,166.429993,563800,158.265137
"2020-09-08",165.229996,165.380005,160.259995,161.990005,930400,154.042969
"2020-09-09",162.679993,165.699997,161.619995,162.880005,840100,154.889328
"2020-09-10",162.339996,162.669998,160.100006,160.350006,611600,152.483429
"2020-09-11",160.630005,160.630005,157,158.360001,526500,150.591064
"2020-09-14",159.419998,163.889999,158.830002,163.679993,834800,155.65007
"2020-09-15",163.679993,165.779999,163.25,163.649994,624600,155.621506
"2020-09-16",164.929993,166.550003,163.389999,164.639999,668600,156.562958
"2020-09-17",163.070007,164.449997,161.229996,162.039993,1118600,154.090515
"2020-09-18",160.470001,162.350006,157.600006,159.350006,3441800,151.532486
"2020-09-21",157.679993,157.960007,154.190002,155.889999,835700,148.242249
"2020-09-22",156.089996,159.919998,156.089996,159.149994,897300,151.342285
"2020-09-23",158.929993,160.149994,156.050003,156.529999,736100,148.850845
"2020-09-24",156.740005,159.830002,155.600006,156.580002,1225300,148.898392
"2020-09-25",155.75,158.789993,155.699997,158.5,1134300,150.724182
"2020-09-28",160.539993,162.449997,159.850006,161.350006,1357300,153.434387
"2020-09-29",159.520004,161.960007,159,159.929993,714500,153.089752
"2020-09-30",160.940002,163.139999,158.300003,160,1627300,153.156784
"2020-10-01",160.600006,163.220001,160.039993,163.190002,671700,156.210342
"2020-10-02",161.669998,165.300003,160.570007,164.710007,779900,157.665359
"2020-10-05",166.059998,167.139999,163.399994,167,654800,159.857391
"2020-10-06",167.369995,167.880005,164.320007,165.100006,630000,158.038635
"2020-10-07",165.289993,165.850006,163.089996,163.119995,670000,156.143326
"2020-10-08",163.589996,166.990005,163.289993,166.089996,593000,158.986298
"2020-10-09",167.110001,167.110001,164.559998,165.149994,529400,158.086502
"2020-10-12",165.289993,167.320007,164.490005,166.899994,597700,159.761673
"2020-10-13",166.350006,168.089996,165.080002,165.619995,835400,158.536423
"2020-10-14",165.360001,165.710007,162.070007,162.270004,486200,155.329697
"2020-10-15",161,162.979996,160.509995,161.929993,483400,155.004242
"2020-10-16",162.009995,163.460007,161.520004,162.059998,696300,155.128662
"2020-10-19",162.690002,162.960007,158.419998,158.539993,1148200,151.759216
"2020-10-20",159.619995,160.679993,158.979996,160.020004,540400,153.175934
"2020-10-21",160,161.259995,158.899994,160.080002,619900,153.233368
"2020-10-22",159.800003,161.070007,159.460007,160.160004,488700,153.309952
"2020-10-23",161.25,161.419998,159.800003,160.539993,387200,153.673691
