"","ATO.Open","ATO.High","ATO.Low","ATO.Close","ATO.Volume","ATO.Adjusted"
"2020-07-01",99.75,101.339996,99.75,100.690002,606200,95.669983
"2020-07-02",101.190002,102.169998,100.860001,101.18,405800,96.135551
"2020-07-06",102.099998,102.879997,100.730003,101.239998,730000,96.192558
"2020-07-07",100.370003,101.07,99.669998,100.07,655000,95.080894
"2020-07-08",100.019997,100.360001,98.690002,99.379997,619200,94.425278
"2020-07-09",98.720001,98.800003,97.080002,97.690002,819000,92.819557
"2020-07-10",97.690002,99.730003,97.559998,99.089996,498300,94.149742
"2020-07-13",99.589996,100.68,99.019997,99.690002,743200,94.719833
"2020-07-14",99.75,101.040001,99.199997,100.43,764400,95.422935
"2020-07-15",101.379997,102.370003,100.470001,100.639999,667700,95.622475
"2020-07-16",100.629997,101.330002,100.089996,100.550003,555700,95.536964
"2020-07-17",101.029999,101.660004,100.459999,101.059998,645500,96.021523
"2020-07-20",100.809998,101.32,99.480003,99.809998,920000,94.833847
"2020-07-21",100.419998,102.32,99.879997,102.150002,681300,97.057198
"2020-07-22",101.830002,104.349998,101.260002,104.029999,697400,98.84346
"2020-07-23",104.050003,104.5,102.949997,103.699997,800600,98.5299
"2020-07-24",104.160004,104.800003,102.480003,103,648800,97.864807
"2020-07-27",102.980003,103.739998,102.209999,102.57,641400,97.456238
"2020-07-28",102.199997,105.139999,102.199997,104.599998,819100,99.38504
"2020-07-29",105.029999,105.980003,105.029999,105.660004,910400,100.392197
"2020-07-30",104.809998,105.769997,104.699997,105.419998,566100,100.164169
"2020-07-31",105.32,106.669998,104.639999,105.989998,1333400,100.705734
"2020-08-03",105.610001,105.650002,104.050003,105.309998,543700,100.059631
"2020-08-04",104.129997,105.610001,104.120003,104.809998,754600,99.584564
"2020-08-05",104.800003,105.980003,103.25,103.690002,820800,98.520424
"2020-08-06",106.099998,106.099998,103.349998,104.699997,717700,99.480057
"2020-08-07",103.889999,106.610001,103.889999,105.709999,567500,100.43969
"2020-08-10",106.43,107.019997,105.580002,106.040001,561000,100.753258
"2020-08-11",106.669998,106.669998,103.300003,103.529999,695800,98.368378
"2020-08-12",104.099998,106,104.050003,104.959999,876000,99.727089
"2020-08-13",104.459999,105.080002,103.839996,104.620003,658200,99.40403
"2020-08-14",104.730003,105.220001,103.519997,104.5,986100,99.290031
