"","AVB.Open","AVB.High","AVB.Low","AVB.Close","AVB.Volume","AVB.Adjusted"
"2020-07-01",155.029999,159.759995,154.600006,159.050003,690000,149.107742
"2020-07-02",161.570007,162.550003,157.289993,159.919998,947300,149.92337
"2020-07-06",163.220001,163.699997,158.309998,159.490005,1240400,149.520264
"2020-07-07",156.960007,158.240005,154.570007,154.720001,1060300,145.048416
"2020-07-08",154.720001,155.759995,152.940002,153.300003,841800,143.717194
"2020-07-09",152.449997,153.449997,149.889999,151.639999,1307600,142.160965
"2020-07-10",151.619995,153.899994,151.070007,152.740005,504600,143.192184
"2020-07-13",152.940002,154.309998,150.649994,152.139999,624500,142.6297
"2020-07-14",151.860001,155.389999,151.369995,154.399994,523200,144.748413
"2020-07-15",156.070007,156.199997,152.529999,154.539993,869700,144.879669
"2020-07-16",152.770004,155.399994,152.770004,154.369995,768000,144.720291
"2020-07-17",154.789993,155.039993,152.800003,153.889999,893000,144.270309
"2020-07-20",151.279999,153.089996,148.059998,149.559998,908300,140.210968
"2020-07-21",150.520004,151.199997,147.320007,147.479996,931400,138.260986
"2020-07-22",146.639999,150.710007,145.580002,150.410004,2345300,141.007828
"2020-07-23",150.550003,151.880005,146.720001,148.149994,826200,138.889114
"2020-07-24",148.669998,149.330002,146.630005,146.850006,725600,137.670395
"2020-07-27",146,146.259995,143.309998,145.720001,851400,136.611023
"2020-07-28",145.800003,150.839996,144.550003,150.240005,872800,140.84848
"2020-07-29",151.410004,151.75,146.669998,151.580002,1258000,142.104721
"2020-07-30",149.75,151.199997,145.679993,151.199997,1312000,141.748459
"2020-07-31",151.119995,153.240005,146.970001,153.119995,1412200,143.548431
"2020-08-03",151.309998,151.5,149.350006,149.929993,951100,140.557846
"2020-08-04",149.690002,152.240005,148.820007,151.699997,1087000,142.217224
"2020-08-05",152,153.259995,149.910004,150.929993,727300,141.495346
"2020-08-06",149.75,151.850006,149.75,150.970001,584400,141.532822
"2020-08-07",150,153.880005,149.759995,153.860001,884700,144.242172
"2020-08-10",154.149994,156.600006,153.619995,153.800003,501300,144.185928
"2020-08-11",155.320007,157,151.029999,151.740005,643700,142.254715
"2020-08-12",151.949997,153.020004,150.869995,152.910004,539200,143.351563
"2020-08-13",151.789993,154.910004,150.600006,150.699997,825800,141.279709
"2020-08-14",150.309998,154.660004,149.809998,153.050003,652700,143.482803
"2020-08-17",153.169998,155.399994,152.509995,155.369995,591400,145.657791
"2020-08-18",155.380005,155.429993,153.429993,154.669998,739700,145.001556
"2020-08-19",154.339996,154.339996,151.160004,152.149994,1082100,142.639069
"2020-08-20",151.729996,154.899994,151.460007,153.699997,728800,144.092209
"2020-08-21",153.929993,154.960007,151.039993,152.410004,616300,142.882828
"2020-08-24",152.139999,155.779999,150.559998,155.779999,839500,146.04216
"2020-08-25",155.820007,156.809998,154.309998,155.520004,649500,145.798416
"2020-08-26",154.550003,154.899994,152.240005,153.850006,969100,144.232803
"2020-08-27",154.690002,158.779999,154.690002,158.449997,611400,148.545258
"2020-08-28",158.839996,160.130005,156.830002,159.619995,839700,149.642105
"2020-08-31",158.669998,158.960007,156.75,158.059998,979100,148.179642
