"","AVGO.Open","AVGO.High","AVGO.Low","AVGO.Close","AVGO.Volume","AVGO.Adjusted"
"2020-07-01",315.109985,316.850006,311.940002,312.730011,1566100,293.983032
"2020-07-02",317.75,319.380005,314.660004,315.470001,1663800,296.558807
"2020-07-06",320,320.98999,317.339996,318.790009,1756100,299.679779
"2020-07-07",317.339996,318.160004,312.549988,313.119995,1615000,294.34967
"2020-07-08",316.140015,319.839996,314.119995,319.570007,1802300,300.413055
"2020-07-09",320.01001,324.329987,315.25,321.5,2522500,302.227295
"2020-07-10",321.910004,322.98999,315.440002,319.440002,1328000,300.290802
"2020-07-13",321.679993,323.529999,310.579987,311.309998,2154900,292.648163
"2020-07-14",308.98999,316.220001,305.190002,315.079987,1836300,296.192139
"2020-07-15",315.950012,317.769989,310.170013,313.779999,1525300,294.970123
"2020-07-16",310.609985,313.880005,309.299988,311.339996,1292900,292.676392
"2020-07-17",314.149994,315.209991,310,312.709991,1335400,293.964264
"2020-07-20",311.850006,317.649994,310.26001,317.130005,1432300,298.119293
"2020-07-21",319.230011,319.230011,312.670013,314.339996,1431200,295.496521
"2020-07-22",315.01001,315.679993,310.369995,313.799988,1440400,294.988922
"2020-07-23",313.369995,316.089996,308.380005,309.670013,1941700,291.106506
"2020-07-24",306.589996,310.910004,304.179993,305.790009,1563100,287.459076
"2020-07-27",308.299988,312.959991,307.48999,312.679993,2064600,293.936005
"2020-07-28",311.179993,312.109985,306.160004,307.350006,1397400,288.925537
"2020-07-29",308.529999,311.230011,307.440002,308.850006,1656200,290.335663
"2020-07-30",306,312.929993,306,312.100006,2125900,293.390839
"2020-07-31",314.700012,318.399994,311.399994,316.75,2471900,297.762054
"2020-08-03",318,323.48999,317.279999,321.230011,2079600,301.97348
"2020-08-04",320.5,328.589996,320.390015,328.390015,2525800,308.704315
"2020-08-05",328.25,331.579987,325.799988,329.540009,2229900,309.7854
"2020-08-06",327.769989,330.880005,325.410004,329.160004,1419300,309.428162
"2020-08-07",328.390015,329.730011,321.480011,325.929993,1419200,306.391724
"2020-08-10",324.220001,329.269989,324.059998,327.359985,1198900,307.736053
"2020-08-11",327.570007,333.320007,322.76001,324.029999,1931600,304.605682
"2020-08-12",325.850006,335.880005,325.359985,333.640015,1847100,313.639618
"2020-08-13",332.209991,333.410004,327.850006,329.420013,1509500,309.672546
"2020-08-14",328.019989,329.850006,326,327.820007,1014000,308.168518
"2020-08-17",329.51001,331.790009,329,330.320007,1059400,310.518585
"2020-08-18",331.859985,333.179993,328.140015,328.640015,885700,308.939362
"2020-08-19",329.470001,333.089996,328.23999,329.209991,1127300,309.475128
"2020-08-20",327.690002,329.98999,326.059998,328.829987,891000,309.11792
"2020-08-21",328.299988,330.459991,325,330.019989,1150800,310.236572
"2020-08-24",332.01001,336.190002,331.140015,334,1199600,313.977997
"2020-08-25",335,337.089996,333,336.140015,1114000,315.989716
"2020-08-26",334.73999,341.51001,333.51001,339.670013,1484400,319.308105
"2020-08-27",340.48999,341.299988,336.140015,339.140015,1255200,318.809875
"2020-08-28",339,344.820007,337.700012,344.820007,1458900,324.149384
"2020-08-31",343.519989,350.579987,343.519989,347.149994,2222900,326.339661
"2020-09-01",350,362.070007,347.420013,359.540009,2920500,337.986969
"2020-09-02",365.859985,378.959991,363.570007,375.01001,3705300,352.529633
"2020-09-03",366.01001,368.899994,350.160004,352.089996,4179500,330.983612
"2020-09-04",360.970001,372.529999,353.5,362.950012,5851400,341.192596
"2020-09-08",352.660004,362.75,350,350.540009,2668500,329.526489
"2020-09-09",356.160004,361.850006,351.100006,360.029999,2627300,338.447632
"2020-09-10",362.130005,367.829987,354.390015,357.079987,2285100,335.674469
"2020-09-11",360.5,364.269989,354.679993,359.700012,1736200,338.137421
"2020-09-14",364.410004,365.890015,359.350006,362.200012,1644700,340.487518
"2020-09-15",366.299988,371.119995,365.350006,366.910004,1661800,344.915222
"2020-09-16",368.179993,372,366.350006,367.040009,1849800,345.037384
"2020-09-17",355,370.119995,355,365.920013,2286200,343.984528
"2020-09-18",367.119995,367.839996,355.049988,359.730011,3529500,338.165619
"2020-09-21",350.01001,351.959991,343.480011,351.790009,2419800,333.716583
"2020-09-22",356.369995,361.799988,352.950012,361.589996,1950000,343.013031
"2020-09-23",360.179993,361.209991,350.049988,351.589996,1554200,333.526825
"2020-09-24",350.200012,357.570007,349.089996,352.519989,1361100,334.409058
"2020-09-25",352.049988,357.720001,348.279999,356.799988,1818300,338.469208
"2020-09-28",361.679993,368.429993,359.029999,367.299988,2219200,348.429718
"2020-09-29",367.48999,370.799988,363.98999,364.26001,1372200,345.545898
"2020-09-30",362.950012,371,361.709991,364.320007,2240300,345.602844
"2020-10-01",368.980011,370.709991,364.820007,368.600006,1601600,349.662964
"2020-10-02",360,364.920013,356.149994,356.829987,1710000,338.497589
"2020-10-05",360.839996,366.850006,359.899994,366.100006,1892300,347.291382
"2020-10-06",366.109985,372,362.019989,363.980011,1667200,345.280273
"2020-10-07",368.350006,369.859985,366.059998,366.73999,1274700,347.898468
"2020-10-08",369.890015,374.290009,368.309998,373.329987,1704500,354.149933
"2020-10-09",375.929993,380,374,376.700012,1725300,357.346802
"2020-10-12",381.790009,385.100006,379.790009,382.429993,1883900,362.782379
"2020-10-13",384.410004,387.799988,378.609985,381.48999,1673100,361.890656
"2020-10-14",383.540009,383.73999,377.850006,380.299988,1729800,360.76181
"2020-10-15",375.049988,380.48999,375.019989,379.929993,1436100,360.410828
"2020-10-16",383.279999,383.279999,378.149994,378.649994,1029500,359.196564
"2020-10-19",381.23999,383.609985,375.149994,375.769989,1480300,356.464569
"2020-10-20",377.01001,381.140015,375.559998,376.98999,1329700,357.621887
"2020-10-21",375.769989,376.859985,370.309998,372.049988,1189600,352.935699
"2020-10-22",371.079987,374.309998,367.109985,373.369995,1354700,354.187866
"2020-10-23",373.26001,373.940002,370.76001,372.720001,886800,353.571259
"2020-10-26",369.600006,369.959991,357.609985,363.040009,1550900,344.38855
"2020-10-27",365.179993,365.179993,359.220001,359.600006,962000,341.125305
"2020-10-28",354,354.859985,345.529999,347.209991,2233100,329.371826
"2020-10-29",347.26001,359.440002,345.369995,355.01001,1569700,336.771149
"2020-10-30",349.390015,352.98999,344.420013,349.630005,1853000,331.667511
"2020-11-02",355.040009,355.390015,348.350006,351.25,1175700,333.204254
"2020-11-03",355.950012,359.23999,346.660004,353.76001,1545700,335.585327
"2020-11-04",360.480011,368.980011,357.140015,364.630005,2127700,345.896851
"2020-11-05",372.359985,382.649994,372.01001,380.869995,2178300,361.302551
"2020-11-06",380.049988,383.670013,377.170013,380.619995,1354500,361.065399
"2020-11-09",389.100006,393.890015,375.01001,375.540009,2408800,356.246429
"2020-11-10",370.320007,373.200012,360.359985,363.130005,2678400,344.473938
"2020-11-11",370.859985,377.140015,368.549988,375.920013,1513300,356.606812
"2020-11-12",377.230011,378.600006,368.279999,370.200012,1216000,351.180725
"2020-11-13",375,377.329987,371.579987,373.5,1099700,354.311188
"2020-11-16",374.809998,381.369995,374,380.809998,1210000,361.245605
"2020-11-17",378.660004,382.440002,377.029999,380.600006,1195000,361.046478
"2020-11-18",379.890015,384.940002,379.619995,380.619995,1351700,361.065399
"2020-11-19",377.720001,384.839996,374.350006,384.329987,1455500,364.584747
"2020-11-20",384.309998,388.850006,382.700012,383.329987,1614000,363.636139
"2020-11-23",385.369995,389.149994,383,387,1221200,367.117584
"2020-11-24",388.619995,392.809998,386.179993,392.230011,1345500,372.078949
"2020-11-25",392.839996,395.5,389,390.829987,1178700,370.750824
"2020-11-27",393.149994,399.170013,393,394.950012,684600,374.65918
"2020-11-30",394.019989,402.160004,392.73999,401.579987,1545400,380.948608
"2020-12-01",403.459991,406.679993,400.119995,404.570007,1818100,383.784943
"2020-12-02",404.73999,405.410004,401.109985,403.730011,1003100,382.988129
"2020-12-03",404.5,406.640015,398.100006,399.799988,1612000,379.259979
"2020-12-04",402.399994,412.399994,402.390015,411.679993,2008300,390.529663
"2020-12-07",416.410004,422.839996,413.339996,420.890015,1970700,399.266541
"2020-12-08",419.279999,426.700012,418.160004,423.410004,1812100,401.657043
"2020-12-09",419.470001,426.100006,413.670013,416.220001,2090800,394.836426
"2020-12-10",411.440002,415.25,408.01001,410.040009,2624400,388.973907
"2020-12-11",404,407,398.279999,405.820007,2666400,384.970734
"2020-12-14",406.529999,414.299988,406,411.799988,2611600,390.643463
"2020-12-15",415.279999,419.390015,412.98999,418.059998,2120700,396.581879
"2020-12-16",418,427.149994,416.959991,424.899994,2316000,403.070465
"2020-12-17",426.5,430.01001,424.549988,426.100006,1715200,404.208801
"2020-12-18",424.799988,435.649994,422,434.559998,4524300,415.746735
"2020-12-21",428.149994,432,423.700012,428.880005,1909600,410.312622
"2020-12-22",428.880005,433.549988,428,433.100006,1792900,414.349945
"2020-12-23",435,436,425.079987,425.459991,1053300,407.040649
"2020-12-24",428.48999,432,427.570007,431.459991,412300,412.780914
"2020-12-28",434.339996,437.269989,431.149994,431.880005,1062500,413.182739
"2020-12-29",435.829987,435.829987,426.790009,429.040009,959300,410.465698
"2020-12-30",431.670013,438,430.100006,434.829987,1055300,416.005035
"2020-12-31",436.309998,438.5,433.049988,437.850006,1021100,418.894318
"2021-01-04",439.329987,442.23999,421.23999,425.220001,2417100,406.811066
"2021-01-05",425.049988,429.390015,422.399994,428.100006,1506900,409.566406
"2021-01-06",423.299988,434.579987,420.540009,425.459991,1722600,407.040649
"2021-01-07",432.059998,444.589996,430.600006,443.390015,2126700,424.194427
"2021-01-08",447,449.98999,438.649994,445.640015,1527100,426.347076
"2021-01-11",440.609985,448.779999,440.420013,445.76001,1166000,426.461853
"2021-01-12",447.769989,454.76001,445.600006,449.390015,1384600,429.934692
"2021-01-13",450.299988,453.48999,448.109985,451.209991,1311800,431.675842
"2021-01-14",453.51001,458.5,451.329987,452.070007,1969200,432.498657
"2021-01-15",448.179993,450,440.660004,445.850006,1816500,426.547943
"2021-01-19",448.279999,459.48999,448.279999,459.269989,1881900,439.386932
"2021-01-20",459.519989,465.790009,455,461.880005,1471000,441.883972
"2021-01-21",462.109985,469.470001,460.399994,466.820007,1574900,446.610077
"2021-01-22",463.720001,467.549988,462.380005,465.019989,1624800,444.888
"2021-01-25",469.559998,470,456.079987,464.790009,1469200,444.66803
"2021-01-26",462.649994,467.029999,461.880005,463.869995,1074200,443.787781
"2021-01-27",455.540009,456.959991,441.51001,444.700012,2185700,425.447723
"2021-01-28",455.529999,458.480011,447.029999,451.73999,1694600,432.182922
"2021-01-29",449.899994,458.100006,447.630005,450.5,2206900,430.996613
"2021-02-01",455.850006,469.320007,453.589996,466.73999,1702700,446.533569
"2021-02-02",469.76001,476.970001,468,476.880005,1614100,456.234589
"2021-02-03",476.929993,478.519989,464.589996,465.190002,1785700,445.050629
"2021-02-04",460,471.160004,457.480011,470.630005,1524300,450.255157
"2021-02-05",474.329987,476.920013,465.359985,466.01001,1248800,445.835175
"2021-02-08",468.75,473.420013,465.579987,472.700012,1761000,452.235535
"2021-02-09",472,475.190002,468.619995,474.630005,1275800,454.082001
"2021-02-10",477.209991,477.48999,465.48999,470.049988,1458700,449.700256
"2021-02-11",473.690002,479.350006,469.190002,478.390015,1712300,457.679199
"2021-02-12",478.380005,487.019989,474.890015,486.320007,1355100,465.2659
"2021-02-16",490.880005,494.779999,487.019989,489.130005,1516300,467.954224
"2021-02-17",484.230011,486.119995,475.059998,482.480011,1408400,461.592163
"2021-02-18",480.230011,485.410004,475.130005,483.26001,1671500,462.338348
"2021-02-19",487.25,495.140015,486.769989,489.959991,1799200,468.748322
"2021-02-22",484,486.609985,475.320007,476.359985,1696700,455.737061
"2021-02-23",471.140015,474.619995,456.059998,471.899994,2130300,451.470154
"2021-02-24",467.679993,481.410004,462.660004,480.880005,1512500,460.061401
"2021-02-25",474.75,479.380005,455.209991,457.160004,2314800,437.368317
"2021-02-26",467.529999,475.76001,460.73999,469.869995,2264000,449.528015
"2021-03-01",479.700012,490,473.859985,489.579987,2467700,468.384735
