"","AXP.Open","AXP.High","AXP.Low","AXP.Close","AXP.Volume","AXP.Adjusted"
"2020-07-01",95.25,96.959999,93.639999,94.050003,3301000,91.743042
"2020-07-02",96.769997,97.290001,93.849998,94.330002,4239700,92.016182
"2020-07-06",96.510002,97.900002,95.839996,96.580002,4059600,94.210976
"2020-07-07",95.440002,95.519997,92.629997,93.010002,5564200,90.728554
"2020-07-08",91.970001,93.099998,90.709999,92.900002,6382100,90.621254
"2020-07-09",92.510002,93.209999,89.580002,90.57,4484500,88.348404
"2020-07-10",90.32,93.309998,89.82,93.230003,4400900,90.943161
"2020-07-13",94.239998,95.760002,92.779999,93.559998,4819700,91.265053
"2020-07-14",93.190002,95.220001,92.290001,94.839996,4044400,92.513657
"2020-07-15",96.660004,97.779999,96.389999,97.360001,5405600,94.971855
"2020-07-16",96.5,97.790001,95.669998,96.32,2666000,93.957352
"2020-07-17",96.349998,96.529999,95.010002,95.18,2861600,92.845322
"2020-07-20",94.800003,95.360001,93.580002,94,3560100,91.694267
"2020-07-21",95.25,97.459999,94.730003,96.330002,4227100,93.96711
"2020-07-22",95.809998,97.410004,95.379997,96.540001,4360300,94.171959
"2020-07-23",95.510002,97.779999,95.510002,96.669998,4239800,94.298767
"2020-07-24",95.300003,97.150002,93.300003,95.330002,4790300,92.991646
"2020-07-27",94.639999,95.980003,93.639999,95.790001,3501800,93.440346
"2020-07-28",95.760002,96.290001,94.18,94.419998,3567400,92.103958
"2020-07-29",94.709999,96.75,94.440002,96.690002,2791700,94.318283
"2020-07-30",94.68,94.779999,92.5,94.650002,3856300,92.328323
"2020-07-31",94.309998,94.449997,92.230003,93.32,4088200,91.03093
"2020-08-03",93.309998,94.400002,92.440002,93.540001,2869000,91.245552
"2020-08-04",93.489998,93.800003,92.489998,93.190002,2415100,90.904144
"2020-08-05",93.82,95.580002,93.809998,95.389999,2844900,93.050163
"2020-08-06",95.18,96.269997,94.480003,95.919998,2698800,93.567169
"2020-08-07",95.290001,99.300003,94.949997,99.160004,4690700,96.727692
"2020-08-10",99.489998,102.650002,99.260002,101.620003,5254800,99.127365
"2020-08-11",103.989998,105.699997,102.959999,103.260002,4744000,100.727127
"2020-08-12",104.760002,104.800003,100.68,101.68,3407800,99.185875
"2020-08-13",100.529999,101.830002,99.5,100.419998,3265400,97.956779
"2020-08-14",99.660004,101.290001,99.269997,100.410004,1956500,97.947029
"2020-08-17",99.919998,100,97.440002,97.550003,7488500,95.157188
"2020-08-18",98.190002,98.830002,96.470001,96.669998,3337300,94.298767
"2020-08-19",96.82,97.910004,95.889999,96.889999,3079600,94.513367
"2020-08-20",95.739998,97.580002,95.68,96.720001,3102500,94.347549
"2020-08-21",96.489998,97.650002,95.959999,96.150002,2845100,93.791527
"2020-08-24",96.68,99.370003,96.389999,99.330002,4141100,96.893532
"2020-08-25",100.620003,100.790001,98.029999,99.050003,2946600,96.620407
"2020-08-26",98.559998,99.139999,97.809998,98.400002,2936500,95.986343
"2020-08-27",98.760002,102.139999,98.529999,101.529999,3992100,99.039566
"2020-08-28",102.150002,102.900002,100.739998,102.540001,4382900,100.024788
"2020-08-31",102.900002,102.900002,101.360001,101.589996,4665800,99.098091
"2020-09-01",100.540001,102.779999,100.160004,102.470001,3142500,99.956497
"2020-09-02",102.580002,104.870003,102.290001,104.400002,3536900,101.839172
"2020-09-03",104.970001,109.029999,103.849998,104.459999,6747900,101.897697
"2020-09-04",106.349998,108.279999,104.480003,105.669998,5235100,103.078011
"2020-09-08",104.419998,105.080002,103.300003,103.669998,4517000,101.127075
"2020-09-09",104.57,104.709999,102.690002,103.779999,2474700,101.23436
"2020-09-10",104.190002,105.110001,102.309998,102.769997,3288900,100.249146
"2020-09-11",102.910004,103.849998,102.010002,103.360001,2604400,100.824677
"2020-09-14",104.650002,107.690002,104.220001,107.269997,3620100,104.638771
"2020-09-15",107.839996,108.120003,106.239998,106.68,3371500,104.06324
"2020-09-16",106.730003,107.489998,104.690002,105.980003,5798900,103.380417
"2020-09-17",104.269997,105.349998,103.32,104.660004,3215300,102.092789
"2020-09-18",104.459999,106.120003,103.309998,103.440002,6630300,100.90271
"2020-09-21",100.599998,100.629997,96.220001,98.169998,8339900,95.761963
"2020-09-22",98.010002,99.779999,96.410004,98.480003,4884400,96.064384
"2020-09-23",95.760002,97.099998,95.089996,95.559998,9427200,93.215988
"2020-09-24",95.339996,96.900002,93.709999,95.449997,4249000,93.108696
"2020-09-25",94.68,96.849998,94.459999,96.260002,2775600,93.898842
"2020-09-28",99,99.730003,98.629997,98.82,3930900,96.396034
"2020-09-29",98.739998,99.349998,97.230003,97.75,3200400,95.35228
"2020-09-30",98.230003,101.519997,98.230003,100.25,5060900,97.790962
"2020-10-01",100.330002,101.480003,99.370003,101.330002,4179300,98.844467
"2020-10-02",99.779999,103.139999,98.629997,101.610001,3783300,99.117592
"2020-10-05",103.330002,104.080002,102.269997,103.889999,2863200,101.341675
"2020-10-06",105.010002,105.290001,101.32,101.760002,3309200,99.263916
"2020-10-07",102.809998,104.150002,102.389999,103.379997,3048400,100.84417
"2020-10-08",104.330002,106.139999,104.059998,106.059998,2922600,103.890564
"2020-10-09",105.989998,107.209999,105.239998,106.339996,3511300,104.164841
"2020-10-12",106.459999,107.010002,106,106.610001,2626700,104.429306
"2020-10-13",105.889999,106.589996,104.760002,105.010002,2602600,102.862038
"2020-10-14",105.379997,106.269997,104.760002,104.809998,2826300,102.66613
"2020-10-15",103.440002,104.889999,103.019997,104.43,2699300,102.293907
"2020-10-16",104.650002,105.68,104.199997,104.910004,2394300,102.764091
"2020-10-19",105.129997,105.220001,102.25,102.470001,3196500,100.373993
"2020-10-20",102.940002,104.610001,102.830002,103.139999,2954700,101.030296
"2020-10-21",103.169998,103.389999,101.360001,101.43,2588400,99.35527
"2020-10-22",101.699997,104.860001,101.57,104.790001,3748800,102.646561
"2020-10-23",100.629997,103.639999,100,100.980003,8921200,98.914474
"2020-10-26",99.769997,100.099998,95.779999,96.879997,5731500,94.898338
"2020-10-27",97.620003,97.699997,94.900002,94.93,3780300,92.988228
"2020-10-28",91.959999,93.57,91,91.599998,7037800,89.726341
"2020-10-29",91.410004,92.230003,90.129997,91.07,5419500,89.207184
"2020-10-30",90.800003,91.32,89.110001,91.239998,4736300,89.373703
"2020-11-02",92.959999,94.129997,92.269997,93.400002,3572900,91.489525
"2020-11-03",94.75,96.849998,94.400002,96.290001,4004300,94.320404
"2020-11-04",94,97.82,92.860001,96.400002,4545500,94.428169
"2020-11-05",97.209999,98.32,96.839996,98.110001,4197300,96.103188
"2020-11-06",98.519997,98.639999,96.269997,96.690002,3126300,94.712227
"2020-11-09",110.540001,119.809998,110.190002,117.370003,17261700,114.969223
"2020-11-10",118.589996,119.889999,115.120003,115.949997,7056800,113.578262
"2020-11-11",115.93,116,110.300003,111.120003,5642700,108.847069
"2020-11-12",109.82,112.120003,109.550003,111.099998,4941200,108.827477
"2020-11-13",112.339996,115.639999,112.209999,114.989998,4811500,112.637909
"2020-11-16",119.099998,120.389999,116.75,118.669998,5339100,116.24263
"2020-11-17",116.970001,117.790001,114.139999,116.480003,4023200,114.097427
"2020-11-18",116.940002,118.760002,114.190002,114.239998,3264300,111.903229
"2020-11-19",113.779999,114.800003,112.529999,114.139999,3249800,111.80529
"2020-11-20",113.739998,114.540001,111.900002,112.580002,3702300,110.277206
"2020-11-23",114.239998,116.779999,113.720001,116.089996,3022900,113.715393
"2020-11-24",119,120.839996,117.889999,120.389999,6163400,117.927444
"2020-11-25",119.5,120.980003,118.25,120.580002,4646600,118.113571
"2020-11-27",120.529999,121.690002,119.790001,120.589996,2447700,118.123344
"2020-11-30",120.029999,121.480003,118,118.589996,3517700,116.164261
"2020-12-01",120.32,122.57,119.849998,119.93,3583400,117.476852
"2020-12-02",119.279999,122.849998,118.900002,122.330002,3271900,119.827766
"2020-12-03",122.849998,123.949997,122.120003,123.120003,4285100,120.601616
"2020-12-04",124.349998,125.32,123.849998,125.040001,5048600,122.48233
"2020-12-07",124.510002,124.870003,122.629997,123.940002,4253700,121.404839
"2020-12-08",122.470001,124.550003,122.019997,123.519997,3623000,120.993423
"2020-12-09",123.279999,123.959999,121.010002,121.690002,3622800,119.200859
"2020-12-10",120.720001,122.129997,119.699997,121.839996,2818800,119.347786
"2020-12-11",120.110001,120.5,118.839996,120.230003,2942800,117.770721
"2020-12-14",121.730003,121.790001,116.650002,117.360001,5336300,114.959427
"2020-12-15",118.790001,119.309998,115.559998,119.099998,4528900,116.663841
"2020-12-16",118.93,119.589996,118.279999,119,2943700,116.56588
"2020-12-17",119.410004,119.669998,118.459999,118.980003,3746700,116.546295
"2020-12-18",118.589996,119.360001,116.650002,117.510002,8394100,115.106369
"2020-12-21",115.769997,118,113.720001,116.410004,4528300,114.028862
"2020-12-22",116.190002,116.260002,114.379997,114.550003,3632300,112.206902
"2020-12-23",115.779999,118.190002,115.779999,116.949997,2725200,114.5578
"2020-12-24",116.93,117.440002,115.82,117.349998,707000,114.949631
"2020-12-28",118.050003,119.349998,117.599998,118.360001,1878700,115.938972
"2020-12-29",119.239998,119.349998,118,118.139999,1860400,115.723473
"2020-12-30",118.25,119.949997,118.150002,119.43,1954200,116.987083
"2020-12-31",119.709999,121.059998,119.160004,120.910004,1747800,118.436821
"2021-01-04",121.300003,121.800003,116.849998,118.040001,3472100,115.625519
"2021-01-05",118.260002,119.279999,117.099998,118.669998,2112700,116.24263
"2021-01-06",121,124.730003,120.809998,123.059998,5861500,120.542831
"2021-01-07",124.099998,125.690002,117.349998,121.660004,8696600,119.589348
"2021-01-08",122.07,122.199997,119.519997,121.779999,2934500,119.707298
"2021-01-11",120.419998,121.410004,119.389999,121.059998,3311000,118.99955
"2021-01-12",122,122.32,120.720001,121.620003,2671300,119.550026
"2021-01-13",121.599998,123.889999,121.160004,122.400002,3678300,120.31675
"2021-01-14",122.650002,124.5,122.089996,123.779999,3404700,121.673264
"2021-01-15",122.480003,122.860001,121.709999,122.150002,3948200,120.070999
"2021-01-19",125.489998,128.059998,124.239998,126.75,5818500,124.592705
"2021-01-20",127.190002,129.539993,127.07,128.940002,4090200,126.74543
"2021-01-21",128.289993,128.889999,126.099998,127.43,3654900,125.261139
"2021-01-22",125.739998,127.059998,124.879997,126.139999,2954800,123.993088
"2021-01-25",124.239998,125,120.32,121.150002,6156700,119.088028
