"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"2020-07-01",1125.219971,1139,1108,1130.47998,251200,1130.47998
"2020-07-02",1139.819946,1152.959961,1135.349976,1148.969971,249700,1148.969971
"2020-07-06",1157.569946,1160,1133.619995,1137.380005,230300,1137.380005
"2020-07-07",1137.300049,1145.209961,1127.449951,1128.579956,138600,1128.579956
"2020-07-08",1127.48999,1130.849976,1104.01001,1117.97998,157500,1117.97998
"2020-07-09",1116.319946,1116.319946,1095,1107.76001,118500,1107.76001
"2020-07-10",1106.209961,1114.630005,1090.119995,1113.589966,160100,1113.589966
"2020-07-13",1119.98999,1131.589966,1106.300049,1108.329956,162800,1108.329956
"2020-07-14",1108.209961,1137.619995,1107.329956,1133.369995,218400,1133.369995
"2020-07-15",1145.959961,1156.160034,1141.5,1149.22998,295900,1149.22998
"2020-07-16",1150.069946,1158.030029,1147.550049,1149.319946,154100,1149.319946
"2020-07-17",1156.849976,1158.689941,1136.119995,1157.300049,139100,1157.300049
"2020-07-20",1157.380005,1163.800049,1145.369995,1156.119995,113700,1156.119995
"2020-07-21",1153.73999,1164.170044,1146.119995,1155.77002,143600,1155.77002
"2020-07-22",1159.900024,1175.969971,1159.900024,1168.97998,212100,1168.97998
"2020-07-23",1178.030029,1179.410034,1159.959961,1168.459961,162200,1168.459961
"2020-07-24",1168.290039,1178.550049,1162.050049,1168.589966,135700,1168.589966
"2020-07-27",1169.150024,1179.780029,1162.089966,1170.800049,228700,1170.800049
"2020-07-28",1171.079956,1180,1164.77002,1166.150024,142100,1166.150024
"2020-07-29",1169.869995,1185.099976,1163.98999,1179.550049,187400,1179.550049
"2020-07-30",1193.930054,1230.540039,1193.930054,1209.75,253200,1209.75
"2020-07-31",1210.579956,1210.579956,1190.219971,1207.420044,181800,1207.420044
"2020-08-03",1212.689941,1217.25,1199.810059,1206.900024,158500,1206.900024
"2020-08-04",1203.72998,1224.949951,1191.719971,1206.040039,132900,1206.040039
"2020-08-05",1209.310059,1209.349976,1192.609985,1192.609985,234000,1192.609985
"2020-08-06",1181.699951,1194.969971,1177.420044,1178.369995,157700,1178.369995
"2020-08-07",1178.369995,1184.949951,1170.219971,1182.219971,200700,1182.219971
"2020-08-10",1185.26001,1186.880005,1169.140015,1174.719971,128600,1174.719971
"2020-08-11",1179.199951,1182.869995,1160.780029,1171.560059,162700,1171.560059
"2020-08-12",1176.849976,1193.790039,1174.449951,1188.369995,167000,1188.369995
"2020-08-13",1183.359985,1190.920044,1177.310059,1187.140015,103900,1187.140015
"2020-08-14",1190.069946,1207.180054,1190,1196.050049,124100,1196.050049
"2020-08-17",1199.01001,1210.650024,1198.650024,1207.75,236900,1207.75
"2020-08-18",1215.699951,1227.27002,1203.660034,1211.810059,252200,1211.810059
"2020-08-19",1213.569946,1221.47998,1200.359985,1210,131500,1210
"2020-08-20",1204.859985,1213.22998,1196.329956,1203.5,120500,1203.5
"2020-08-21",1206.069946,1211.310059,1200.939941,1209.069946,143400,1209.069946
"2020-08-24",1211.609985,1219.130005,1201.449951,1209.930054,143000,1209.930054
"2020-08-25",1209.930054,1213.97998,1188.439941,1201.660034,132600,1201.660034
"2020-08-26",1198.430054,1208.47998,1188.699951,1198.01001,152800,1198.01001
"2020-08-27",1203.170044,1204.459961,1193.800049,1195.890015,136000,1195.890015
"2020-08-28",1193.109985,1199.709961,1178.790039,1189.119995,152600,1189.119995
"2020-08-31",1188.680054,1200.849976,1175.920044,1196.310059,226300,1196.310059
"2020-09-01",1198.349976,1223.469971,1193.900024,1222.430054,206500,1222.430054
"2020-09-02",1227.640015,1267.930054,1225.619995,1250.349976,216100,1250.349976
"2020-09-03",1245.069946,1246.890015,1205.150024,1215.699951,166200,1215.699951
"2020-09-04",1216.550049,1222.180054,1194.650024,1206.790039,157800,1206.790039
"2020-09-08",1204.780029,1224.300049,1196.430054,1211.48999,159700,1211.48999
"2020-09-09",1216.97998,1247.160034,1212.76001,1233,199900,1233
"2020-09-10",1235.680054,1238.130005,1208.550049,1216.040039,172200,1216.040039
"2020-09-11",1222.660034,1240.890015,1216.719971,1234.449951,150500,1234.449951
"2020-09-14",1248.959961,1251.810059,1232.25,1241.660034,163400,1241.660034
"2020-09-15",1247.72998,1251.310059,1239.900024,1242.949951,110900,1242.949951
"2020-09-16",1250.560059,1251.26001,1225.910034,1229.22998,200900,1229.22998
"2020-09-17",1229,1230,1214.48999,1224.119995,176700,1224.119995
"2020-09-18",1214.810059,1224.040039,1188.469971,1205.280029,364000,1205.280029
"2020-09-21",1196.26001,1197.030029,1164.800049,1186.01001,342500,1186.01001
"2020-09-22",1224.170044,1236.01001,1155,1166.709961,537100,1166.709961
"2020-09-23",1174.439941,1174.439941,1128.01001,1128.949951,428400,1128.949951
"2020-09-24",1129.109985,1145.339966,1108.619995,1129.630005,252100,1129.630005
"2020-09-25",1121.76001,1146.650024,1120.550049,1135.02002,201600,1135.02002
"2020-09-28",1145.47998,1162.5,1140.349976,1155.560059,211700,1155.560059
"2020-09-29",1150.780029,1167.060059,1146,1154.920044,175900,1154.920044
"2020-09-30",1153.640015,1183.579956,1153.640015,1177.640015,254800,1177.640015
"2020-10-01",1181.060059,1192.949951,1168.189941,1181.719971,222700,1181.719971
"2020-10-02",1169.810059,1183.76001,1158.859985,1176.98999,137300,1176.98999
"2020-10-05",1174.170044,1191.76001,1174.170044,1178.27002,161100,1178.27002
"2020-10-06",1180.75,1182.839966,1132.119995,1138.530029,251600,1138.530029
"2020-10-07",1146.459961,1155.339966,1136,1139.98999,191000,1139.98999
"2020-10-08",1146.109985,1157.47998,1145.920044,1150,150800,1150
"2020-10-09",1156.650024,1156.650024,1137.079956,1137.73999,160000,1137.73999
"2020-10-12",1142.619995,1158.719971,1129.780029,1144.060059,218900,1144.060059
"2020-10-13",1142.209961,1170.98999,1142.209961,1164.589966,150000,1164.589966
"2020-10-14",1192.550049,1196.76001,1163.380005,1169.030029,193800,1169.030029
"2020-10-15",1160,1199.25,1154.280029,1193.26001,202600,1193.26001
"2020-10-16",1192.439941,1206.449951,1184.5,1193.380005,250200,1193.380005
"2020-10-19",1194.530029,1199.97998,1174.329956,1176.420044,155900,1176.420044
"2020-10-20",1177.589966,1196.5,1176.719971,1178.619995,196000,1178.619995
"2020-10-21",1179.77002,1192.459961,1174.550049,1178.119995,149800,1178.119995
"2020-10-22",1176.469971,1185,1168,1175.550049,151400,1175.550049
"2020-10-23",1180.51001,1187.099976,1161.459961,1183.160034,148900,1183.160034
"2020-10-26",1168.75,1169.449951,1141.790039,1152,148800,1152
"2020-10-27",1155.359985,1156.73999,1132.300049,1133.589966,179200,1133.589966
"2020-10-28",1119.829956,1138.670044,1112.130005,1128.849976,241400,1128.849976
"2020-10-29",1128.5,1142.650024,1118.48999,1129.76001,273900,1129.76001
"2020-10-30",1128.02002,1135.439941,1115.359985,1128.97998,198200,1128.97998
"2020-11-02",1138.550049,1160.890015,1123.959961,1141.150024,242800,1141.150024
"2020-11-03",1147.25,1172.439941,1127.410034,1164.650024,290600,1164.650024
"2020-11-04",1168.099976,1184.290039,1153.709961,1154.02002,381800,1154.02002
"2020-11-05",1170.109985,1174.400024,1145.939941,1149.51001,306000,1149.51001
"2020-11-06",1153.459961,1162.609985,1137.73999,1158.530029,245200,1158.530029
"2020-11-09",1182.839966,1204.400024,1150.959961,1151.390015,349300,1151.390015
"2020-11-10",1151.27002,1181.910034,1150.050049,1170.410034,357400,1170.410034
"2020-11-11",1182.130005,1189.160034,1171.650024,1181.829956,318400,1181.829956
"2020-11-12",1179.829956,1185.199951,1152.060059,1159.72998,183900,1159.72998
"2020-11-13",1160.920044,1167.849976,1145.900024,1155.800049,191200,1155.800049
"2020-11-16",1164.280029,1164.280029,1137.569946,1146.02002,346700,1146.02002
"2020-11-17",1135.800049,1135.849976,1111.689941,1124.209961,293700,1124.209961
"2020-11-18",1118.780029,1151.23999,1118.780029,1131.650024,182400,1131.650024
"2020-11-19",1129.319946,1136.97998,1114.680054,1133.76001,244500,1133.76001
"2020-11-20",1133.5,1137.540039,1112.01001,1114.199951,187900,1114.199951
"2020-11-23",1114.069946,1123.619995,1106.73999,1113.410034,237300,1113.410034
"2020-11-24",1123.439941,1152.310059,1112.47998,1135.790039,247700,1135.790039
"2020-11-25",1137.390015,1141.22998,1120.550049,1129.599976,194200,1129.599976
"2020-11-27",1127.540039,1141.339966,1118.280029,1119.23999,109700,1119.23999
"2020-11-30",1114.810059,1141.97998,1106.619995,1137.650024,272500,1137.650024
"2020-12-01",1148.22998,1170.819946,1140.329956,1164.839966,260300,1164.839966
"2020-12-02",1157.949951,1158.880005,1130.329956,1152.219971,283300,1152.219971
"2020-12-03",1147.079956,1160.410034,1144,1154.01001,181300,1154.01001
"2020-12-04",1150.880005,1165,1150.790039,1162.630005,208200,1162.630005
"2020-12-07",1169.900024,1172.579956,1141.630005,1157.180054,403500,1157.180054
"2020-12-08",1128,1138,1085.849976,1095.98999,789600,1095.98999
"2020-12-09",1107.170044,1146.400024,1098.689941,1136.670044,705600,1136.670044
"2020-12-10",1127.569946,1147.839966,1122.469971,1137.849976,335300,1137.849976
"2020-12-11",1146.109985,1163.099976,1137,1155.300049,329700,1155.300049
"2020-12-14",1159.630005,1182.410034,1142.73999,1151.130005,346200,1151.130005
"2020-12-15",1157.329956,1182.439941,1150.140015,1179.369995,350000,1179.369995
"2020-12-16",1186.25,1210.150024,1180.609985,1190.5,331000,1190.5
"2020-12-17",1196.51001,1208.130005,1172.449951,1180.890015,315400,1180.890015
"2020-12-18",1180.680054,1190.170044,1174.780029,1181.900024,443400,1181.900024
"2020-12-21",1177.170044,1196.189941,1166.209961,1192.910034,249800,1192.910034
"2020-12-22",1192.040039,1196.060059,1177.650024,1190.189941,205100,1190.189941
"2020-12-23",1187.719971,1205.640015,1179.550049,1192.98999,180300,1192.98999
"2020-12-24",1195.939941,1208.01001,1187.130005,1204.219971,82300,1204.219971
"2020-12-28",1210.47998,1220.97998,1186.72998,1192.619995,214200,1192.619995
"2020-12-29",1192.359985,1197.369995,1172.410034,1177.119995,213800,1177.119995
"2020-12-30",1177.609985,1188.310059,1175.290039,1175.869995,146100,1175.869995
"2020-12-31",1173.579956,1187.469971,1169.01001,1185.439941,168600,1185.439941
"2021-01-04",1183.560059,1190.900024,1166.640015,1180.400024,277600,1180.400024
"2021-01-05",1175.839966,1188.449951,1164.160034,1180.349976,185200,1180.349976
"2021-01-06",1175.339966,1231.77002,1175.339966,1229.699951,270200,1229.699951
"2021-01-07",1228.27002,1249.02002,1218.719971,1246.040039,216100,1246.040039
"2021-01-08",1248.76001,1257.530029,1240.880005,1252.920044,208800,1252.920044
"2021-01-11",1248.589966,1269.329956,1246.719971,1265.459961,207700,1265.459961
"2021-01-12",1265.839966,1297.819946,1264.5,1282.150024,256300,1282.150024
"2021-01-13",1276.959961,1279.069946,1253.180054,1259.439941,237100,1259.439941
"2021-01-14",1265.880005,1266.540039,1242.339966,1248.02002,184100,1248.02002
"2021-01-15",1242.969971,1249.359985,1238.130005,1248.329956,257400,1248.329956
"2021-01-19",1248,1251.72998,1230.189941,1238.290039,230800,1238.290039
"2021-01-20",1239.170044,1244.540039,1226.23999,1239.97998,168800,1239.97998
"2021-01-21",1239.339966,1251.369995,1236.349976,1246.410034,204600,1246.410034
"2021-01-22",1241.390015,1241.390015,1225.369995,1227.160034,181200,1227.160034
"2021-01-25",1227,1227.01001,1179.790039,1196.040039,322500,1196.040039
"2021-01-26",1200.26001,1203.050049,1177,1194.550049,251400,1194.550049
"2021-01-27",1184.75,1189.560059,1116,1137.209961,554900,1137.209961
"2021-01-28",1137.290039,1162.209961,1133.180054,1146.640015,402400,1146.640015
"2021-01-29",1145,1147.030029,1111.709961,1118.369995,349100,1118.369995
"2021-02-01",1125,1168.47998,1122.23999,1159.329956,292700,1159.329956
"2021-02-02",1160.160034,1206.209961,1160.160034,1193.670044,242500,1193.670044
"2021-02-03",1187.839966,1203.400024,1181.01001,1194.599976,160500,1194.599976
"2021-02-04",1200,1224.890015,1198.810059,1220.390015,207400,1220.390015
"2021-02-05",1230.51001,1232.829956,1215.390015,1220.430054,231000,1220.430054
"2021-02-08",1220.430054,1234.27002,1219.709961,1224.949951,161200,1224.949951
"2021-02-09",1224.599976,1237.890015,1217.390015,1224.319946,198700,1224.319946
"2021-02-10",1235.160034,1235.23999,1211.140015,1212.670044,205000,1212.670044
"2021-02-11",1210.969971,1218.209961,1139.180054,1150.420044,366400,1150.420044
"2021-02-12",1151.119995,1166.329956,1143.329956,1146.650024,191100,1146.650024
"2021-02-16",1143,1181.650024,1143,1173.319946,225200,1173.319946
"2021-02-17",1165.369995,1200.469971,1165.369995,1192.969971,184800,1192.969971
"2021-02-18",1190.449951,1217.680054,1185.369995,1211.290039,187400,1211.290039
"2021-02-19",1212.339966,1222.5,1198.310059,1205.72998,208100,1205.72998
"2021-02-22",1207.469971,1207.469971,1183.800049,1188.589966,260900,1188.589966
"2021-02-23",1195.310059,1197.219971,1175.109985,1185.189941,221000,1185.189941
"2021-02-24",1182.22998,1194.02002,1168.060059,1189.859985,217800,1189.859985
"2021-02-25",1185.619995,1199.880005,1155.670044,1160.569946,300500,1160.569946
"2021-02-26",1170.040039,1184,1159.449951,1159.920044,353000,1159.920044
"2021-03-01",1173.800049,1180.949951,1164.410034,1169.390015,339300,1169.390015
"2021-03-02",1184.900024,1200,1146.949951,1180,380100,1180
"2021-03-03",1184.01001,1191.680054,1150.76001,1179.73999,351200,1179.73999
"2021-03-04",1178.199951,1189.189941,1145.160034,1168.439941,314300,1168.439941
"2021-03-05",1174.680054,1225.689941,1168,1220.25,271200,1220.25
"2021-03-08",1220,1251.75,1220,1241.109985,247100,1241.109985
"2021-03-09",1254.630005,1256.949951,1222.420044,1222.48999,194500,1222.48999
"2021-03-10",1230.560059,1263.76001,1213.790039,1256,260800,1256
"2021-03-11",1255.97998,1276.900024,1246.560059,1261.930054,228200,1261.930054
"2021-03-12",1268.040039,1290.630005,1266.290039,1285.52002,210600,1285.52002
"2021-03-15",1283.439941,1297.050049,1274.47998,1295.219971,171400,1295.219971
"2021-03-16",1294.540039,1303.25,1279.410034,1299,260100,1299
"2021-03-17",1306.300049,1307.219971,1285.219971,1290.939941,287800,1290.939941
"2021-03-18",1286.920044,1313.810059,1286.790039,1303.579956,224100,1303.579956
"2021-03-19",1299.26001,1339.869995,1293.050049,1324.76001,526300,1324.76001
"2021-03-22",1325.949951,1343.920044,1325.609985,1341.219971,262700,1341.219971
"2021-03-23",1343.060059,1354.180054,1322.75,1323.569946,235700,1323.569946
"2021-03-24",1330.560059,1363.630005,1329.209961,1353.48999,283700,1353.48999
"2021-03-25",1349.469971,1378.199951,1343.310059,1374.410034,301300,1374.410034
"2021-03-26",1374.26001,1424.01001,1370.790039,1413.72998,289100,1413.72998
"2021-03-29",1416.839966,1440.550049,1409.939941,1432.280029,251700,1432.280029
"2021-03-30",1432.280029,1446.23999,1405.280029,1425.359985,228200,1425.359985
"2021-03-31",1429.829956,1429.829956,1402.199951,1404.300049,224200,1404.300049
"2021-04-01",1407.920044,1422.910034,1397.199951,1418.839966,164700,1418.839966
"2021-04-05",1425,1431.930054,1413.060059,1415.880005,148700,1415.880005
"2021-04-06",1410.530029,1441,1409.040039,1431.849976,208100,1431.849976
"2021-04-07",1438.079956,1439.959961,1414.22998,1423.27002,168800,1423.27002
"2021-04-08",1421.219971,1423.319946,1408.119995,1417.150024,137900,1417.150024
"2021-04-09",1422.27002,1441.890015,1409.72998,1438.5,240000,1438.5
"2021-04-12",1439.800049,1458.180054,1433.48999,1454.189941,207900,1454.189941
"2021-04-13",1454.910034,1454.910034,1430.5,1435.910034,147800,1435.910034
"2021-04-14",1437.849976,1455.359985,1424.099976,1450.890015,171200,1450.890015
"2021-04-15",1451.01001,1470.930054,1450.719971,1467.439941,108100,1467.439941
"2021-04-16",1475.839966,1499.73999,1468.880005,1495.839966,237600,1495.839966
"2021-04-19",1495.73999,1516.589966,1494.199951,1504.300049,149900,1504.300049
"2021-04-20",1512.349976,1524.97998,1501.689941,1514.109985,161000,1514.109985
