"","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted"
"2020-07-01",24.030001,24.07,23.23,23.26,57379900,22.284492
"2020-07-02",23.84,23.99,23.219999,23.290001,56000200,22.313236
"2020-07-06",23.82,24.08,23.459999,23.66,59589000,22.667717
"2020-07-07",23.379999,23.389999,22.9,23.01,60645800,22.044977
"2020-07-08",23.030001,23.190001,22.700001,23.1,52922600,22.131203
"2020-07-09",22.940001,23.16,22.389999,22.77,79385900,21.815042
"2020-07-10",22.709999,24.049999,22.68,24.02,81142900,23.012617
"2020-07-13",24.370001,24.51,23.860001,24.190001,73598100,23.175488
"2020-07-14",23.889999,24.15,23.450001,24.139999,67423100,23.127586
"2020-07-15",24.76,24.870001,24.280001,24.6,57384400,23.568295
"2020-07-16",23.75,24.219999,23.540001,23.93,78067100,22.926394
"2020-07-17",23.879999,23.98,23.200001,23.219999,66659100,22.24617
"2020-07-20",23.190001,23.700001,23.110001,23.58,61114000,22.591076
"2020-07-21",23.709999,24.48,23.690001,24.42,75499300,23.395842
"2020-07-22",24.24,24.33,23.969999,24.309999,52193700,23.290453
"2020-07-23",24.52,24.639999,24.110001,24.540001,61047600,23.510809
"2020-07-24",24.559999,24.83,24.27,24.35,50217600,23.328779
"2020-07-27",24.219999,24.27,23.879999,24.139999,54721300,23.127586
"2020-07-28",24.129999,24.559999,24.08,24.360001,48406500,23.338362
"2020-07-29",24.360001,25.290001,24.190001,25.27,71393500,24.210197
"2020-07-30",24.719999,24.950001,24.35,24.84,61755900,23.798229
"2020-07-31",24.93,24.950001,24.459999,24.879999,61955800,23.836552
"2020-08-03",25.030001,25.309999,24.690001,24.99,58284000,23.941938
"2020-08-04",24.959999,25.059999,24.860001,25.01,37985300,23.961098
"2020-08-05",25.32,25.59,25.25,25.389999,51322600,24.325161
"2020-08-06",25.450001,25.67,25.280001,25.469999,51999700,24.401806
"2020-08-07",25.34,26.190001,25.26,26.110001,63354500,25.014965
"2020-08-10",26.309999,26.809999,26.209999,26.559999,64051100,25.446095
"2020-08-11",27.280001,27.75,26.780001,26.92,81441000,25.790997
"2020-08-12",27.48,27.57,26.41,26.73,61971300,25.608963
"2020-08-13",26.49,26.67,26.139999,26.35,55955500,25.244896
"2020-08-14",26.059999,26.66,25.92,26.469999,50931900,25.359865
"2020-08-17",26.309999,26.41,25.84,25.9,57518700,24.813772
"2020-08-18",25.870001,25.99,25.459999,25.530001,45850100,24.459288
"2020-08-19",25.66,26.08,25.389999,25.5,59856000,24.43055
"2020-08-20",25.16,25.33,25.02,25.1,49403700,24.047325
"2020-08-21",24.98,25.43,24.9,24.98,55010700,23.932356
"2020-08-24",25.219999,25.700001,25.040001,25.690001,54579500,24.612579
"2020-08-25",26.040001,26.190001,25.73,26,57304700,24.909578
"2020-08-26",25.940001,25.940001,25.540001,25.559999,39478000,24.488033
"2020-08-27",25.49,26.219999,25.440001,26.049999,52934800,24.957481
"2020-08-28",26.4,26.469999,25.99,26.299999,46466400,25.196995
"2020-08-31",26.09,26.139999,25.690001,25.74,49416200,24.660482
"2020-09-01",25.58,25.9,25.4,25.709999,46109200,24.631739
"2020-09-02",25.530001,26.16,25.49,26.02,57300900,24.928741
"2020-09-03",26.200001,26.620001,25.459999,25.66,86192500,24.755089
"2020-09-04",26.26,26.76,25.799999,26.540001,99621400,25.604055
"2020-09-08",26.139999,26.32,25.389999,25.48,74978600,24.581436
"2020-09-09",25.639999,25.719999,25.23,25.51,53822700,24.61038
"2020-09-10",25.700001,25.889999,25.08,25.139999,56609600,24.253426
"2020-09-11",25.219999,25.58,25.09,25.5,47708300,24.600733
"2020-09-14",25.67,25.99,25.540001,25.75,47802400,24.841911
"2020-09-15",25.77,25.83,25.190001,25.280001,63820200,24.388491
"2020-09-16",25.280001,25.91,25.049999,25.6,64598600,24.697203
"2020-09-17",25.129999,25.48,25.1,25.35,48862000,24.456022
"2020-09-18",25.15,25.58,25.1,25.209999,94055800,24.320957
"2020-09-21",24.57,24.780001,24.030001,24.469999,75218600,23.607054
"2020-09-22",24.27,24.6,23.809999,23.940001,68665300,23.095741
"2020-09-23",24.1,24.26,23.26,23.26,59950300,22.439726
"2020-09-24",23.379999,23.82,22.950001,23.34,53570700,22.516901
"2020-09-25",23.280001,23.549999,23.129999,23.49,42111300,22.661613
"2020-09-28",23.879999,24.309999,23.790001,24.09,47996900,23.240454
"2020-09-29",23.98,23.99,23.530001,23.77,45695200,22.931742
