"","BALL.Open","BALL.High","BALL.Low","BALL.Close","BALL.Volume","BALL.Adjusted"
"2020-07-01",69.480003,70.970001,69.18,70.68,2056600,69.550545
"2020-07-02",71.080002,72.019997,70.730003,71.809998,1786900,70.662483
"2020-07-06",72.669998,72.669998,71.199997,72.440002,2593600,71.282433
"2020-07-07",71.959999,73.190002,71.779999,72.68,1892800,71.518585
"2020-07-08",72.690002,73.190002,71.459999,72.139999,1931700,70.987213
"2020-07-09",71.910004,72.059998,70.779999,71.75,1914300,70.603439
"2020-07-10",71.580002,72.580002,71.239998,72.400002,916500,71.243065
"2020-07-13",72.809998,72.970001,71.489998,71.629997,1739300,70.485359
"2020-07-14",71.629997,73.75,71.209999,73.610001,1528900,72.433723
"2020-07-15",74.419998,74.769997,68.769997,69.519997,4454200,68.409065
"2020-07-16",70.029999,70.040001,68.389999,69.470001,3164400,68.359879
"2020-07-17",69.949997,70.529999,69.559998,70.290001,2027800,69.166786
"2020-07-20",70.110001,73.68,70,72.760002,3645000,71.597313
"2020-07-21",73.050003,73.459999,71.699997,72.68,1984400,71.518585
"2020-07-22",73.300003,73.57,72.75,73.18,1811900,72.010605
"2020-07-23",73.269997,74.129997,72.790001,72.989998,1739300,71.823624
"2020-07-24",73.199997,73.779999,72.790001,73.160004,1500200,71.990913
"2020-07-27",73.400002,75.529999,73.190002,74.57,2256300,73.378372
"2020-07-28",74.419998,75,73.480003,74.080002,1257100,72.896217
"2020-07-29",74.379997,74.690002,73.610001,73.769997,1742800,72.591171
"2020-07-30",73.110001,73.739998,72.559998,73.449997,1871300,72.276283
"2020-07-31",73.089996,73.669998,72.519997,73.629997,1839800,72.453407
"2020-08-03",74,75.029999,73.370003,74.18,2525000,72.994614
"2020-08-04",73.809998,75.389999,73.580002,75.129997,2052000,73.929436
"2020-08-05",75.5,75.970001,74.82,75.040001,2173600,73.840874
"2020-08-06",75.5,75.559998,73.550003,74.440002,2930000,73.250465
"2020-08-07",74.779999,76,74.5,75.529999,1938500,74.323044
"2020-08-10",75.5,75.940002,75.25,75.330002,1882100,74.126244
"2020-08-11",75.260002,76.080002,73.589996,73.949997,1652100,72.768288
"2020-08-12",74.410004,74.720001,73.900002,74.379997,965800,73.191422
"2020-08-13",74.07,75.440002,74.019997,75.230003,1127900,74.02784
"2020-08-14",75,75.93,75,75.5,962700,74.293533
"2020-08-17",75.910004,76.239998,75.410004,76.209999,2190500,74.992172
"2020-08-18",76.459999,76.970001,75.800003,76.360001,1143300,75.139771
"2020-08-19",77,77.290001,75.629997,75.879997,1002500,74.667442
"2020-08-20",75.559998,76.470001,75,75.760002,948000,74.54937
"2020-08-21",75.529999,76.949997,75.260002,76.620003,1475300,75.395622
"2020-08-24",76.919998,77.489998,76.919998,77.25,1039800,76.015556
"2020-08-25",77.410004,77.519997,76.830002,77.470001,1069200,76.23204
"2020-08-26",77.900002,79.150002,77.080002,78.919998,2040000,77.658867
"2020-08-27",78.959999,79.849998,78.93,79.339996,1495600,78.072159
"2020-08-28",79.209999,80.540001,78.68,80.269997,1460000,78.987289
"2020-08-31",80.209999,80.779999,80.089996,80.370003,1334900,79.233757
"2020-09-01",80.199997,81.980003,80.089996,81.970001,1972800,80.81115
"2020-09-02",82,84.650002,81.489998,84.589996,2596400,83.394096
"2020-09-03",84.470001,84.730003,82.07,83.239998,1962300,82.063179
"2020-09-04",83.790001,83.790001,80.860001,82.470001,1729100,81.304077
"2020-09-08",81.470001,81.650002,79.760002,80.550003,1723600,79.411224
"2020-09-09",81.300003,82.93,81.040001,81.620003,1690700,80.466095
"2020-09-10",81.779999,82.300003,80.580002,81,1007000,79.854858
"2020-09-11",81.57,81.949997,81.019997,81.68,1320200,80.525246
"2020-09-14",82.300003,83.589996,82.230003,83.279999,870500,82.102623
"2020-09-15",83.879997,85.089996,83.75,84.43,1032200,83.236366
"2020-09-16",84.690002,85.68,83.970001,84.669998,1651500,83.472961
"2020-09-17",83.989998,84.379997,82.949997,84.099998,1563000,82.911026
"2020-09-18",83.540001,84.349998,82.620003,82.889999,1831900,81.71814
"2020-09-21",81.779999,81.879997,79.889999,81.029999,1749300,79.884422
"2020-09-22",81.339996,82.029999,81,81.580002,1749800,80.426659
"2020-09-23",81.529999,81.900002,79.610001,79.849998,1992800,78.721107
"2020-09-24",79.529999,81.389999,78.580002,80.099998,1772200,78.96759
"2020-09-25",79.790001,81.739998,79.239998,81.470001,988100,80.318214
"2020-09-28",82.239998,82.800003,81.300003,82.239998,912000,81.077324
"2020-09-29",82.220001,82.919998,81.75,82.360001,916700,81.195633
"2020-09-30",82.769997,84,82.199997,83.120003,1570100,81.944878
"2020-10-01",83.629997,84.290001,82.480003,82.599998,1735100,81.432236
"2020-10-02",81.669998,83.25,81.43,82.669998,1368600,81.501244
"2020-10-05",83.82,86.400002,83.580002,85.370003,2186000,84.163078
"2020-10-06",85.57,86.190002,83.989998,84.309998,1809700,83.118065
"2020-10-07",85.75,86.870003,85.519997,86.550003,1366400,85.326385
"2020-10-08",88.129997,89.400002,87.68,89,2190400,87.741753
"2020-10-09",89.449997,90.889999,89.199997,90.260002,1567900,88.983948
