"","BAX.Open","BAX.High","BAX.Low","BAX.Close","BAX.Volume","BAX.Adjusted"
"2020-07-01",86.470001,87.650002,86.239998,87.309998,2755900,84.971863
"2020-07-02",87.639999,87.660004,86.93,87.209999,2536800,84.874557
"2020-07-06",87.769997,88.5,87.559998,88.110001,2724400,85.75045
"2020-07-07",86.730003,87.230003,84.959999,85.5,4541600,83.21035
"2020-07-08",85.800003,85.940002,83.730003,84.18,3722500,81.92569
"2020-07-09",84.199997,86.010002,84.199997,85.690002,2445800,83.395264
"2020-07-10",85.540001,85.93,84.779999,85.230003,2213300,82.947578
"2020-07-13",85.510002,86,83.239998,83.459999,3028100,81.224976
"2020-07-14",82.970001,84.669998,82.879997,84.650002,4071100,82.383095
"2020-07-15",85.910004,87.519997,85.379997,87.089996,2587000,84.757751
"2020-07-16",87.110001,87.110001,85.5,85.809998,1187800,83.512032
"2020-07-17",86.300003,87.800003,86.019997,87.559998,1980200,85.215172
"2020-07-20",87.510002,88,86.849998,87.82,1411100,85.468216
"2020-07-21",87.93,88.93,87.82,88.669998,1528400,86.295441
"2020-07-22",88.669998,89.440002,88.25,89.199997,1619800,86.811264
"2020-07-23",89.089996,90.809998,89.089996,89.489998,2013500,87.093483
"2020-07-24",89.32,89.419998,88.330002,89.260002,2362000,86.869652
"2020-07-27",89.330002,90.360001,89.029999,89.290001,1419600,86.898842
"2020-07-28",89.370003,89.790001,88.870003,89.260002,1288600,86.869652
"2020-07-29",89.419998,91.449997,89.279999,90.730003,2220500,88.300285
"2020-07-30",85,86.110001,82.919998,86.010002,8532500,83.70668
"2020-07-31",85.68,86.639999,84.760002,86.379997,4038200,84.066772
"2020-08-03",86.959999,87.120003,83.120003,83.160004,4450800,80.933014
"2020-08-04",82.769997,83.239998,80.93,81.080002,5473300,78.908714
"2020-08-05",81.449997,82.110001,80.07,80.459999,5130400,78.305313
"2020-08-06",80.209999,80.389999,78.68,80.370003,5485200,78.21772
"2020-08-07",80.489998,81.110001,79.989998,80.730003,3401000,78.568077
"2020-08-10",80.839996,83.360001,80.370003,83.099998,5767100,80.874611
"2020-08-11",83.5,84.290001,82.720001,82.940002,3685200,80.718895
"2020-08-12",83.169998,83.82,82.419998,83.480003,3170000,81.244438
"2020-08-13",83.18,84.919998,83.169998,84.639999,3301000,82.373367
"2020-08-14",84.489998,84.730003,83.18,83.5,2757000,81.263893
"2020-08-17",83.370003,84.489998,83.370003,83.699997,2583900,81.458549
"2020-08-18",84,84.519997,83.779999,84.269997,2289400,82.01329
"2020-08-19",84.330002,84.5,82.660004,82.889999,3174500,80.670235
"2020-08-20",82.550003,83.239998,82.410004,82.889999,2391900,80.670235
"2020-08-21",83,83.139999,82.129997,83.089996,2975800,80.864868
"2020-08-24",83.519997,83.889999,82.879997,83.849998,2642800,81.60453
"2020-08-25",83.980003,84.760002,83.82,84.599998,2775900,82.334435
"2020-08-26",84.110001,84.489998,83.260002,84.349998,2067100,82.091133
"2020-08-27",84.599998,86.889999,84.139999,86.269997,3252200,83.959717
"2020-08-28",86.389999,86.470001,84.860001,86.029999,2516400,83.9646
"2020-08-31",86.25,87.25,86.18,87.07,2736900,84.97963
"2020-09-01",86.900002,86.980003,84.970001,85.550003,3102700,83.49614
"2020-09-02",85.739998,86.160004,85.169998,85.910004,5148500,83.847488
"2020-09-03",85.769997,86.139999,82.760002,83.470001,3139700,81.466072
"2020-09-04",83.120003,83.779999,81.489998,82.300003,3143800,80.324158
"2020-09-08",81.809998,82.300003,80.849998,81.290001,2819500,79.338402
"2020-09-09",82.010002,83.459999,81.709999,82.860001,2759800,80.87072
"2020-09-10",82.75,83.559998,82.230003,83.129997,2620400,81.134224
"2020-09-11",83.360001,83.839996,82.459999,83.099998,2342900,81.104942
"2020-09-14",83.589996,84.639999,83.080002,83.190002,1833400,81.19278
"2020-09-15",83.650002,83.650002,80.360001,80.510002,3446600,78.577133
"2020-09-16",81.089996,81.989998,80.519997,81.68,3769300,79.719032
"2020-09-17",81.059998,82.389999,80.510002,82.32,2607400,80.343674
"2020-09-18",82.160004,83.790001,82.160004,82.970001,5497500,80.978073
"2020-09-21",81.809998,81.860001,79.239998,80.25,2721000,78.323364
"2020-09-22",80.099998,80.220001,78.029999,79.050003,3184400,77.152191
"2020-09-23",79.400002,79.870003,78.279999,78.330002,2028200,76.449463
"2020-09-24",78.400002,79.360001,77.720001,78.699997,3797400,76.81057
"2020-09-25",78.470001,79.959999,78.25,79.639999,2231300,77.728012
"2020-09-28",80.559998,81.099998,79.379997,79.540001,1793200,77.630409
"2020-09-29",79.389999,80.410004,79.019997,79.089996,3590500,77.191216
"2020-09-30",79.489998,81.199997,79.029999,80.419998,3055500,78.489281
"2020-10-01",82.019997,82.389999,79.440002,79.720001,2110300,77.806099
"2020-10-02",79.339996,79.93,78.639999,78.830002,1536700,76.937469
"2020-10-05",79.169998,80.690002,79.07,80.57,2398800,78.635689
"2020-10-06",80.480003,81.970001,80.279999,80.459999,2565500,78.528328
"2020-10-07",80.910004,82.019997,80.269997,81.650002,1506600,79.689751
"2020-10-08",81,81.300003,78.559998,78.849998,4324400,76.956978
"2020-10-09",78.849998,79.040001,77.730003,78.5,4039100,76.615379
"2020-10-12",78.830002,79.989998,78.540001,79.629997,2714500,77.718246
"2020-10-13",79.480003,80.830002,79.290001,80.099998,1972600,78.176964
"2020-10-14",80.32,81.339996,80,80.040001,1658700,78.118416
"2020-10-15",79.239998,80.730003,79.230003,80.559998,2154200,78.625923
"2020-10-16",80.629997,82.309998,80.629997,81.82,1779800,79.855682
"2020-10-19",81.870003,82.610001,80.75,81.190002,2627900,79.240807
"2020-10-20",81.510002,81.839996,80.779999,81.139999,3188200,79.192001
"2020-10-21",81.32,82.230003,80.790001,81.739998,2788100,79.777596
"2020-10-22",81.870003,82.419998,81.269997,81.449997,1933800,79.494553
"2020-10-23",81.730003,81.93,80.839996,81.089996,1677000,79.143196
"2020-10-26",80.260002,80.93,79.529999,80.010002,2380600,78.089134
"2020-10-27",80.589996,82,80.330002,80.620003,3333400,78.684479
"2020-10-28",79.440002,79.940002,78.110001,78.150002,3098600,76.273781
"2020-10-29",79.07,79.910004,77.089996,78.080002,3326400,76.205467
"2020-10-30",77.260002,78.120003,76.029999,77.57,2644200,75.70771
"2020-11-02",78.150002,79.760002,77.870003,78.669998,2228800,76.781296
"2020-11-03",78.800003,80.209999,77.220001,77.260002,3807700,75.405151
"2020-11-04",78.160004,78.82,75.519997,75.669998,6719400,73.853325
"2020-11-05",77.099998,78.400002,76.059998,77.760002,4611000,75.89315
"2020-11-06",78.150002,79.220001,77.699997,78.93,3141100,77.035049
"2020-11-09",81.739998,82.839996,80.870003,80.970001,5990800,79.026085
"2020-11-10",81.199997,81.900002,79.160004,81.550003,5213100,79.592163
"2020-11-11",81.989998,82.330002,80.379997,80.93,5525100,78.987053
"2020-11-12",80.809998,82.18,80.519997,81.660004,3289200,79.699516
"2020-11-13",81.889999,82.800003,81.660004,82.360001,2195000,80.382706
"2020-11-16",82.830002,82.879997,80.239998,80.980003,3391200,79.035843
"2020-11-17",80.449997,80.879997,80.080002,80.779999,3877200,78.840645
"2020-11-18",80.739998,81.379997,80.370003,80.419998,3946100,78.489281
"2020-11-19",80.330002,80.360001,78.220001,78.879997,2622800,76.986252
"2020-11-20",78.639999,78.959999,76.989998,77.019997,2878800,75.170906
"2020-11-23",76.739998,77.019997,75.309998,75.769997,3049400,73.950912
"2020-11-24",76.010002,76.559998,75.279999,76.029999,4588500,74.204674
"2020-11-25",76.150002,76.160004,75.199997,75.389999,1910700,73.58004
"2020-11-27",75.760002,76.239998,75.360001,75.970001,811800,74.146126
"2020-11-30",76.120003,76.889999,75.610001,76.07,5824500,74.243713
"2020-12-01",76.610001,77.089996,75.400002,75.510002,3037900,73.697174
"2020-12-02",75.809998,76.360001,74.790001,76.349998,4112900,74.516991
"2020-12-03",75.529999,76.519997,75.379997,76.32,5419500,74.727516
"2020-12-04",76.199997,78.279999,76.099998,78,3223500,76.372459
"2020-12-07",77.790001,78.639999,77.5,77.769997,3816400,76.147263
"2020-12-08",77.540001,78.260002,76.790001,77.93,3628600,76.303917
"2020-12-09",77.959999,80.599998,77.919998,79.300003,5307900,77.645348
"2020-12-10",79.580002,80.07,79.120003,79.160004,2793700,77.508255
"2020-12-11",78.720001,79.510002,77.730003,79.339996,3881500,77.684494
"2020-12-14",79.809998,80.599998,78.82,78.830002,3686800,77.18515
"2020-12-15",78.300003,79.949997,78.18,79.620003,2923500,77.958664
"2020-12-16",79.639999,80.910004,79.379997,80,2331400,78.330727
"2020-12-17",80.260002,81.629997,80.010002,81.040001,2471400,79.34903
"2020-12-18",80.980003,81.260002,80.330002,80.860001,4513700,79.172791
"2020-12-21",80.040001,80.120003,78.029999,79.050003,2472200,77.400558
"2020-12-22",78.269997,79.480003,78.080002,78.660004,2370300,77.018692
"2020-12-23",79,79.389999,78.440002,78.75,1979200,77.106812
"2020-12-24",78.809998,79.610001,78.650002,79.589996,743200,77.929276
"2020-12-28",79.879997,80.160004,78.839996,79.260002,1254500,77.606171
"2020-12-29",79.860001,80.449997,79.699997,80,1366100,78.330727
"2020-12-30",80.169998,80.349998,79.099998,79.199997,1344700,77.547417
"2020-12-31",79.199997,80.290001,78.720001,80.239998,1770200,78.565727
"2021-01-04",80.489998,80.989998,79.309998,80.120003,3467100,78.448242
"2021-01-05",80.129997,81.730003,79.489998,81.220001,2714100,79.525276
"2021-01-06",79.599998,81.43,79.599998,80.940002,3062200,79.251114
"2021-01-07",80.959999,81.720001,80.370003,81.489998,1688400,79.789642
"2021-01-08",81.529999,82.139999,81.040001,81.699997,1728300,79.995255
"2021-01-11",82.199997,82.889999,81.32,82.470001,2285500,80.749191
"2021-01-12",82.040001,82.360001,79.889999,80.559998,2897700,78.879044
"2021-01-13",80.419998,82.849998,80.239998,82.400002,4140100,80.680656
"2021-01-14",81.970001,82.379997,79.839996,80.050003,3308800,78.379684
"2021-01-15",80.050003,80.269997,79.220001,80.040001,1646200,78.369896
"2021-01-19",80.559998,80.650002,78.559998,78.830002,3018100,77.18515
"2021-01-20",78.660004,79.75,78.519997,79.519997,2903700,77.860741
"2021-01-21",79.169998,80.339996,78.849998,80.010002,2278600,78.340538
"2021-01-22",80.029999,80.139999,79.510002,79.510002,1294600,77.85096
"2021-01-25",79.480003,80.720001,79.139999,80.099998,1683500,78.428635
