"","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2020-07-01",185.880005,190.610001,180.039993,180.320007,49036700,180.320007
"2020-07-02",185.580002,187.789993,180.429993,180.809998,41792300,180.809998
"2020-07-06",184.520004,189.360001,181.600006,187.910004,49471700,187.910004
"2020-07-07",185.070007,185.070007,178.649994,178.880005,37105300,178.880005
"2020-07-08",179.050003,181.580002,175.509995,180.080002,38116200,180.080002
"2020-07-09",179.669998,180.75,172.809998,173.279999,33514500,173.279999
"2020-07-10",171.699997,179.330002,169.75,178.440002,40955600,178.440002
"2020-07-13",180.199997,183.25,174.360001,175.649994,43364700,175.649994
"2020-07-14",177,181.300003,173.410004,179.960007,39256200,179.960007
"2020-07-15",185.539993,189.529999,181.25,187.940002,48044800,187.940002
"2020-07-16",184.320007,184.589996,177.339996,178.699997,35050000,178.699997
"2020-07-17",178.410004,181.100006,175.550003,175.660004,26170500,175.660004
"2020-07-20",175.130005,176.570007,171.619995,174.419998,25294300,174.419998
"2020-07-21",178.429993,182.649994,176.75,178.630005,40740500,178.630005
"2020-07-22",176.429993,182.949997,175.389999,179.789993,29790300,179.789993
"2020-07-23",178,182.5,175.419998,176.449997,29587200,176.449997
"2020-07-24",175.679993,181.100006,173.600006,173.759995,28548000,173.759995
"2020-07-27",173.190002,174.139999,169,170.210007,30243800,170.210007
"2020-07-28",168.5,173.740005,168.229996,170.839996,25349100,170.839996
"2020-07-29",172.899994,173.009995,162.25,166.009995,51709600,166.009995
"2020-07-30",162.880005,164.550003,160.639999,161.949997,29140000,161.949997
"2020-07-31",161.550003,163.399994,156.259995,158,30263100,158
"2020-08-03",156.509995,163.580002,153.410004,162.270004,38520500,162.270004
"2020-08-04",164.630005,167.399994,163.009995,165.070007,30853500,165.070007
"2020-08-05",167.600006,174.979996,166.399994,174.279999,46189200,174.279999
"2020-08-06",172.800003,175.570007,170.600006,172.199997,32921600,172.199997
"2020-08-07",171.5,171.860001,168.699997,170.020004,19318000,170.020004
"2020-08-10",171.360001,179.789993,171.330002,179.410004,35857700,179.410004
"2020-08-11",184.509995,189.970001,179.529999,180.130005,61036600,180.130005
"2020-08-12",184.009995,184.149994,173.190002,175.440002,40674400,175.440002
"2020-08-13",173.619995,179.470001,172.429993,174.729996,22958800,174.729996
"2020-08-14",173.089996,179.470001,172.350006,178.080002,32414100,178.080002
"2020-08-17",178.240005,178.289993,171.410004,172.009995,23352100,172.009995
"2020-08-18",172.009995,173.240005,169.009995,170.229996,21488500,170.229996
"2020-08-19",170.440002,174.100006,169.089996,169.270004,25601500,169.270004
"2020-08-20",168.539993,170.839996,165.860001,169.580002,23213400,169.580002
"2020-08-21",168.350006,170.080002,167.270004,167.5,16945900,167.5
"2020-08-24",168.779999,178.270004,167.929993,178.270004,39317100,178.270004
"2020-08-25",180.460007,180.630005,172.440002,174.729996,31318500,174.729996
"2020-08-26",173.800003,174.429993,171.350006,171.899994,16189800,171.899994
"2020-08-27",174.710007,181.309998,173.559998,174.199997,29548100,174.199997
"2020-08-28",175.110001,177.279999,172.570007,175.800003,20383900,175.800003
"2020-08-31",174.649994,175.270004,171.699997,171.820007,16264300,171.820007
"2020-09-01",170.710007,175.490005,169.25,172.100006,18977300,172.100006
"2020-09-02",172.740005,175,171.449997,174.779999,16552100,174.779999
"2020-09-03",175,180.850006,168.119995,168.770004,27799400,168.770004
"2020-09-04",171.309998,172.830002,164,171.050003,18867300,171.050003
"2020-09-08",165.800003,166.899994,160.5,161.080002,22622700,161.080002
"2020-09-09",161.610001,163.059998,157,160.779999,21951400,160.779999
"2020-09-10",160.960007,163.779999,157.570007,157.690002,14532600,157.690002
"2020-09-11",158,161.360001,156.320007,160.229996,14722400,160.229996
"2020-09-14",161.75,165.940002,158.899994,165.350006,17228400,165.350006
"2020-09-15",166.649994,168.839996,163.330002,163.490005,14881700,163.490005
"2020-09-16",161.949997,170.570007,160.309998,167.460007,21851400,167.460007
"2020-09-17",164.630005,168.460007,161.050003,167.529999,19717800,167.529999
"2020-09-18",165.660004,169.720001,161.020004,161.139999,22057100,161.139999
"2020-09-21",157.830002,158.830002,154.199997,156.350006,23125300,156.350006
"2020-09-22",156.809998,160.070007,154.949997,156.800003,17768900,156.800003
"2020-09-23",157.330002,160.419998,150.889999,151.179993,18247500,151.179993
"2020-09-24",150.289993,150.309998,145.020004,146.050003,27098100,146.050003
"2020-09-25",146.850006,156.309998,146.419998,156.029999,29123000,156.029999
"2020-09-28",160.330002,168,159.199997,166.080002,38868200,166.080002
"2020-09-29",164.770004,165.5,162.009995,163.600006,19874700,163.600006
"2020-09-30",164.5,170.979996,164.110001,165.259995,38436700,165.259995
"2020-10-01",170.149994,172.759995,165.570007,167.860001,30677100,167.860001
"2020-10-02",161.860001,169.779999,161.800003,168.080002,31773800,168.080002
"2020-10-05",169.490005,172.080002,167.509995,171.199997,19082100,171.199997
"2020-10-06",173.039993,175.559998,159.330002,159.539993,47132500,159.539993
"2020-10-07",163.710007,166.339996,162.380005,164.610001,26019100,164.610001
"2020-10-08",166.220001,168.089996,163.539993,168,20598600,168
"2020-10-09",169.929993,170,166.820007,167.330002,17406000,167.330002
"2020-10-12",167.75,169.199997,165.949997,167.350006,12176600,167.350006
"2020-10-13",165.360001,165.529999,162.089996,162.139999,15182600,162.139999
"2020-10-14",162.699997,165.169998,162.490005,163.240005,10505500,163.240005
"2020-10-15",161.009995,164.539993,158.729996,164.240005,13226800,164.240005
"2020-10-16",171.220001,173.419998,167.270004,167.350006,31780600,167.350006
"2020-10-19",169.089996,170.839996,166.110001,167.110001,16519600,167.110001
"2020-10-20",168.289993,169.289993,166.179993,167.240005,12319900,167.240005
"2020-10-21",166.440002,167.630005,163.820007,163.860001,11450600,163.860001
"2020-10-22",164.699997,169.630005,164.100006,169.070007,14238200,169.070007
"2020-10-23",169.990005,170.259995,166.050003,167.360001,10024200,167.360001
"2020-10-26",164.949997,165.5,159.050003,160.830002,16151100,160.830002
"2020-10-27",159.160004,160.25,155,155.240005,15491900,155.240005
"2020-10-28",153,153.949997,148,148.139999,20279800,148.139999
"2020-10-29",148.029999,150.100006,146.600006,148.289993,14554300,148.289993
"2020-10-30",147.199997,149.169998,141.580002,144.389999,15374700,144.389999
"2020-11-02",145.75,149.589996,143.380005,148.600006,13854600,148.600006
"2020-11-03",151.830002,154.820007,150.639999,153.649994,12249800,153.649994
"2020-11-04",153.169998,155.399994,151.169998,151.630005,11344700,151.630005
"2020-11-05",152.479996,157.630005,152.100006,157.089996,12328300,157.089996
"2020-11-06",156.330002,158.470001,154.520004,157.740005,8995600,157.740005
"2020-11-09",179,184.460007,172.160004,179.360001,49014400,179.360001
"2020-11-10",182.800003,193.949997,180.380005,188.690002,46404300,188.690002
"2020-11-11",189.889999,190,180.410004,182.149994,29907800,182.149994
"2020-11-12",178.949997,184.589996,176.25,176.720001,20288400,176.720001
"2020-11-13",179,187.270004,178.710007,187.110001,19724500,187.110001
"2020-11-16",194.559998,202.940002,191.350006,202.399994,40562800,202.399994
"2020-11-17",200.25,211.199997,196.050003,210.050003,38299300,210.050003
"2020-11-18",223.020004,223.020004,203,203.300003,65990700,203.300003
"2020-11-19",200.449997,209.440002,199.899994,205.669998,34236100,205.669998
"2020-11-20",204.589996,206.580002,199.169998,199.619995,18230900,199.619995
"2020-11-23",203.240005,214.210007,201.869995,211.529999,28372400,211.529999
"2020-11-24",219.429993,222.949997,215.759995,218.490005,31132000,218.490005
"2020-11-25",217.710007,221,213.089996,217.610001,19254100,217.610001
"2020-11-27",218.25,219.929993,216.039993,216.5,9970200,216.5
"2020-11-30",215.699997,217.779999,208.520004,210.710007,16501900,210.710007
"2020-12-01",214.309998,218.089996,213,213.009995,15754200,213.009995
"2020-12-02",213.009995,224.990005,210.300003,223.850006,25912300,223.850006
"2020-12-03",228.300003,242,226.529999,237.199997,45945100,237.199997
"2020-12-04",236.360001,238.179993,230.25,232.710007,29378400,232.710007
"2020-12-07",238.5,244.080002,237.110001,238.169998,33246700,238.169998
"2020-12-08",238.699997,241.699997,234.460007,236.570007,19682000,236.570007
"2020-12-09",238.639999,240.839996,228.279999,232.059998,19043600,232.059998
"2020-12-10",228.100006,237.009995,228.020004,234.429993,16185000,234.429993
"2020-12-11",232.820007,236.220001,228.330002,230.330002,17311800,230.330002
"2020-12-14",235,237.630005,228.369995,228.619995,19231200,228.619995
"2020-12-15",230,232.5,224.360001,229.5,18993700,229.5
"2020-12-16",229.330002,232.369995,225.300003,225.869995,17858400,225.869995
"2020-12-17",227.240005,228.490005,220.529999,221.240005,17465600,221.240005
"2020-12-18",222.050003,223.460007,218.610001,219.75,19092800,219.75
"2020-12-21",212.339996,219.429993,211.100006,219.309998,18726500,219.309998
"2020-12-22",223.279999,223.889999,217.699997,218.779999,13280000,218.779999
"2020-12-23",219.550003,224.399994,219.320007,219.690002,10869000,219.690002
"2020-12-24",219.619995,219.880005,216.050003,217.149994,6398500,217.149994
"2020-12-28",218.190002,219.199997,215.160004,216.089996,9090600,216.089996
"2020-12-29",218.300003,221.679993,215.399994,216.25,14593800,216.25
"2020-12-30",216.360001,218.550003,214.369995,216.669998,10812600,216.669998
"2020-12-31",216.240005,216.899994,212.699997,214.059998,10487600,214.059998
"2021-01-04",210,210.199997,202.490005,202.720001,21225600,202.720001
"2021-01-05",204.740005,213.350006,204.600006,211.630005,19338300,211.630005
"2021-01-06",210.220001,215.610001,209.339996,211.029999,16202200,211.029999
"2021-01-07",213.389999,216.600006,211.779999,212.710007,14474100,212.710007
"2021-01-08",213.610001,214.100006,208.160004,209.899994,14144000,209.899994
"2021-01-11",203.029999,207.779999,201.009995,206.789993,16770300,206.789993
"2021-01-12",206.649994,209.059998,204.809998,208.410004,12836200,208.410004
"2021-01-13",207.149994,208.789993,204.850006,207.210007,8570500,207.210007
"2021-01-14",208.789993,214.190002,208.210007,209.910004,12446800,209.910004
"2021-01-15",208.960007,209.25,204.199997,204.320007,11103300,204.320007
"2021-01-19",206.990005,211.520004,206.520004,210.710007,11947200,210.710007
