"","BBWI.Open","BBWI.High","BBWI.Low","BBWI.Close","BBWI.Volume","BBWI.Adjusted"
"2020-07-01",12.150364,12.643492,12.077607,12.206952,7752032,12.020132
"2020-07-02",12.651576,12.780922,11.988682,12.215036,5527411,12.028091
"2020-07-06",12.570736,12.934519,12.344382,12.627324,6057836,12.43407
"2020-07-07",12.425222,12.554568,12.215036,12.247373,3954442,12.059934
"2020-07-08",12.198868,12.683913,12.012935,12.667745,4936743,12.47387
"2020-07-09",12.61924,12.780922,12.1827,12.546483,8089485,12.354466
"2020-07-10",12.506063,12.886015,12.312045,12.87793,6277899,12.680839
"2020-07-13",13.007276,13.589329,12.886015,13.249798,7515146,13.047017
"2020-07-14",13.225546,13.532741,13.031528,13.468068,5884904,13.261948
"2020-07-15",14.058205,14.648343,13.807599,14.58367,7447111,14.360475
"2020-07-16",14.32498,14.947454,14.009701,14.923201,6242397,14.694809
"2020-07-17",14.987874,15.076799,14.672595,14.955538,5476694,14.726651
"2020-07-20",14.858529,14.890865,14.3654,14.777688,4412008,14.551523
"2020-07-21",14.850445,15.578011,14.753436,15.254648,6247221,15.021184
"2020-07-22",15.076799,15.731609,14.907033,15.691188,7365222,15.451044
"2020-07-23",15.545675,16.038803,15.408246,15.650768,6561790,15.411242
"2020-07-24",15.6346,15.974131,15.448666,15.513339,5123778,15.275916
"2020-07-27",15.432498,15.586095,15.23848,15.489086,4196028,15.252034
"2020-07-28",15.432498,15.747777,15.408246,15.45675,3709145,15.220191
"2020-07-29",19.037994,21.552141,18.763138,20.921583,48272564,20.601391
"2020-07-30",20.024252,20.339531,19.547293,19.83832,13065441,19.534706
"2020-07-31",19.74131,20.137428,19.296686,19.733227,6950950,19.431219
"2020-08-03",19.70089,19.919159,19.232014,19.708973,5829239,19.407337
"2020-08-04",19.991917,20.460793,19.870655,20.169765,5841361,19.861078
"2020-08-05",20.476959,21.067099,20.291027,20.630558,5034590,20.314817
"2020-08-06",20.630558,20.776072,20.371866,20.420372,3501329,20.107849
"2020-08-07",20.315279,21.083265,20.266773,21.05093,4238209,20.728758
"2020-08-10",21.277285,22.384802,21.228779,22.22312,9114711,21.883009
"2020-08-11",22.514147,22.772839,21.70574,21.770412,10840202,21.437227
"2020-08-12",22.069523,22.069523,21.527889,21.827002,12161566,21.49295
"2020-08-13",21.681486,21.883589,21.21261,21.455133,9425322,21.126776
"2020-08-14",21.552141,21.738075,21.30962,21.455133,8876217,21.126776
"2020-08-17",21.649151,23.556993,21.487471,23.282133,10331671,22.925814
"2020-08-18",23.071947,23.31447,22.158447,22.780922,6975443,22.432272
"2020-08-19",22.497978,23.144705,22.328213,23.01536,8762784,22.663122
"2020-08-20",23.694422,25.327406,23.282133,23.904608,28449516,23.538761
"2020-08-21",24.114794,24.260307,23.403395,24.22797,7842827,23.857174
"2020-08-24",24.252222,24.62409,23.613581,23.953112,7285683,23.586523
"2020-08-25",24.381569,25.036379,24.195635,24.753435,7235584,24.374596
"2020-08-26",25.052546,25.052546,24.518997,24.866613,4352013,24.486042
"2020-08-27",25.052546,25.11722,24.179466,24.195635,4237344,23.825333
"2020-08-28",24.236055,24.446241,23.807598,23.985449,4956783,23.618366
"2020-08-31",23.912691,24.236055,23.67017,23.767179,4704187,23.403437
"2020-09-01",23.71059,25.513338,23.306387,25.497171,8935098,25.106951
"2020-09-02",25.602264,25.812449,24.696848,25.262732,4373661,24.876101
"2020-09-03",24.987873,25.165724,23.734842,23.945028,4433779,23.578562
"2020-09-04",24.3654,24.7211,23.702505,24.3654,4305379,23.9925
"2020-09-08",23.864187,24.211803,23.346807,23.379143,5108192,23.021338
"2020-09-09",23.443815,23.476152,22.821342,23.11237,4329747,22.758648
"2020-09-10",23.330639,23.726757,22.570736,22.643492,4582961,22.296946
"2020-09-11",22.675829,22.87793,22.26354,22.635408,4277175,22.288984
"2020-09-14",23.031528,23.540825,22.91835,23.484236,4526307,23.124821
"2020-09-15",23.783346,23.96928,23.05578,23.435732,3613896,23.077061
"2020-09-16",23.645918,24.486662,23.31447,24.122877,4661758,23.753689
"2020-09-17",23.67017,24.955538,23.565077,24.510914,5466798,24.135788
"2020-09-18",24.405821,24.769604,24.042036,24.381569,9970839,24.008423
"2020-09-21",23.872272,24.139046,23.063864,23.807598,4924497,23.443235
"2020-09-22",23.839935,24.866613,23.751011,24.696848,6844940,24.318874
"2020-09-23",25.036379,25.586096,24.260307,24.333063,4508618,23.960659
"2020-09-24",24.025869,24.527082,23.023443,23.945028,5757864,23.578562
"2020-09-25",23.872272,24.664511,23.767179,24.518997,9779969,24.143747
"2020-09-28",25.141472,25.691189,24.818108,25.489086,4945773,25.098988
"2020-09-29",25.481003,25.481003,24.470493,24.543249,6195143,24.167625
"2020-09-30",25.578011,26.774454,25.303152,25.715441,7506487,25.321878
"2020-10-01",25.909458,27.049313,25.909458,26.855295,7228162,26.44429
"2020-10-02",25.990299,27.025061,25.869038,26.782537,3481413,26.372646
"2020-10-05",26.960388,27.065481,26.257074,26.847212,3572085,26.436329
"2020-10-06",27.016977,27.138239,26.063057,26.111561,3977697,25.711937
"2020-10-07",26.68553,26.992723,26.337914,26.669361,4033115,26.261202
"2020-10-08",27.130154,27.210995,26.176233,26.337914,7100009,25.934826
"2020-10-09",26.669361,26.750202,25.707357,26.079224,4840257,25.680094
"2020-10-12",26.16815,26.750202,25.6346,25.909458,5686242,25.512926
"2020-10-13",25.877123,26.467258,25.561844,25.820534,4325913,25.425365
"2020-10-14",26.063057,26.248989,25.2789,25.852871,5315884,25.457205
"2020-10-15",25.505255,27.243332,25.400162,27.170574,6628712,26.754744
"2020-10-16",27.243332,27.47777,26.903799,26.919968,4222747,26.507971
"2020-10-19",28.13258,28.625708,26.556185,26.782537,9690905,26.372646
"2020-10-20",26.992723,27.590946,26.717867,26.72595,5076030,26.316925
"2020-10-21",26.742119,26.839127,25.836702,26.014551,4258867,25.616413
"2020-10-22",26.151981,27.582863,25.731609,27.405012,4753791,26.985594
"2020-10-23",27.485853,28.124495,26.968472,28.100243,3484505,27.670183
"2020-10-26",27.372677,27.898142,27.194826,27.615198,3293018,27.192562
"2020-10-27",27.793049,27.99515,26.936136,27.162491,1967696,26.746784
"2020-10-28",26.418755,26.734034,25.998383,26.087309,2236372,25.688055
"2020-10-29",26.160065,26.871464,25.89329,26.572351,2439735,26.165674
"2020-10-30",26.491512,26.782537,25.666937,25.877123,3123178,25.481089
"2020-11-02",26.119644,27.113985,26.022635,26.693613,3319490,26.285084
"2020-11-03",26.960388,27.437347,26.620857,27.267584,2909919,26.850269
"2020-11-04",26.863379,28.03557,26.628941,27.243332,4006148,26.826387
"2020-11-05",27.493937,27.849636,27.008892,27.518188,2773354,27.097036
"2020-11-06",27.631367,28.084074,26.653193,26.936136,3239085,26.523895
"2020-11-09",28.423605,28.496363,26.232821,26.28941,6771709,25.887064
"2020-11-10",26.531933,27.526274,26.200485,27.526274,4083832,27.104998
"2020-11-11",27.679871,27.881973,26.88763,27.59903,3583094,27.17664
"2020-11-12",27.526274,27.623281,26.467258,26.72595,3504668,26.316925
"2020-11-13",27.178658,28.019402,27.105902,27.760712,6299051,27.335848
"2020-11-16",28.310429,28.375101,27.647533,28.100243,4694786,27.670183
"2020-11-17",27.890057,28.779305,27.582863,28.658045,6360901,28.219446
