"","BKR.Open","BKR.High","BKR.Low","BKR.Close","BKR.Volume","BKR.Adjusted"
"2020-07-01",15.6,15.97,15.27,15.41,8575900,14.440092
"2020-07-02",15.74,16.09,15.38,15.41,7851300,14.440092
"2020-07-06",15.73,16.01,15.29,15.51,6061800,14.533799
"2020-07-07",15.33,15.51,15.17,15.22,5590200,14.262051
"2020-07-08",15.26,15.71,15.23,15.52,5178800,14.543168
"2020-07-09",15.52,15.61,14.61,14.65,4833900,13.727927
"2020-07-10",14.62,15.09,14.57,15.05,2982600,14.102751
"2020-07-13",15.22,15.47,14.86,15.06,4632000,14.112122
"2020-07-14",14.99,15.63,14.83,15.56,5190200,14.580652
"2020-07-15",15.99,16.030001,15.56,15.6,5622600,14.618134
"2020-07-16",15.3,15.69,15.1,15.39,3411000,14.421351
"2020-07-17",15.49,15.6,15.25,15.27,4114400,14.308904
"2020-07-20",15.24,15.35,14.78,15.05,5579700,14.102751
"2020-07-21",15.4,16.389999,15.32,16.309999,6592200,15.283444
"2020-07-22",15.98,16.85,15.83,16.459999,9046600,15.424005
"2020-07-23",16.530001,16.799999,16.07,16.690001,7188400,15.63953
"2020-07-24",16.790001,17.18,16.34,16.370001,7759200,15.339668
"2020-07-27",16.379999,16.49,15.96,16.33,4360900,15.302187
"2020-07-28",16.16,16.27,15.77,15.87,5209600,14.87114
"2020-07-29",15.84,15.9,15.08,15.81,8650000,14.814915
"2020-07-30",15.41,15.53,14.86,15.33,8388100,14.365127
"2020-07-31",15.09,15.69,15.09,15.49,15626000,14.515057
"2020-08-03",15.35,15.89,15.05,15.63,5234900,14.646245
"2020-08-04",15.46,16.219999,15.46,16.190001,4369400,15.170999
"2020-08-05",16.549999,17.01,16.219999,16.76,7066500,15.705125
"2020-08-06",16.690001,16.85,16.52,16.77,5187000,15.714495
"2020-08-07",16.379999,16.59,16.18,16.57,5260100,15.695547
"2020-08-10",16.639999,17.41,16.6,17.26,6256600,16.349134
"2020-08-11",17.540001,17.77,17.120001,17.18,8010400,16.273359
"2020-08-12",17.48,17.639999,17.219999,17.530001,4979500,16.604889
"2020-08-13",17.32,17.42,17.02,17.120001,4617500,16.216524
"2020-08-14",16.959999,17.35,16.93,17.23,3826200,16.320719
"2020-08-17",17.08,17.129999,16.33,16.67,5647700,15.790271
"2020-08-18",16.540001,17.01,16.4,16.459999,4490900,15.591352
"2020-08-19",16.370001,16.6,16.190001,16.33,3556700,15.468213
"2020-08-20",16.139999,16.139999,15.7,15.73,4620600,14.899878
"2020-08-21",15.6,15.63,15.22,15.45,4977800,14.634654
"2020-08-24",15.49,16.15,15.49,15.91,3528500,15.070378
"2020-08-25",16.120001,16.24,15.64,15.65,3371100,14.8241
"2020-08-26",15.53,15.59,14.96,15.05,5064800,14.255764
"2020-08-27",15.06,15.15,14.68,14.73,6289900,13.95265
"2020-08-28",14.78,14.92,14.65,14.8,4372600,14.018956
"2020-08-31",14.89,14.94,14.12,14.28,8577900,13.5264
"2020-09-01",14.06,14.19,13.76,13.88,6092100,13.147508
"2020-09-02",13.85,14.19,13.59,14.11,7738400,13.365371
"2020-09-03",14.55,14.85,14.3,14.55,11846000,13.782151
"2020-09-04",14.72,14.92,14.37,14.53,9650500,13.763205
"2020-09-08",14.25,14.33,13.61,13.99,11612900,13.251702
"2020-09-09",14.17,14.22,13.88,14.12,6643800,13.374842
"2020-09-10",14.1,14.17,13.78,13.87,8190200,13.138037
"2020-09-11",13.89,13.97,13.55,13.95,6885800,13.213814
"2020-09-14",13.91,14.81,13.64,14.63,8095600,13.857928
"2020-09-15",14.64,14.93,14.55,14.71,7440200,13.933706
"2020-09-16",14.75,15.24,14.55,15.01,9027300,14.217875
