"","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2020-07-01",38.689999,38.759998,37.43,37.59,5924000,35.190907
"2020-07-02",38.32,38.889999,37.799999,37.939999,4114500,35.518566
"2020-07-06",38.700001,38.959999,38.290001,38.549999,3910400,36.089634
"2020-07-07",38.150002,38.240002,37.619999,37.77,4163600,35.359421
"2020-07-08",37.869999,38.939999,37.77,38.82,7450600,36.342403
"2020-07-09",38.529999,38.77,36.98,37.150002,6186500,34.778988
"2020-07-10",37.150002,38.490002,37.07,38.380001,3412100,35.930489
"2020-07-13",38.91,39.290001,38.049999,38.860001,4760500,36.379852
"2020-07-14",38.689999,39.290001,38.279999,38.970001,5500500,36.48283
"2020-07-15",36.959999,37.400002,36,36.860001,14629300,34.507492
"2020-07-16",36.66,37.389999,36.169998,36.740002,6434900,34.395153
"2020-07-17",36.860001,36.900002,36.040001,36.119999,6360400,33.81472
"2020-07-20",35.860001,36.18,35.720001,35.939999,3916800,33.64621
"2020-07-21",36.080002,36.740002,35.799999,36.689999,6877200,34.348347
"2020-07-22",36.5,36.580002,35.509998,36.040001,7478100,33.73983
"2020-07-23",35.950001,36.669998,35.650002,36.540001,5495600,34.207924
"2020-07-24",36.349998,36.75,36.09,36.23,5809100,34.207912
"2020-07-27",35.919998,35.970001,35.27,35.75,4402000,33.754707
"2020-07-28",35.529999,36.220001,35.5,36.07,5882400,34.056854
"2020-07-29",36.139999,36.529999,35.619999,36.349998,5475500,34.321224
"2020-07-30",35.82,35.91,35.450001,35.860001,4703900,33.85857
"2020-07-31",35.759998,35.990002,35.57,35.849998,4726900,33.849125
"2020-08-03",35.93,36.150002,35.52,36.029999,4073900,34.019077
"2020-08-04",35.959999,36.279999,35.630001,35.84,4849100,33.839684
"2020-08-05",36.07,36.360001,35.860001,36.299999,5788500,34.274006
"2020-08-06",36.110001,36.48,35.880001,35.990002,3047500,33.981319
"2020-08-07",35.959999,37.830002,35.939999,37.75,5757400,35.643085
"2020-08-10",37.790001,38.130001,37.540001,37.939999,4859700,35.822483
"2020-08-11",38.66,39.16,38.07,38.139999,4709500,36.011318
"2020-08-12",38.93,38.939999,37.630001,37.98,3680300,35.860241
"2020-08-13",37.380001,37.82,36.889999,37.279999,4609400,35.199314
"2020-08-14",37.119999,37.779999,37.119999,37.529999,2651700,35.435356
"2020-08-17",37.57,37.639999,36.91,37.09,4786500,35.019917
"2020-08-18",37.009998,37.09,36.68,36.790001,4003100,34.736664
"2020-08-19",37.02,37.709999,36.810001,36.990002,4280000,34.925503
"2020-08-20",36.549999,36.639999,35.73,35.869999,4403100,33.868015
"2020-08-21",35.93,36.080002,35.599998,35.73,2607200,33.735825
"2020-08-24",35.73,36.5,35.560001,36.400002,5810000,34.368427
"2020-08-25",36.740002,36.950001,36.470001,36.669998,4094600,34.623356
"2020-08-26",36.669998,36.860001,36.290001,36.619999,3219600,34.576157
"2020-08-27",36.619999,37.759998,36.610001,37.549999,4594300,35.454247
"2020-08-28",37.720001,37.720001,37.220001,37.560001,3139000,35.463692
