"","BMY.Open","BMY.High","BMY.Low","BMY.Close","BMY.Volume","BMY.Adjusted"
"2020-07-01",59.189999,59.73,58.880001,59.43,11738300,55.451908
"2020-07-02",59.299999,59.639999,58.75,59.139999,11366100,55.602337
"2020-07-06",59.599998,60.580002,58.869999,60.189999,8810800,56.589531
"2020-07-07",59.759998,60.610001,59.52,60.290001,12766700,56.683552
"2020-07-08",60.32,60.68,59.279999,59.560001,10507000,55.997215
"2020-07-09",59.66,60.139999,57.830002,58.110001,12780000,54.633953
"2020-07-10",58,58.09,57.16,57.43,8770000,53.994625
"2020-07-13",57.57,58.490002,57.5,57.75,10149000,54.295486
"2020-07-14",57.830002,58.099998,57.290001,57.889999,12153900,54.427113
"2020-07-15",58.650002,59.610001,58.32,59.27,9459400,55.724564
"2020-07-16",59.23,59.380001,58.73,59.32,6949700,55.771572
"2020-07-17",59.700001,60.619999,59.400002,60.389999,9078200,56.777565
"2020-07-20",60.290001,60.639999,59.220001,59.459999,6759900,55.903194
"2020-07-21",59.59,60.240002,59.32,59.799999,7802300,56.222862
"2020-07-22",59.889999,60.330002,59.34,59.849998,8961000,56.269867
"2020-07-23",60.119999,60.459999,59.57,59.869999,8913200,56.288666
"2020-07-24",59.669998,59.759998,57.549999,57.849998,12531900,54.389503
"2020-07-27",57.549999,58.619999,57.349998,58.049999,12372000,54.577538
"2020-07-28",58.549999,59.82,58.240002,59.43,9816300,55.874992
"2020-07-29",59.16,59.400002,58.59,59.150002,7357900,55.61174
"2020-07-30",58.799999,59.150002,58.34,58.869999,7175200,55.348492
"2020-07-31",58.880001,59.09,57.77,58.66,10443000,55.151058
"2020-08-03",59.110001,59.639999,58.950001,59.099998,10337900,55.564732
"2020-08-04",58.830002,59.509998,58.529999,59.470001,6527600,55.912594
"2020-08-05",59.950001,60.380001,59.41,59.689999,10662800,56.119438
"2020-08-06",62,62.970001,60.419998,61.330002,18961900,57.661339
"2020-08-07",61.560001,61.650002,60.419998,61.02,9969100,57.369881
"2020-08-10",60.959999,61.990002,60.77,61.82,9820900,58.122025
"2020-08-11",62.970001,64.25,62.689999,63.130001,20736000,59.353668
"2020-08-12",63.580002,64.269997,63.450001,63.639999,8616200,59.833153
"2020-08-13",63.02,63.580002,62.900002,63.240002,7748700,59.457081
"2020-08-14",63.189999,63.549999,62.75,63.16,5606900,59.381866
"2020-08-17",63.41,64.080002,63.169998,63.619999,5972400,59.814354
"2020-08-18",63.490002,63.68,62.900002,63.029999,5745600,59.259647
"2020-08-19",63.07,63.82,62.950001,63.09,6092700,59.316059
"2020-08-20",62.779999,62.860001,61.93,62.220001,6326300,58.498096
"2020-08-21",62.220001,62.349998,61.740002,62.189999,8031400,58.469887
"2020-08-24",62.34,62.459999,61.700001,62.41,8721000,58.676731
"2020-08-25",62.75,63.369999,62.5,62.709999,6620600,58.958786
"2020-08-26",62.5,62.59,61.580002,62.279999,6195800,58.554504
"2020-08-27",62.5,62.959999,62.240002,62.509998,6389500,58.770748
"2020-08-28",62.5,62.59,61.849998,62.369999,6380400,58.639118
"2020-08-31",62.380001,62.799999,61.950001,62.200001,14189800,58.47929
"2020-09-01",62.200001,62.259998,60.689999,60.970001,12154000,57.322876
