"","BRO.Open","BRO.High","BRO.Low","BRO.Close","BRO.Volume","BRO.Adjusted"
"2020-07-01",40.709999,41.279999,40.59,41.09,1266200,40.500301
"2020-07-02",41.349998,41.549999,40.790001,40.849998,1544400,40.263744
"2020-07-06",41.560001,41.59,40.5,40.639999,1548100,40.056763
"2020-07-07",40.470001,41.23,40.330002,40.75,1055800,40.16518
"2020-07-08",40.860001,41.41,40.709999,41.07,1054000,40.480591
"2020-07-09",41.060001,41.209999,40.27,40.900002,830900,40.313026
"2020-07-10",41.040001,41.43,40.740002,41.419998,628900,40.825562
"2020-07-13",41.77,41.869999,40.869999,40.950001,889200,40.362312
"2020-07-14",40.959999,41.950001,40.959999,41.950001,1202900,41.347958
"2020-07-15",42.419998,42.650002,42.189999,42.310001,962000,41.702789
"2020-07-16",42.32,43.470001,42.220001,43.43,1553200,42.806717
"2020-07-17",43.5,43.970001,43.080002,43.700001,868300,43.072842
"2020-07-20",43.509998,43.93,43.459999,43.759998,730900,43.131981
"2020-07-21",43.919998,44.669998,43.860001,44.290001,1259900,43.654381
"2020-07-22",44.009998,44.990002,44.009998,44.959999,1275100,44.314754
"2020-07-23",45,45.84,44.98,45.110001,1555000,44.462612
"2020-07-24",45.150002,45.639999,44.939999,45.400002,1323700,44.748455
"2020-07-27",45.450001,45.880001,45.299999,45.490002,929900,44.837158
"2020-07-28",46.209999,46.48,43.5,44.48,1554700,43.841652
"2020-07-29",44.57,45.189999,44.48,44.959999,995800,44.314754
"2020-07-30",44.459999,44.889999,44.16,44.759998,1004200,44.117634
"2020-07-31",44.900002,45.48,44.41,45.470001,1761400,44.817448
"2020-08-03",45.5,46.09,45.34,45.529999,930500,44.876579
"2020-08-04",45.139999,45.459999,44.91,45.459999,875400,44.891392
"2020-08-05",45.610001,45.790001,45.470001,45.630001,707100,45.059269
"2020-08-06",45.57,45.860001,45.389999,45.619999,714000,45.049389
"2020-08-07",45.549999,46.080002,45.450001,46.060001,628900,45.483891
"2020-08-10",46.099998,46.34,45.779999,45.93,727600,45.355515
"2020-08-11",46.25,46.43,45.610001,45.66,971700,45.08889
"2020-08-12",46.16,46.310001,45.740002,45.799999,732400,45.227142
"2020-08-13",45.529999,46.009998,45.52,45.82,516900,45.246891
"2020-08-14",45.720001,46.220001,45.650002,45.82,433300,45.246891
"2020-08-17",45.91,46.130001,45.700001,46,650400,45.424637
"2020-08-18",45.84,46.290001,45.759998,46.09,628500,45.513508
"2020-08-19",46.09,46.34,45.950001,45.959999,391100,45.385139
"2020-08-20",45.75,46.16,45.66,45.790001,544200,45.217262
"2020-08-21",45.68,45.68,45.209999,45.52,1019700,44.950645
"2020-08-24",45.880001,45.880001,45.419998,45.720001,604400,45.14814
"2020-08-25",45.990002,46.279999,45.759998,46.009998,723300,45.434513
"2020-08-26",46,46,45.470001,45.66,1105600,45.08889
"2020-08-27",45.860001,46.360001,45.810001,46.060001,739900,45.483891
"2020-08-28",46.360001,46.380001,45.799999,46.209999,710900,45.632011
"2020-08-31",46.07,46.689999,45.950001,46.400002,882200,45.819637
"2020-09-01",46.400002,46.790001,46.130001,46.689999,725600,46.106007
"2020-09-02",46.650002,47.290001,46.5,47.18,826300,46.589878
"2020-09-03",47.389999,47.41,45.639999,45.880001,771300,45.306141
"2020-09-04",46.189999,46.389999,44.470001,45.25,959800,44.684021
"2020-09-08",44.950001,45,43.470001,44.189999,1754300,43.637276
"2020-09-09",44.610001,45.970001,44.439999,45.400002,1451400,44.83215
"2020-09-10",45.360001,45.66,44.84,44.860001,763900,44.298901
"2020-09-11",45.009998,45.220001,44.48,44.639999,1022000,44.081646
"2020-09-14",45.110001,45.509998,44.970001,45.169998,947200,44.605019
"2020-09-15",45.360001,45.799999,45.09,45.16,674900,44.595146
"2020-09-16",45.439999,45.900002,45.130001,45.18,1081500,44.614895
"2020-09-17",44.700001,45.07,44.299999,44.759998,979000,44.20015
"2020-09-18",45.099998,45.52,44.709999,44.799999,2466500,44.239651
"2020-09-21",44.02,44.419998,43.450001,44.02,1663600,43.469402
"2020-09-22",43.939999,44.630001,43.91,44.509998,864700,43.95327
"2020-09-23",44.48,44.75,43.310001,43.34,919900,42.797909
"2020-09-24",43.369999,44.32,43.16,43.560001,1016100,43.015163
"2020-09-25",43.400002,44,43.060001,43.939999,675800,43.390404
"2020-09-28",44.279999,44.990002,44.049999,44.869999,783300,44.308769
"2020-09-29",44.830002,45.419998,44.73,45.169998,1067100,44.605019
"2020-09-30",45.330002,45.650002,44.939999,45.27,922700,44.70377
"2020-10-01",45.509998,45.709999,44.75,44.939999,995200,44.377892
"2020-10-02",44.540001,45.900002,44.450001,45.360001,1003600,44.792641
"2020-10-05",45.810001,46,45.369999,45.73,1004600,45.158016
"2020-10-06",45.93,46.470001,45.599998,45.73,1044900,45.158016
"2020-10-07",45.959999,46.41,45.860001,46.27,764300,45.691261
"2020-10-08",46.57,46.849998,46.32,46.709999,612300,46.125755
"2020-10-09",47,47.5,46.84,47.220001,727900,46.629379
"2020-10-12",47.509998,48.369999,47.310001,48.310001,590800,47.705746
"2020-10-13",48.099998,48.450001,47.27,47.369999,682900,46.777504
"2020-10-14",47.48,47.950001,46.959999,46.98,661500,46.392376
"2020-10-15",46.59,47.650002,46.349998,47.32,696900,46.728123
"2020-10-16",47.5,47.900002,47.299999,47.450001,430700,46.856506
"2020-10-19",47.459999,47.709999,46.389999,46.459999,534300,45.878891
"2020-10-20",46.560001,47.009998,46.290001,46.41,577100,45.82951
"2020-10-21",46.610001,47,46.419998,46.549999,576500,45.967758
"2020-10-22",46.599998,46.950001,46.34,46.639999,737400,46.056637
"2020-10-23",46.799999,46.810001,46.23,46.720001,791700,46.135628
"2020-10-26",46.360001,46.73,45.849998,46.59,1240900,46.007259
"2020-10-27",47.25,47.330002,44.759998,45.220001,1199400,44.654396
"2020-10-28",44.540001,44.75,43.939999,44.169998,1168400,43.617527
"2020-10-29",43.939999,44.23,43.07,43.459999,1091800,42.916409
"2020-10-30",43.380001,44.32,43.040001,43.509998,1457300,42.965782
"2020-11-02",44.060001,44.810001,43.889999,44.5,943600,43.943405
