"","BR.Open","BR.High","BR.Low","BR.Close","BR.Volume","BR.Adjusted"
"2020-07-01",126.389999,128.619995,125.480003,127.269997,539600,123.232597
"2020-07-02",127.82,129.850006,127.629997,128.220001,573800,124.152481
"2020-07-06",130,130.320007,128.009995,128.690002,462800,124.607559
"2020-07-07",128.199997,129.649994,126.980003,127.110001,377400,123.077675
"2020-07-08",127.940002,129.009995,127.459999,128.589996,393200,124.510727
"2020-07-09",127.470001,129.050003,126.169998,127.57,694600,123.523087
"2020-07-10",127.720001,127.940002,124.830002,126.059998,655600,122.060997
"2020-07-13",126.93,127.470001,124.639999,125.120003,480400,121.15081
"2020-07-14",124.809998,126.809998,123.870003,126.779999,366900,122.758141
"2020-07-15",127.589996,129.470001,127.309998,128.75,504300,124.665657
"2020-07-16",128.259995,128.389999,127.120003,127.459999,438000,123.416588
"2020-07-17",128.279999,129.429993,128,129.100006,434500,125.004562
"2020-07-20",128.720001,129.839996,128.330002,129.320007,443700,125.217583
"2020-07-21",129.970001,131.389999,129.139999,129.949997,484300,125.827576
"2020-07-22",129.720001,131.699997,129.550003,131.289993,446200,127.125069
"2020-07-23",131.929993,133.339996,129.300003,129.710007,382500,125.595215
"2020-07-24",130.589996,131.320007,128.619995,131.279999,449100,127.115395
"2020-07-27",131.589996,134.039993,130.639999,133.809998,429600,129.565125
"2020-07-28",133.410004,134.070007,131.850006,132.550003,409300,128.345123
"2020-07-29",132.949997,134.279999,132.160004,134.009995,387300,129.758774
"2020-07-30",132.550003,134.179993,132.309998,133.889999,419900,129.642593
"2020-07-31",133.809998,134.410004,132.710007,134.339996,640800,130.078323
"2020-08-03",135.279999,137.419998,135.009995,137.039993,481900,132.692657
"2020-08-04",136.580002,137.339996,135.759995,137.279999,518100,132.925049
"2020-08-05",137.220001,137.839996,134.539993,135.009995,507000,130.727066
"2020-08-06",134.949997,136.059998,134.179993,135.360001,484000,131.065979
"2020-08-07",134.839996,136.160004,134.300003,135.25,768200,130.959473
"2020-08-10",135.740005,137.050003,135.300003,136.600006,721200,132.266617
"2020-08-11",138.830002,144.5,138.740005,142.110001,1131400,137.601837
"2020-08-12",141.699997,142.369995,138.889999,139.119995,837400,134.70668
"2020-08-13",138.360001,140.25,138.130005,138.839996,655400,134.435547
"2020-08-14",138.979996,140.029999,138.470001,138.880005,280500,134.474289
"2020-08-17",139.720001,140.320007,137.679993,138.139999,572700,133.757767
"2020-08-18",138.479996,139.830002,138.479996,139.240005,362400,134.822876
"2020-08-19",139.550003,139.940002,136.990005,137.300003,780800,132.944412
"2020-08-20",136.800003,138.020004,136.800003,137.300003,304200,132.944412
"2020-08-21",137.589996,137.589996,136.460007,136.869995,378000,132.528061
"2020-08-24",138.100006,138.820007,136.919998,138.369995,383100,133.980484
"2020-08-25",138.970001,139.389999,137.369995,138.270004,382400,133.883636
"2020-08-26",138.460007,139.149994,137.529999,139.020004,513800,134.609863
"2020-08-27",139.979996,140.399994,138.100006,138.809998,333100,134.406525
"2020-08-28",139.229996,139.589996,137.979996,138.470001,267900,134.077286
"2020-08-31",138.380005,138.529999,137.320007,137.399994,510500,133.04126
"2020-09-01",137.470001,139.479996,137.259995,139.350006,373600,134.929367
