"","BSX.Open","BSX.High","BSX.Low","BSX.Close","BSX.Volume","BSX.Adjusted"
"2020-07-01",35.169998,35.529999,34.759998,35.279999,7642700,35.279999
"2020-07-02",35.650002,36.049999,35.279999,35.380001,4738200,35.380001
"2020-07-06",35.869999,35.959999,35.34,35.59,6481400,35.59
"2020-07-07",35.23,35.52,34.580002,34.639999,9826400,34.639999
"2020-07-08",34.669998,34.73,34.200001,34.549999,13840400,34.549999
"2020-07-09",34.57,34.75,33.77,34.5,12329300,34.5
"2020-07-10",34.43,34.75,34.279999,34.68,9757300,34.68
"2020-07-13",35.09,35.240002,34.27,34.439999,10120900,34.439999
"2020-07-14",34.380001,35.27,34.240002,35.220001,10133200,35.220001
"2020-07-15",35.939999,36.84,35.860001,36.700001,9442600,36.700001
"2020-07-16",36.869999,37.049999,36.189999,36.369999,9383300,36.369999
"2020-07-17",36.5,37.919998,36.279999,37.709999,8714200,37.709999
"2020-07-20",37.57,37.900002,36.799999,37.169998,8015100,37.169998
"2020-07-21",37.259998,37.849998,37.169998,37.48,5777300,37.48
"2020-07-22",37.57,38.759998,37.509998,38.389999,7846200,38.389999
"2020-07-23",38.290001,38.82,38.139999,38.43,6623900,38.43
"2020-07-24",38.529999,38.66,38.110001,38.599998,6673300,38.599998
"2020-07-27",38.610001,38.68,38.16,38.349998,9552700,38.349998
"2020-07-28",38.23,38.68,37.959999,38.27,8617300,38.27
"2020-07-29",40,40.5,39.150002,39.810001,15966300,39.810001
"2020-07-30",39.16,39.330002,38.380001,38.939999,7300800,38.939999
"2020-07-31",38.84,38.900002,37.950001,38.57,7060400,38.57
"2020-08-03",38.689999,38.880001,37.990002,38,6145500,38
"2020-08-04",37.779999,37.990002,37.080002,37.150002,7749600,37.150002
"2020-08-05",37.299999,38.02,37.169998,37.73,6395800,37.73
"2020-08-06",37.720001,37.939999,37.349998,37.889999,4367800,37.889999
"2020-08-07",37.77,38.990002,37.630001,38.970001,8645400,38.970001
"2020-08-10",38.990002,39.150002,38.779999,38.98,4329200,38.98
"2020-08-11",39.459999,39.869999,39.240002,39.310001,7954900,39.310001
"2020-08-12",39.459999,40.23,39.360001,39.959999,6500100,39.959999
"2020-08-13",39.740002,39.919998,39.32,39.75,4636600,39.75
"2020-08-14",39.369999,39.509998,38.950001,39.16,5708900,39.16
"2020-08-17",39.119999,39.75,39.119999,39.349998,4785900,39.349998
"2020-08-18",39.5,39.599998,39.150002,39.330002,5267300,39.330002
"2020-08-19",39.41,39.740002,39.259998,39.349998,5697500,39.349998
"2020-08-20",39,39.32,38.810001,38.860001,4661200,38.860001
"2020-08-21",38.709999,38.720001,37.950001,38.43,8239400,38.43
"2020-08-24",38.599998,38.970001,38.419998,38.939999,7824900,38.939999
"2020-08-25",39.32,39.740002,39.110001,39.639999,8218200,39.639999
"2020-08-26",39.689999,39.689999,38.709999,39.349998,4574200,39.349998
"2020-08-27",39.400002,41.009998,39.400002,40.779999,8959500,40.779999
"2020-08-28",40.709999,41.049999,40.43,41.029999,4542200,41.029999
"2020-08-31",40.93,41.240002,40.740002,41.02,7473600,41.02
"2020-09-01",40.700001,41.490002,40.700001,41.470001,7997300,41.470001
"2020-09-02",41.5,42.290001,41.470001,42.23,9847100,42.23
"2020-09-03",42.150002,42.369999,41.139999,41.490002,9762800,41.490002
"2020-09-04",41.59,41.959999,40.849998,41.48,9232500,41.48
"2020-09-08",41.060001,41.299999,40.610001,40.919998,7104900,40.919998
"2020-09-09",41.27,41.939999,41.139999,41.529999,5876900,41.529999
"2020-09-10",41.580002,41.860001,40.849998,40.970001,5182700,40.970001
"2020-09-11",40.950001,41.049999,39.98,40.290001,7142900,40.290001
"2020-09-14",40.66,41.34,40.59,41.119999,4797600,41.119999
"2020-09-15",41.330002,41.560001,40.880001,41.02,3644800,41.02
"2020-09-16",41.240002,41.279999,39.939999,40.189999,8530000,40.189999
"2020-09-17",39.919998,39.919998,39.09,39.669998,10884000,39.669998
"2020-09-18",39.599998,39.990002,38.389999,38.48,10720400,38.48
"2020-09-21",37.830002,38.549999,37.52,38.549999,10625600,38.549999
"2020-09-22",38.509998,38.639999,37.900002,38.599998,7024700,38.599998
"2020-09-23",38.66,38.759998,37.639999,37.720001,7462000,37.720001
"2020-09-24",37.43,37.540001,36.860001,37.119999,9270500,37.119999
"2020-09-25",36.889999,37.650002,36.799999,37.34,7749100,37.34
"2020-09-28",38.07,38.450001,37.98,38,6436500,38
"2020-09-29",38.18,38.259998,37.540001,37.759998,5951300,37.759998
"2020-09-30",37.830002,38.709999,37.73,38.209999,7711800,38.209999
"2020-10-01",38.560001,38.939999,38.189999,38.419998,6098400,38.419998
"2020-10-02",37.799999,38.66,37.759998,38.48,6270900,38.48
"2020-10-05",38.75,39.34,38.66,39.240002,4448900,39.240002
"2020-10-06",39.799999,40.400002,39.25,39.330002,7833500,39.330002
"2020-10-07",39.580002,40.439999,39.580002,40.18,5785100,40.18
"2020-10-08",40.25,40.57,40.189999,40.490002,4484000,40.490002
"2020-10-09",41.040001,41.25,40.700001,41.139999,6020200,41.139999
"2020-10-12",41.439999,42.130001,41.220001,41.970001,7690300,41.970001
"2020-10-13",41.82,41.919998,40.700001,40.919998,7399700,40.919998
"2020-10-14",40.77,40.91,40.200001,40.619999,12537900,40.619999
"2020-10-15",40.119999,40.669998,38.5,39,15111200,39
"2020-10-16",39,39.18,38.419998,38.439999,18559000,38.439999
"2020-10-19",38.509998,38.639999,37.709999,37.77,11197200,37.77
"2020-10-20",37.98,38.119999,37.540001,37.540001,8140400,37.540001
"2020-10-21",37.509998,37.720001,37.119999,37.150002,11644000,37.150002
"2020-10-22",37.189999,37.540001,36.740002,36.860001,15047900,36.860001
"2020-10-23",37,37.41,36.709999,37.169998,12412600,37.169998
"2020-10-26",36.689999,37.259998,36.279999,36.860001,9594500,36.860001
"2020-10-27",36.860001,36.990002,35.990002,36.049999,12082100,36.049999
"2020-10-28",35.75,35.990002,33.900002,34.07,17957200,34.07
"2020-10-29",33.98,34.25,33.139999,33.5,27743300,33.5
"2020-10-30",33.310001,34.66,33.310001,34.27,20324500,34.27
"2020-11-02",34.66,34.91,34.34,34.549999,14351800,34.549999
"2020-11-03",35.060001,35.639999,34.799999,35.150002,9313500,35.150002
"2020-11-04",35.5,35.75,34.240002,35.290001,14830800,35.290001
"2020-11-05",36,36.09,35.099998,35.209999,11132700,35.209999
"2020-11-06",35.310001,35.869999,35.09,35.700001,11142400,35.700001
"2020-11-09",38.490002,39.5,38.16,38.209999,21384700,38.209999
"2020-11-10",38.25,38.529999,37.919998,38.200001,10274700,38.200001
"2020-11-11",38.150002,38.349998,37.18,37.400002,9712900,37.400002
"2020-11-12",37.169998,37.389999,36.529999,36.740002,15709500,36.740002
"2020-11-13",36.950001,38.150002,36.75,37.98,18920800,37.98
"2020-11-16",38.669998,38.77,37.700001,38.029999,7849600,38.029999
"2020-11-17",35.490002,35.5,33.98,35.029999,34678300,35.029999
"2020-11-18",35.209999,35.209999,33.860001,34.259998,22512300,34.259998
"2020-11-19",34.330002,34.5,33.959999,34.209999,14816300,34.209999
"2020-11-20",34.080002,34.32,33.639999,33.700001,15401400,33.700001
"2020-11-23",33.700001,33.889999,32.990002,33.330002,18822000,33.330002
"2020-11-24",33.689999,34.080002,33.610001,33.790001,18848000,33.790001
"2020-11-25",33.869999,33.990002,33.5,33.549999,9814100,33.549999
"2020-11-27",33.900002,33.900002,33.439999,33.599998,6363600,33.599998
"2020-11-30",33.610001,33.619999,33.009998,33.150002,15588200,33.150002
"2020-12-01",33.5,33.950001,33.369999,33.650002,14410600,33.650002
"2020-12-02",33.599998,34.27,33.259998,34.150002,19584300,34.150002
"2020-12-03",34.150002,34.209999,33.700001,33.810001,21070900,33.810001
"2020-12-04",33.799999,34.419998,33.57,34.41,26383200,34.41
"2020-12-07",34.360001,34.490002,33.91,34.25,18398500,34.25
"2020-12-08",34.049999,34.16,33.68,33.970001,20816200,33.970001
"2020-12-09",34.029999,34.34,33.720001,34.130001,14858300,34.130001
"2020-12-10",34.049999,34.27,33.950001,34,11029000,34
"2020-12-11",33.759998,34.139999,33.43,33.599998,14827300,33.599998
"2020-12-14",33.93,34.259998,33.419998,33.450001,8712900,33.450001
"2020-12-15",33.82,34.970001,33.75,34.669998,16700400,34.669998
"2020-12-16",34.759998,35.650002,34.580002,35.130001,13985100,35.130001
"2020-12-17",35.189999,35.41,35.02,35.389999,10502700,35.389999
"2020-12-18",35.549999,36.130001,35.310001,35.450001,23166400,35.450001
"2020-12-21",34.93,35,34.16,34.82,10484600,34.82
"2020-12-22",34.790001,34.939999,34.189999,34.360001,9424000,34.360001
"2020-12-23",34.509998,34.91,34.360001,34.369999,7381100,34.369999
"2020-12-24",34.450001,34.630001,34.220001,34.59,2608800,34.59
"2020-12-28",34.759998,35.07,34.700001,34.919998,4842000,34.919998
"2020-12-29",35.200001,35.73,35.080002,35.5,8787200,35.5
"2020-12-30",35.5,35.73,35.380001,35.549999,6814000,35.549999
"2020-12-31",35.599998,36.009998,35.369999,35.950001,6214500,35.950001
"2021-01-04",36.080002,36.099998,35.029999,35.27,14068700,35.27
"2021-01-05",35.389999,36.470001,35.130001,36.240002,14812600,36.240002
"2021-01-06",35.970001,36.93,35.869999,36.759998,13236500,36.759998
"2021-01-07",36.759998,36.810001,36.349998,36.560001,7267400,36.560001
"2021-01-08",36.580002,37.040001,36.52,36.75,7288700,36.75
"2021-01-11",36.380001,36.540001,36.169998,36.439999,7228300,36.439999
"2021-01-12",36.299999,36.369999,34.580002,35.330002,19636300,35.330002
"2021-01-13",35.25,36.18,35.200001,36.060001,9942200,36.060001
"2021-01-14",36.099998,36.459999,35.900002,36.16,10213200,36.16
"2021-01-15",36.16,36.57,35.880001,36.330002,15109400,36.330002
"2021-01-19",36.889999,36.889999,35.939999,36.27,8081100,36.27
"2021-01-20",36.279999,36.82,36.07,36.66,7617800,36.66
"2021-01-21",36.700001,37.740002,36.5,37.52,12188100,37.52
"2021-01-22",37.529999,37.59,37,37.029999,7405600,37.029999
"2021-01-25",36.889999,37.139999,36.439999,36.779999,6157800,36.779999
"2021-01-26",36.75,36.889999,36.490002,36.639999,5869600,36.639999
"2021-01-27",36.25,36.380001,35.66,35.82,15133800,35.82
"2021-01-28",35.93,36.57,35.599998,36.34,16495200,36.34
"2021-01-29",36.119999,36.689999,35.049999,35.439999,18873500,35.439999
"2021-02-01",35.830002,36.150002,35.220001,35.950001,12285400,35.950001
"2021-02-02",36.049999,37.07,35.970001,36.639999,12475900,36.639999
"2021-02-03",36.450001,37.580002,36.299999,37.450001,16681600,37.450001
"2021-02-04",37.5,39.060001,37.41,38.759998,16035400,38.759998
"2021-02-05",39,39.400002,38.810001,38.959999,19216700,38.959999
"2021-02-08",38.919998,39.68,38.919998,39.57,10354700,39.57
"2021-02-09",39.509998,39.599998,38.68,39.25,11600400,39.25
"2021-02-10",39.25,39.5,38.52,38.849998,8847400,38.849998
"2021-02-11",39.009998,39.150002,38.599998,38.869999,5546600,38.869999
"2021-02-12",38.75,38.82,38.18,38.389999,12443900,38.389999
"2021-02-16",38.279999,38.459999,37.689999,37.93,8842800,37.93
"2021-02-17",37.619999,37.77,37.369999,37.5,6047100,37.5
"2021-02-18",37.279999,37.740002,36.880001,37.52,6390200,37.52
"2021-02-19",37.599998,38.07,37.189999,38.029999,9408000,38.029999
"2021-02-22",37.919998,39.34,37.849998,39.200001,10922100,39.200001
"2021-02-23",39.200001,39.619999,38.73,38.75,10173800,38.75
"2021-02-24",38.75,39.860001,38.669998,39.529999,9267100,39.529999
"2021-02-25",39.540001,39.959999,39.310001,39.669998,11652200,39.669998
"2021-02-26",39.509998,39.689999,38.73,38.779999,13454400,38.779999
"2021-03-01",39.119999,39.18,38.470001,38.900002,7790600,38.900002
"2021-03-02",38.900002,38.990002,38.57,38.759998,6064500,38.759998
"2021-03-03",38.689999,39.009998,38.310001,38.82,6666900,38.82
"2021-03-04",39.02,39.080002,37.529999,37.93,8514200,37.93
"2021-03-05",38.360001,39.709999,38.189999,39.540001,12809200,39.540001
"2021-03-08",39.529999,39.990002,39.130001,39.52,9616400,39.52
"2021-03-09",39.5,40.130001,39.43,39.549999,13646600,39.549999
"2021-03-10",39.790001,39.810001,39.240002,39.34,7697000,39.34
