"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"2020-07-01",129.380005,129.399994,125.879997,126.059998,2807800,119.817116
"2020-07-02",128.25,130.339996,127.190002,127.720001,2527500,121.394905
"2020-07-06",130.130005,130.5,128.169998,129.429993,2491900,123.020226
"2020-07-07",127.739998,128.75,126.800003,127.199997,2018100,120.90065
"2020-07-08",129.330002,129.330002,126.470001,128.130005,2279500,121.784599
"2020-07-09",127.540001,128.350006,125.120003,125.730003,2663500,119.503464
"2020-07-10",125.970001,128.229996,125.82,128.009995,2691400,121.670532
"2020-07-13",129.419998,132.089996,128.850006,130.570007,3708400,124.10376
"2020-07-14",130.320007,137.309998,129.229996,136.880005,6540800,130.101288
"2020-07-15",140.169998,140.169998,137.110001,138.360001,4915200,131.507996
"2020-07-16",138.300003,140.990005,137.600006,138.559998,3621500,131.69809
"2020-07-17",137.869995,138.429993,136.529999,136.899994,2458200,131.094788
"2020-07-20",135.759995,136.949997,134.259995,134.630005,2478000,128.921051
"2020-07-21",134.770004,137.179993,134.429993,135.869995,3221100,130.108475
"2020-07-22",135.25,137.869995,135.190002,136.979996,2156800,131.171371
"2020-07-23",136.899994,137.520004,135.710007,136.600006,1613700,130.807526
"2020-07-24",137.199997,138.690002,136.850006,137.580002,2036300,131.745941
"2020-07-27",137.149994,140.339996,137.059998,139.889999,2506900,133.957993
"2020-07-28",138.940002,139.990005,137.919998,138.029999,2029900,132.17688
"2020-07-29",138.580002,141.080002,137.800003,140.529999,2338300,134.570877
"2020-07-30",139.080002,139.100006,135.970001,136.729996,3063500,130.931976
"2020-07-31",132.429993,135.149994,130.210007,132.880005,6780900,127.245255
"2020-08-03",132.300003,133,131.100006,131.779999,2851100,126.191895
"2020-08-04",131.369995,132.440002,130.669998,131.520004,2301800,125.942932
"2020-08-05",132.779999,135.940002,132.610001,134.970001,2767800,129.246613
"2020-08-06",134.520004,135.210007,133.699997,134.389999,2446400,128.691223
"2020-08-07",134,135.110001,132.520004,134.919998,2223700,129.198761
"2020-08-10",135.729996,142.160004,135.679993,142.020004,5181600,135.997681
"2020-08-11",144.020004,146.199997,142.289993,142.529999,4206000,136.486038
"2020-08-12",143.949997,144.169998,141.330002,142.570007,2541200,136.524384
"2020-08-13",141.600006,142.740005,139.770004,140.669998,2939900,134.70491
"2020-08-14",139.449997,140.889999,138.770004,139.960007,2038500,134.025024
"2020-08-17",140.149994,140.600006,138.300003,138.720001,2284000,132.837601
"2020-08-18",138.949997,140.110001,138.080002,138.369995,1563200,132.502441
"2020-08-19",138.5,139.919998,137.460007,138.020004,1849500,132.167297
