"","CBRE.Open","CBRE.High","CBRE.Low","CBRE.Close","CBRE.Volume","CBRE.Adjusted"
"2020-07-01",45.509998,45.830002,44.459999,44.849998,1597700,44.849998
"2020-07-02",45.84,46.57,45.09,45.509998,1399600,45.509998
"2020-07-06",46.48,47.099998,45.700001,46.380001,1471300,46.380001
"2020-07-07",45.73,45.900002,44.240002,44.310001,1478400,44.310001
"2020-07-08",44.07,44.77,43.540001,44.490002,1447100,44.490002
"2020-07-09",44.860001,44.93,42.639999,43.869999,2278800,43.869999
"2020-07-10",43.75,45.049999,43.75,44.200001,1211300,44.200001
"2020-07-13",44.540001,44.810001,43.189999,43.189999,1519400,43.189999
"2020-07-14",42.889999,43.619999,42.540001,43.349998,1533000,43.349998
"2020-07-15",44.84,45.509998,44.349998,45.220001,1764100,45.220001
"2020-07-16",44.810001,45.330002,44.380001,44.59,890900,44.59
"2020-07-17",44.970001,45.490002,44.77,44.950001,1458000,44.950001
"2020-07-20",44.650002,44.91,43.950001,44.259998,1295400,44.259998
"2020-07-21",44.48,45.040001,43.77,43.939999,1292200,43.939999
"2020-07-22",43.450001,44.619999,43.299999,44.360001,1175200,44.360001
"2020-07-23",44.139999,44.450001,43.48,43.919998,1558000,43.919998
"2020-07-24",44.060001,44.330002,42.970001,43.16,1046500,43.16
"2020-07-27",42.950001,43.150002,42.029999,42.330002,2575200,42.330002
"2020-07-28",42.330002,42.889999,41.759998,41.849998,2011400,41.849998
"2020-07-29",42.330002,43.02,41.849998,43,1554500,43
"2020-07-30",42.200001,43.360001,41.619999,43.27,1562200,43.27
"2020-07-31",43.330002,43.990002,42.169998,43.810001,3717300,43.810001
"2020-08-03",43.619999,43.66,41.259998,41.349998,2808700,41.349998
"2020-08-04",41.150002,41.84,41.029999,41.490002,2367500,41.490002
"2020-08-05",42.040001,42.860001,41.459999,42.830002,2759300,42.830002
"2020-08-06",42.389999,42.860001,42.009998,42.25,2631600,42.25
"2020-08-07",42.220001,44.200001,42.080002,44.02,1501100,44.02
"2020-08-10",44.040001,45.860001,43.970001,45.369999,1729600,45.369999
"2020-08-11",46.419998,47.799999,46.290001,47.200001,2115300,47.200001
"2020-08-12",47.34,48.580002,47.099998,47.279999,1764300,47.279999
"2020-08-13",46.799999,47.09,45.759998,46.029999,838600,46.029999
"2020-08-14",45.779999,46.459999,45.43,46.02,1049400,46.02
"2020-08-17",45.93,46.009998,44.93,45.09,1474700,45.09
"2020-08-18",45.16,45.43,44.57,44.66,966900,44.66
"2020-08-19",44.380001,44.580002,43.759998,44.310001,1000100,44.310001
"2020-08-20",43.830002,44.610001,43.630001,44.080002,1278400,44.080002
"2020-08-21",44.400002,45.049999,44.34,44.91,883200,44.91
"2020-08-24",45.080002,47.060001,44.950001,47.009998,1278000,47.009998
"2020-08-25",47.32,48.029999,47.009998,47.389999,1715200,47.389999
"2020-08-26",47.009998,47.32,46.470001,46.98,1704900,46.98
"2020-08-27",46.889999,47.900002,46.869999,47.349998,1306500,47.349998
"2020-08-28",47.549999,47.900002,46.970001,47.849998,863300,47.849998
"2020-08-31",47.959999,47.959999,46.57,47.029999,2046700,47.029999
"2020-09-01",46.799999,47.91,46.41,47.77,984900,47.77
"2020-09-02",47.900002,49.16,47.580002,49.040001,2494500,49.040001
"2020-09-03",48.860001,49.990002,47.919998,48.619999,1577900,48.619999
"2020-09-04",49.310001,49.419998,47.669998,48.220001,1256400,48.220001
"2020-09-08",47.93,48.43,47.259998,47.630001,1796300,47.630001
"2020-09-09",47.73,49.07,47.560001,48.529999,1541800,48.529999
"2020-09-10",48.91,48.91,47.419998,47.52,1163900,47.52
"2020-09-11",47.93,47.98,46.369999,46.91,1277500,46.91
"2020-09-14",47.400002,49.040001,47.400002,48.779999,1132500,48.779999
"2020-09-15",49.209999,50.23,49.049999,49.630001,1287400,49.630001
"2020-09-16",49.919998,51.029999,49.470001,49.990002,1172400,49.990002
"2020-09-17",49.48,49.91,48.950001,49.57,1355200,49.57
"2020-09-18",49.099998,49.549999,48.419998,48.48,2265200,48.48
"2020-09-21",47.32,47.509998,45.169998,46.450001,2102400,46.450001
"2020-09-22",46.560001,47.299999,45.669998,46.009998,1201100,46.009998
"2020-09-23",46.139999,46.599998,44.639999,45,1460800,45
"2020-09-24",44.970001,46.599998,44.59,45.66,1438500,45.66
"2020-09-25",45.200001,46.720001,45.189999,46.32,911300,46.32
"2020-09-28",47.290001,47.880001,46.950001,47.34,1439800,47.34
"2020-09-29",47.139999,47.360001,46.209999,46.77,872300,46.77
"2020-09-30",47.169998,48.110001,46.59,46.970001,1741400,46.970001
"2020-10-01",47.41,48.200001,46.810001,47.400002,1993400,47.400002
"2020-10-02",46.439999,48.279999,46.099998,48.07,1688900,48.07
"2020-10-05",48.68,49.09,47.939999,48.610001,1615500,48.610001
"2020-10-06",48.869999,49.990002,48.34,48.57,2347900,48.57
"2020-10-07",49,49.169998,48.470001,48.950001,1456100,48.950001
"2020-10-08",49.209999,51,49.049999,50.990002,1003300,50.990002
"2020-10-09",51.5,51.580002,49.709999,49.900002,1857300,49.900002
"2020-10-12",50.259998,50.41,49.139999,50.310001,1397500,50.310001
"2020-10-13",49.880001,50.099998,49.009998,49.049999,894000,49.049999
"2020-10-14",49.110001,49.650002,48.919998,49.02,1036800,49.02
"2020-10-15",48.490002,49.380001,48.34,49.040001,1212100,49.040001
"2020-10-16",48.990002,49.240002,47.799999,48.610001,1423500,48.610001
"2020-10-19",48.869999,48.93,47.48,47.580002,1150700,47.580002
"2020-10-20",48.029999,48.939999,47.860001,47.900002,1032200,47.900002
"2020-10-21",47.52,47.790001,46.740002,47.049999,1102900,47.049999
"2020-10-22",46.860001,47.369999,46.610001,46.73,1196800,46.73
"2020-10-23",46.990002,47.360001,46.380001,46.66,1263800,46.66
"2020-10-26",45.990002,46.099998,44.98,45.580002,1645500,45.580002
"2020-10-27",45.560001,45.860001,44.84,44.860001,1762700,44.860001
"2020-10-28",43.689999,44.450001,43.169998,43.919998,1858900,43.919998
"2020-10-29",45.080002,51.450001,44.75,51.299999,3808600,51.299999
"2020-10-30",50.5,51.060001,48.73,50.400002,2239100,50.400002
"2020-11-02",50.959999,53.549999,50.810001,52.669998,2650600,52.669998
"2020-11-03",53.720001,53.720001,50.580002,51.93,1774600,51.93
"2020-11-04",51.619999,53.34,50.790001,51.990002,1160700,51.990002
"2020-11-05",52.529999,53.43,52.099998,52.919998,1220200,52.919998
"2020-11-06",53.119999,53.360001,51.759998,52.27,1055600,52.27
"2020-11-09",57.279999,62.41,57.279999,58.150002,4741500,58.150002
"2020-11-10",58.09,59.150002,56.220001,56.529999,2006000,56.529999
"2020-11-11",56.939999,56.939999,55.34,56.310001,1687800,56.310001
"2020-11-12",56.049999,56.139999,54.900002,55.279999,1752900,55.279999
"2020-11-13",56.02,58.060001,55.73,57.830002,1336400,57.830002
"2020-11-16",59.639999,60.400002,58.720001,59.919998,1879300,59.919998
"2020-11-17",58.98,60.970001,58.02,60.490002,1798400,60.490002
"2020-11-18",60.43,60.43,58.07,58.130001,1493100,58.130001
"2020-11-19",57.720001,58.59,56.560001,58.470001,1645500,58.470001
"2020-11-20",58.25,58.599998,57.34,58.299999,1325100,58.299999
"2020-11-23",58.939999,59.990002,58.18,59.779999,1353100,59.779999
"2020-11-24",60.43,61.900002,59.98,61.459999,1457900,61.459999
"2020-11-25",61.400002,61.740002,60.529999,61.259998,1141600,61.259998
"2020-11-27",61.27,61.73,60.639999,61.130001,643000,61.130001
"2020-11-30",61.189999,61.400002,60.369999,61.139999,4042200,61.139999
"2020-12-01",61.990002,62.389999,60.98,61.639999,1497900,61.639999
"2020-12-02",61.290001,62.240002,61.119999,61.849998,1802900,61.849998
"2020-12-03",61.98,64.18,61.400002,63.779999,2233700,63.779999
"2020-12-04",63.759998,65.910004,63.740002,65.739998,1871300,65.739998
"2020-12-07",65.080002,66.349998,64.760002,66.279999,1983200,66.279999
"2020-12-08",65.779999,66.900002,65.629997,66.75,2692600,66.75
"2020-12-09",67.309998,67.699997,65.330002,66.099998,2888700,66.099998
"2020-12-10",65.449997,66.559998,64.849998,66.330002,2279300,66.330002
"2020-12-11",65.660004,66.419998,65.25,66.150002,2189400,66.150002
"2020-12-14",66.690002,66.889999,64.919998,65.129997,2251500,65.129997
"2020-12-15",65.699997,66.169998,65.089996,66.129997,1922400,66.129997
"2020-12-16",66.120003,66.57,64.879997,65.830002,3172200,65.830002
"2020-12-17",66.019997,66.019997,63.66,64.410004,2668100,64.410004
"2020-12-18",64.419998,64.419998,62.32,63.290001,6249300,63.290001
"2020-12-21",62.369999,63.099998,61.349998,62.389999,2423400,62.389999
"2020-12-22",62.66,62.900002,61.790001,62.57,1896700,62.57
"2020-12-23",62.759998,63.84,62.740002,62.75,1063200,62.75
"2020-12-24",62.990002,63.040001,62.150002,62.93,393600,62.93
"2020-12-28",63.259998,63.259998,62.529999,62.970001,863400,62.970001
"2020-12-29",63.110001,63.400002,61.709999,62.110001,702100,62.110001
"2020-12-30",62.169998,62.98,62.169998,62.400002,639400,62.400002
"2020-12-31",62.619999,62.970001,61.720001,62.720001,838500,62.720001
"2021-01-04",62.740002,62.93,59.25,59.5,2671700,59.5
"2021-01-05",59.130001,60.299999,58.740002,59.419998,2153700,59.419998
"2021-01-06",59.93,61.389999,59.880001,60.610001,2241500,60.610001
"2021-01-07",60.810001,61.630001,60.43,61.5,2782300,61.5
"2021-01-08",61.970001,63.09,61.450001,62.639999,1381900,62.639999
"2021-01-11",62.009998,62.720001,61.709999,62.240002,1770900,62.240002
"2021-01-12",62.119999,63.139999,61.759998,63.040001,1182800,63.040001
"2021-01-13",63.029999,63.639999,61.779999,61.810001,1251600,61.810001
"2021-01-14",62.18,63,61.669998,62.259998,1579700,62.259998
"2021-01-15",62.099998,63.580002,61.700001,63.52,1619300,63.52
"2021-01-19",63.650002,64.089996,62.650002,63.610001,1399500,63.610001
"2021-01-20",63.490002,65.239998,63.259998,64.900002,1375300,64.900002
"2021-01-21",64.360001,65.139999,63.91,64.989998,994000,64.989998
"2021-01-22",64.989998,66.199997,64.650002,66.019997,2155400,66.019997
"2021-01-25",66.089996,66.309998,64.5,65.120003,1795300,65.120003
"2021-01-26",65.400002,65.5,63.110001,63.130001,1650700,63.130001
"2021-01-27",62.360001,63.169998,61.580002,62.66,1974800,62.66
"2021-01-28",63.220001,64.209999,62.34,63.990002,2049100,63.990002
"2021-01-29",63.360001,64.349998,60.599998,60.98,2026000,60.98
"2021-02-01",61.740002,63.73,60.709999,63.700001,1706500,63.700001
