"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"2020-07-01",126.480003,128.229996,124.959999,125.660004,1271200,121.039963
"2020-07-02",128.5,129.839996,125.330002,125.57,1155200,120.95327
"2020-07-06",127.68,129.179993,126.580002,127.290001,1463100,122.610031
"2020-07-07",127.550003,128.679993,125.57,127.169998,2334600,122.494461
"2020-07-08",126.209999,128.380005,125.75,127.860001,1914500,123.159081
"2020-07-09",127.620003,128.029999,122.43,124.339996,1753000,119.768486
"2020-07-10",124.529999,129.199997,123.989998,128.429993,1556000,123.708107
"2020-07-13",128.910004,130.580002,127.07,128.309998,1413500,123.592529
"2020-07-14",128.440002,131.139999,127.400002,130.740005,1317000,125.933197
"2020-07-15",133.110001,133.850006,131.330002,132.800003,1893300,127.91745
"2020-07-16",133.419998,137.339996,132.830002,136.029999,2170800,131.028702
"2020-07-17",136.029999,136.419998,134.220001,135.949997,1329400,130.95166
"2020-07-20",135.360001,136.119995,133.860001,134.279999,1490800,129.343018
"2020-07-21",134.410004,137.580002,134.399994,135.550003,1199200,130.566345
"2020-07-22",134.580002,136.330002,133.960007,135.779999,1240500,130.787872
"2020-07-23",135.610001,136.479996,134.470001,135.339996,1288100,130.364075
"2020-07-24",136.25,136.759995,133.570007,134.910004,1153300,129.94986
"2020-07-27",133.699997,133.860001,131.149994,132.389999,1860900,127.522514
"2020-07-28",132,132.809998,131.369995,131.960007,1702100,127.108345
"2020-07-29",131,132.039993,127.93,131.940002,2575000,127.089073
"2020-07-30",129.729996,132.380005,128.520004,130,2094000,125.220406
"2020-07-31",129.570007,129.570007,125.550003,127.239998,2207700,122.561874
"2020-08-03",127.589996,127.650002,125.410004,126.449997,1851600,121.800911
"2020-08-04",125.809998,126.559998,124.089996,124.760002,1775700,120.173058
"2020-08-05",125.82,127.25,125.599998,125.669998,1588500,121.049599
"2020-08-06",124.980003,127.559998,124.089996,126.559998,1247900,121.90686
"2020-08-07",125.669998,130.160004,125.580002,129.949997,1284300,125.172241
"2020-08-10",130.339996,131.520004,129.460007,130.960007,1309200,126.145088
"2020-08-11",133.029999,134.830002,131.539993,132.009995,1665000,127.156487
"2020-08-12",133.649994,133.779999,130.110001,130.279999,1913500,125.490097
"2020-08-13",129.350006,131.740005,128.399994,131.199997,1635200,126.376274
"2020-08-14",130.350006,131.779999,129.589996,130.139999,1412800,125.355247
"2020-08-17",129.580002,129.830002,125.620003,125.839996,1670600,121.213341
"2020-08-18",125.839996,126.550003,124.629997,125.080002,1489900,120.481293
"2020-08-19",125.379997,126.169998,123.449997,123.93,1480700,119.373566
"2020-08-20",122.809998,124.410004,122.25,123.440002,1793200,118.901581
"2020-08-21",123.339996,123.68,121.709999,121.919998,1523600,117.437462
"2020-08-24",121.900002,124.43,121.32,124.419998,1670600,119.845543
"2020-08-25",125.529999,126.239998,124.629997,125.910004,1324200,121.280769
"2020-08-26",125.43,126.540001,124.190002,125.589996,1476600,120.972527
"2020-08-27",126.169998,130.339996,125.860001,127.760002,1684900,123.062744
"2020-08-28",128.220001,128.399994,125.599998,126.389999,1397600,121.743111
"2020-08-31",126.139999,126.360001,123.650002,125,1568200,120.404228
"2020-09-01",124.019997,125.25,123.650002,124.860001,1110700,120.269386
"2020-09-02",124.620003,126.459999,123.480003,125.830002,1783500,121.20372
"2020-09-03",127.510002,130.229996,123.099998,124.010002,1436000,119.45063
"2020-09-04",126.290001,127.720001,124.32,125.559998,1420400,120.943626
"2020-09-08",125,125.269997,120.260002,121.110001,1757400,116.657249
"2020-09-09",121.779999,124.75,121.120003,122.220001,1403100,117.726425
"2020-09-10",122.690002,123.540001,119.080002,119.230003,1795600,114.846367
"2020-09-11",119.559998,121.489998,118.349998,120.669998,1766200,116.233421
"2020-09-14",121.610001,122.769997,120.720001,120.879997,1750500,116.435692
"2020-09-15",120.720001,121.849998,117.510002,117.660004,2136500,113.334099
"2020-09-16",118.139999,120.199997,117.220001,118.589996,2014200,114.229897
"2020-09-17",116.940002,117.25,114.699997,117.029999,2054300,113.473587
"2020-09-18",115.970001,118.800003,115.760002,117.419998,2604300,113.851753
"2020-09-21",115,116.709999,113.589996,115.989998,2036000,112.465195
"2020-09-22",115.349998,118.32,114.959999,116.040001,1732500,112.513687
"2020-09-23",116.559998,117.889999,113.639999,113.849998,1766000,110.390244
"2020-09-24",114.139999,115.489998,112.239998,113.989998,1804000,110.525978
"2020-09-25",112.650002,114.199997,111.93,113.849998,1812300,110.390244
"2020-09-28",116.010002,118.379997,115.339996,116.970001,1665700,113.415413
"2020-09-29",116.32,116.419998,113.160004,114.339996,2480800,110.865341
"2020-09-30",114.879997,117.129997,114.540001,116.120003,1805300,112.591248
"2020-10-01",116.5,117.169998,114.559998,115.879997,1459300,112.358543
"2020-10-02",114.760002,117.169998,114.209999,116.559998,1255800,113.017883
"2020-10-05",117.910004,119.599998,117.440002,119.099998,1301800,115.480698
"2020-10-06",120,120.160004,116.839996,117.260002,1541400,113.696609
"2020-10-07",117.400002,119.379997,117.279999,119.110001,1955300,115.490387
"2020-10-08",119.599998,122.059998,119.129997,121.279999,1236300,117.594444
"2020-10-09",121.870003,121.940002,119.970001,120.449997,1241300,116.789673
"2020-10-12",120.650002,123.860001,119.93,123.449997,1542300,119.698509
"2020-10-13",122.169998,122.540001,118.110001,118.57,1738200,114.966789
"2020-10-14",118.690002,120.410004,118.489998,118.559998,994500,114.957108
"2020-10-15",117.040001,120.690002,116.5,120.160004,1414500,116.508484
