"","CDAY.Open","CDAY.High","CDAY.Low","CDAY.Close","CDAY.Volume","CDAY.Adjusted"
"2020-07-01",79.050003,84.360001,78.790001,84.139999,2681000,84.139999
"2020-07-02",85.059998,86.779999,84.540001,84.669998,1374000,84.669998
"2020-07-06",86.040001,87,83.779999,84.400002,1552200,84.400002
"2020-07-07",84.290001,86.760002,83.501999,83.75,1159000,83.75
"2020-07-08",84.220001,85.589996,84.18,84.989998,1373700,84.989998
"2020-07-09",85.82,86.370003,83.519997,85.339996,2108500,85.339996
"2020-07-10",85.260002,85.260002,83.139999,83.150002,832800,83.150002
"2020-07-13",84.400002,85.285004,78.800003,78.82,1048500,78.82
"2020-07-14",78.199997,79.459999,75.709999,79.410004,1101600,79.410004
"2020-07-15",80.5,82.066002,79.260002,81.75,883400,81.75
"2020-07-16",81,81.334999,79.589996,80.849998,626600,80.849998
"2020-07-17",81.480003,83.029999,80.610001,82.290001,623500,82.290001
"2020-07-20",82.839996,84.75,82.330002,82.5,1938400,82.5
"2020-07-21",82.980003,83.150002,79.93,80.57,1644700,80.57
"2020-07-22",80.989998,82.18,79.599998,80.709999,1032800,80.709999
"2020-07-23",80.660004,82,77.050003,77.709999,1205400,77.709999
"2020-07-24",76.529999,78.995003,75.730003,77.339996,737400,77.339996
"2020-07-27",78,79.739998,77.150002,79.599998,716800,79.599998
"2020-07-28",79.290001,80.970001,78.599998,79.489998,661000,79.489998
"2020-07-29",80.239998,82.339996,79.809998,81.690002,729900,81.690002
"2020-07-30",80.199997,80.860001,78.139999,78.959999,1552600,78.959999
"2020-07-31",79.620003,79.620003,76.889999,78.290001,906100,78.290001
"2020-08-03",79.050003,83.050003,78.690002,82.269997,1101700,82.269997
"2020-08-04",82.239998,83.260002,81.059998,82.440002,656300,82.440002
"2020-08-05",83.410004,85.360001,83.080002,84.269997,1708600,84.269997
"2020-08-06",82.769997,85.400002,74.410004,74.5,4634700,74.5
"2020-08-07",74.160004,74.690002,69.949997,70.410004,3022300,70.410004
"2020-08-10",70.43,71.199997,67.669998,69.25,4283600,69.25
"2020-08-11",69.139999,71.599998,67.870003,70.199997,2549100,70.199997
"2020-08-12",70.910004,71.599998,69.139999,69.900002,2801100,69.900002
"2020-08-13",69.889999,73.239998,69.870003,72.849998,1125500,72.849998
"2020-08-14",72.970001,73.470001,72.279999,72.839996,809000,72.839996
"2020-08-17",73.489998,75.25,72.839996,74.410004,917100,74.410004
"2020-08-18",74.190002,75.190002,73.389999,74.239998,718800,74.239998
"2020-08-19",74.370003,74.800003,72.589996,74.419998,779300,74.419998
"2020-08-20",73.879997,76.589996,73.879997,75.970001,595300,75.970001
"2020-08-21",75.690002,75.879997,74.040001,74.199997,613700,74.199997
"2020-08-24",75.160004,75.529999,73.5,74.230003,500400,74.230003
"2020-08-25",73.809998,75.290001,73.665001,75.019997,447700,75.019997
"2020-08-26",73.25,77.059998,72.720001,76.610001,5671600,76.610001
"2020-08-27",77.349998,78.330002,76.089996,76.959999,2386000,76.959999
"2020-08-28",77.610001,80.239998,77.279999,78.849998,1451400,78.849998
"2020-08-31",78.730003,79.870003,78.199997,79.519997,1197400,79.519997
"2020-09-01",79.57,83.769997,79.410004,83.68,1330600,83.68
"2020-09-02",84,84.580002,81.960999,82.849998,1587200,82.849998
"2020-09-03",81.650002,81.690002,72.900002,73.940002,1988300,73.940002
"2020-09-04",74.410004,75.120003,68.760002,72.660004,1760600,72.660004
"2020-09-08",70.099998,77.915001,70,76.5,2441800,76.5
"2020-09-09",77.970001,79.190002,77.290001,77.739998,1685500,77.739998
"2020-09-10",78.190002,79.379997,75.699997,76.230003,815100,76.230003
"2020-09-11",77.099998,77.629997,72.849998,73.529999,1470500,73.529999
"2020-09-14",74.849998,75.440002,73.660004,75.279999,1030900,75.279999
"2020-09-15",76.269997,77.239998,75.660004,76.800003,800200,76.800003
"2020-09-16",77.400002,79.43,76.919998,78.010002,1284100,78.010002
"2020-09-17",76.029999,76.440002,74.639999,75.589996,1244800,75.589996
"2020-09-18",76.279999,77.779999,73.440002,75.029999,4442200,75.029999
"2020-09-21",72.900002,76.349998,71.57,76.25,1202100,76.25
"2020-09-22",77.290001,78.400002,74.989998,78.379997,1144600,78.379997
"2020-09-23",77.860001,79.440002,76.230003,76.339996,960100,76.339996
"2020-09-24",75.660004,76.57,73.260002,76.07,998500,76.07
"2020-09-25",76.139999,79.760002,75.834999,79.610001,951000,79.610001
"2020-09-28",81,82.550003,80.360001,82.209999,1536900,82.209999
"2020-09-29",82.660004,84.278,81.519997,82.449997,1483300,82.449997
"2020-09-30",82.25,83.690002,81.669998,82.650002,1320800,82.650002
"2020-10-01",83.910004,84.760002,82.940002,83.480003,1354700,83.480003
"2020-10-02",81.620003,84.809998,81.540001,84.300003,939800,84.300003
"2020-10-05",85,88.68,84.389999,88.25,1756800,88.25
"2020-10-06",88.400002,88.75,84.800003,85.379997,1135600,85.379997
"2020-10-07",86.160004,88.32,85.559998,88,999900,88
"2020-10-08",88.940002,89.385002,87.419998,87.889999,743100,87.889999
"2020-10-09",88.040001,89.349998,87.860001,89.220001,763300,89.220001
"2020-10-12",90,90.739998,88.555,88.82,804200,88.82
"2020-10-13",88.720001,91.360001,88.559998,90.029999,875100,90.029999
"2020-10-14",90.610001,90.849998,88.209999,89.449997,592700,89.449997
"2020-10-15",87.870003,90.32,87.139999,89.940002,734800,89.940002
"2020-10-16",90.980003,90.980003,89.589996,89.989998,688400,89.989998
"2020-10-19",90.529999,91.529999,88.889999,89.080002,778700,89.080002
"2020-10-20",89.419998,90.32,88.43,88.5,627600,88.5
"2020-10-21",91.690002,92.449997,88.970001,89,745300,89
"2020-10-22",88.839996,89.870003,86.559998,89.559998,561900,89.559998
"2020-10-23",90,92.779999,88.864998,92.209999,766500,92.209999
"2020-10-26",90.5,91.154999,87.699997,88.800003,649800,88.800003
"2020-10-27",89.529999,90,88.400002,88.839996,598700,88.839996
"2020-10-28",87.019997,90,85.779999,88.620003,763900,88.620003
"2020-10-29",88.029999,89.269997,86.32,88.230003,956000,88.230003
"2020-10-30",87.309998,87.779999,84.040001,86.220001,790000,86.220001
"2020-11-02",86.660004,87.495003,83.400002,84.089996,839000,84.089996
"2020-11-03",86.599998,87.849998,85.370003,87.199997,959500,87.199997
"2020-11-04",89.809998,93.43,88.690002,91.919998,927900,91.919998
"2020-11-05",93.190002,93.900002,90.5,91.040001,1361000,91.040001
"2020-11-06",87.989998,94.82,85.139999,94.019997,2519200,94.019997
"2020-11-09",95.25,97.949997,93.099998,94.269997,2690500,94.269997
"2020-11-10",93.199997,95.849998,91.099998,94.650002,1370400,94.650002
"2020-11-11",95.889999,98.529999,94.040001,97,1216300,97
"2020-11-12",97.080002,99.239998,95.730003,96.370003,1400300,96.370003
"2020-11-13",97.010002,97.169998,93.910004,95.860001,653300,95.860001
"2020-11-16",95.559998,96.404999,93.959999,94.919998,707800,94.919998
"2020-11-17",94.779999,97.410004,94.779999,97.129997,451200,97.129997
"2020-11-18",97.559998,98.555,96.440002,96.690002,602500,96.690002
"2020-11-19",99.220001,100,94.82,97.349998,990700,97.349998
"2020-11-20",96.830002,97.589996,96,96.18,731600,96.18
"2020-11-23",96.379997,97.580002,95.839996,96.440002,769200,96.440002
"2020-11-24",96.739998,97.400002,94.440002,94.910004,874500,94.910004
"2020-11-25",95.459999,97.199997,94.540001,96.07,941700,96.07
"2020-11-27",97.410004,100.18,96.540001,99.389999,1396600,99.389999
"2020-11-30",100.199997,100.489998,94.059998,96.419998,6931500,96.419998
"2020-12-01",95.919998,97.125,94.529999,95.040001,954800,95.040001
"2020-12-02",94.190002,94.190002,91.410004,93.900002,803200,93.900002
"2020-12-03",94.019997,96.459999,93.804001,94.730003,748400,94.730003
"2020-12-04",95.18,97.559998,94.529999,97.419998,1046800,97.419998
"2020-12-07",97.75,99.639999,95.370003,96.529999,1084000,96.529999
"2020-12-08",96.529999,99.540001,96.529999,99.330002,1060800,99.330002
"2020-12-09",98.879997,99.730003,96.419998,96.870003,781400,96.870003
"2020-12-10",96.120003,98.010002,95.955002,96.980003,550500,96.980003
"2020-12-11",96.419998,98.260002,96.150002,97.870003,624400,97.870003
"2020-12-14",98.059998,99.5,97.220001,98.75,868300,98.75
"2020-12-15",99.209999,99.669998,96.879997,98.209999,921200,98.209999
"2020-12-16",99.550003,100.43,96.919998,97.110001,1103000,97.110001
"2020-12-17",97.550003,98.839996,96.339996,97.389999,1010300,97.389999
"2020-12-18",98.300003,98.919998,95,97.650002,2082600,97.650002
"2020-12-21",96.349998,99.120003,95.959999,98.82,841700,98.82
"2020-12-22",99.470001,108.440002,98.839996,108.419998,2317100,108.419998
"2020-12-23",108.32,110.57,106.410004,110.160004,1501800,110.160004
"2020-12-24",109.449997,111.93,108.900002,110.059998,867600,110.059998
"2020-12-28",111.059998,111.059998,105.940002,106.669998,810100,106.669998
"2020-12-29",107.339996,108.480003,105.218002,107.059998,984900,107.059998
"2020-12-30",107.790001,108.779999,105.300003,105.400002,493600,105.400002
"2020-12-31",105.620003,107.135002,104.57,106.559998,549700,106.559998
"2021-01-04",106.669998,107.360001,100.433998,102.529999,811200,102.529999
"2021-01-05",102.279999,103.964996,101.050003,101.120003,660800,101.120003
"2021-01-06",100.410004,100.934998,96.629997,99.349998,1105700,99.349998
"2021-01-07",99.82,103.970001,99.739998,103.720001,816900,103.720001
"2021-01-08",104.449997,107.695,104.449997,105.720001,674600,105.720001
"2021-01-11",103.660004,105,102.010002,102.160004,339000,102.160004
"2021-01-12",101.809998,102.75,100.220001,101.769997,387800,101.769997
"2021-01-13",102.190002,103.150002,99.330002,99.400002,550300,99.400002
"2021-01-14",100.989998,102.470001,99.660004,100.900002,520400,100.900002
