"","CDW.Open","CDW.High","CDW.Low","CDW.Close","CDW.Volume","CDW.Adjusted"
"2020-07-01",116.029999,117.910004,115.160004,115.529999,880300,113.009262
"2020-07-02",116.779999,118.760002,116.5,117.110001,894100,114.554787
"2020-07-06",119.75,120,117.199997,117.550003,729500,114.985191
"2020-07-07",116.870003,118.029999,113.709999,114.059998,883900,111.571327
"2020-07-08",114.220001,114.959999,112.300003,113.379997,865200,110.906166
"2020-07-09",113.620003,114.010002,110.190002,112.510002,723900,110.055153
"2020-07-10",111.809998,114.239998,111.290001,113.839996,660500,111.356133
"2020-07-13",115.110001,115.120003,112.459999,112.580002,780500,110.123619
"2020-07-14",111.260002,114.559998,110.980003,114.400002,609900,111.903908
"2020-07-15",115.739998,118.269997,114.919998,117.699997,660600,115.131889
"2020-07-16",117.120003,117.410004,116.129997,116.699997,567100,114.153725
"2020-07-17",117.160004,119.620003,116.550003,118.510002,560600,115.924225
"2020-07-20",117.739998,118.360001,115.75,118.18,489700,115.60144
"2020-07-21",117.669998,119.720001,116.220001,117,880200,114.447174
"2020-07-22",117.800003,119.720001,117.610001,119.080002,519100,116.481796
"2020-07-23",119.279999,121.480003,118.279999,118.790001,473000,116.198128
"2020-07-24",118.019997,118.290001,113.720001,114.559998,920700,112.060425
"2020-07-27",115.279999,116.540001,114.260002,116.300003,761300,113.762459
"2020-07-28",115.540001,116.790001,113.68,113.849998,465200,111.365906
"2020-07-29",113.760002,116.010002,113.360001,115.639999,541700,113.116867
"2020-07-30",113.470001,115.839996,112.400002,115.690002,528800,113.165764
"2020-07-31",115.32,116.400002,113.550003,116.25,769300,113.713547
"2020-08-03",116.68,118.419998,116.050003,117.459999,537300,114.897133
"2020-08-04",116.959999,119.830002,116.699997,119.519997,996400,116.912193
"2020-08-05",121.93,121.93,115.459999,116.75,1293200,114.202629
"2020-08-06",115.900002,117.949997,114.419998,114.790001,784400,112.285393
"2020-08-07",113.739998,114.849998,112.849998,114.769997,678400,112.265839
"2020-08-10",114.230003,115.010002,112.980003,113,675900,110.534462
"2020-08-11",114.410004,119.949997,113.910004,117.209999,1122900,114.652611
"2020-08-12",118.5,118.5,116.279999,116.610001,855900,114.065689
"2020-08-13",115.870003,116.019997,113.800003,114.580002,490800,112.079994
"2020-08-14",113.589996,113.860001,112.809998,113.519997,533100,111.043106
"2020-08-17",114.010002,115.120003,113.389999,113.620003,407900,111.140938
"2020-08-18",113.68,114.330002,110.769997,110.980003,750200,108.558533
"2020-08-19",110.870003,112.940002,110.790001,111.989998,541000,109.546478
"2020-08-20",111.309998,113.139999,111.029999,112.32,630200,109.869301
"2020-08-21",112,112.07,110.529999,111.150002,556500,108.724815
"2020-08-24",111.690002,113.389999,111.349998,112.290001,541000,110.216759
"2020-08-25",112.519997,113.489998,111.160004,112.150002,491900,110.079338
"2020-08-26",111.980003,112.239998,110.089996,111.169998,1026400,109.117432
"2020-08-27",112.519997,115.559998,111.830002,114.839996,1177800,112.719666
"2020-08-28",115.089996,115.839996,113.760002,115.339996,578500,113.210449
"2020-08-31",115.010002,115.010002,112.709999,113.650002,631200,111.551651
"2020-09-01",112.739998,113.480003,110.129997,112.589996,1097000,110.511215
"2020-09-02",113.93,117.860001,112.949997,117.529999,1080800,115.360008
"2020-09-03",117.010002,117.529999,111.300003,112.169998,919000,110.098969
"2020-09-04",113.739998,115.419998,111.540001,114.25,1383600,112.140564
"2020-09-08",112.139999,114.160004,111.589996,111.720001,1157200,109.65728
"2020-09-09",112.470001,112.790001,109.519997,110.550003,637900,108.508881
"2020-09-10",111,112.050003,109.360001,110.080002,1083300,108.047569
"2020-09-11",109.25,111.550003,109.050003,111.32,1073800,109.264656
"2020-09-14",112.360001,114.82,111.860001,113.150002,764900,111.060883
"2020-09-15",113.32,115.510002,113.199997,114.18,468900,112.071854
"2020-09-16",115.110001,116.650002,113.639999,113.910004,894200,111.806854
"2020-09-17",112.07,114.480003,111.760002,114.230003,908900,112.120941
"2020-09-18",115,115.260002,112.169998,112.82,1240200,110.736969
