"","CEG.Open","CEG.High","CEG.Low","CEG.Close","CEG.Volume","CEG.Adjusted"
"2022-01-19",38,43,38,42,129900,41.759682
"2022-01-20",40.950001,48.369999,40.950001,45,153400,44.742512
"2022-01-21",43,49.950001,42.950001,45,329500,44.742512
"2022-01-24",44.919998,45,41.880001,42.799999,110000,42.555099
"2022-01-25",42.5,44.919998,41.330002,41.897999,23500,41.65826
"2022-01-26",45.009998,45.060001,42.25,43.220001,90500,42.972698
"2022-01-27",47.259998,49.619999,43.75,45.759998,151600,45.498161
"2022-01-28",44.549999,47.599998,44.150002,46.75,43600,46.482498
"2022-01-31",46,48,46,48,71300,47.725349
"2022-02-01",47.5,50,47.049999,49.779999,298800,49.495163
"2022-02-02",50.035,56.23,49.799999,53.009998,23860900,52.706676
"2022-02-03",52.189999,56.57,50.299999,53.619999,8425500,53.31319
"2022-02-04",52.599998,54.330002,50.119999,50.139999,6757800,49.8531
"2022-02-07",50,50.040001,46,46.07,9432500,45.806389
"2022-02-08",45.130001,47.560001,44.169998,45.5,7277500,45.239651
"2022-02-09",44.75,47.450001,43.880001,47.310001,4393100,47.039299
"2022-02-10",45.509998,48.5,45.380001,47.049999,2450000,46.780785
"2022-02-11",46.759998,48.91,46.060001,48.09,3456800,47.814835
"2022-02-14",48.189999,49,46.990002,48.110001,2155000,47.834717
"2022-02-15",47.700001,48.450001,47.200001,48,2359800,47.725349
"2022-02-16",47.720001,48.470001,46.950001,47.200001,5855300,46.929924
"2022-02-17",46.32,47.080002,45.189999,45.290001,3142600,45.030853
"2022-02-18",45.150002,45.900002,44.799999,45.41,2018700,45.150166
"2022-02-22",45.41,45.68,43.490002,43.540001,2611100,43.290871
"2022-02-23",43.689999,43.990002,42.18,43.09,2791200,42.843445
"2022-02-24",43.150002,44.59,42.220001,44.32,2447900,44.211071
"2022-02-25",44.299999,44.93,43.740002,43.91,2040700,43.802082
"2022-02-28",43.299999,46.619999,42.459999,45.98,5534900,45.866993
"2022-03-01",45.619999,48.049999,45.349998,47.790001,4212900,47.672546
"2022-03-02",48,50.299999,47.330002,49.459999,3517100,49.33844
"2022-03-03",49.82,50.330002,47.547001,49.52,2072200,49.398293
"2022-03-04",49.169998,51.040001,48.25,51,2544600,50.874657
"2022-03-07",51.060001,52.580002,49.869999,51.650002,2726900,51.52306
"2022-03-08",51.18,55.32,50.849998,52.32,3873700,52.19141
"2022-03-09",52.439999,53.68,50.59,51.330002,3050600,51.203846
"2022-03-10",50.57,51.639999,49.27,51.32,2692700,51.193867
"2022-03-11",51.419998,51.84,48.290001,49.32,3034100,49.198784
"2022-03-14",51.860001,51.860001,48.59,50.950001,2916600,50.82478
"2022-03-15",51.34,51.59,49.900002,51.290001,2117400,51.163944
"2022-03-16",51.709999,52.400002,50.349998,51.77,2989800,51.642765
"2022-03-17",51.880001,52.709999,50.91,50.990002,2244600,50.864681
"2022-03-18",50.650002,51.41,48.880001,49.009998,9663900,48.889545
"2022-03-21",48.91,49.43,48.599998,49.220001,2452000,49.09903
"2022-03-22",50.349998,52.049999,50.009998,51.139999,3841900,51.014309
"2022-03-23",50.700001,51.77,50.700001,50.990002,2396200,50.864681
"2022-03-24",51.18,52.580002,50.766998,52.41,2335200,52.281189
"2022-03-25",52.240002,53.82,52.029999,53.799999,2441200,53.667774
"2022-03-28",54.380001,56.849998,54.049999,56.779999,3127000,56.64045
"2022-03-29",57,57.389999,54.630001,56.330002,2201300,56.191559
"2022-03-30",56.169998,57.790001,55.700001,57.5,1934100,57.358681
"2022-03-31",58.34,59.080002,55.779999,56.25,3817600,56.111752
"2022-04-01",56.360001,58.299999,55.700001,58.02,2156500,57.877403
"2022-04-04",58.360001,58.700001,57.529999,58.380001,1885100,58.236519
"2022-04-05",58.650002,60.32,58.450001,59,2143100,58.854992
"2022-04-06",58.900002,60.080002,58.369999,59.599998,2559400,59.453518
"2022-04-07",59.759998,61.07,59.349998,60.91,3925800,60.7603
"2022-04-08",61.220001,64.900002,60.900002,64.019997,4762100,63.862652
"2022-04-11",64.18,64.662003,60.41,60.68,3487700,60.530865
"2022-04-12",61,63.209999,60.880001,61.869999,2553000,61.717937
"2022-04-13",62.040001,64.550003,61.75,64.199997,3405700,64.042213
"2022-04-14",64.120003,64.720001,62.181,62.549999,1860100,62.396267
"2022-04-18",62.290001,64.169998,62.290001,63.310001,1216800,63.154404
"2022-04-19",63.630001,66.889999,62.880001,66.709999,2078800,66.546043
"2022-04-20",67.82,68.68,65.065002,65.410004,2182800,65.249245
"2022-04-21",65,66.300003,62.150002,62.669998,2493700,62.515972
"2022-04-22",62.5,64.456001,62.290001,62.43,2030500,62.276566
"2022-04-25",62.360001,62.84,59.439999,62.27,2261600,62.116959
"2022-04-26",61.799999,62.220001,59.91,59.950001,2136500,59.802658
"2022-04-27",60.009998,61.189999,59.73,60.09,1991600,59.942314
"2022-04-28",60.220001,61.349998,58.799999,61.310001,3354600,61.159317
"2022-04-29",61.5,61.860001,59.150002,59.209999,2578400,59.064476
"2022-05-02",59.299999,59.990002,56.900002,58.200001,2488200,58.056961
"2022-05-03",58.450001,60.450001,58.450001,59.700001,2224200,59.553272
"2022-05-04",60.119999,62.294998,59.842999,61.810001,2628900,61.658089
"2022-05-05",61.220001,61.990002,59.169998,60.16,1946800,60.012142
"2022-05-06",60.259998,61.23,58.700001,60.27,2861000,60.121872
"2022-05-09",60.57,60.57,56.57,57.619999,2193700,57.478386
"2022-05-10",58.25,59.869999,56.735001,57.040001,2156200,56.899811
"2022-05-11",57.110001,59.029999,56.529999,57.369999,1877000,57.229
"2022-05-12",57.310001,57.849998,53.080002,53.470001,3785600,53.470001
"2022-05-13",54.529999,55.901001,53.630001,54.610001,2317500,54.610001
"2022-05-16",54.419998,57.130001,54.34,56.59,1631900,56.59
"2022-05-17",56.849998,59.48,55.98,59.32,2215100,59.32
"2022-05-18",59.419998,60.255001,56.93,57.279999,4609100,57.279999
"2022-05-19",57.130001,57.509998,54.919998,57.23,2181100,57.23
"2022-05-20",57.509998,58.939999,55.490002,56.650002,2266200,56.650002
"2022-05-23",57.5,57.59,55.860001,56.599998,1581800,56.599998
"2022-05-24",56.549999,57.360001,55.07,56.779999,1682300,56.779999
"2022-05-25",56.880001,59.34,56.880001,59.169998,1974700,59.169998
"2022-05-26",59.18,63.042999,59.169998,62.470001,3260100,62.470001
"2022-05-27",62.400002,66.639999,62,66.599998,2793800,66.599998
"2022-05-31",65.540001,66.389999,61.369999,62.080002,7389300,62.080002
"2022-06-01",62.380001,63.919998,62.150002,63.650002,2008600,63.650002
"2022-06-02",63.689999,64.120003,61.98,63.75,1758500,63.75
"2022-06-03",63.259998,65.82,63.119999,65.169998,1793500,65.169998
"2022-06-06",65.57,66.940002,65.385002,66.389999,2033200,66.389999
"2022-06-07",65.519997,66.699997,65.161003,66.550003,2721700,66.550003
"2022-06-08",66.440002,66.470001,63.130001,64.769997,1922200,64.769997
"2022-06-09",64.260002,64.459999,61.16,61.209999,1811000,61.209999
"2022-06-10",59.849998,61.060001,59.209999,59.790001,1540800,59.790001
"2022-06-13",58.27,58.990002,55.200001,55.48,2113200,55.48
"2022-06-14",56.029999,56.48,53.32,54.439999,2330400,54.439999
"2022-06-15",55.700001,59.555,55.68,58.200001,3891700,58.200001
"2022-06-16",56.330002,58.349998,56.080002,58.259998,4837000,58.259998
"2022-06-17",58.549999,59.5,55.485001,58.099998,6478700,58.099998
"2022-06-21",58.099998,60.939999,58.099998,60.380001,4363600,60.380001
"2022-06-22",59.279999,60.43,58.865002,59.209999,3233400,59.209999
"2022-06-23",59.880001,61.23,57.790001,58.650002,2667600,58.650002
"2022-06-24",58.84,60.34,57.98,59.279999,6473700,59.279999
"2022-06-27",59.119999,59.870998,58.419998,59.419998,1718900,59.419998
"2022-06-28",59.84,60.91,57.830002,58.080002,1401700,58.080002
"2022-06-29",57.959999,58.154999,56.32,57.310001,1412200,57.310001
