"","CE.Open","CE.High","CE.Low","CE.Close","CE.Volume","CE.Adjusted"
"2020-07-01",87.040001,87.559998,84.970001,85.730003,956300,81.914513
"2020-07-02",87.309998,89.779999,87.309998,88.470001,885200,84.532585
"2020-07-06",89.980003,90.410004,88.190002,89.860001,826100,85.860703
"2020-07-07",88.760002,89,87.32,87.989998,701000,84.073929
"2020-07-08",87.639999,88.029999,84.870003,85.75,664900,81.933617
"2020-07-09",85.629997,85.93,83.089996,84.07,611800,80.328392
"2020-07-10",84.540001,86.870003,83.989998,86.449997,566200,82.602486
"2020-07-13",87.660004,88.580002,86.940002,87.089996,752600,83.213982
"2020-07-14",87.129997,89,86.779999,88.839996,720200,84.886101
"2020-07-15",90.660004,92.57,90.279999,91.900002,641400,87.809929
"2020-07-16",91.43,92.339996,90.019997,90.589996,1197100,86.558205
"2020-07-17",90.989998,91.949997,89.470001,89.529999,657700,85.54541
"2020-07-20",91.629997,95.470001,91.129997,91.790001,1226400,87.704811
"2020-07-21",92.610001,94.400002,92.339996,93.629997,878500,89.462914
"2020-07-22",93.239998,93.779999,92.480003,93.669998,724700,89.501144
"2020-07-23",93.419998,94.830002,92.639999,94.150002,794600,89.959785
"2020-07-24",93.5,93.800003,92.110001,92.43,846200,88.901779
"2020-07-27",92.879997,95.209999,92.32,95.199997,981800,91.56604
"2020-07-28",94.480003,95.529999,92.440002,93.230003,1260600,89.671234
"2020-07-29",94.32,97.809998,93.360001,97.160004,1760400,93.451218
"2020-07-30",97.699997,97.910004,95.68,97.589996,1212400,93.864799
"2020-07-31",97.970001,98.760002,95.199997,97.199997,1062000,93.489693
"2020-08-03",97.139999,97.519997,95.150002,96.480003,1120200,92.797188
"2020-08-04",96.160004,98.220001,94.93,97.489998,1145400,93.768623
"2020-08-05",98.389999,100.589996,98.379997,99.239998,1016200,95.45182
"2020-08-06",98.32,99.589996,97.75,98.970001,908300,95.192131
"2020-08-07",98,101.089996,98,100.980003,818500,97.125404
"2020-08-10",101.050003,103.169998,100.830002,103.150002,629300,99.21257
"2020-08-11",104.610001,107.029999,102.989998,103,1050200,99.068291
"2020-08-12",104.18,104.43,101.75,102,1022400,98.106468
"2020-08-13",101.129997,102.290001,100.68,101.040001,531100,97.183113
"2020-08-14",100.129997,102.25,100.050003,101.480003,444500,97.606316
"2020-08-17",102.139999,102.800003,99.18,100.760002,459600,96.913811
"2020-08-18",100.870003,101.379997,100.230003,100.32,510700,96.490593
"2020-08-19",100.339996,101.510002,99.669998,100.260002,379500,96.432892
"2020-08-20",99.080002,100.419998,98.610001,99.959999,549800,96.144341
"2020-08-21",99.550003,100.290001,98.830002,99.809998,574800,96.000061
"2020-08-24",100.68,103.190002,100.32,103.059998,592500,99.126007
"2020-08-25",103.269997,104.449997,101.57,102.169998,682700,98.269966
"2020-08-26",102.019997,103.529999,101.239998,102.790001,543300,98.86631
"2020-08-27",103.349998,103.589996,101.860001,102.970001,473900,99.039444
"2020-08-28",103.230003,104.129997,102.120003,103.940002,357000,99.972412
"2020-08-31",103.730003,103.730003,101.07,101.150002,927200,97.28891
"2020-09-01",100.660004,105.190002,100.019997,105.169998,917100,101.155457
"2020-09-02",105.300003,106.440002,104.580002,106.169998,1314900,102.117287
"2020-09-03",107.099998,107.099998,102.550003,103.739998,1041700,99.780037
"2020-09-04",104.980003,106.300003,103.989998,106.18,1403800,102.1269
"2020-09-08",104.43,104.949997,102.720001,104.160004,1118900,100.184021
"2020-09-09",104.720001,107.110001,104.720001,106.440002,693500,102.376984
"2020-09-10",106.580002,107.129997,105.050003,105.099998,612200,101.088127
"2020-09-11",105.919998,107.330002,105.160004,106.580002,551300,102.51165
"2020-09-14",107.419998,109.870003,107.160004,109.410004,663900,105.233604
"2020-09-15",109.730003,110.980003,109.400002,110.330002,514300,106.118492
"2020-09-16",111,114.32,110.610001,113.440002,1097100,109.109787
"2020-09-17",112.260002,115.029999,111.209999,114.220001,1082900,109.860008
"2020-09-18",113.309998,114.690002,112.75,113.82,1290000,109.475273
"2020-09-21",110.919998,111.480003,108.360001,109.540001,908600,105.358665
"2020-09-22",110.129997,110.870003,108.139999,109.160004,603400,104.993149
"2020-09-23",108.870003,109.550003,105.900002,106.050003,845800,102.001877
"2020-09-24",106,107.230003,104.120003,105.459999,599300,101.434395
"2020-09-25",104.449997,106.489998,104.099998,106.139999,478600,102.088432
"2020-09-28",108.040001,109.940002,107.580002,108.599998,718900,104.454529
"2020-09-29",108.489998,109.220001,106.480003,106.879997,476300,102.800179
"2020-09-30",107.610001,109.32,107.150002,107.449997,727600,103.348434
"2020-10-01",108.190002,109.540001,105.589996,106.040001,733700,101.992256
"2020-10-02",104.309998,109.309998,103.300003,108.25,775200,104.117905
"2020-10-05",109.199997,111.82,109.110001,110.699997,859600,106.474373
"2020-10-06",111.699997,114.860001,111.089996,111.169998,874600,106.926437
"2020-10-07",114.769997,117.129997,113.949997,116.459999,778600,112.014503
"2020-10-08",117.209999,118.120003,116.029999,117.949997,516800,113.447624
"2020-10-09",119.190002,120,117.18,117.839996,791300,113.34182
"2020-10-12",118.550003,118.550003,116.790001,117.290001,704000,112.81282
"2020-10-13",116.449997,117.089996,114.940002,116.370003,638000,111.927933
"2020-10-14",116.669998,119,116.669998,118.5,505900,113.976631
"2020-10-15",116.900002,119.510002,115.169998,119.5,538700,114.938469
"2020-10-16",120.010002,120.669998,119.300003,120.099998,723500,115.515556
"2020-10-19",120.220001,121.760002,117.309998,117.699997,726900,113.207176
"2020-10-20",118.68,119.589996,117.360001,117.360001,451300,112.880142
"2020-10-21",116.760002,118.43,115.910004,116.199997,594300,111.764427
"2020-10-22",116.910004,118.449997,116.279999,118.07,472300,113.563042
