"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume","CF.Adjusted"
"2020-07-01",28.23,29.209999,28.17,28.540001,2582000,27.146889
"2020-07-02",29.219999,29.889999,29.02,29.379999,1956800,27.945881
"2020-07-06",30.07,30.35,29.290001,29.76,2037000,28.307337
"2020-07-07",29.34,29.799999,28.98,29.219999,1758100,27.793695
"2020-07-08",29.18,29.35,27.65,27.74,2460100,26.385935
"2020-07-09",27.93,27.969999,26.59,26.9,2232900,25.586939
"2020-07-10",26.68,28.16,26.68,28.120001,1781800,26.747387
"2020-07-13",29.42,30.209999,29.25,29.75,2843400,28.297823
"2020-07-14",29.58,30.07,29.07,29.639999,2529900,28.193188
"2020-07-15",30.389999,31.190001,30.27,30.639999,2135400,29.144379
"2020-07-16",30.469999,30.629999,29.82,29.959999,2439100,28.49757
"2020-07-17",30.08,30.870001,30.07,30.360001,1888500,28.878048
"2020-07-20",30.200001,30.35,29.08,29.16,1619100,27.736622
"2020-07-21",29.34,30.120001,29.34,29.799999,2018400,28.345385
"2020-07-22",29.559999,30.299999,29.389999,30.23,1583800,28.754391
"2020-07-23",30.16,30.969999,29.67,30.379999,1921700,28.897068
"2020-07-24",30.49,30.98,30.17,30.58,1553300,29.087311
"2020-07-27",30.540001,31.75,30.51,31.360001,2389600,29.829235
"2020-07-28",31.030001,31.120001,30.030001,30.219999,2715400,28.744881
"2020-07-29",30.48,31.48,30.360001,31.360001,2463700,29.829235
"2020-07-30",30.780001,31.129999,30.1,30.809999,2369300,29.30608
"2020-07-31",30.74,31.58,30.559999,31.33,8099900,29.800699
"2020-08-03",31.43,31.940001,31.379999,31.450001,3977400,29.914843
"2020-08-04",31.940001,32.84,31.76,32.380001,3885800,30.799448
"2020-08-05",32.860001,33.200001,32.630001,32.919998,3937500,31.313084
"2020-08-06",33.810001,34.48,33.34,33.389999,3692200,31.760147
"2020-08-07",34.25,34.25,32.68,33.130001,4069100,31.512835
"2020-08-10",33.599998,35.139999,33.450001,34.880001,4003100,33.177418
"2020-08-11",35.669998,36.119999,35.119999,35.490002,3023500,33.757641
"2020-08-12",35.91,36.110001,34.59,34.880001,2317600,33.177418
"2020-08-13",34.59,35.169998,34.43,34.959999,1818700,33.25351
"2020-08-14",34.639999,35.119999,34.48,35.099998,2245100,33.675652
"2020-08-17",35.18,35.48,34.299999,34.380001,1969300,32.984871
"2020-08-18",34.330002,34.880001,33.939999,34.490002,2002200,33.090408
"2020-08-19",34.349998,34.619999,33.400002,33.580002,1955900,32.217331
"2020-08-20",33.130001,33.349998,32.790001,33.099998,1982700,31.756811
"2020-08-21",32.830002,32.93,32.209999,32.369999,1895900,31.056433
"2020-08-24",32.689999,33.75,32.619999,33.57,1793700,32.207741
"2020-08-25",33.830002,34.16,33.23,33.43,1632700,32.073421
"2020-08-26",33.419998,33.560001,32.720001,33.490002,2238600,32.130989
"2020-08-27",33.52,33.560001,32.91,33.240002,2331000,31.89113
"2020-08-28",33.419998,33.470001,32.66,33.209999,1489000,31.862347
"2020-08-31",33.27,33.32,32.619999,32.630001,1591900,31.305883
"2020-09-01",32.380001,33.41,32.130001,33.41,1670600,32.05423
"2020-09-02",33.52,33.98,33.080002,33.970001,2100500,32.591515
"2020-09-03",34.029999,34.169998,32.709999,33.209999,2109500,31.862347
"2020-09-04",33.540001,33.759998,32.790001,33.18,2047400,31.833567
"2020-09-08",32.57,32.740002,31.530001,32.02,2436100,30.72064
"2020-09-09",32.23,32.41,31.82,32.330002,1368600,31.018059
"2020-09-10",32.52,32.740002,32.119999,32.25,1791700,30.941307
"2020-09-11",32.459999,33.52,32.389999,33.369999,2115700,32.015862
"2020-09-14",33.5,33.799999,33.07,33.689999,1554000,32.322868
"2020-09-15",33.689999,33.740002,32.970001,32.970001,1647900,31.632093
"2020-09-16",33.080002,33.68,32.650002,33.349998,1928600,31.996666
"2020-09-17",32.360001,34.73,32.200001,34.639999,3444400,33.234322
"2020-09-18",34.970001,35.630001,33.68,34.009998,6327200,32.629883
"2020-09-21",33.200001,33.240002,31.09,31.610001,2825000,30.327274
"2020-09-22",31.469999,31.719999,31.139999,31.25,2094400,29.981886
"2020-09-23",31.15,31.940001,30.9,30.92,2006400,29.665277
"2020-09-24",30.75,31.09,30.120001,30.690001,1910100,29.444609
"2020-09-25",30.4,30.58,29.969999,30.42,2000300,29.18557
"2020-09-28",31.15,31.5,30.889999,30.950001,1434200,29.694057
"2020-09-29",30.9,30.9,29.77,29.860001,1600500,28.648291
"2020-09-30",30.040001,31.08,29.99,30.709999,2333800,29.463797
"2020-10-01",30.620001,30.889999,29.77,29.879999,1981100,28.667479
"2020-10-02",29.49,30.85,29.299999,30.57,1552800,29.329479
"2020-10-05",30.75,31.77,30.719999,31.530001,1586300,30.250523
"2020-10-06",31.92,32.619999,31.25,31.290001,1561100,30.020264
"2020-10-07",31.639999,31.870001,30.93,30.950001,2115100,29.694057
"2020-10-08",31.34,31.860001,31.110001,31.860001,1239200,30.567133
"2020-10-09",31.959999,32.279999,30.969999,31.33,1865100,30.058638
"2020-10-12",31.120001,31.17,29.389999,29.52,3649500,28.322088
"2020-10-13",29.370001,29.959999,29.18,29.450001,2173100,28.25493
"2020-10-14",29.299999,30.49,29.059999,29.809999,2120000,28.600319
"2020-10-15",29.379999,29.85,29.17,29.66,1166500,28.456408
"2020-10-16",29.780001,29.879999,29.15,29.280001,1736500,28.091829
"2020-10-19",29.280001,29.5,28.82,28.879999,1515800,27.708057
"2020-10-20",29.16,29.25,28.040001,28.059999,2007300,26.921333
"2020-10-21",27.860001,27.99,26.879999,27.25,3455000,26.144205
"2020-10-22",27.360001,28.01,27.309999,27.92,2552000,26.787016
"2020-10-23",28.1,28.440001,27.530001,27.58,1629300,26.460815
"2020-10-26",27.25,27.25,26.440001,26.83,1987900,25.741247
"2020-10-27",26.700001,26.959999,26.1,26.16,3015200,25.098436
"2020-10-28",25.48,26.219999,25.299999,25.709999,2833900,24.666695
"2020-10-29",25.5,26.9,25.49,26.780001,2491000,25.693277
"2020-10-30",26.68,27.629999,26.42,27.610001,3016800,26.489595
"2020-11-02",28.01,28.290001,27.65,28.07,2695500,26.930925
"2020-11-03",27.969999,28.030001,26.68,27.02,3184400,25.923536
"2020-11-04",27.18,27.24,26.049999,26.66,1953100,25.578148
"2020-11-05",25.959999,28.02,25.959999,27.34,3778300,26.230551
"2020-11-06",27.360001,28.290001,27.059999,27.33,2970600,26.220957
"2020-11-09",29.120001,30.51,28.370001,28.959999,3954300,27.784811
"2020-11-10",29.33,30.360001,28.879999,30.110001,3732600,28.888147
"2020-11-11",30.4,31.5,30.360001,30.549999,3968700,29.310291
"2020-11-12",30.17,30.49,29.73,30.139999,2638700,28.916925
"2020-11-13",30.209999,30.950001,30.209999,30.889999,2732000,29.934448
"2020-11-16",31.799999,32.540001,31.15,32.400002,4326700,31.397739
"2020-11-17",32.110001,32.59,31.719999,32.220001,3007900,31.223309
"2020-11-18",32.5,33.279999,32.279999,32.450001,3256700,31.446192
"2020-11-19",32.5,32.700001,31.889999,32.150002,2743900,31.155472
