"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"2020-07-01",79.309998,80.169998,78.290001,79.089996,1579200,75.354317
"2020-07-02",79.839996,79.839996,78.470001,79.18,2571900,75.440079
"2020-07-06",80.989998,81.199997,79.900002,80.209999,2028500,76.421417
"2020-07-07",78.599998,80.650002,78.559998,80.199997,1517700,76.411903
"2020-07-08",80.110001,80.900002,79.910004,80.5,1561600,76.697716
"2020-07-09",80.400002,81.510002,80.400002,80.870003,1292900,77.050247
"2020-07-10",81.279999,82.580002,81.279999,82.209999,1138200,78.32695
"2020-07-13",82.669998,82.68,81.779999,82.059998,1789300,78.184036
"2020-07-14",82.480003,83.940002,82.110001,83.790001,1459500,79.832321
"2020-07-15",84.239998,85.589996,84,84.910004,1426700,80.899422
"2020-07-16",84.349998,86.080002,84.230003,85.910004,1345100,81.852196
"2020-07-17",85.900002,86.959999,84.870003,86.279999,1391300,82.204704
"2020-07-20",86.290001,86.669998,85.029999,85.300003,973500,81.271019
"2020-07-21",85.370003,86.190002,85.260002,85.580002,795600,81.537773
"2020-07-22",85.540001,86.25,84.720001,85.199997,893700,81.175728
"2020-07-23",85.279999,85.639999,84.739998,85.230003,1199300,81.204315
"2020-07-24",85.529999,86.370003,85.010002,86.07,914700,82.004631
"2020-07-27",85.970001,88.370003,85.970001,87.699997,1668100,83.557632
"2020-07-28",87.839996,88.489998,87.040001,87.150002,3185900,83.033623
"2020-07-29",92.309998,99.220001,91.75,95.279999,5582000,90.779602
"2020-07-30",94.379997,96.559998,92.449997,93.559998,2526300,89.140862
"2020-07-31",93.540001,93.889999,91.809998,93.720001,2037300,89.293289
"2020-08-03",93.669998,94.5,91.860001,93.540001,1714100,89.121803
"2020-08-04",92.93,95.790001,92.169998,95.459999,2278300,90.951118
"2020-08-05",96.239998,96.489998,94.419998,95.510002,1364000,90.998764
"2020-08-06",94.629997,95.470001,94.199997,95.160004,691100,90.665283
"2020-08-07",95.050003,96.669998,94.010002,95.790001,1270100,91.265526
"2020-08-10",96.349998,96.980003,95.720001,96.639999,977400,92.075378
"2020-08-11",97,97.489998,95.110001,95.300003,980400,90.798668
"2020-08-12",96.169998,96.860001,95.510002,95.68,1266600,91.160721
"2020-08-13",95.419998,95.800003,94.459999,95.120003,1235200,90.627174
"2020-08-14",95.620003,96.010002,94.690002,95.080002,910400,90.589066
"2020-08-17",93.730003,95.93,93.529999,95.279999,982100,90.779602
"2020-08-18",95.260002,95.650002,94.599998,94.959999,766200,90.474731
"2020-08-19",95.199997,95.889999,94.669998,95.43,785100,90.922531
"2020-08-20",95.199997,96.639999,94.919998,96.529999,1089600,91.970558
"2020-08-21",96.169998,96.849998,95.68,96.489998,1225200,91.932457
"2020-08-24",96.949997,97.190002,95.75,96.980003,1051300,92.399315
"2020-08-25",97.330002,97.75,96.209999,96.550003,1008800,91.989632
"2020-08-26",96.269997,97.5,95.949997,97.279999,882200,92.685158
"2020-08-27",97.910004,98.980003,97.150002,98.260002,1451900,93.618858
"2020-08-28",98.309998,98.879997,97.599998,98.730003,2159100,94.066666
"2020-08-31",98.919998,99.669998,97.800003,98.300003,1357500,93.65696
"2020-09-01",98.230003,99.339996,97.589996,99.220001,930900,94.533516
"2020-09-02",99.309998,99.93,98.830002,99.669998,1273300,94.962257
"2020-09-03",99,99,96.720001,97.610001,1107100,93.477882
"2020-09-04",98.010002,98.290001,96.230003,97.900002,1263000,93.7556
"2020-09-08",97.330002,97.330002,95.690002,95.720001,1152200,91.667892
"2020-09-09",96.449997,99.529999,96.449997,99.010002,1122800,94.818619
"2020-09-10",99.480003,101.07,98.389999,98.550003,1620500,94.37809
"2020-09-11",98.620003,99.540001,97.790001,98.660004,1259600,94.483429
"2020-09-14",99.18,101.269997,99,100.709999,2157700,96.446648
"2020-09-15",101.190002,104.870003,100.919998,104.059998,2748800,99.654823
"2020-09-16",104.940002,105.709999,103.339996,103.489998,2527100,99.108955
"2020-09-17",102.139999,104.480003,101.949997,103.57,1267500,99.185562
"2020-09-18",103.25,104.839996,102.519997,103.129997,2272500,98.764206
"2020-09-21",102.370003,102.709999,100.290001,101.949997,1266800,97.634155
"2020-09-22",102.610001,103.57,101.919998,102.559998,1260500,98.218338
"2020-09-23",102.43,103.489998,101.07,101.169998,1421800,96.887169
"2020-09-24",100.5,102.709999,99.309998,101.800003,1113100,97.490501
"2020-09-25",101.190002,102.830002,100.970001,102.360001,848300,98.026794
"2020-09-28",103.5,104.540001,102.68,103.25,1043800,98.87912
"2020-09-29",103.610001,104.949997,102.949997,103.699997,1198000,99.310074
"2020-09-30",104.110001,105.599998,101.730003,102.190002,1514700,97.863998
"2020-10-01",103.089996,103.709999,100.839996,101.220001,936400,96.935066
"2020-10-02",100.129997,101.690002,99,100.870003,1241100,96.599869
"2020-10-05",102.209999,104.339996,101.879997,104,1271800,99.597374
"2020-10-06",103.400002,104.269997,102.25,103.589996,1112600,99.20472
"2020-10-07",104.660004,106.470001,104.209999,106.160004,1261000,101.665932
"2020-10-08",106.480003,106.75,105.610001,106.139999,848300,101.646774
"2020-10-09",106.599998,106.610001,104.82,105.449997,1019600,100.985977
"2020-10-12",106.019997,106.290001,104.480003,105.019997,952000,100.574188
"2020-10-13",104.959999,105.860001,104.480003,104.610001,838200,100.181549
"2020-10-14",105.139999,105.529999,104.190002,104.82,978000,100.382668
"2020-10-15",104.209999,105.209999,103.540001,105.120003,880100,100.669968
"2020-10-16",103.900002,104.32,100.040001,100.230003,1926400,95.986969
"2020-10-19",100.260002,101.43,99.489998,100,1357200,95.766716
"2020-10-20",100.669998,102.099998,99.970001,100.510002,1019800,96.255119
"2020-10-21",100.440002,102.470001,99.970001,100.769997,1251800,96.504105
