"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2020-07-01",63.950001,64.510002,63.07,64.099998,1032500,61.075672
"2020-07-02",65.410004,66.809998,64.339996,64.870003,1461000,61.809349
"2020-07-06",66.379997,68.480003,66.18,68.059998,2111600,64.848831
"2020-07-07",67.529999,69.43,66.980003,68.300003,2072700,65.077515
"2020-07-08",68.080002,69.209999,67.760002,69.139999,1093100,65.877876
"2020-07-09",68.970001,69.080002,65.980003,67.360001,1278100,64.18187
"2020-07-10",67.480003,70.610001,67.18,70.480003,1147400,67.154655
"2020-07-13",71.07,71.480003,69.800003,70.089996,1360700,66.783058
"2020-07-14",70.260002,72.790001,69.739998,72.709999,1372600,69.279442
"2020-07-15",73.620003,74.639999,72.019997,73.519997,1252500,70.051231
"2020-07-16",73.07,76.059998,72.82,75.809998,1080800,72.233185
"2020-07-17",76,77.290001,74.760002,76.660004,1123500,73.043068
"2020-07-20",76.059998,77.199997,74.940002,77.059998,1313800,73.42421
"2020-07-21",76.68,78.989998,76.580002,78.150002,1084400,74.462776
"2020-07-22",77.919998,80.449997,77.519997,80.220001,1091900,76.435127
"2020-07-23",80.290001,82.889999,80.239998,82.669998,1109000,78.769524
"2020-07-24",83.010002,83.730003,81.910004,83.230003,1082600,79.303101
"2020-07-27",83.650002,83.650002,81.510002,82.449997,965500,78.559914
"2020-07-28",82.959999,85.470001,81.080002,83.400002,1474500,79.465073
"2020-07-29",84.029999,84.029999,82.209999,83.440002,1269900,79.503181
"2020-07-30",81.519997,81.940002,78.32,79.809998,1112000,76.044456
"2020-07-31",79.339996,80.019997,77.199997,77.93,2517900,74.253151
"2020-08-03",78.139999,79.099998,77.220001,78.400002,786000,74.700981
"2020-08-04",78.589996,78.589996,77.089996,77.459999,764000,73.805336
"2020-08-05",77.93,80.370003,77.93,79.559998,836800,75.806244
"2020-08-06",78.279999,79.849998,78.279999,79.449997,485400,75.701439
"2020-08-07",79.290001,81.93,79.059998,81.669998,729000,77.816689
"2020-08-10",82.339996,83.769997,81.379997,83.419998,679300,79.484131
"2020-08-11",84.68,85.970001,82.839996,83.120003,800800,79.198288
"2020-08-12",84.029999,84.290001,80.989998,81.010002,1165700,77.187843
"2020-08-13",80.059998,80.269997,78.849998,79.580002,981300,75.825317
"2020-08-14",79.610001,81.389999,79.010002,80.110001,605400,76.330299
"2020-08-17",80.080002,80.129997,77.790001,78.230003,558900,74.539009
"2020-08-18",78.349998,79.339996,77.830002,78.980003,549500,75.253616
"2020-08-19",78.589996,79.769997,77.860001,78.209999,450400,74.519936
"2020-08-20",77.080002,78.5,77.080002,77.980003,409800,74.300797
"2020-08-21",77.870003,78.550003,77.089996,77.339996,385900,73.690994
"2020-08-24",77.739998,79.589996,77.370003,79.519997,473800,75.768143
"2020-08-25",79.599998,80.349998,79.040001,79.349998,396500,75.606163
"2020-08-26",78.980003,79.010002,78.099998,78.5,385900,74.796249
"2020-08-27",78.470001,81.349998,78.470001,80.459999,406700,76.663803
"2020-08-28",81.089996,81.089996,79.669998,80.389999,356600,76.597099
"2020-08-31",80.150002,80.389999,79.089996,79.410004,585300,75.663338
"2020-09-01",79.019997,80.050003,78.629997,80,554300,76.225494
"2020-09-02",79.760002,82.25,79.459999,81.669998,579300,77.816689
"2020-09-03",82.43,83.989998,79.940002,80.589996,528400,76.787651
"2020-09-04",82.220001,82.599998,80.040001,81.080002,631600,77.254539
"2020-09-08",80.43,80.620003,77.730003,79.150002,703400,75.415604
"2020-09-09",79.029999,80.440002,78.32,78.839996,786900,75.120224
"2020-09-10",79.199997,79.25,76.75,77.230003,847900,73.586189
"2020-09-11",77.129997,77.839996,76.089996,76.919998,682200,73.290802
"2020-09-14",77.330002,78.889999,77.330002,77.669998,733000,74.005432
"2020-09-15",77.470001,77.739998,75.790001,75.980003,497200,72.958771
"2020-09-16",76.279999,77.879997,76.089996,77.199997,699900,74.130264
"2020-09-17",76.5,78.160004,75.82,77.440002,840300,74.360725
"2020-09-18",76.980003,78.610001,76.849998,78.010002,1741500,74.908043
"2020-09-21",75.970001,77.599998,73.790001,75.440002,1155700,72.440247
