"","CLX.Open","CLX.High","CLX.Low","CLX.Close","CLX.Volume","CLX.Adjusted"
"2020-07-01",218.229996,220.220001,216.800003,219.570007,1100400,207.440048
"2020-07-02",220.860001,224.550003,220.809998,222.160004,1661300,209.886963
"2020-07-06",222.789993,223.460007,219.100006,221.419998,1368700,209.187866
"2020-07-07",220.740005,224.979996,220.520004,223.809998,1266600,211.445801
"2020-07-08",224.460007,226.729996,223.110001,225.570007,1110600,213.108566
"2020-07-09",225.360001,230.279999,225.360001,229.5,966400,216.821472
"2020-07-10",229.25,230.529999,227.559998,229.759995,892800,217.067108
"2020-07-13",230.570007,232.100006,225.039993,225.740005,1246600,213.26918
"2020-07-14",225.990005,230.679993,225.5,230.520004,1088700,217.78511
"2020-07-15",226.729996,229,224.059998,225.5,1573800,213.042465
"2020-07-16",226.240005,229.160004,225.589996,227.910004,908500,215.319321
"2020-07-17",229.119995,230.720001,227.509995,228.380005,1275800,215.763336
"2020-07-20",228,229.110001,226.5,227.740005,748800,215.158691
"2020-07-21",228,228.589996,225.639999,226.729996,888200,214.204483
"2020-07-22",227.419998,227.75,224.470001,227.550003,815400,214.979218
"2020-07-23",229.110001,232.210007,227.559998,227.839996,956200,215.253174
"2020-07-24",227.5,228.949997,225.75,227.039993,730100,214.49736
"2020-07-27",226.800003,230.020004,226.800003,229.220001,785400,216.556915
"2020-07-28",228.979996,230.470001,227.600006,228.550003,717500,216.974655
"2020-07-29",229.550003,232.270004,228.820007,231,913000,219.300568
"2020-07-30",232,233,229.639999,231.259995,821400,219.547394
"2020-07-31",233.25,238,233.039993,236.509995,2859800,224.531494
"2020-08-03",230.220001,234.149994,227.679993,231.960007,3711700,220.211945
"2020-08-04",231.899994,238.410004,231.899994,237.740005,2001600,225.699203
"2020-08-05",238.190002,239.869995,234.320007,237.160004,1368700,225.14859
"2020-08-06",236.960007,238.220001,234.589996,236.149994,1826200,224.189758
"2020-08-07",235.770004,238.229996,235.610001,237.490005,981400,225.461868
"2020-08-10",237.869995,237.940002,232.399994,233.360001,854800,221.541031
"2020-08-11",231.839996,231.889999,221.710007,222.300003,2104200,211.041199
"2020-08-12",223.520004,228.600006,223.259995,226.949997,1244900,215.455688
"2020-08-13",226.649994,227.639999,224.270004,224.699997,1054600,213.319641
"2020-08-14",223.960007,225.479996,223.75,224.25,935200,212.892456
"2020-08-17",224.25,227.869995,224.25,226.779999,1343300,215.294296
"2020-08-18",226,229.199997,222.389999,228.169998,1480700,216.613892
"2020-08-19",228.679993,229.630005,226.240005,227.940002,732400,216.395554
"2020-08-20",228.160004,229.229996,226.690002,228.300003,1146300,216.73732
"2020-08-21",228.589996,228.589996,225.550003,226.330002,997800,214.867096
"2020-08-24",227.330002,227.330002,221.960007,223.130005,1737300,211.829163
"2020-08-25",222.979996,223.229996,218.729996,219.169998,2350700,208.069717
"2020-08-26",218.860001,220.779999,217.759995,220.289993,2533500,209.132996
"2020-08-27",220.179993,223.399994,219.399994,220.690002,1301300,209.512726
"2020-08-28",219.990005,220.699997,215.619995,217.130005,1879800,206.133041
"2020-08-31",217.289993,224.350006,217.289993,223.5,1675000,212.18042
"2020-09-01",223.940002,224.070007,217.919998,220.089996,1329800,208.94313
"2020-09-02",221,225.380005,220.279999,223.740005,1283400,212.408264
"2020-09-03",221.289993,223.710007,213.789993,216.720001,1983600,205.74382
"2020-09-04",215.229996,216.289993,208,212.520004,2012400,201.756546
"2020-09-08",211.630005,213.080002,207.350006,213,1921800,202.212204
"2020-09-09",214.169998,221.070007,214.169998,220,1917700,208.857681
"2020-09-10",219.259995,221.589996,214.919998,214.970001,2552900,204.082443
"2020-09-11",215.479996,216.419998,212.119995,214,1071800,203.16156
"2020-09-14",214.490005,217.929993,213.5,217.460007,940100,206.44632
"2020-09-15",215.679993,216.389999,208.679993,209.589996,2146100,198.974915
"2020-09-16",209.160004,210.949997,206.899994,207.350006,1513300,196.848373
"2020-09-17",206.669998,208.990005,204.660004,206.850006,1212500,196.373688
"2020-09-18",205.179993,208.960007,204.610001,208.149994,1956700,197.607849
"2020-09-21",208.979996,211.149994,206.059998,208.529999,1095600,197.968628
"2020-09-22",209.690002,214.729996,208.940002,212.380005,1524000,201.623611
"2020-09-23",213.25,213.509995,210.080002,212.229996,1148100,201.481216
"2020-09-24",211.699997,214.589996,210.869995,213.690002,1121600,202.867279
"2020-09-25",215.389999,215.389999,211.050003,211.509995,949900,200.797668
"2020-09-28",212.589996,214.25,210.470001,211.970001,889200,201.234375
"2020-09-29",212.720001,214.199997,210.110001,210.410004,1063500,199.753403
"2020-09-30",210.160004,211.360001,208.029999,210.169998,1389200,199.525543
"2020-10-01",209.529999,212.350006,207.520004,211.649994,1157800,200.930588
"2020-10-02",211.679993,216,208.289993,209.220001,1311400,198.623642
"2020-10-05",209.020004,210.050003,207.830002,209.110001,1067000,198.519226
"2020-10-06",209.190002,212.100006,208.649994,211.149994,996800,200.455917
"2020-10-07",211.059998,217.5,211,215.130005,2038300,204.234329
"2020-10-08",215.070007,215.800003,211.960007,212.860001,857700,202.0793
"2020-10-09",213.050003,216.320007,213.050003,214.789993,1027800,203.911575
"2020-10-12",215.630005,218.009995,214.800003,215.419998,729100,204.509644
"2020-10-13",217.550003,223.360001,217.289993,221.169998,1250800,209.968414
"2020-10-14",221.169998,222,217.839996,218.929993,909900,207.841888
"2020-10-15",218.009995,220.960007,217.029999,218.369995,859600,207.310242
"2020-10-16",216,218.419998,214.690002,214.990005,1373500,204.101425
"2020-10-19",215.449997,216.589996,212.380005,212.5,1074300,201.737518
"2020-10-20",214.399994,214.630005,210.210007,210.610001,763500,199.943268
"2020-10-21",210.009995,213.139999,210,211.350006,1121500,200.645798
"2020-10-22",209.070007,211.490005,206.050003,209.759995,1272200,199.136307
"2020-10-23",209.399994,211.589996,209.169998,211.139999,791600,200.446396
"2020-10-26",210.809998,214.360001,209.720001,212.729996,1114500,201.955902
"2020-10-27",214.669998,217.630005,214.020004,214.179993,1323600,203.332458
"2020-10-28",213.289993,215.240005,209.539993,209.880005,1119000,199.250229
"2020-10-29",210.330002,212.220001,207.550003,208.729996,1226700,198.158478
"2020-10-30",207.589996,211.539993,204.880005,207.25,2251400,196.753448
"2020-11-02",215,221.839996,212.240005,216.029999,4067000,205.08876
"2020-11-03",215.990005,217.5,210.690002,212.25,1904800,202.540878
"2020-11-04",214,218.190002,212.699997,212.940002,1554500,203.199341
"2020-11-05",215.520004,216.179993,212.979996,212.979996,1080600,203.237488
"2020-11-06",212.460007,218.139999,212.460007,218.080002,1078200,208.104202
"2020-11-09",203.440002,209,193.259995,194.910004,4941900,185.994095
"2020-11-10",197,202.199997,192.899994,198.119995,2428300,189.057251
"2020-11-11",199.270004,203.5,197.669998,202.589996,1810500,193.322784
"2020-11-12",204.619995,207.619995,203.009995,207.529999,1821100,198.036789
"2020-11-13",207.899994,208.889999,206.259995,207.380005,1545400,197.893661
"2020-11-16",203,207.880005,202,207.669998,1587900,198.17038
"2020-11-17",207,209.490005,205.660004,209.100006,1433200,199.534988
"2020-11-18",208.770004,210.25,204.899994,204.979996,1910500,195.603439
"2020-11-19",203.690002,206.649994,201,202.470001,1558900,193.208267
"2020-11-20",202.839996,204.789993,202.720001,203.050003,1537700,193.761719
"2020-11-23",202.119995,203.229996,201.089996,202.309998,1563300,193.055573
"2020-11-24",202.309998,203.139999,199.429993,199.539993,1617700,190.412292
"2020-11-25",201.630005,202.570007,200,200.75,1298600,191.56694
"2020-11-27",201.399994,203.350006,201.25,203.089996,699200,193.799896
"2020-11-30",202.320007,203.350006,199.970001,202.960007,2214000,193.675858
"2020-12-01",202.369995,203.300003,200.600006,203.210007,1536400,193.914413
"2020-12-02",202.789993,204,199.529999,201.710007,1447500,192.483032
"2020-12-03",200.479996,203.369995,199.779999,201.229996,1999600,192.024963
"2020-12-04",200,201.699997,198.679993,199.979996,2071400,190.832153
"2020-12-07",200.389999,202.199997,198.649994,200.610001,1285600,191.43335
"2020-12-08",201.580002,205.899994,199.759995,202.880005,1607900,193.599533
"2020-12-09",203.470001,203.470001,199.449997,200.509995,1207200,191.337921
"2020-12-10",200.75,202.720001,199.899994,200.600006,829900,191.423798
"2020-12-11",200.679993,202.979996,200.179993,201.729996,1120400,192.50209
"2020-12-14",204.210007,204.619995,200.889999,202.380005,1736900,193.122375
"2020-12-15",203.300003,205.5,202.160004,203.039993,1448300,193.752182
"2020-12-16",203.039993,204.729996,202.419998,203.440002,885700,194.133896
"2020-12-17",203.399994,204.389999,200.809998,202.339996,957500,193.084198
"2020-12-18",202.690002,203.649994,201.380005,203.169998,1874500,193.876251
"2020-12-21",204.070007,204.669998,200.429993,202.449997,1096400,193.189148
"2020-12-22",202.619995,203.179993,200.220001,201.389999,927400,192.177643
"2020-12-23",201.300003,203.5,201.020004,202.330002,677200,193.074661
"2020-12-24",202.100006,203.800003,202.080002,203.800003,288600,194.477432
"2020-12-28",203.729996,203.919998,201.350006,202.25,892600,192.998337
"2020-12-29",202.5,203.470001,201.490005,201.759995,709100,192.530746
"2020-12-30",201.990005,202.460007,200.960007,201.039993,787300,191.843658
"2020-12-31",201.610001,202.050003,199.899994,201.919998,947800,192.683426
"2021-01-04",201.899994,203,199.160004,200.440002,1119600,191.271118
"2021-01-05",200.570007,201.869995,197.910004,200.009995,1201200,190.860794
"2021-01-06",198.059998,201.470001,196.550003,197.410004,1766500,188.37973
"2021-01-07",196.130005,196.910004,194.080002,196.429993,2118500,187.44455
"2021-01-08",196.059998,197.850006,194.330002,197.839996,1413900,188.79007
"2021-01-11",198.649994,199.149994,192.910004,193.729996,1363600,184.868073
"2021-01-12",194.410004,195.509995,193.940002,194.240005,1390500,185.354736
"2021-01-13",194.960007,195.580002,193.509995,193.740005,1036600,184.877609
"2021-01-14",193.669998,195.619995,191.830002,195.550003,1298700,186.604813
"2021-01-15",195.410004,199.279999,194.740005,197.520004,1739800,188.484711
"2021-01-19",198.899994,199.199997,195.009995,196.509995,1611900,187.520905
"2021-01-20",196.029999,197.949997,194.929993,196.929993,1777200,187.921692
"2021-01-21",197.070007,198.289993,196.229996,197.210007,1220300,188.188904
"2021-01-22",198.729996,202.789993,198.320007,202.350006,1635900,193.093719
"2021-01-25",203.600006,224.369995,202.860001,211.960007,4035100,202.264145
"2021-01-26",210.259995,213.539993,208.009995,212.990005,2432700,204.317017
"2021-01-27",215.009995,231.110001,214,222.179993,4056500,213.132797
"2021-01-28",222.559998,226.149994,209.449997,209.570007,2937700,201.036285
"2021-01-29",210.539993,215.25,208.429993,209.460007,2140000,200.930756
"2021-02-01",209.610001,212.460007,206.5,210.020004,2461500,201.467957
"2021-02-02",211.039993,211.050003,204.070007,204.229996,2018900,195.913712
"2021-02-03",204.679993,205.020004,200.779999,204.589996,1619600,196.259079
"2021-02-04",196.809998,200.050003,191.550003,191.649994,4921900,183.845963
"2021-02-05",192,193.869995,190.389999,191.25,2840300,183.462265
"2021-02-08",191.669998,192.309998,188.830002,190,2332800,182.263168
"2021-02-09",190.009995,190.5,186.059998,187.350006,2011600,179.721069
"2021-02-10",187.809998,188.460007,185.119995,186.630005,2092600,179.030396
"2021-02-11",186.339996,186.440002,183.660004,184.139999,1659200,176.641785
"2021-02-12",184.089996,186.770004,182.899994,185.970001,1521900,178.397263
"2021-02-16",185.339996,185.690002,182.399994,183.350006,1605200,175.883957
"2021-02-17",182.220001,188.149994,181.199997,187.759995,1943600,180.114365
"2021-02-18",186.839996,190.899994,185.970001,189.649994,1887000,181.927414
