"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2020-07-01",73.260002,73.580002,72.970001,73.029999,3286300,69.376503
"2020-07-02",73.639999,73.870003,73.07,73.279999,2658600,69.613998
"2020-07-06",73.720001,73.879997,72.879997,73.449997,4026300,69.775482
"2020-07-07",73.190002,74.220001,73.18,73.970001,4043800,70.269485
"2020-07-08",74.059998,74.57,73.739998,74.489998,3166900,70.763466
"2020-07-09",74.059998,74.620003,73.230003,73.32,2916700,69.651985
"2020-07-10",73.269997,73.959999,72.690002,73.68,4418600,69.993988
"2020-07-13",73.629997,74.129997,73.25,73.459999,3142900,69.784996
"2020-07-14",73.300003,74.919998,73.279999,74.849998,3181600,71.105446
"2020-07-15",75,75.489998,74.360001,74.690002,3270900,70.953445
"2020-07-16",74.800003,75.120003,74.199997,74.980003,2557800,71.228943
"2020-07-17",74.919998,75.290001,74.379997,75.199997,2871800,71.859642
"2020-07-20",74.970001,75.18,73.889999,74.199997,2134600,70.904053
"2020-07-21",74.360001,74.849998,73.970001,74.040001,2920200,70.75116
"2020-07-22",73.589996,74.209999,72.610001,74.139999,4239400,70.846718
"2020-07-23",74.889999,75.18,74.160004,74.230003,3868000,70.932724
"2020-07-24",74.730003,75.239998,73.970001,74.32,2630700,71.018723
"2020-07-27",74.099998,74.730003,74,74.650002,3182800,71.334061
"2020-07-28",74.919998,75.989998,74.75,75.709999,4035900,72.346977
"2020-07-29",75.580002,76.480003,75.529999,76.199997,3186700,72.815193
"2020-07-30",75.870003,77.190002,75.720001,76.870003,4858400,73.45546
"2020-07-31",76.610001,77.459999,75.809998,77.199997,4346700,73.77079
"2020-08-03",76.699997,77.269997,76.5,76.57,3127500,73.16877
"2020-08-04",76.529999,76.879997,76.029999,76.769997,3410900,73.359886
"2020-08-05",76.790001,77.099998,75.949997,76.18,2730200,72.796104
"2020-08-06",75.919998,76.099998,75.599998,75.860001,3156100,72.490318
"2020-08-07",75.830002,76.269997,75.599998,76.239998,2968000,72.853439
"2020-08-10",76.5,76.900002,76.260002,76.650002,3407300,73.245232
"2020-08-11",76.709999,76.949997,75.809998,75.959999,3398400,72.585884
"2020-08-12",76.360001,77.779999,76.260002,77.239998,3844300,73.809013
"2020-08-13",76.980003,77.190002,76.519997,76.980003,2964900,73.560577
"2020-08-14",76.889999,77.360001,76.660004,77.050003,2538400,73.627457
"2020-08-17",76.860001,77.769997,76.830002,77.209999,2762300,73.780342
"2020-08-18",77.230003,78.190002,76.940002,77.650002,4286200,74.200813
"2020-08-19",77.860001,78.190002,77.68,77.949997,2470600,74.487473
"2020-08-20",77.830002,78.309998,77.550003,78.25,2009200,74.774155
"2020-08-21",78.360001,78.839996,77.879997,78.690002,3405200,75.194618
"2020-08-24",78.809998,79.190002,78.629997,79.129997,2796800,75.615059
"2020-08-25",79.300003,79.309998,78.470001,78.589996,2374100,75.099052
"2020-08-26",78.279999,79.169998,78.019997,78.650002,3476800,75.15638
"2020-08-27",78.989998,79.480003,78.830002,79.059998,2208900,75.548172
"2020-08-28",79,79.510002,78.440002,79.370003,3039800,75.844398
"2020-08-31",79.199997,79.489998,78.919998,79.260002,3272700,75.739288
"2020-09-01",79.150002,79.169998,77.800003,78.089996,2968800,74.621239
