"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2020-07-01",37.490002,38.110001,35.900002,35.939999,1731000,33.055107
"2020-07-02",37.349998,37.849998,35.080002,35.27,1889600,32.438889
"2020-07-06",36.529999,37.18,35.360001,35.810001,2063900,32.935543
"2020-07-07",35.23,35.360001,34.279999,34.75,1673800,31.960629
"2020-07-08",34.650002,35.43,33.970001,34.759998,1247900,31.969824
"2020-07-09",34.34,34.66,32.93,33.400002,1493900,30.718994
"2020-07-10",33.75,35.790001,33.599998,35.77,1624500,32.89875
"2020-07-13",36.419998,36.490002,35.290001,36,1618300,33.110291
"2020-07-14",35.970001,35.970001,34.540001,34.93,1188600,32.126179
"2020-07-15",36.18,37.130001,35.619999,36.889999,1316700,33.928856
"2020-07-16",36.310001,37.779999,35.830002,36.759998,835000,33.809284
"2020-07-17",36.630001,36.830002,35.43,35.540001,1306900,32.687214
"2020-07-20",35.209999,35.529999,34.459999,34.93,1570800,32.126179
"2020-07-21",35.919998,37.900002,35.779999,37.240002,2946800,34.250755
"2020-07-22",36.59,37.57,36.060001,36.66,1958500,33.717312
"2020-07-23",36.630001,37.790001,36.080002,37.369999,1898500,34.370327
"2020-07-24",37.630001,38.099998,37.119999,37.419998,1404000,34.416298
"2020-07-27",36.860001,37.27,36.16,36.84,1824900,33.882862
"2020-07-28",36.610001,37.25,36.349998,36.650002,1233300,33.708111
"2020-07-29",36.48,38.880001,36.119999,38.82,2499400,35.703934
"2020-07-30",37.41,38.459999,36.630001,38.25,2412700,35.179684
"2020-07-31",38.009998,38.610001,36.740002,38.52,4973200,35.428009
"2020-08-03",38.549999,38.799999,37.700001,38.049999,1620700,34.995743
"2020-08-04",37.93,38.330002,37.669998,37.880001,1369600,34.839382
"2020-08-05",38.490002,38.669998,37.849998,38.369999,1288700,35.290058
"2020-08-06",37.98,38.610001,37.849998,38.130001,1310500,35.069317
"2020-08-07",37.73,40.110001,37.310001,40.02,1472500,36.807606
"2020-08-10",40.400002,41.48,40.25,41.040001,1219700,37.745735
"2020-08-11",42.369999,43.560001,41.880001,42.150002,1401900,38.766632
"2020-08-12",43.16,43.360001,40.59,42.02,1755000,38.647068
"2020-08-13",41.16,41.73,40.84,41.240002,1274700,37.92968
"2020-08-14",40.799999,42.369999,40.689999,41.82,1083400,38.463123
"2020-08-17",41.25,41.470001,40.41,40.759998,1031500,37.488205
"2020-08-18",40.810001,40.810001,39.330002,39.52,1448200,36.34774
"2020-08-19",39.639999,40.27,39.110001,39.68,1627400,36.4949
"2020-08-20",38.73,39.169998,38.259998,38.830002,1598700,35.713131
"2020-08-21",38.759998,39.279999,38.240002,38.369999,1137700,35.290058
"2020-08-24",38.720001,40.25,38.080002,40.240002,915900,37.009956
"2020-08-25",40.889999,41.400002,39.77,40.41,925300,37.166298
"2020-08-26",40.099998,40.119999,39.220001,39.27,1213800,36.117809
"2020-08-27",39.080002,40.439999,39.080002,40.09,1381200,36.87199
"2020-08-28",40.630001,40.630001,39.889999,40.189999,996700,36.963959
"2020-08-31",40.189999,40.209999,39.400002,39.529999,1319900,36.356937
"2020-09-01",39.119999,40.459999,38.66,39.889999,1252800,36.688038
"2020-09-02",39.560001,40.43,39.25,40.18,1287700,36.954765
"2020-09-03",40.68,42.099998,40.040001,40.439999,1478800,37.193893
"2020-09-04",41.66,42.470001,40.360001,41.470001,1428300,38.141216
"2020-09-08",40.560001,40.779999,39.380001,39.939999,1692400,36.734032
"2020-09-09",40.209999,40.290001,39.459999,39.700001,1536200,36.513294
"2020-09-10",39.959999,40.889999,39.080002,39.200001,1756000,36.053429
"2020-09-11",39.200001,39.82,38.93,39.619999,1935400,36.439716
"2020-09-14",40.060001,41.189999,39.490002,41,2001100,38.367447
"2020-09-15",40.93,40.990002,39.970001,40.59,1270000,37.983768
"2020-09-16",40.470001,42.07,40.299999,41.18,1490400,38.535889
"2020-09-17",40.360001,41,40.169998,40.77,1518900,38.152214
"2020-09-18",40.509998,41.330002,40.23,40.650002,2133200,38.039921
"2020-09-21",39.220001,39.970001,38.290001,38.66,1667100,36.177689
"2020-09-22",38.560001,38.790001,36.68,37.150002,2174000,34.764645
"2020-09-23",37.34,38.099998,36.419998,36.439999,1236300,34.100235
"2020-09-24",36.709999,37.419998,35.759998,36.48,997800,34.137669
"2020-09-25",36.09,37.41,35.82,37.299999,1256600,34.905014
"2020-09-28",38.130001,38.880001,37.82,38.549999,1267100,36.074753
"2020-09-29",38.259998,38.290001,36.849998,37.73,909300,35.307404
"2020-09-30",38.07,38.860001,37.830002,38.25,1296000,35.794022
"2020-10-01",38.200001,38.869999,37.75,38.080002,1238700,35.634937
"2020-10-02",37.279999,39.490002,37.119999,39.330002,1477900,36.804672
"2020-10-05",40.009998,41.889999,39.919998,41.830002,1640600,39.144154
"2020-10-06",42.950001,43.48,41.07,41.299999,2161200,38.648178
"2020-10-07",41.93,43.540001,41.93,43.099998,1428000,40.332603
"2020-10-08",43.75,43.82,42.650002,43.099998,1334300,40.332603
"2020-10-09",43.439999,43.700001,42.169998,42.34,1245200,39.621407
"2020-10-12",42.25,42.869999,42.02,42.799999,1192800,40.051865
"2020-10-13",42.389999,42.689999,41,41.040001,1239300,38.404873
"2020-10-14",41.150002,41.700001,40.540001,40.59,1119700,37.983768
"2020-10-15",40.080002,41.900002,40.080002,41.77,1001800,39.088005
"2020-10-16",41.810001,42.119999,41.049999,41.689999,1578200,39.013142
