"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"2020-07-01",161.75,170.119995,161.559998,168.899994,2910800,158.36113
"2020-07-02",170.740005,171.339996,164.880005,165.270004,1573900,154.957611
"2020-07-06",166.330002,167.800003,164.399994,165.800003,2149400,155.454575
"2020-07-07",164.240005,166.75,163.889999,165.610001,1630000,155.276398
"2020-07-08",165.089996,169.169998,165.020004,168.080002,1521300,157.592285
"2020-07-09",167.039993,167.960007,164.229996,165.529999,1338000,155.201385
"2020-07-10",166.410004,166.889999,164.029999,164.589996,1955200,154.320053
"2020-07-13",165.729996,169.039993,164.860001,165.199997,1512500,154.891968
"2020-07-14",166.339996,166.619995,164.059998,165.559998,1579800,155.229553
"2020-07-15",168.309998,169.160004,166.289993,168.830002,1659500,158.295502
"2020-07-16",168.050003,168.639999,165.580002,167.210007,1366100,156.776581
"2020-07-17",167.539993,168.169998,166.169998,166.619995,1599300,156.223373
"2020-07-20",165.059998,168.449997,165.059998,167.899994,1127600,157.423523
"2020-07-21",169.050003,170.539993,167.850006,168.220001,1429400,157.723541
"2020-07-22",167.470001,170.440002,167.029999,170.309998,1230900,159.683151
"2020-07-23",170.839996,171.679993,168.470001,168.940002,1415300,158.398605
"2020-07-24",169,169.850006,167.820007,168.75,1245200,158.220474
"2020-07-27",167.789993,169.25,166.660004,167.5,1651500,157.048462
"2020-07-28",167.990005,168.360001,164.779999,166,1855500,155.642105
"2020-07-29",165.429993,167.779999,163.809998,164.880005,2170200,154.591965
"2020-07-30",162.979996,164.330002,161.690002,163.100006,2631500,152.92305
"2020-07-31",164,166.309998,163.229996,166.179993,1845200,155.810852
"2020-08-03",166.080002,166.589996,162.339996,163,2226100,152.829239
"2020-08-04",162.520004,164,162.130005,163.130005,1839200,152.951157
"2020-08-05",164.149994,164.589996,162.789993,163.169998,1110900,152.988663
"2020-08-06",162.479996,164.399994,162.199997,163.970001,1808100,153.738754
"2020-08-07",163.679993,168.029999,162.149994,167.139999,1903400,156.710938
"2020-08-10",167.570007,168.279999,163.820007,165.339996,1991500,155.02327
"2020-08-11",166.729996,169.259995,165.779999,168.119995,1966800,157.629791
"2020-08-12",169.880005,172.240005,169.449997,169.960007,1568000,159.35498
"2020-08-13",169.080002,170.490005,167.729996,169.570007,1166000,158.989319
"2020-08-14",169.110001,172.240005,169.080002,171.440002,1085800,160.742661
"2020-08-17",171.240005,174.830002,171.039993,174.610001,1927200,163.714844
"2020-08-18",175.100006,176.199997,172.419998,173.809998,1366700,162.964767
"2020-08-19",174.770004,174.830002,171.240005,172.199997,1308100,161.4552
"2020-08-20",171,173.929993,170.550003,173.179993,1051700,162.374084
"2020-08-21",173.789993,174.330002,172.389999,173.860001,1223600,163.011627
"2020-08-24",174.110001,175.520004,173.009995,175.210007,994100,164.27742
"2020-08-25",175.160004,176.369995,174,174.919998,1152800,164.005493
"2020-08-26",174.369995,175.960007,173.5,175.259995,1373400,164.32428
"2020-08-27",175.850006,178.25,175.300003,176.449997,1339500,165.440033
"2020-08-28",177.460007,177.809998,175.309998,177.029999,1220100,165.98381
"2020-08-31",177.479996,177.479996,175.720001,175.869995,1374100,164.896225
"2020-09-01",175.179993,176,172.009995,173.779999,1340300,162.936661
"2020-09-02",172.690002,175.649994,171.160004,172.710007,2407000,161.933395
"2020-09-03",173.639999,176.240005,170.979996,171.889999,1812400,161.164566
"2020-09-04",172.970001,173.360001,166.699997,169.619995,2038800,159.036194
"2020-09-08",168.619995,169.800003,166.330002,167,1672600,156.579666
"2020-09-09",166.639999,169.559998,166.399994,168.009995,1241400,158.332504
"2020-09-10",166.580002,168.520004,163.679993,163.940002,2055500,154.496979
"2020-09-11",163.789993,164.520004,162.039993,163.210007,2143800,153.809036
"2020-09-14",164.600006,167,163.860001,166.080002,970600,156.513702
"2020-09-15",167.029999,168.679993,166.300003,168.100006,1479800,158.417358
"2020-09-16",169.130005,170.880005,168.350006,170.199997,1885400,160.396393
"2020-09-17",168.809998,171.009995,168,170.710007,1615600,160.877045
"2020-09-18",172.210007,172.490005,168.419998,169.050003,2325100,159.312637
"2020-09-21",166.759995,168.830002,164.830002,167.690002,1900700,158.03096
"2020-09-22",167.460007,168.889999,164.410004,166.589996,1160300,156.994339
"2020-09-23",163.360001,167.229996,162.039993,162.350006,1579300,152.998581
"2020-09-24",162.139999,165.270004,161.649994,163.929993,1258800,154.487534
"2020-09-25",163.639999,166.990005,163.229996,166.779999,1337700,157.173386
"2020-09-28",167.940002,170.130005,167.580002,168.929993,1396600,159.19957
"2020-09-29",169,169.800003,164.130005,166.119995,1741700,156.551407
"2020-09-30",166.600006,168.910004,165.940002,167.309998,1322800,157.672867
"2020-10-01",168.490005,170.970001,167.630005,170.25,1308100,160.443527
"2020-10-02",168.5,170.190002,168.020004,168.490005,1133300,158.784912
"2020-10-05",168.289993,169.869995,166.330002,166.940002,1920500,157.324188
"2020-10-06",168.360001,170.389999,166.990005,168.330002,1754700,158.634109
"2020-10-07",168.479996,170.039993,167.580002,169.5,2043700,159.73671
"2020-10-08",169.559998,172.399994,169.389999,170.899994,1408600,161.056061
"2020-10-09",171.949997,172.059998,168.699997,169.410004,1100600,159.651886
"2020-10-12",169.179993,171.080002,169.179993,170,893600,160.207886
"2020-10-13",169.710007,170.910004,167,167.5,1263000,157.851913
