"","CMG.Open","CMG.High","CMG.Low","CMG.Close","CMG.Volume","CMG.Adjusted"
"2020-07-01",1053.849976,1073.660034,1048.040039,1068.359985,283700,1068.359985
"2020-07-02",1081,1084.72998,1053,1056.449951,264400,1056.449951
"2020-07-06",1066.599976,1129.380005,1061.25,1125.920044,666500,1125.920044
"2020-07-07",1119.599976,1145.630005,1105,1109.099976,429200,1109.099976
"2020-07-08",1118.900024,1132.920044,1107.199951,1114.430054,318500,1114.430054
"2020-07-09",1130,1133.189941,1105.459961,1115.579956,287800,1115.579956
"2020-07-10",1110.579956,1118.72998,1101,1118.040039,218900,1118.040039
"2020-07-13",1131.930054,1140.48999,1087.099976,1088.920044,364200,1088.920044
"2020-07-14",1089.01001,1104.839966,1067.589966,1103.02002,267300,1103.02002
"2020-07-15",1126.199951,1135.660034,1104.72998,1133.650024,332100,1133.650024
"2020-07-16",1124.130005,1132.939941,1112.5,1129.51001,241700,1129.51001
"2020-07-17",1136.660034,1139.030029,1122.579956,1136.219971,275200,1136.219971
"2020-07-20",1150,1169.530029,1147.619995,1163.719971,420300,1163.719971
"2020-07-21",1176.640015,1176.640015,1151.050049,1163.099976,281100,1163.099976
"2020-07-22",1161.02002,1187,1161.02002,1185.27002,749400,1185.27002
"2020-07-23",1169,1186,1116.930054,1121.030029,960900,1121.030029
"2020-07-24",1112.72998,1131.47998,1094.930054,1130.26001,421400,1130.26001
"2020-07-27",1139.339966,1151.900024,1127.52002,1142.930054,342900,1142.930054
"2020-07-28",1140.660034,1142.530029,1110.300049,1112.22998,315900,1112.22998
"2020-07-29",1120.079956,1154.920044,1118.150024,1153.069946,297500,1153.069946
"2020-07-30",1139.359985,1160.619995,1138.26001,1148.400024,244300,1148.400024
"2020-07-31",1153.359985,1155.170044,1127.939941,1155.160034,302800,1155.160034
"2020-08-03",1153.280029,1156.550049,1136.420044,1146.709961,236800,1146.709961
"2020-08-04",1149.02002,1165.98999,1146.109985,1164.569946,222100,1164.569946
"2020-08-05",1170,1174.800049,1157.050049,1170.23999,207400,1170.23999
"2020-08-06",1165.25,1189.790039,1165.25,1186.800049,248100,1186.800049
"2020-08-07",1181.969971,1193.25,1159.069946,1180.619995,232000,1180.619995
"2020-08-10",1180.609985,1188.530029,1132.969971,1161,304700,1161
"2020-08-11",1164.76001,1172,1141.219971,1147.160034,223500,1147.160034
"2020-08-12",1158,1168.75,1152.839966,1160.920044,156600,1160.920044
"2020-08-13",1171,1197.689941,1167.300049,1194.930054,262700,1194.930054
"2020-08-14",1189.410034,1203.319946,1180.910034,1186.530029,161400,1186.530029
"2020-08-17",1200,1219.959961,1190.819946,1216.219971,193200,1216.219971
"2020-08-18",1221.280029,1239.380005,1209.800049,1236.930054,255300,1236.930054
"2020-08-19",1237.689941,1245,1216.859985,1219.369995,191600,1219.369995
"2020-08-20",1212.630005,1244.630005,1212.630005,1239.890015,225500,1239.890015
"2020-08-21",1240,1259.380005,1238.959961,1253.23999,234400,1253.23999
"2020-08-24",1268,1271.359985,1241.02002,1241.75,238500,1241.75
"2020-08-25",1247.52002,1273.579956,1246.339966,1269.650024,253100,1269.650024
"2020-08-26",1274.72998,1284.22998,1263.400024,1277.280029,196300,1277.280029
"2020-08-27",1277.800049,1290.51001,1270.050049,1279.630005,210400,1279.630005
"2020-08-28",1284.98999,1302.859985,1282.910034,1301.51001,251100,1301.51001
"2020-08-31",1306.079956,1325,1304.910034,1310.280029,290600,1310.280029
"2020-09-01",1325,1373.5,1319.97998,1372.219971,334600,1372.219971
"2020-09-02",1375,1384.459961,1355.599976,1379.030029,332000,1379.030029
"2020-09-03",1355.47998,1374.219971,1310.23999,1328.72998,464500,1328.72998
"2020-09-04",1332.890015,1342.469971,1258.530029,1313.72998,405400,1313.72998
"2020-09-08",1288.280029,1335.069946,1275.01001,1299.75,318600,1299.75
"2020-09-09",1322,1337.839966,1306.109985,1321.030029,305200,1321.030029
"2020-09-10",1327.390015,1359.719971,1305,1308.48999,329800,1308.48999
"2020-09-11",1325.27002,1326,1272.109985,1297.469971,310900,1297.469971
"2020-09-14",1311.619995,1318,1254.530029,1267.189941,437800,1267.189941
"2020-09-15",1283.599976,1291.390015,1269.099976,1277.359985,329800,1277.359985
"2020-09-16",1286.459961,1286.839966,1264.130005,1265.869995,304700,1265.869995
"2020-09-17",1240.73999,1251.390015,1209.030029,1225.369995,452200,1225.369995
"2020-09-18",1231,1247.359985,1200.939941,1215.47998,783300,1215.47998
"2020-09-21",1194.23999,1207.810059,1180,1206.52002,308600,1206.52002
"2020-09-22",1223.829956,1242.640015,1215.369995,1234.579956,302400,1234.579956
"2020-09-23",1250.329956,1290.930054,1240.439941,1248.390015,531800,1248.390015
