"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2020-07-01",174.100006,174.779999,170.75,170.949997,838900,162.777267
"2020-07-02",173.509995,176.279999,172.539993,173.449997,792900,165.157776
"2020-07-06",177.039993,179.660004,176.220001,178.160004,1046900,169.642593
"2020-07-07",176.270004,178.429993,175.100006,175.570007,2138400,167.176407
"2020-07-08",175.639999,176.399994,172.770004,174.039993,812100,165.719543
"2020-07-09",174.410004,174.990005,171.300003,172.169998,947000,163.938934
"2020-07-10",172.410004,173.960007,171.759995,173.800003,736200,165.491013
"2020-07-13",175.190002,176.589996,173.440002,174.380005,822400,166.043304
"2020-07-14",174.380005,178.660004,173.070007,178.309998,873500,169.7854
"2020-07-15",179.610001,183.190002,179.610001,181.720001,1209700,173.032394
"2020-07-16",181.220001,184.850006,180.460007,183.729996,923900,174.946274
"2020-07-17",184.350006,184.850006,182.399994,183.110001,853000,174.355927
"2020-07-20",182.369995,182.479996,179.160004,180.300003,832800,171.680283
"2020-07-21",181.449997,187.169998,181.279999,186.179993,1142500,177.279144
"2020-07-22",185.339996,190.440002,185.050003,190.259995,1202000,181.164108
"2020-07-23",190.25,192.309998,189.210007,189.940002,949300,180.859406
"2020-07-24",190.279999,190.710007,187.199997,188.240005,902200,179.240677
"2020-07-27",188.190002,191.860001,186.949997,190.960007,1176700,181.830658
"2020-07-28",195.490005,204.979996,194.839996,195.020004,2560600,185.696548
"2020-07-29",198,199.919998,194.240005,198.880005,1548900,189.372009
"2020-07-30",196.550003,196.970001,192.339996,194.479996,769800,185.182343
"2020-07-31",193.490005,193.820007,189.940002,193.259995,994700,184.020691
"2020-08-03",193.960007,197.389999,192.740005,195.309998,904000,185.972687
"2020-08-04",194.699997,196.100006,192.919998,193.009995,803200,183.782623
"2020-08-05",194.869995,198.899994,194.229996,198.339996,978800,188.857834
"2020-08-06",197.639999,198.339996,195.679993,196.220001,827400,186.839172
"2020-08-07",196.009995,199.300003,195,199.270004,766800,189.743362
"2020-08-10",199.5,210.669998,199.5,210.169998,1424900,200.122269
