"","CMS.Open","CMS.High","CMS.Low","CMS.Close","CMS.Volume","CMS.Adjusted"
"2020-07-01",58.41,60.259998,58.27,59.959999,1959000,56.732952
"2020-07-02",60.240002,60.880001,60.130001,60.299999,1634500,57.054657
"2020-07-06",60.529999,61.259998,59.73,60.029999,1662000,56.799183
"2020-07-07",59.43,60.09,59.09,59.490002,2145500,56.28825
"2020-07-08",59.459999,59.689999,58.869999,59.400002,1820300,56.203098
"2020-07-09",59.099998,59.34,57.66,58.990002,2639100,55.815159
"2020-07-10",59.049999,59.830002,58.900002,59.470001,1921900,56.269321
"2020-07-13",59.490002,60.380001,59.139999,59.380001,1818200,56.184166
"2020-07-14",59.52,60.369999,59.23,60.099998,2132300,56.865417
"2020-07-15",60.5,61.060001,59.630001,59.740002,1570500,56.524796
"2020-07-16",59.700001,60.459999,59.529999,60.330002,1580900,57.083038
"2020-07-17",60.720001,61.93,60.450001,61.759998,2256300,58.436077
"2020-07-20",61.52,61.91,61.080002,61.400002,1086900,58.095455
"2020-07-21",60.720001,62.200001,60.720001,62.139999,2258400,58.795628
"2020-07-22",61.860001,64.379997,61.619999,64.080002,2537800,60.631218
"2020-07-23",64.199997,64.639999,63.740002,64.050003,1640800,60.602833
"2020-07-24",64.309998,64.75,63.169998,63.529999,1595900,60.110813
"2020-07-27",63.380001,63.380001,62.57,62.990002,1123100,59.599876
"2020-07-28",62.75,63.919998,62.689999,63.529999,1274800,60.110813
"2020-07-29",63.720001,64.080002,63.490002,63.970001,1108400,60.527134
"2020-07-30",63.400002,63.990002,63.310001,63.93,887300,60.489288
"2020-07-31",63.759998,64.239998,63.209999,64.18,1409700,60.72583
"2020-08-03",64.779999,64.779999,62.369999,62.970001,1339100,59.580952
"2020-08-04",62.799999,63.439999,62.560001,63.09,1714200,59.694492
"2020-08-05",63.360001,63.490002,62.290001,62.349998,1458100,58.99432
"2020-08-06",61.84,62.450001,61.540001,61.75,1696200,58.811459
"2020-08-07",61.459999,63.459999,61.459999,62.880001,1935900,59.88768
"2020-08-10",63.130001,63.380001,62.560001,63.040001,1135100,60.040073
"2020-08-11",62.990002,63.080002,60.91,61.009998,1450300,58.10667
"2020-08-12",61.27,61.990002,61.119999,61.400002,2034600,58.478119
"2020-08-13",60.990002,61.32,60.490002,60.959999,1430600,58.059059
"2020-08-14",60.810001,61.299999,60.27,60.880001,1097700,57.982857
"2020-08-17",60.939999,61.52,60.66,61,1766600,58.097149
"2020-08-18",61,61.380001,60.560001,60.919998,1058400,58.020958
"2020-08-19",61.110001,61.16,60.439999,60.68,832000,57.792385
"2020-08-20",60.459999,60.700001,60.02,60.360001,1128200,57.487606
"2020-08-21",60.41,60.66,59.869999,60.389999,1933600,57.516174
"2020-08-24",60.43,60.849998,59.950001,60.84,1362400,57.944763
"2020-08-25",61,61,60.189999,60.209999,997200,57.344742
"2020-08-26",59.900002,59.900002,58.939999,59.400002,1770600,56.573296
"2020-08-27",59.73,60.09,59.279999,59.720001,2350400,56.878063
"2020-08-28",59.849998,60.34,59.369999,60.049999,3243000,57.192356
"2020-08-31",60.009998,60.73,60,60.490002,3389200,57.611423
"2020-09-01",60.419998,60.490002,59.459999,60.220001,2294000,57.354267
"2020-09-02",60.299999,61.919998,59.93,61.759998,3097400,58.820984
"2020-09-03",62,62.810001,61.330002,61.91,2080800,58.963844
"2020-09-04",61.91,62.389999,61.09,61.66,1770300,58.725742
"2020-09-08",61.639999,61.830002,60.490002,60.5,2488500,57.620941
"2020-09-09",60.860001,62.630001,60.740002,61.689999,2653100,58.754314
"2020-09-10",61.540001,61.860001,60.740002,60.799999,1867200,57.906666
"2020-09-11",60.98,61.290001,60.439999,60.91,1411000,58.011433
"2020-09-14",61.25,61.720001,60.889999,61.419998,1589500,58.497166
"2020-09-15",61.709999,62.209999,60.740002,61.110001,1685500,58.201916
"2020-09-16",61.189999,62.439999,61.16,61.939999,1512500,58.992413
"2020-09-17",61.610001,61.650002,60.860001,61.34,1823400,58.420975
"2020-09-18",61.169998,61.450001,60.709999,61.099998,3521100,58.19239
"2020-09-21",59.869999,61.009998,59.099998,59.990002,1995000,57.13522
"2020-09-22",59.919998,60.779999,59.880001,60.689999,1775200,57.801895
"2020-09-23",60.740002,61.02,59.400002,59.57,1395700,56.735199
"2020-09-24",59.560001,60.139999,58.630001,59.580002,1695600,56.744728
"2020-09-25",59.41,61.380001,59.23,61.34,1781200,58.420975
"2020-09-28",61.5,62.240002,61.169998,61.400002,1047000,58.478119
"2020-09-29",61.630001,61.959999,61.02,61.110001,1026400,58.201916
"2020-09-30",61.5,61.939999,61.150002,61.41,1534400,58.48764
"2020-10-01",61.490002,61.950001,61.189999,61.68,1591600,58.744793
"2020-10-02",61.32,62.009998,60.970001,61.66,1356200,58.725742
"2020-10-05",61.709999,61.919998,60.84,61.580002,1466400,58.649551
"2020-10-06",61.720001,63.389999,61.580002,62.889999,1259000,59.897213
"2020-10-07",63.049999,63.380001,62.490002,63.009998,1027900,60.011497
"2020-10-08",63.07,63.900002,62.82,63.869999,1138000,60.830574
"2020-10-09",63.450001,64.830002,63.450001,64.339996,1263700,61.278206
"2020-10-12",64.459999,65.650002,64.209999,65.080002,1446300,61.98299
"2020-10-13",64.650002,64.910004,64.099998,64.760002,1142500,61.678223
"2020-10-14",64.879997,65.169998,64.370003,64.790001,905100,61.706799
"2020-10-15",64.459999,65.139999,64.150002,64.769997,936200,61.68774
"2020-10-16",64.809998,65.540001,64.690002,65.279999,1085100,62.173481
"2020-10-19",65.389999,65.57,64.620003,64.75,1123300,61.66869
