"","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
"2020-07-01",63.970001,65.889999,63.959999,65.410004,4312900,65.410004
"2020-07-02",65.889999,67.629997,65.82,66.519997,3399800,66.519997
"2020-07-06",67.529999,67.550003,66.129997,66.629997,2886800,66.629997
"2020-07-07",66.010002,67.18,64.940002,65.830002,2431700,65.830002
"2020-07-08",65.870003,66.5,64.550003,65.589996,2490600,65.589996
"2020-07-09",65.18,65.269997,62.580002,63.310001,3700500,63.310001
"2020-07-10",63.509998,63.52,62.18,62.84,2562700,62.84
"2020-07-13",63,64.769997,62.93,63.529999,3017300,63.529999
"2020-07-14",63.150002,65.32,63.110001,65.279999,2597600,65.279999
"2020-07-15",65.769997,66.370003,64.519997,65.599998,3163600,65.599998
"2020-07-16",65.550003,66.93,65.470001,66.029999,2624500,66.029999
"2020-07-17",66.540001,66.910004,66.18,66.269997,2138400,66.269997
"2020-07-20",66.43,66.440002,64.389999,64.860001,2343400,64.860001
"2020-07-21",65.190002,66.160004,64.800003,65.870003,2697600,65.870003
"2020-07-22",65.949997,67.089996,65.459999,66.82,2446600,66.82
"2020-07-23",66.690002,68.449997,66.690002,67.739998,3335300,67.739998
"2020-07-24",67.879997,68.040001,66.830002,67.510002,2645300,67.510002
"2020-07-27",66.809998,67.360001,65.82,67.269997,3505200,67.269997
"2020-07-28",65.769997,66.709999,63.830002,64.230003,7188700,64.230003
"2020-07-29",64.57,66.760002,64.519997,66.339996,2946400,66.339996
"2020-07-30",65.129997,66.860001,64.279999,66.809998,2547200,66.809998
"2020-07-31",66.580002,66.639999,64.449997,65.25,2527700,65.25
"2020-08-03",65.650002,65.919998,62.759998,63.099998,4564200,63.099998
"2020-08-04",63.02,63.740002,62.310001,62.639999,3607900,62.639999
"2020-08-05",63.169998,64.099998,62.700001,63.98,2592600,63.98
"2020-08-06",63.580002,64.279999,62.93,63.720001,1775900,63.720001
"2020-08-07",63.720001,64.860001,63.439999,64.279999,1732400,64.279999
"2020-08-10",64.379997,64.449997,62.779999,63,3253800,63
"2020-08-11",64.050003,64.440002,62.720001,62.880001,2762500,62.880001
"2020-08-12",63.52,65.339996,63.52,65.050003,2723500,65.050003
"2020-08-13",64.669998,64.910004,63.77,64.68,1539300,64.68
"2020-08-14",64.190002,64.940002,63.75,64.639999,2059500,64.639999
"2020-08-17",64.540001,64.989998,63.98,64.120003,1497100,64.120003
"2020-08-18",64.330002,64.400002,62.919998,63.139999,1847000,63.139999
"2020-08-19",63.41,64.150002,63.02,63.470001,2831900,63.470001
"2020-08-20",63.41,63.41,62.040001,62.400002,2346200,62.400002
"2020-08-21",62.529999,62.93,61.91,62.470001,2548600,62.470001
"2020-08-24",62.799999,62.799999,60.099998,60.279999,3230100,60.279999
"2020-08-25",60.689999,60.810001,59.75,60.790001,3245600,60.790001
"2020-08-26",60.650002,60.650002,58.369999,59.380001,4459900,59.380001
"2020-08-27",59.84,61.150002,58.970001,60.490002,3745100,60.490002
"2020-08-28",60.619999,61.700001,60.130001,60.48,2147700,60.48
"2020-08-31",60.380001,62.029999,60.130001,61.32,3651700,61.32
"2020-09-01",61.119999,61.790001,60.720001,61.369999,3073800,61.369999
"2020-09-02",61.459999,62.139999,60.669998,61.98,2542700,61.98
"2020-09-03",62.049999,62.779999,59.73,60.23,2720900,60.23
"2020-09-04",60.5,60.650002,58.560001,59.669998,2495200,59.669998
"2020-09-08",59.34,59.470001,56.970001,57.16,2935300,57.16
"2020-09-09",57.700001,57.91,56.599998,57.349998,2718100,57.349998
"2020-09-10",57.43,57.84,56.720001,57.099998,3521900,57.099998
"2020-09-11",57.310001,57.400002,55.669998,56.439999,2431100,56.439999
"2020-09-14",56.700001,58.77,56.700001,58.220001,3238200,58.220001
"2020-09-15",58.59,58.959999,57.75,58.18,2670100,58.18
"2020-09-16",58.560001,60.169998,58.419998,59.900002,4450800,59.900002
"2020-09-17",59.41,60.529999,59.099998,60.419998,3599100,60.419998
"2020-09-18",60.529999,61.34,60.110001,61.130001,4873000,61.130001
"2020-09-21",58,58.029999,55.119999,55.990002,7660200,55.990002
"2020-09-22",56.009998,56.400002,53.939999,54.34,6983500,54.34
"2020-09-23",54.220001,55.369999,53.599998,54.939999,5687100,54.939999
"2020-09-24",54.810001,55.470001,53.84,54.299999,3980600,54.299999
"2020-09-25",54.299999,55.560001,54,55.41,3883200,55.41
"2020-09-28",56.209999,56.84,55.25,55.52,4530000,55.52
"2020-09-29",55.740002,56.18,55.240002,55.860001,2522600,55.860001
"2020-09-30",56.259998,58.889999,56.209999,58.330002,3669200,58.330002
"2020-10-01",58.360001,58.939999,57.689999,58.82,3852200,58.82
"2020-10-02",58.080002,60.91,57.599998,59.98,3965700,59.98
"2020-10-05",60.490002,62.700001,60.279999,62.259998,3565800,62.259998
"2020-10-06",62.330002,63.669998,61.740002,62.25,4179300,62.25
"2020-10-07",62.759998,65.139999,62.580002,64.620003,3105200,64.620003
"2020-10-08",65,65.260002,63.84,64.68,2137800,64.68
"2020-10-09",64.989998,65.230003,63.560001,64.199997,2341300,64.199997
"2020-10-12",64.690002,65.830002,64.470001,65.300003,2216300,65.300003
"2020-10-13",64.699997,66.389999,64.510002,65.370003,3024000,65.370003
"2020-10-14",65.239998,65.699997,63.889999,65.190002,2480600,65.190002
"2020-10-15",64.120003,66.120003,64.010002,65.860001,2465000,65.860001
"2020-10-16",66,66.849998,65.199997,66.209999,2569500,66.209999
"2020-10-19",66.300003,66.75,65.440002,65.730003,1510400,65.730003
"2020-10-20",65.919998,66.510002,65.25,65.559998,1749100,65.559998
"2020-10-21",65.370003,66.550003,65.209999,65.980003,2135200,65.980003
"2020-10-22",66.019997,67.309998,66.019997,66.940002,1703300,66.940002
"2020-10-23",67.309998,68.639999,67.059998,67.419998,2387500,67.419998
"2020-10-26",66.669998,67.010002,65.629997,66.389999,2783100,66.389999
"2020-10-27",62.689999,64.959999,61.02,64.139999,4042100,64.139999
"2020-10-28",62.759998,63.310001,61.029999,61.16,3348500,61.16
"2020-10-29",60.959999,61.150002,58.330002,58.330002,5175000,58.330002
"2020-10-30",58.209999,59.580002,58.189999,59.099998,4364700,59.099998
"2020-11-02",60.02,62.540001,59.84,62.380001,6584300,62.380001
"2020-11-03",63.349998,65.449997,62.889999,64.639999,4660400,64.639999
"2020-11-04",64,65.839996,63.41,63.990002,9042200,63.990002
"2020-11-05",64.809998,68.18,64.309998,67.879997,6192800,67.879997
"2020-11-06",68,68.300003,66.5,67.93,3666000,67.93
"2020-11-09",69.849998,71.089996,68.68,68.82,4208400,68.82
"2020-11-10",69.760002,72.309998,67.849998,71.120003,6561800,71.120003
"2020-11-11",72,72.239998,69.389999,69.400002,4132300,69.400002
"2020-11-12",69.040001,70.07,68.260002,68.830002,2581000,68.830002
"2020-11-13",69.129997,69.669998,68.650002,69.050003,2901400,69.050003
"2020-11-16",69.849998,69.849998,67.449997,67.669998,3261100,67.669998
"2020-11-17",67.199997,67.75,66.269997,67.279999,3037800,67.279999
"2020-11-18",68.190002,68.190002,65.93,65.959999,1929400,65.959999
"2020-11-19",65.529999,65.580002,63.330002,63.610001,3374000,63.610001
"2020-11-20",63.380001,63.669998,62.23,62.959999,2921800,62.959999
"2020-11-23",63.25,64.220001,63.130001,63.919998,3205900,63.919998
"2020-11-24",64.32,65.139999,63.25,63.389999,3020100,63.389999
"2020-11-25",63.66,63.880001,61.900002,62.189999,3698600,62.189999
"2020-11-27",62.110001,63.349998,62.110001,63.169998,2310300,63.169998
"2020-11-30",63.279999,63.279999,61.419998,61.650002,4790200,61.650002
"2020-12-01",62.52,64.309998,62.48,62.869999,4467200,62.869999
"2020-12-02",62.830002,64.459999,62.790001,63.84,1652800,63.84
"2020-12-03",63.299999,64.300003,62.93,63.68,2825200,63.68
"2020-12-04",63.77,64.610001,63.52,64.599998,2499700,64.599998
"2020-12-07",64.269997,64.940002,63.799999,64.57,4076100,64.57
"2020-12-08",64.059998,65.550003,63.869999,65.010002,3119300,65.010002
"2020-12-09",65.169998,65.349998,62.950001,63.450001,3636000,63.450001
