"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2020-07-01",62.849998,64.25,60.169998,60.700001,3404500,58.958832
"2020-07-02",62.27,63.25,60.720001,61.150002,3376200,59.395927
"2020-07-06",63.080002,63.540001,61.59,62.650002,2644800,60.852898
"2020-07-07",61.91,61.91,59.740002,59.91,3036000,58.19149
"2020-07-08",59.759998,61.459999,59.200001,61.389999,3087700,59.629036
"2020-07-09",60.990002,61.200001,57.299999,58.349998,4076400,56.676239
"2020-07-10",58.18,60.84,57.869999,60.799999,3138000,59.055969
"2020-07-13",61.580002,63.110001,59.759998,61.560001,3808500,59.79417
"2020-07-14",61.169998,61.959999,60.060001,60.68,4071400,58.939404
"2020-07-15",62.41,63.810001,61.580002,63.68,3185300,61.853352
"2020-07-16",62.759998,64.540001,62.41,63.360001,2960300,61.542534
"2020-07-17",63.360001,63.389999,61.66,61.990002,2485400,60.211834
"2020-07-20",61.419998,61.990002,60.470001,60.84,3063200,59.094818
"2020-07-21",61.509998,63.060001,61.200001,62.869999,4416500,61.066586
"2020-07-22",60.490002,64.959999,60.299999,64.050003,10854700,62.212742
"2020-07-23",63.650002,66.040001,63.360001,65.400002,4594600,63.524014
"2020-07-24",65.410004,65.779999,64.720001,65.059998,2194800,63.193756
"2020-07-27",64.480003,65.980003,63.060001,65.739998,3736600,63.854259
"2020-07-28",65.019997,65.809998,63.959999,64.099998,3132300,62.261292
"2020-07-29",64.120003,66.410004,63.639999,66.379997,1800600,64.475899
"2020-07-30",64.519997,65.209999,63.439999,64.839996,1915900,62.98008
"2020-07-31",64.790001,64.790001,62.75,63.799999,1992200,61.96991
"2020-08-03",63.93,64.510002,63.200001,63.490002,1792200,61.668804
"2020-08-04",63.200001,63.740002,62.650002,63.240002,1828500,61.425976
"2020-08-05",63.98,64.879997,63.450001,64.669998,2167400,62.814949
"2020-08-06",64.010002,65.309998,63.310001,63.549999,2880600,61.727081
"2020-08-07",62.919998,66.040001,62.259998,65.75,3832600,63.964622
"2020-08-10",66.099998,67.940002,66,67.410004,2711100,65.579552
"2020-08-11",69.589996,71.879997,69.370003,69.629997,3146100,67.739258
"2020-08-12",71,71.900002,67.019997,68.150002,2595300,66.299461
"2020-08-13",67.239998,68.580002,66.800003,67.639999,2965300,65.803299
"2020-08-14",67.18,69.959999,66.360001,69.470001,2956900,67.583603
"2020-08-17",69.279999,69.440002,66.769997,66.790001,2911100,64.976379
"2020-08-18",67.139999,67.139999,65.32,65.470001,2732200,63.692226
