"","CPT.Open","CPT.High","CPT.Low","CPT.Close","CPT.Volume","CPT.Adjusted"
"2020-07-01",91.510002,94.190002,90.5,93.809998,481800,88.844429
"2020-07-02",95.370003,95.639999,93.080002,93.57,782300,88.617149
"2020-07-06",95.599998,95.599998,91.82,91.970001,444300,87.101837
"2020-07-07",90.599998,91.440002,89.589996,89.709999,666700,84.961464
"2020-07-08",89.739998,90.449997,89.080002,89.480003,415500,84.743637
"2020-07-09",88.980003,89.32,88.209999,88.639999,384200,83.948097
"2020-07-10",88.739998,90.150002,88.559998,89.370003,387300,84.639458
"2020-07-13",89.82,91.139999,88.599998,89.790001,547500,85.037224
"2020-07-14",89.779999,91.099998,89.300003,90.699997,540400,85.899048
"2020-07-15",91.82,92.360001,90.800003,91.440002,775300,86.599892
"2020-07-16",91.139999,91.349998,89.860001,89.970001,569000,85.207695
"2020-07-17",90.300003,90.93,89.169998,90.709999,715900,85.908524
"2020-07-20",90.040001,90.809998,88.370003,88.849998,682600,84.14698
"2020-07-21",88.290001,89.599998,87.809998,88.139999,506300,83.474571
"2020-07-22",87.739998,90.57,87.550003,90.57,597800,85.77594
"2020-07-23",90.080002,90.959999,88.82,89.93,502700,85.169807
"2020-07-24",90.160004,90.160004,88.980003,89.529999,616200,84.790985
"2020-07-27",89.169998,89.419998,87.690002,89.25,503600,84.52581
"2020-07-28",89.110001,91.129997,88.75,90.589996,466300,85.794876
"2020-07-29",91.199997,91.629997,89.800003,91.290001,653700,86.457825
"2020-07-30",89.970001,93.230003,89.68,92.970001,803000,88.048904
"2020-07-31",92.220001,92.449997,88,90.809998,2176100,86.003235
"2020-08-03",90.550003,90.690002,87.43,89.220001,702700,84.497398
"2020-08-04",88.769997,89.690002,87.260002,89.360001,656900,84.62999
"2020-08-05",89.879997,89.879997,88.230003,88.949997,630400,84.241684
"2020-08-06",88.360001,90.120003,88.25,89.650002,434700,84.904633
"2020-08-07",89.309998,89.529999,88.260002,88.900002,935200,84.194328
"2020-08-10",88.949997,90.019997,88.160004,88.879997,564500,84.175385
"2020-08-11",89.639999,90.730003,89.07,89.370003,794400,84.639458
"2020-08-12",89.769997,90.559998,88.919998,90.400002,584800,85.614929
"2020-08-13",89.769997,90.989998,87.739998,87.940002,795900,83.285156
"2020-08-14",87.589996,89.239998,87.379997,88.18,382600,83.512459
"2020-08-17",88.25,88.879997,87.669998,88.839996,458900,84.137505
"2020-08-18",88.910004,89.139999,87.730003,88.400002,362800,83.72081
"2020-08-19",88.489998,88.489998,86.290001,86.860001,828900,82.262321
"2020-08-20",86.459999,88.919998,86.400002,87.760002,423400,83.114677
"2020-08-21",87.790001,88.389999,85.779999,87.660004,452900,83.019974
"2020-08-24",87.669998,88.239998,85.739998,88.160004,402600,83.493507
"2020-08-25",88.300003,89.239998,87.620003,89.139999,599600,84.421623
"2020-08-26",88.75,88.75,86.239998,86.730003,385500,82.139198
"2020-08-27",87.220001,89.760002,87.220001,89.669998,547400,84.923584
"2020-08-28",89.940002,91.110001,88.440002,91.080002,961200,86.258934
"2020-08-31",90.599998,91.18,90.110001,90.940002,900300,86.126358
"2020-09-01",90.300003,91.019997,89.360001,91,714500,86.183174
"2020-09-02",90.849998,91.879997,90.230003,91.790001,837600,86.931358
"2020-09-03",92.169998,93.800003,91.029999,92.150002,695200,87.272301
"2020-09-04",92.910004,94.199997,91.82,93.190002,889200,88.257256
"2020-09-08",92.190002,92.989998,90.099998,91.040001,945800,86.221062
"2020-09-09",91.550003,93.18,90.739998,91.440002,906000,86.599892
"2020-09-10",91.370003,91.650002,90.07,90.440002,702600,85.652817
"2020-09-11",90.440002,90.449997,88.440002,89.699997,731700,84.951988
"2020-09-14",90.379997,93.93,90.379997,93.199997,712900,88.266716
"2020-09-15",92.870003,93.730003,91.57,92.010002,782800,87.139717
"2020-09-16",92.57,93.900002,91.959999,92.510002,607800,87.613258
"2020-09-17",91.699997,92.449997,90.540001,91.330002,879600,86.495712
"2020-09-18",90.870003,91.07,88.800003,88.970001,1392800,84.260635
"2020-09-21",87.510002,88.120003,86.190002,86.599998,1289600,82.016083
"2020-09-22",86.709999,89.379997,86.709999,88.620003,804700,83.929161
"2020-09-23",88.669998,89.970001,88,88.019997,1080400,83.360909
"2020-09-24",88,88.989998,87.300003,88.220001,1152500,83.550323
"2020-09-25",88.279999,90.360001,87.889999,90.339996,740500,85.558121
"2020-09-28",91.790001,92.5,90.900002,90.970001,627000,86.154762
"2020-09-29",89.5,90.290001,88.389999,89.419998,623700,85.466599
"2020-09-30",90.120003,90.43,88.099998,88.980003,782100,85.046051
"2020-10-01",89.150002,92.019997,88.870003,91.989998,590700,87.922974
"2020-10-02",90.739998,95.230003,89.769997,94.839996,816600,90.646957
"2020-10-05",95.589996,96.610001,94.470001,96.559998,812600,92.290932
"2020-10-06",97.080002,98.010002,95.660004,96.870003,1001900,92.587234
"2020-10-07",97.360001,97.639999,95.790001,96.5,584800,92.233582
"2020-10-08",97.019997,98.139999,96.360001,98.059998,415300,93.724602
"2020-10-09",98.559998,98.989998,96.120003,96.32,544600,92.061531
"2020-10-12",96.57,97.669998,96.029999,97.120003,770500,92.826164
"2020-10-13",96.480003,97.57,95.480003,96.440002,617300,92.176231
