"","CSCO.Open","CSCO.High","CSCO.Low","CSCO.Close","CSCO.Volume","CSCO.Adjusted"
"2020-07-01",46.540001,46.720001,46,46.060001,17129500,43.049698
"2020-07-02",46.07,46.220001,45.48,45.630001,19632000,42.983761
"2020-07-06",46.07,46.490002,45.869999,46.419998,16152900,43.727947
"2020-07-07",46.119999,46.290001,45.560001,45.630001,17102800,42.983761
"2020-07-08",45.59,46.07,45.32,45.810001,15020800,43.153328
"2020-07-09",46.599998,47.200001,46.220001,46.700001,26027700,43.991707
"2020-07-10",46.73,46.919998,46.240002,46.66,13775700,43.954021
"2020-07-13",46.869999,46.990002,45.779999,45.93,17965500,43.266365
"2020-07-14",45.490002,46.5,45.41,46.259998,19303500,43.577221
"2020-07-15",46.5,46.830002,45.990002,46.400002,15705000,43.709106
"2020-07-16",45.700001,45.830002,45.200001,45.779999,17709400,43.125061
"2020-07-17",46.040001,46.93,45.880001,46.75,20389700,44.038807
"2020-07-20",46.669998,47.099998,46.259998,46.970001,15966500,44.246052
"2020-07-21",47.279999,47.330002,46.849998,47.02,16044700,44.293148
"2020-07-22",47.02,47.110001,46.529999,46.900002,27218300,44.180111
"2020-07-23",46.98,47.700001,46.68,47.41,23750200,44.66053
"2020-07-24",47.490002,47.639999,46.110001,46.400002,16983600,43.709106
"2020-07-27",46.66,47.259998,46.150002,47.189999,15576000,44.453293
"2020-07-28",46.98,47.080002,46.209999,46.279999,13975300,43.596062
"2020-07-29",46.400002,46.880001,46.369999,46.709999,11618200,44.001129
"2020-07-30",46.130001,46.459999,45.380001,46.439999,15385100,43.746784
"2020-07-31",46.389999,47.110001,45.860001,47.099998,17701100,44.368507
"2020-08-03",47.139999,47.360001,46.68,47.16,14141100,44.425034
"2020-08-04",47.009998,47.669998,46.91,47.669998,12839500,44.905453
"2020-08-05",47.669998,47.73,47.049999,47.330002,13075600,44.585175
"2020-08-06",47.23,47.830002,47.099998,47.77,14190900,44.999653
"2020-08-07",47.330002,47.599998,47.029999,47.43,17054300,44.679375
"2020-08-10",47.16,48,47.16,47.73,14999200,44.961975
"2020-08-11",47.900002,48.450001,47.09,47.189999,18859600,44.453293
"2020-08-12",47.279999,48.130001,47.27,48.099998,26823700,45.310513
"2020-08-13",43.790001,43.84,42.380001,42.720001,91849500,40.242523
"2020-08-14",42.490002,42.880001,42.27,42.5,32539500,40.035282
"2020-08-17",42.549999,42.759998,41.860001,42.09,30511700,39.649055
"2020-08-18",42.130001,42.290001,41.810001,41.98,23344600,39.545433
"2020-08-19",42.099998,42.349998,41.779999,41.869999,20097400,39.441811
"2020-08-20",41.869999,42.419998,41.73,42.310001,18443900,39.8563
"2020-08-21",42.049999,42.299999,41.810001,42.25,17389600,39.799774
"2020-08-24",42.07,42.470001,42,42.18,17742900,39.733833
"2020-08-25",42.23,42.299999,41.779999,41.959999,15417400,39.526592
"2020-08-26",41.650002,42.279999,41.450001,42.25,21625800,39.799774
"2020-08-27",42.400002,42.470001,42.02,42.290001,22456800,39.83746
"2020-08-28",42.139999,42.299999,42,42.200001,16573600,39.752682
"2020-08-31",42.099998,42.349998,41.939999,42.220001,21298000,39.771526
"2020-09-01",42,42.07,41.5,42.029999,23325100,39.592537
"2020-09-02",42.040001,42.689999,42.029999,42.419998,30045700,39.959915
"2020-09-03",41.75,41.830002,40.669998,40.950001,39288100,38.575172
"2020-09-04",41.200001,41.43,40.439999,40.82,34867400,38.452705
"2020-09-08",40.049999,40.610001,39.970001,40,29101800,37.680264
"2020-09-09",40.099998,40.48,39.720001,40.130001,23351600,37.802723
"2020-09-10",40.029999,40.639999,39.419998,39.57,25108800,37.2752
"2020-09-11",39.77,40.049999,39.52,39.880001,21853000,37.567226
"2020-09-14",40.220001,40.639999,40.049999,40.369999,19866700,38.028805
"2020-09-15",40.509998,40.84,40.380001,40.599998,19024100,38.245457
"2020-09-16",40.720001,41.169998,40.389999,40.419998,24310200,38.075905
"2020-09-17",39.66,40.400002,39.509998,40.369999,22225900,38.028805
"2020-09-18",40.18,40.32,39.580002,39.810001,44450800,37.501282
"2020-09-21",39.310001,39.470001,38.689999,39.040001,28495000,36.77594
"2020-09-22",39.18,39.459999,38.880001,39.32,17656800,37.0397
"2020-09-23",39.23,39.389999,38.18,38.279999,24843200,36.060009
"2020-09-24",38,38.16,37.599998,37.849998,30910400,35.654945
"2020-09-25",37.759998,38.540001,37.619999,38.450001,22966600,36.22015
"2020-09-28",39.200001,39.290001,38.790001,39.130001,24275700,36.860714
"2020-09-29",39.07,39.380001,38.830002,39.060001,16353700,36.794777
"2020-09-30",39.09,39.700001,39.02,39.389999,27113200,37.105637
"2020-10-01",39.099998,39.310001,38.57,38.799999,20763500,36.886978
"2020-10-02",38.049999,38.549999,37.970001,38.27,24493000,36.383106
"2020-10-05",38.48,38.790001,38.279999,38.57,26929100,36.66832
"2020-10-06",38.5,39.349998,38.400002,38.57,28430800,36.66832
"2020-10-07",38.98,39.580002,38.779999,39.400002,20593700,37.457397
"2020-10-08",39.799999,40.18,39.66,39.790001,19031300,37.828167
"2020-10-09",40.150002,40.23,39.720001,39.849998,16167500,37.885208
"2020-10-12",39.93,40.529999,39.630001,40.360001,22757200,38.37006
"2020-10-13",40.540001,40.610001,39.709999,39.810001,23438300,37.847183
"2020-10-14",39.849998,40.419998,39.759998,39.889999,16439100,37.923237
"2020-10-15",39.470001,40,39.349998,39.970001,15451400,37.99929
"2020-10-16",39.880001,40.299999,39.549999,40.16,21292500,38.179928
"2020-10-19",40.150002,40.380001,39.16,39.299999,19600500,37.362324
"2020-10-20",39.439999,39.509998,39.029999,39.200001,16564900,37.267262
"2020-10-21",39.310001,39.57,38.98,39.060001,17016300,37.134159
"2020-10-22",38.849998,38.959999,38.380001,38.82,20399000,36.905994
"2020-10-23",38.93,38.970001,38.650002,38.82,15556100,36.905994
"2020-10-26",38.400002,38.43,37.150002,37.669998,29146500,35.812691
"2020-10-27",37.380001,37.5,36.59,36.869999,37911500,35.052135
"2020-10-28",36.32,36.509998,35.68,35.709999,34561500,33.949333
"2020-10-29",35.509998,36.07,35.279999,35.689999,35332000,33.930313
"2020-10-30",35.599998,35.93,35.490002,35.900002,29151200,34.129963
"2020-11-02",36.189999,36.349998,35.669998,35.900002,23483100,34.129963
"2020-11-03",36.360001,37.330002,36.299999,36.68,27342900,34.871502
"2020-11-04",37.029999,37.299999,36.5,36.57,30121900,34.76693
"2020-11-05",37.02,37.299999,36.91,37.23,23149700,35.394386
