"","CTSH.Open","CTSH.High","CTSH.Low","CTSH.Close","CTSH.Volume","CTSH.Adjusted"
"2020-07-01",57,57.43,55.950001,56.419998,2966500,54.989567
"2020-07-02",57.009998,57.68,56.009998,56.080002,3123100,54.658184
"2020-07-06",57,57.09,56.09,56.259998,2202900,54.833618
"2020-07-07",55.52,56.400002,55.360001,55.849998,2604600,54.434017
"2020-07-08",56.09,56.360001,55.220001,55.700001,1783300,54.287819
"2020-07-09",55.669998,55.700001,54.57,55.279999,3043000,53.878468
"2020-07-10",55.049999,55.880001,54.919998,55.779999,2037900,54.365791
"2020-07-13",56.439999,57.720001,56.16,56.459999,3415300,55.028545
"2020-07-14",56.02,56.549999,55.18,56.470001,2395200,55.038303
"2020-07-15",58,60.400002,58,59.669998,4574900,58.157162
"2020-07-16",60.900002,61.700001,60.5,61.049999,5220900,59.502186
"2020-07-17",61.369999,61.77,60.799999,61.43,3011500,59.872547
"2020-07-20",61.360001,62.009998,61.049999,61.709999,2135000,60.145443
"2020-07-21",62.25,62.91,61.400002,61.619999,2495300,60.057724
"2020-07-22",61.630001,62.41,61.279999,61.959999,3036900,60.389103
"2020-07-23",62.16,62.560001,61.790001,62.080002,2514900,60.506073
"2020-07-24",62.18,62.330002,61.459999,61.799999,2678000,60.233162
"2020-07-27",61.689999,63.669998,61.290001,63.43,2997400,61.821842
"2020-07-28",63.419998,63.84,62.580002,62.639999,3155000,61.051865
"2020-07-29",63.07,65.199997,62.68,64.790001,4818300,63.147358
"2020-07-30",68.919998,69.489998,67,69.18,6495000,67.426048
"2020-07-31",68.790001,69,66.989998,68.32,3646900,66.587868
"2020-08-03",66.849998,68.120003,66.669998,68.040001,3398200,66.314949
"2020-08-04",67.169998,67.989998,66.870003,67.919998,2962900,66.198006
"2020-08-05",68.139999,68.68,67.160004,67.43,2697300,65.720428
"2020-08-06",67.489998,67.730003,66.669998,67.580002,2307600,65.866631
"2020-08-07",67.199997,67.650002,66.690002,67.480003,2054500,65.769165
